event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
303,284500,4651275,363358,0.0841167,3.4328,217831,1.26205,1,0.985198,1,1,0.910394,1.01924,1,0,1,0,1,"[0]","[1]","[118155]","[-1.75311]","[0.841892]","[351261]","[0.012104]","[-1]","[13]","[1]","[0]","[153.833]","[-0.0214864]","[3.67634]",63125.3,0.251442,7,"[269824,222625,86608.1,81758.7,55581.4,51266.3,42896.8]","[-1.88253,-1.10328,0.287352,2.15898,-0.572169,2.08804,-2.44969]","[3.0078,-0.336994,-3.08001,-2.16905,-0.0170399,0.462281,-3.00289]","[907720,372756,90711.1,359047,64991.8,210111,250352]","[1,1,0.954956,1,1,0.998071,1]","[0,0,5,0,4,5,0]","[0,0,0,0,1,0,0]","[-0.829744,-0.899679,0.999765,-0.917012,-0.823922,-0.301025,-0.757394]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[299171,277976]","[-1.95478,-1.0091]","[3.05654,-0.275736]","[1.08004e+06,440374]","[72467.8,85812.8]","[0,1]","[1.69274,0.897536]","[0.635656,0.589116]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[906.479]",9483.33,"[7796.7,3289.19,3169.56,2535.92,7212.95,3043.13,2803.02]","[]","[28857.8,11992.5]","[]"
526,284500,4623290,363358,0.0682081,3.4328,217831,0.187531,1,0.998124,1,1,0.997688,1.00189,1,0,1,0,1,"[0]","[1]","[48519]","[1.30696]","[-0.624951]","[96202.4]","[-0.02314]","[-1]","[13]","[1]","[0]","[-227.398]","[-0.000173621]","[0.0191763]",97954.4,0.632048,3,"[422282,219355,101764]","[0.435537,1.25218,1.99469]","[-2.93466,0.396596,-0.12441]","[464364,415364,381079]","[0.994158,0.991101,0.464581]","[0,0,0]","[0,0,0]","[-0.697027,-0.877709,-0.0688353]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[416369,299064]","[0.458256,1.52289]","[-2.92702,0.273871]","[463314,726503]","[47644.1,109001]","[0,1]","[2.77758,0.733854]","[0.719762,0.753794]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[151.993]",3502.35,"[4503.71,6247.34,2969.62]","[]","[2560.19,3769.12]","[]"
667,284500,5386524,363358,0.0682081,3.4328,217831,1.22586,0.988076,1,1,1,0.9574,1.00306,1,1,0,0,2,"[0,0]","[1,1]","[237598,88797]","[1.13807,0.540946]","[0.433832,0.586345]","[408810,102109]","[-0.0313778,-0.100483]","[-1,1]","[11,11]","[1,1]","[0,1298.1]","[2107.02,-338.111]","[-0.024855,-0.030545]","[2.60801,3.16462]",13655.4,-0.126643,2,"[230295,96888.8]","[1.90685,1.36994]","[-2.63332,-2.82793]","[792582,203283]","[1,0.996523]","[0,4]","[0,1]","[-0.88951,0.195343]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[352505,308872]","[1.00388,1.79741]","[0.476905,-2.68025]","[555556,961656]","[104932,89737.7]","[1,1]","[0.0843078,1.20468]","[0.585994,0.719931]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2504.61,431.203]",5029.52,"[14929.9,3189.06]","[]","[4564.53,16231.8]","[]"
711,284500,4643463,363358,0.0682081,3.4328,217831,0.738662,0.952962,1,1,1,0.963607,1.01265,1,1,0,0,2,"[0,0]","[1,1]","[232241,81002.1]","[1.69378,1.17765]","[1.01307,1.35429]","[653044,143971]","[0.00938225,0.0317764]","[1,1]","[11,11]","[1,1]","[1212.35,0]","[5332.03,-22.256]","[-0.0163861,0.000695088]","[0.855264,0.0740301]",31832.3,2.00756,6,"[159992,149354,87121.8,74894,53530.5,36474.8]","[0.937933,1.72462,-2.23106,-1.29452,-1.60644,-1.88018]","[-1.56319,-1.35747,-2.2681,-3.08693,2.59082,1.06235]","[236710,433097,410322,147219,139220,122480]","[0.997174,0.991231,0.993798,0.995174,0.992665,0.981616]","[4,0,0,0,0,0]","[1,0,0,0,0,0]","[-0.606042,-0.770031,-0.492761,-0.92582,-0.813192,-0.878396]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[350895,301389]","[1.60689,1.40626]","[1.09757,-1.45624]","[914317,665946]","[86857.1,136238]","[1,1]","[0.32597,0.965149]","[0.45154,0.816334]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5074.73,384.25]",5303.78,"[2106.25,3511.35,2575.6,3503.56,2516.48,2106.43]","[]","[20800.1,15608.6]","[]"
1053,284500,5241821,363358,0.0682081,3.4328,217831,1.74563,1,0.985207,1,1,1.5479,0.979008,1,0,1,0,2,"[0,0]","[1,0]","[170904,23017.8]","[-0.344858,0.861788]","[1.13157,1.94461]","[181168,32107.7]","[0.0365601,0.0019722]","[1,-1]","[13,13]","[1,1]","[0,0]","[-725.153,-725.153]","[-0.00311211,-0.0188565]","[0.672029,1.88517]",52117.5,2.5587,4,"[499350,243777,100919,44138.4]","[-1.32078,-1.01841,0.0893274,-1.21879]","[-0.908712,2.52548,2.58465,3.08597]","[1.00227e+06,382237,101499,81682.1]","[1,0.995077,0.996126,0.988513]","[0,0,4,0]","[0,0,1,0]","[-0.948192,-0.837059,0.91282,-0.726481]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[470715]","[-1.3272]","[-0.91018]","[949870]","[8499.31]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[7389.96,61.472]",2853.23,"[7402.37,5444.01,4746.7,5509.36]","[]","[14696.8]","[]"
1207,284500,5303811,363358,0.0682081,3.4328,217831,0.738662,0.949258,1,1,1,1.11566,1.00582,1,1,0,0,2,"[0,0]","[1,1]","[225752,28639.1]","[-0.348499,-0.100666]","[-0.552301,0.662329]","[239600,28784.3]","[-0.0538788,-0.00244904]","[1,-1]","[11,11]","[1,0]","[0,0]","[142.478,3235.13]","[0.00400796,0.0247572]","[0.450375,2.68692]",36788.6,-0.206783,3,"[277070,45776.5,35842.7]","[1.52891,-1.3744,-0.97448]","[2.66532,-0.456009,-2.94507]","[669827,96655.4,54621.3]","[0.989797,0.999825,0.960021]","[0,0,0]","[0,0,0]","[0.98733,-0.94011,-0.919703]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[270155,256975]","[1.53498,-0.404896]","[2.6701,-0.55123]","[656441,286451]","[23227.9,67727.4]","[0,1]","[2.5442,1.37241]","[0.775836,0.495968]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1955.43,56.8563]",3757.71,"[6369.3,3102.01,2253.7]","[]","[16631.9,0]","[]"
1299,284500,5254090,363358,0.108959,3.4328,217831,1.21412,0.927741,1,1,1,0.997025,1.0005,1,1,0,0,2,"[0,0]","[1,1]","[103700,49911.6]","[2.12467,2.27384]","[-1.15573,-0.382411]","[440187,245054]","[0.0343246,-0.201589]","[1,-1]","[11,11]","[1,1]","[1266.64,0]","[390.67,-135.603]","[-0.0545411,-0.00987346]","[4.53879,0.820675]",84930.4,-1.12146,3,"[267764,26419,25829]","[0.762551,-0.654174,1.49387]","[2.34728,-0.413715,0.5966]","[350498,32518.4,60707.8]","[0.99742,1,1]","[0,0,0]","[0,0,0]","[-0.790683,-0.742097,-0.832498]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[264356]","[0.760294]","[2.33965]","[344917]","[16676.3]","[0]","[1.70155]","[0.591627]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[765.542,175.728]",4182.47,"[3233.66,4118.8,3220.12]","[]","[22226]","[]"
1444,284500,5295545,363358,0.06824,3.4328,217831,1.55465,0.95598,1,1,1,0.997857,1.01265,1,1,0,0,2,"[0,0]","[1,1]","[188169,143337]","[1.78041,1.54414]","[0.0445586,0.531646]","[573997,350993]","[0.0227528,-0.0260315]","[1,-1]","[11,11]","[1,1]","[0,0]","[-703.887,575.338]","[0.000614842,-0.00519704]","[0.0825978,0.655177]",21753.4,-0.446798,3,"[120613,65016.7,52121]","[-1.8185,0.144675,-2.1077]","[-2.38181,3.13439,-2.89632]","[381640,66610.2,217694]","[0.997576,0.976736,0.996594]","[0,0,0]","[0,0,0]","[-0.522624,-0.741557,-0.353048]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[351462]","[1.7107]","[0.266821]","[1.00909e+06]","[100635]","[1]","[0.0306743]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3211.24,2692.56]",6931.23,"[4766.16,2875.15,6744.56]","[]","[8301]","[]"
1949,284500,5256758,363358,0.0682081,3.4328,217831,1.22586,0.940521,1,1,1,0.995508,1.00021,1,1,0,0,2,"[0,0]","[1,1]","[70488.5,39448]","[0.588608,0.722881]","[1.1716,-3.08549]","[83055.9,50211.6]","[-0.0126877,0.0754547]","[1,-1]","[11,11]","[1,0]","[0,4922.84]","[-166.417,-246.401]","[-0.0168354,-0.0058192]","[1.78524,0.236548]",8796.61,-1.71926,4,"[359985,196617,132672,27067.3]","[-1.26081,0.551266,0.105303,2.41997]","[-0.710025,2.63258,2.48422,0.676505]","[686743,227686,133928,153424]","[0.99,0.992983,0.993131,-0.1]","[0,0,0,0]","[0,0,0,0]","[-0.887485,-0.897559,-0.647022,-0.797587]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[370719,331496]","[-1.24654,0.46445]","[-0.712695,2.64333]","[698496,385897]","[25681.4,116482]","[0,1]","[2.29206,1.39836]","[0.6842,0.189562]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[201.371,171.592]",19517.3,"[4585.04,5853.14,7294.54,6034.42]","[]","[14784.5,5219.06]","[]"
2217,284500,4511911,363358,0.133859,3.4328,217831,1.55465,0.96194,1,1,1,0.865765,1.01532,1,1,0,0,1,"[0]","[1]","[52610.2]","[2.34185]","[-2.30067]","[276115]","[0.0539055]","[-1]","[11]","[1]","[0]","[-65.5811]","[-0.016032]","[1.44523]",43429,2.95722,15,"[925523,728245,121603,102001,70315.7,69227.5,55960.5,54302.3,49395.6,46923,45894.4,45591.8,34328.4,28278.1,25250.8]","[-0.275195,0.100807,-1.72889,1.52868,-0.0791969,1.6637,2.19574,0.766033,2.40481,0.96383,0.160521,0.64865,-0.833751,1.46821,1.497]","[0.413109,-2.68241,-1.549,1.44568,-3.12727,1.98901,1.66721,-2.038,0.615816,-2.87419,-0.829226,-2.55678,-0.963934,-2.98496,0.464025]","[963853,733599,353504,246673,70791.8,189340,254731,71689.9,275802,70689.7,46975.8,55725.6,47068.5,64697.2,59419.4]","[0.997392,0.984053,0.979936,0.915177,0.995768,1,0.965738,0.99,0.862778,0.992338,0.996187,0.991772,0.991878,0.996179,0.989742]","[4,0,0,4,0,0,4,0,0,0,0,0,0,0,0]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[-0.688587,0.0920986,-0.470662,0.0935556,-0.936924,-0.936707,-0.867078,-0.922092,-0.556959,0.154427,-0.895823,-0.908376,-0.879803,-0.724128,-0.297307]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[946250,837997]","[-0.265378,0.0958029]","[0.411001,-2.71654]","[982675,852365]","[75548.2,133497]","[1,0]","[1.30542,2.30988]","[0.512623,0.451254]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[193.637]",11650.6,"[15299.8,9486.18,3335.38,2566.05,1807.98,3391.22,7579.21,2588.83,4352.02,4277.51,1998.54,2760.95,1962.5,1797.53,4374.58]","[]","[4466.12,67995.9]","[]"
