event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
3467,284500,626905,364197,1,1.19732,4.05748e+06,0.596562,1,0.983694,1,1,0.995931,0.994479,1,0,1,0,1,"[0]","[1]","[36715.7]","[1.8764]","[2.93932]","[122687]","[-0.041853]","[-1]","[13]","[1]","[0]","[-53.845]","[0.014378]","[1.38594]",82756.7,-2.5555,5,"[422884,356242,204889,43477.3,31253.3]","[1.64974,1.94477,0.0799792,-2.03596,0.472588]","[-0.163256,-2.73739,1.71913,1.07147,-0.511486]","[1.14277e+06,1.27172e+06,206278,169507,34999.1]","[0.992836,0.998976,0.999394,0.990036,0.999264]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.927489,-0.883277,-0.739963,-0.795988,-0.48589]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[417137,366058]","[1.63558,1.94374]","[-0.156676,-2.73429]","[1.11239e+06,1.30569e+06]","[53438.4,52871.6]","[0,0]","[1.72476,1.70851]","[0.780596,0.671353]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[164.478]",3359.6,"[13923.7,10385.8,2484.17,4434.89,2589.64]","[]","[24497.8,33876.4]","[]"
6256,284500,751583,364197,1,1.19732,4.05748e+06,1.21412,1,0.999919,1,1,0.972792,0.999873,1,0,1,0,1,"[0]","[1]","[46708]","[-2.3325]","[-2.59749]","[242898]","[0.218681]","[-1]","[13]","[1]","[0]","[-82.7619]","[-0.0177588]","[2.16531]",95447.4,-2.4356,5,"[441629,370894,361243,46857.5,37125.9]","[-1.59022,1.08109,-1.89533,1.63727,-2.0283]","[-2.4042,0.144898,1.34152,-1.08856,2.00842]","[1.12846e+06,610192,1.23047e+06,125110,143718]","[0.971445,0.998734,0.996115,0.996835,0.990716]","[0,4,4,0,5]","[0,0,0,0,0]","[-0.749328,-0.967707,-0.871724,-0.891505,0.856466]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",3,"[455069,371222,360447]","[-1.60845,-1.93663,1.06486]","[-2.40613,1.3902,0.138899]","[1.18248e+06,1.31721e+06,585644]","[29973.8,91206.5,30240.7]","[0,0,0]","[2.09241,1.87319,3.88781]","[0.737112,0.59654,0.511061]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[565.079]",13064.8,"[8024.25,12864.5,5822.71,3360.32,1279.02]","[]","[38552.9,17488.9,30156.8]","[]"
7090,284500,766253,364197,1,1.19732,4.05748e+06,0.738662,0.96972,1,1,1,0.950865,1,1,1,0,0,1,"[0]","[1]","[634730]","[1.15687]","[0.212341]","[1.10901e+06]","[0.0598898]","[1]","[11]","[0]","[9940.14]","[26274.2]","[-0.00252935]","[0.24897]",16350.4,-1.62953,3,"[535100,148665,31820.8]","[-1.30619,-1.53065,-2.29116]","[3.13643,-2.22481,-2.71691]","[1.06283e+06,359743,159000]","[0.995184,0.994989,0.991435]","[4,15,0]","[0,1,0]","[-0.960783,-0.184141,-0.92193]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[703424,666480]","[1.16891,-1.42134]","[0.23093,-2.95908]","[1.24164e+06,1.49267e+06]","[30613.7,306127]","[0,0]","[6.25177,1.14733]","[0.322742,0.784222]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[9891.81]",10973.5,"[10706.5,12822.7,5226.31]","[]","[45721.4,70471.4]","[]"
7146,284500,761299,364197,1,1.19732,4.05748e+06,1.22586,0.95847,1,1,1,0.96668,0.96697,1,1,0,0,1,"[0]","[1]","[41215.6]","[0.101165]","[-0.653646]","[41426.7]","[-0.0159721]","[1]","[11]","[1]","[0]","[586.916]","[0.00451268]","[0.335585]",19361.7,2.96418,4,"[464880,405007,42742.5,20167.4]","[0.370393,-0.626351,-2.22153,0.675062]","[0.750486,-2.31634,-1.54054,0.286747]","[498623,487646,199478,25077.2]","[0.996937,0.991561,0.993711,0.749954]","[0,0,4,0]","[0,0,0,0]","[-0.92048,-0.976219,-0.389447,-0.654201]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[468395,383188]","[0.366863,-0.639973]","[0.749098,-2.3108]","[502127,464548]","[43147.4,12772.5]","[0,0]","[3.56076,5.28667]","[0.526934,0.523193]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[102.592]",3922.04,"[7154.67,5546.83,2989.3,3045.07]","[]","[5983.75,26301.8]","[]"
7638,284500,1185085,364197,1.12053,1.19732,4.05748e+06,1.22586,0.97921,1,1,1,0.949889,1.00192,1,1,0,0,1,"[0]","[1]","[62209.9]","[-0.325579]","[-0.814191]","[65536.3]","[0.0394554]","[-1]","[11]","[1]","[0]","[2218.39]","[0.053248]","[8.01424]",82827.4,0.68358,2,"[772916,23223.9]","[-0.337239,-1.49308]","[2.78744,-2.01014]","[818241,54462.1]","[0.999548,0.958119]","[4,0]","[0,0]","[0.211203,-0.845406]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[802196,767141]","[-1.05526,-0.312376]","[-0.35954,2.78795]","[1.31027e+06,805192]","[218838,22618.6]","[0,0]","[1.3641,5.40753]","[0.647368,0.214677]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[118.584]",615.898,"[12496.5,1620.97]","[]","[6236.25,14441.1]","[]"
8034,284500,1178726,364197,1,1.19732,4.05748e+06,0.696077,1,1.00077,1,1,0.994301,0.999608,1,0,1,0,2,"[0,0]","[1,0]","[50320.1,16246.6]","[1.31927,-0.736672]","[-0.139814,-2.64287]","[100842,20858]","[-0.0249481,-0.00341034]","[1,-1]","[13,11]","[1,0]","[0,16563.8]","[-602.826,3944.41]","[-0.0186407,-0.00113188]","[2.1573,0.0878994]",311773,0.0504238,4,"[647117,325729,32811.5,21686.6]","[-0.931474,0.674324,0.417627,0.352909]","[3.08996,-0.279734,-2.71289,-2.09481]","[949910,403329,36301.5,23567.4]","[0.990515,0.991202,0.803761,0.853218]","[0,0,0,0]","[0,0,0,0]","[-0.531771,-0.967156,-0.885425,-0.814281]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[641875,336060]","[-0.971851,0.633279]","[3.11702,-0.285007]","[975415,406144]","[106155,18341.5]","[0,0]","[3.58341,3.32945]","[0.683211,0.462924]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[412.266,231.507]",12442.4,"[9575.83,4123.98,5051.34,1776.35]","[]","[30676.2,2394.5]","[]"
9043,284500,2544045,364197,1,1.19732,4.05748e+06,1.32095,0.96052,1,1,1,0.920415,1,1,1,0,0,1,"[0]","[1]","[53792.2]","[1.98553]","[-2.28798]","[199574]","[0.498623]","[1]","[11]","[0]","[0]","[857.477]","[-0.187412]","[8.21755]",70808.4,-1.79019,7,"[649188,606780,451799,405915,78345.5,32837.3,20072.3]","[1.85641,-0.452738,0.282368,0.559437,1.58657,0.0751272,0.180714]","[2.50258,-0.630966,2.50823,-0.216429,-1.40021,-0.158166,-0.625949]","[2.12903e+06,670540,470838,478871,200008,33191.9,20679.4]","[0.987082,1,0.990195,0.994493,0.963582,0.988417,0.973859]","[0,0,0,4,0,4,0]","[0,0,0,0,0,0,0]","[-0.958906,-0.748479,-0.778668,-0.842456,-0.750232,-0.363435,-0.889606]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",4,"[688404,620523,470657,319904]","[-0.337379,1.85712,0.291974,0.649422]","[-0.570859,2.49853,2.50756,-0.195674]","[757817,2.03627e+06,491650,392860]","[210637,46497.3,27829.2,49199.1]","[0,0,0,0]","[0.917889,1.57314,2.99369,1.42865]","[0.617067,0.799711,0.684979,0.665953]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[208.896]",655.273,"[17945,7241.42,15814.3,6696.17,6212.51,4256.85,1116]","[]","[33668.7,4529.12,42476,15016.2]","[]"
9546,284500,2005348,364197,1,1.19732,4.05748e+06,0.923924,1,0.997821,1,1,0.993514,0.968027,1,0,1,0,1,"[0]","[1]","[72303.4]","[2.24435]","[1.6522]","[344898]","[-0.0670204]","[-1]","[13]","[1]","[0]","[-698.604]","[0.0286071]","[3.10968]",293947,2.03473,4,"[633047,312139,100132,30234.5]","[0.00504808,-1.4017,1.56659,1.80596]","[-1.84553,0.622931,1.29725,-0.235774]","[634833,673577,250569,94730.8]","[0.994883,0.989474,0.99807,0.999389]","[0,0,0,0]","[0,0,0,0]","[-0.865822,-0.807551,-0.911306,-0.747986]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[607868,279240]","[-0.0240358,-1.41019]","[-1.8488,0.603692]","[608653,606746]","[27241.5,28724.5]","[0,0]","[3.57209,1.85337]","[0.550663,0.574775]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2042.26]",14745.9,"[26416.2,9201.7,4167.93,4858.17]","[]","[60176.8,5642.25]","[]"
9971,284500,2536295,364197,1,1.19732,4.05748e+06,1.26205,0.96257,1,1,1,0.965637,0.99379,1,1,0,0,1,"[0]","[1]","[42631]","[-1.53196]","[-2.76125]","[103238]","[0.0213394]","[-1]","[11]","[1]","[0]","[1372.18]","[-0.0268226]","[1.26643]",58888.4,1.51234,5,"[380694,375729,144591,47508.4,29135.3]","[-1.51635,0.0741045,-1.32784,-0.555761,-1.78487]","[-0.916801,2.6843,0.383893,1.19885,0.273792]","[909546,377609,292779,55482.2,89461.3]","[0.995005,1,0.990375,0.981977,0.976792]","[0,0,0,4,0]","[0,0,0,0,0]","[-0.838277,-0.888196,-0.824265,-0.730809,0.334189]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[372303,369577]","[0.0465163,-1.51971]","[2.68658,-0.918575]","[373117,885369]","[17516.6,22910.1]","[0,0]","[3.17813,2.30219]","[0.270647,0.709314]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[199.752]",1001.54,"[5886.38,4495.13,3458.87,1481.96,1809.76]","[]","[5818.47,5755.12]","[]"
13884,284500,3929257,364197,1,1.19732,4.05748e+06,1.26459,0.93241,1,1,1,0.965465,0.94166,1,1,0,0,1,"[0]","[1]","[32316.6]","[1.22901]","[-3.05968]","[59954.2]","[0.0368271]","[-1]","[11]","[1]","[0]","[-705.188]","[0.0156104]","[1.35356]",218553,2.40895,6,"[871247,443253,165520,113468,45159.7,31370.3]","[-1.22726,0.139519,1.03052,2.16804,-1.35077,-1.42077]","[-0.505152,2.56037,2.54108,-2.96814,-1.07334,-0.0753451]","[1.61738e+06,451899,261804,502613,93115.5,68931.3]","[0.998889,0.998411,1,0.99736,0.688151,0.998297]","[0,0,0,0,0,4]","[0,0,0,0,0,0]","[-0.834902,-0.879945,-0.662512,-0.802101,-0.476552,-0.626017]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[836536,561014]","[-1.22433,0.419763]","[-0.495598,2.55105]","[1.5505e+06,659184]","[119952,246974]","[0,0]","[2.08543,0.918562]","[0.67376,0.693243]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[98.6276]",38147.5,"[55755.4,9327.89,2536.36,3815.09,5980.89,1250.95]","[]","[58258.2,38887.8]","[]"
