event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
134,284500,300903,364195,1,9.49085,2.83034e+06,1.25133,0.97921,1,1,1,0.977696,1.00192,1,1,0,0,1,"[0]","[1]","[63951.7]","[-0.423326]","[2.47465]","[69768]","[-0.00253296]","[-1]","[11]","[1]","[0]","[2306.06]","[-0.0277408]","[2.11645]",304634,2.51447,2,"[332756,36660.8]","[-0.198139,0.0532869]","[-0.668593,-0.258277]","[345818,37231.3]","[0.992141,1]","[5,0]","[0,0]","[0.972326,-0.902586]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[361201]","[-0.125992]","[-0.642292]","[376660]","[96563.8]","[0]","[1.47006]","[0.736897]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[161.709]",979.969,"[3929.53,2291.66]","[]","[18691.7]","[]"
631,284500,363609,364195,1,9.49085,2.83034e+06,0.696077,0.97663,1,1,1,0.998996,1.00121,1,1,0,0,1,"[0]","[1]","[134373]","[-1.82102]","[2.83695]","[425964]","[0.0244522]","[1]","[11]","[1]","[4025.75]","[1430.25]","[-0.0643581]","[3.89206]",272880,2.82229,1,"[426975]","[-0.328676]","[-0.297203]","[450737]","[1]","[0]","[0]","[-0.961857]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[422576]","[-0.353818]","[-0.294344]","[450216]","[28638.4]","[0]","[2.86188]","[0.588333]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[800.07]",2855.47,"[7876.71]","[]","[8703.44]","[]"
739,284500,350904,364195,1,9.49085,2.83034e+06,0.351687,1,0.990933,1,1,1.04804,0.844503,1,0,1,0,1,"[0]","[1]","[292211]","[-0.86771]","[-1.91363]","[409295]","[-0.0557404]","[-1]","[13]","[1]","[0]","[-130.289]","[-0.00511529]","[1.02635]",81224,-2.06859,3,"[364690,39432.5,24310.9]","[-1.02738,-2.05949,-1.28061]","[1.37334,-0.0563648,-0.220714]","[576172,157228,47501.4]","[1,0.995341,0.988923]","[0,5,0]","[0,0,0]","[-0.667981,0.998199,-0.309134]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[341424]","[-1.05898]","[1.37284]","[552914]","[40353.8]","[0]","[1.39505]","[0.640348]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[18641.1]",10010.6,"[8774.19,5758.35,2298.52]","[]","[25801.7]","[]"
989,284500,620380,364195,1,9.49085,2.83034e+06,1.26459,0.94769,1,1,1,0.999693,0.95625,1,1,0,0,1,"[0]","[1]","[62459.9]","[-2.41049]","[-2.04153]","[350688]","[-0.428083]","[-1]","[11]","[1]","[0]","[-1184.14]","[0.0394252]","[3.17814]",244376,-2.40644,1,"[304499]","[-0.0259321]","[0.810678]","[306418]","[1]","[0]","[0]","[-0.919005]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[313365]","[-0.0338181]","[0.816004]","[315357]","[33768.1]","[0]","[1.83142]","[0.813586]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[878.529]",4057.61,"[5162.66]","[]","[14573.8]","[]"
990,284500,619807,364195,1.02673,9.49085,2.83034e+06,1.26459,1,0.997938,1,1,0.997946,0.979445,1,0,1,0,1,"[0]","[1]","[148524]","[-1.41139]","[-2.70426]","[322703]","[0.0323067]","[-1]","[13]","[1]","[0]","[-747.558]","[-0.0125774]","[2.22368]",125136,-2.88188,4,"[272588,55511.3,32659.1,21738.6]","[-0.949996,-0.779561,0.361181,-0.623745]","[0.363287,-2.55002,0.468816,0.68729]","[405611,73812.2,35720.3,26267.6]","[0.999688,0.981408,0.992439,0.99]","[0,0,0,0]","[0,0,0,0]","[-0.128992,-0.926778,-0.403856,-0.848502]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[280740]","[-0.938383]","[0.369732]","[413956]","[14950.6]","[0]","[1.43486]","[0.453472]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5201.05]",12682.5,"[4508.63,4823.63,4291.77,1628.9]","[]","[9316.66]","[]"
1137,284500,629043,364195,1.5193,9.49085,2.83034e+06,1.25133,0.97996,1,1,1,0.998815,1.01265,1,1,0,0,1,"[0]","[1]","[208230]","[1.70464]","[0.0637228]","[591504]","[0.00112915]","[1]","[11]","[1]","[0]","[1674.64]","[-0.0300197]","[2.6653]",180836,0.150557,2,"[271783,116718]","[0.408835,-1.86068]","[-3.07647,-2.82755]","[296222,384444]","[0.998532,0.996053]","[0,0]","[0,0]","[-0.31642,-0.021978]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[265287]","[0.419424]","[-3.06883]","[290347]","[28285.7]","[0]","[1.88496]","[0.737314]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3672.58]",8303.42,"[7387.25,3110.81]","[]","[1719.22]","[]"
1153,284500,627249,364195,1,9.49085,2.83034e+06,0.923924,0.97199,1,1,1,0.979248,0.99121,1,1,0,0,1,"[0]","[1]","[42512.9]","[0.507032]","[-2.58853]","[48095.6]","[-0.11451]","[-1]","[11]","[1]","[0]","[508.784]","[0.0379399]","[5.30283]",48052.7,-2.04617,2,"[248514,152227]","[-0.229956,1.71605]","[0.356393,-2.93341]","[255847,437265]","[0.994659,0.996339]","[5,0]","[0,0]","[0.969933,-0.949367]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[288036]","[-0.231515]","[0.382862]","[297394]","[30842.8]","[0]","[2.76671]","[0.545172]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[62.2436]",15525.5,"[6543.43,5238.31]","[]","[86.3438]","[]"
1410,284500,2468704,364195,1,9.49085,2.83034e+06,1.22586,1,0.984493,1,1,0.852756,0.987081,1,0,1,0,1,"[0]","[1]","[52115.8]","[1.60335]","[1.03514]","[134742]","[0.180238]","[-1]","[13]","[1]","[0]","[167.549]","[-0.323978]","[44.4161]",267094,1.03883,5,"[250525,46737.2,37135.3,28092.2,28053.7]","[1.65029,1.25445,1.19399,0.326015,1.7003]","[-2.26825,-1.94515,-1.17626,0.469336,-2.78681]","[676737,89001.3,67372.4,29931.6,79411.7]","[0.999485,0.977194,1,0.925859,0.979133]","[0,5,0,0,5]","[0,0,0,0,0]","[-0.904113,-0.922296,-0.559207,-0.873827,0.458528]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[317835]","[1.63758]","[-2.27796]","[850314]","[60371.6]","[0]","[2.37861]","[0.6487]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[302.36]",3368.19,"[6473.14,2455.95,2960.59,1773.27,1512.45]","[]","[3966.47]","[]"
1591,284500,2771778,364195,-1.26318,9.49085,2.83034e+06,1.08735,0.97949,1,1,1,0.882306,0.99672,1,1,0,0,1,"[0]","[1]","[78423.7]","[1.14508]","[-0.962426]","[135708]","[-0.0162601]","[-1]","[11]","[1]","[0]","[-452.062]","[0.0220487]","[1.98394]",235350,-0.870591,3,"[230616,52907.8,32623.9]","[0.33576,0.0297906,-0.515773]","[2.09063,2.53819,2.58922]","[245725,53483.7,37280.4]","[0.990579,0.998949,0.98]","[4,0,5]","[0,0,0]","[0.2095,-0.898863,0.768496]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[295391]","[0.212695]","[2.19272]","[319440]","[103820]","[0]","[1.61524]","[0.672382]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[685.604]",1659.52,"[7776.16,1969.96,5531.03]","[]","[15194.9]","[]"
1953,284500,113158,364195,1,9.49085,2.83034e+06,1.22586,1,0.995272,1,1,0.999672,0.881991,1,0,1,0,1,"[0]","[1]","[47707.3]","[0.135382]","[-0.91628]","[48145.3]","[0.00406647]","[1]","[13]","[1]","[0]","[1385.64]","[0.0314157]","[5.24525]",268177,-0.696654,1,"[309129]","[0.859687]","[2.42143]","[433728]","[0.999894]","[0]","[0]","[-0.88721]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[284906]","[0.889167]","[2.43655]","[407019]","[38958]","[0]","[1.45674]","[0.753044]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[372.797]",845.344,"[3823.91]","[]","[19792.2]","[]"
