event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
19,284500,8444,364194,1,22.2684,2.7723e+06,1.08735,1,0.980129,1,1,0.99862,1.0045,1,0,1,0,1,"[0]","[1]","[86330.1]","[1.2696]","[1.69684]","[165770]","[0.250793]","[-1]","[13]","[1]","[0]","[161.264]","[-0.0680744]","[10.837]",66483,2.1153,2,"[259125,169917]","[0.411224,-1.76974]","[-0.843173,2.4772]","[281915,513168]","[0.993235,0.610543]","[0,0]","[0,0]","[-0.967235,-0.926817]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[250578]","[0.411364]","[-0.840326]","[272332]","[11691.5]","[0]","[4.02483]","[0.578739]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1290.74]",10607.5,"[4014.41,12046.9]","[]","[6651.64]","[]"
276,284500,131577,364194,-1,22.2684,2.7723e+06,1.1961,1,0.993658,1,1,0.956869,0.856385,1,0,1,0,1,"[0]","[1]","[30786.1]","[0.108659]","[2.11997]","[30968.2]","[-0.124069]","[1]","[13]","[1]","[0]","[2730.6]","[0.024034]","[3.43867]",184430,2.30057,1,"[268505]","[0.0633653]","[-0.819932]","[272323]","[0.998016]","[4]","[0]","[0.745309]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[262393]","[0.0632876]","[-0.808452]","[267077]","[46948.1]","[0]","[1.74315]","[0.689713]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[49.9782]",10406.8,"[10964.8]","[]","[6961.48]","[]"
378,284500,11235,364194,1,22.2684,2.7723e+06,0.934886,0.97996,1,1,1,0.999348,1.01265,1,1,0,0,1,"[0]","[1]","[174021]","[1.59984]","[-2.06828]","[448466]","[0.0327835]","[-1]","[11]","[1]","[0]","[-1189.19]","[0.0208676]","[1.48524]",122645,-1.98101,1,"[307941]","[1.79955]","[1.1983]","[956705]","[0.99944]","[0]","[0]","[-0.746074]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[323956]","[1.81532]","[1.19775]","[1.02155e+06]","[17178.8]","[0]","[3.12874]","[0.591076]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2503.02]",1156.59,"[5066.92]","[]","[12917]","[]"
400,284500,12475,364194,1,22.2684,2.7723e+06,0.75088,0.96217,1,1,1,1.48956,0.97553,1,1,0,0,1,"[0]","[1]","[49598.8]","[0.0108407]","[1.90747]","[49601.8]","[0.0824089]","[1]","[11]","[1]","[0]","[-89.8625]","[-0.0113034]","[1.13542]",261399,2.39384,1,"[304868]","[0.121833]","[-0.787031]","[307651]","[0.998419]","[4]","[0]","[0.947891]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[297468]","[0.145249]","[-0.783688]","[300854]","[12098.8]","[0]","[3.41602]","[0.486561]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[38.719]",3342.25,"[4375.42]","[]","[18532]","[]"
431,284500,13472,364194,1,22.2684,2.7723e+06,1.21412,1,0.992069,1,1,0.958801,0.824273,1,0,1,0,1,"[0]","[1]","[75473.4]","[0.311468]","[-1.14102]","[79164.1]","[0.00286102]","[1]","[13]","[1]","[0]","[-219.182]","[0.0202567]","[2.87253]",373157,-1.24453,2,"[381573,45969]","[-0.701669,1.71865]","[1.87081,2.42781]","[479875,132414]","[1,0.988112]","[4,0]","[0,0]","[-0.775708,-0.88548]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[415824]","[-0.682182]","[1.87118]","[516772]","[19804.1]","[0]","[1.39357]","[0.342969]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1968.5]",17192.8,"[5057.51,2433.7]","[]","[27525.3]","[]"
485,284500,39549,364194,1,22.2684,2.7723e+06,0.553627,1,0.995437,1,1,0.997492,0.946696,1,0,1,0,1,"[0]","[1]","[102586]","[-0.436852]","[-0.532306]","[112531]","[-0.025322]","[-1]","[13]","[1]","[1059.17]","[-1699.88]","[-0.024942]","[5.19877]",153697,-0.535545,4,"[312878,86820.9,29598.3,27030.1]","[-0.975102,0.138045,-0.459456,0.4855]","[2.78175,-0.317548,2.29951,1.23012]","[474098,89135.9,33420.1,31245.3]","[0.994368,0.969849,0.998546,0.864718]","[0,0,0,0]","[0,0,0,0]","[-0.803037,-0.937748,-0.759181,-0.868002]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[323653]","[-0.953897]","[2.78389]","[482699]","[16668.8]","[0]","[4.43751]","[0.563936]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3127.85]",15219.3,"[9591.69,2545.41,5419.26,1951.28]","[]","[9933.03]","[]"
497,284500,37935,364194,1,22.2684,2.7723e+06,0,1,0.99938,1,1,0.959915,0.993092,1,0,1,0,1,"[0]","[1]","[96342.8]","[1.33993]","[-2.54114]","[196571]","[0.00657654]","[1]","[13]","[1]","[0]","[-803.379]","[0.0403106]","[7.39146]",212699,-2.30694,2,"[261239,38021]","[0.934539,1.16127]","[0.803054,0.338414]","[385363,66935.3]","[0.998876,0.994881]","[4,0]","[0,0]","[-0.464221,-0.836043]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[285393]","[0.925675]","[0.762001]","[419364]","[47630.9]","[0]","[1.77378]","[0.640156]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[583.723]",13515.9,"[7172.46,2559.09]","[]","[12002.8]","[]"
548,284500,34079,364194,1,22.2684,2.7723e+06,1.26459,0.95613,1,1,1,0.956369,0.99107,1,1,0,0,1,"[0]","[1]","[42508.5]","[-1.80811]","[2.27899]","[133113]","[0.0743866]","[-1]","[11]","[1]","[0]","[-105.012]","[-0.00810584]","[0.620243]",283327,2.50728,1,"[325336]","[-0.522346]","[-0.664076]","[371558]","[0.999738]","[4]","[0]","[0.538803]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[346340]","[-0.564327]","[-0.665863]","[403649]","[23432.8]","[0]","[1.99151]","[0.657634]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[143.109]",263.125,"[2898.55]","[]","[12548.6]","[]"
553,284500,34754,364194,1,22.2684,2.7723e+06,1.26205,0.96972,1,1,1,0.999672,0.99544,1,1,0,0,1,"[0]","[1]","[156270]","[1.17335]","[1.36576]","[276764]","[0.141022]","[1]","[11]","[1]","[0]","[313.997]","[-0.0214404]","[2.31634]",139993,1.21957,1,"[271305]","[0.713788]","[-1.80422]","[343665]","[0.923478]","[0]","[0]","[-0.82276]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[265635]","[0.699833]","[-1.79452]","[333383]","[0]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2013.03]",2873.33,"[6410.46]","[]","[0]","[]"
587,284500,39529,364194,1,22.2684,2.7723e+06,0.553627,0.97446,1,1,1,0.957679,0.98483,1,1,0,0,1,"[0]","[1]","[52547.1]","[-0.592343]","[1.47237]","[62038.4]","[-0.102676]","[-1]","[11]","[1]","[0]","[-808.192]","[0.00181273]","[0.144972]",283846,1.71715,4,"[287438,45578.4,38301.9,22969.6]","[-1.11679,-0.552437,-0.781799,1.33804]","[-1.77357,-0.911377,-0.234367,0.0566777]","[486467,53802.2,50917.1,46923.1]","[0.991535,0.972415,0.988103,0.991228]","[4,0,0,0]","[0,0,0,0]","[-0.880959,-0.784606,-0.942459,-0.796373]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[294419]","[-1.09038]","[-1.77159]","[487635]","[12144.3]","[0]","[3.14616]","[0.634888]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[293.77]",10647.2,"[12574.2,2088.42,2286.49,1652.01]","[]","[25524.2]","[]"
