event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
263,284500,348824,364193,1,38.3401,4.32285e+06,0.923924,1,0.995185,1,1,0.999516,0.937783,1,0,1,0,1,"[0]","[1]","[62361.9]","[-0.423734]","[-0.156059]","[68044.8]","[-0.147345]","[1]","[13]","[1]","[0]","[-331.154]","[0.0414994]","[6.16078]",264287,0.0759995,1,"[324998]","[-1.43367]","[-3.10328]","[720806]","[0.997446]","[0]","[0]","[-0.901274]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[297738]","[-1.43298]","[-3.09557]","[659699]","[17897.6]","[0]","[2.35147]","[0.616553]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1004.06]",2192.06,"[5285.71]","[]","[20017]","[]"
1050,284500,385406,364193,-1,38.3401,4.32285e+06,1.21412,1,1.00053,1,1,0.999692,0.981321,1,0,1,0,1,"[0]","[1]","[65555.6]","[0.49592]","[-2.47651]","[73783.5]","[-0.142563]","[1]","[13]","[1]","[0]","[40.6571]","[-0.156954]","[24.8508]",235820,-2.11427,1,"[303026]","[0.133304]","[0.951565]","[306239]","[0.999975]","[0]","[0]","[-0.930481]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[307059]","[0.179925]","[0.952326]","[312571]","[18175.9]","[0]","[2.5324]","[0.445024]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[762.624]",1617.02,"[3532.09]","[]","[4018.16]","[]"
2915,284500,711279,364193,-1,38.3401,4.32285e+06,1.21412,1,0.995833,1,1,0.998659,0.967734,1,0,1,0,1,"[0]","[1]","[109923]","[0.566853]","[-2.37402]","[128062]","[-0.245167]","[1]","[13]","[1]","[0]","[66.5996]","[-0.0243034]","[4.35505]",217271,-2.41154,2,"[304716,21828.6]","[1.6996,1.18457]","[0.712248,-0.0663991]","[861714,39351.4]","[1,0.746111]","[0,0]","[0,0]","[-0.798888,-0.847641]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[305062]","[1.71161]","[0.712641]","[872353]","[14000.7]","[0]","[4.46987]","[0.626942]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2943.66]",9998.39,"[4474.28,1598.58]","[]","[29991.3]","[]"
3928,284500,139662,364193,1.85097,38.3401,4.32285e+06,1.26459,1,0.998063,1,1,0.997561,0.804098,1,0,1,0,1,"[0]","[1]","[29242.7]","[-0.774459]","[1.59422]","[38459.7]","[0.0188866]","[-1]","[13]","[1]","[0]","[1745.85]","[0.00356199]","[0.322596]",207227,1.11393,4,"[205441,88668.2,58136,34759]","[-1.1242,0.332826,-0.136485,-0.676233]","[-2.24425,0.351182,-2.15502,-2.08835]","[349659,93789.6,60052.7,43594.5]","[1,0.990528,0.985259,0.971077]","[0,0,0,0]","[0,0,0,0]","[0.138341,-0.790852,-0.931969,-0.790255]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[265885]","[-1.01559]","[-2.23792]","[423570]","[83772.1]","[0]","[1.49298]","[0.637585]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[39.4237]",1867.58,"[5119.74,3156.51,3657.69,3787.46]","[]","[0]","[]"
3937,284500,239371,364193,1,38.3401,4.32285e+06,1.74563,0.96654,1,1,1,0.99908,0.99589,1,1,0,0,1,"[0]","[1]","[33561.4]","[-0.172019]","[2.2641]","[34059.2]","[-0.032196]","[-1]","[11]","[1]","[0]","[-83.6449]","[0.00628868]","[0.727713]",325168,2.25991,2,"[382030,39999.3]","[0.347874,-0.654315]","[-0.774546,-2.99248]","[406116,49203.2]","[1,0.992855]","[0,0]","[0,0]","[-0.952113,-0.897167]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[362180]","[0.30669]","[-0.777759]","[379848]","[19495.6]","[0]","[2.3312]","[0.621335]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[122.212]",900.25,"[4057.27,3320.26]","[]","[3002.66]","[]"
4362,284500,30969,364193,1,38.3401,4.32285e+06,1.22586,0.98458,1,1,1,0.998845,1.00582,1,1,0,0,1,"[0]","[1]","[99720.3]","[-0.480326]","[0.987365]","[111447]","[-0.0228043]","[1]","[11]","[1]","[0]","[-27.6049]","[0.0158143]","[2.37323]",258073,1.14391,2,"[340692,20651.9]","[-0.9558,-1.0555]","[-2.09862,-1.08548]","[508929,33505.5]","[0.988538,0.962101]","[0,0]","[0,0]","[-0.751026,-0.913881]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[358104]","[-0.995186]","[-2.09869]","[550740]","[13913.9]","[0]","[3.49228]","[0.530016]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[284.792]",4070.31,"[7266.68,3141.15]","[]","[50201.9]","[]"
4635,284500,200998,364193,1.822,38.3401,4.32285e+06,0.738662,0.97429,1,1,1,0.997952,0.98653,1,1,0,0,1,"[0]","[1]","[52639.2]","[0.232163]","[2.23122]","[54064.2]","[0.0873995]","[-1]","[11]","[1]","[0]","[-95.0562]","[0.0476881]","[5.66714]",234878,2.3057,2,"[270046,29315.1]","[-0.480842,1.73351]","[-0.928145,0.200711]","[302479,85751.9]","[0.954425,0.95151]","[0,0]","[0,0]","[-0.871951,-0.859478]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[281099]","[-0.479406]","[-0.927619]","[314375]","[14830.3]","[0]","[1.07056]","[0.597071]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[351.486]",3090.23,"[5198.44,3051.38]","[]","[908.844]","[]"
5277,284500,203801,364193,1,38.3401,4.32285e+06,1.24168,0.96972,1,1,1,0.999697,0.99544,1,1,0,0,1,"[0]","[1]","[261313]","[1.15888]","[2.13997]","[457326]","[-0.0576286]","[-1]","[11]","[1]","[0]","[400.932]","[0.0644972]","[5.10675]",41897.6,2.83594,1,"[292656]","[-0.34565]","[-0.920296]","[311069]","[0.996617]","[0]","[0]","[-0.846677]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[288406,282800]","[1.16585,-0.350946]","[2.13446,-0.923605]","[507638,300973]","[0.00552427,18660.8]","[0,0]","[0,1.97839]","[-1,0.46281]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2799.02]",363.738,"[3284.9]","[]","[23978.2,1034]","[]"
5332,284500,923271,364193,-1,38.3401,4.32285e+06,1.08735,0.98428,1,1,1,0.997748,1.00121,1,1,0,0,1,"[0]","[1]","[189334]","[-1.87377]","[-1.08925]","[631080]","[0.0713425]","[1]","[11]","[1]","[1046.49]","[1982.36]","[-0.0273522]","[2.85425]",117516,-1.35841,3,"[305999,38862.2,30759.2]","[-1.01725,0.702523,-1.78354]","[1.94419,-0.810316,2.11919]","[478809,49333.4,94330.5]","[1,0.984782,0.998132]","[0,0,0]","[0,0,0]","[-0.704251,-0.935286,-0.670426]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[317095]","[-1.02029]","[1.94073]","[497183]","[14712.5]","[0]","[2.0294]","[0.620335]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1340.28]",6362.05,"[3867.06,2170.1,4260.46]","[]","[2275.78]","[]"
5616,284500,442947,364193,1,38.3401,4.32285e+06,0.00133961,0.97245,1,1,1,0.998548,0.99544,1,1,0,0,1,"[0]","[1]","[113680]","[1.21952]","[1.40288]","[209225]","[0.0923004]","[-1]","[11]","[1]","[0]","[235.106]","[0.0618214]","[6.3537]",327726,1.14047,3,"[313186,82801,39432]","[1.34927,-0.159775,0.853482]","[-1.94471,-2.18953,-1.55103]","[644715,84162.1,54918]","[0.976147,0.99,0.99]","[0,0,0]","[0,0,0]","[-0.867282,-0.901949,-0.913404]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[340574]","[1.32546]","[-1.96957]","[694753]","[108766]","[0]","[2.53374]","[0.442466]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[837.764]",9468,"[10794.6,3667.87,3636.26]","[]","[33041]","[]"
