event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
1997,284500,286959,364196,1,14.6034,5.98304e+06,1.22586,1,0.996588,1,1,0.995537,0.974376,1,0,1,0,1,"[0]","[1]","[133262]","[-0.297455]","[-2.28493]","[139201]","[0.0824089]","[-1]","[13]","[1]","[0]","[-318.967]","[-0.126703]","[17.4259]",542325,-2.32015,1,"[674051]","[-0.60356]","[0.820796]","[801039]","[0.993082]","[0]","[0]","[-0.851448]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[710986]","[-0.588396]","[0.822278]","[837830]","[17234.4]","[0]","[3.00762]","[0.589874]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[12342.9]",12305.5,"[14816.8]","[]","[36377.4]","[]"
2172,284500,290626,364196,1.2439,14.6034,5.98304e+06,1.74563,0.97135,1,1,1,0.997538,1.0044,1,1,0,0,1,"[0]","[1]","[64775.5]","[1.91293]","[-1.35306]","[224140]","[0.109737]","[-1]","[11]","[1]","[1205.17]","[2050.64]","[-0.0394337]","[2.22017]",162973,-1.37654,4,"[308249,289236,115363,22311.4]","[1.25112,1.54802,1.53606,-1.0377]","[-3.01237,0.938793,0.179209,-2.41735]","[582893,711656,281635,35692.3]","[0.55037,0.99216,0.993676,0.998661]","[0,0,0,0]","[0,0,0,0]","[-0.595857,-0.784655,-0.898521,-0.340517]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[359644,317730]","[1.59071,1.25631]","[0.751543,-3.01577]","[929758,603700]","[140529,23766.9]","[0,0]","[1.41401,4.1229]","[0.792369,0.621814]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[375.43]",891.25,"[8648.88,4534.58,8728.69,4231.68]","[]","[5710.53,16303.6]","[]"
3638,284500,813669,364196,1,14.6034,5.98304e+06,0,1,0.989701,1,1,0.997413,1.00538,1,0,1,0,1,"[0]","[1]","[26171.2]","[-1.62902]","[2.55018]","[69288.2]","[0.0534744]","[1]","[13]","[1]","[0]","[-752.423]","[0.0257932]","[1.80711]",14938.8,1.06907,3,"[253250,240783,135663]","[-2.15055,-1.58327,0.891094]","[0.926515,-1.24433,-2.51124]","[1.10256e+06,611264,195060]","[0.994965,0.987583,0.995841]","[0,0,0]","[0,0,0]","[-0.914115,-0.39839,-0.887252]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[266350]","[-1.57905]","[-1.2454]","[673542]","[13633.8]","[0]","[5.12946]","[0.561483]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[89.3543]",3626.05,"[8307.49,7101.76,2733.82]","[]","[9637.8]","[]"
5312,284500,200683,364196,1,14.6034,5.98304e+06,0.75088,0.92407,1,1,1,0.961401,0.93264,1,1,0,0,1,"[0]","[1]","[29541.5]","[-1.16189]","[-0.0968615]","[51828.7]","[0.0101628]","[-1]","[11]","[1]","[0]","[365.881]","[0.0286573]","[1.78808]",65281,-0.130469,4,"[345601,84604.3,58351.8,26097.3]","[1.70236,-0.716993,0.456451,-1.05574]","[2.36079,-1.62388,-0.648349,-3.00894]","[980187,107765,64947.1,42226.1]","[0.997989,0.978721,0.998457,1]","[4,0,0,0]","[0,0,0,0]","[-0.813007,-0.851307,-0.799232,-0.725257]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[320114]","[1.70835]","[2.35631]","[912592]","[13919.8]","[0]","[2.56712]","[0.667257]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[324.769]",7996.52,"[4166.44,2567.36,10085.2,2232.18]","[]","[3827.41]","[]"
6313,284500,1491552,364196,1,14.6034,5.98304e+06,1.26205,1,0.995598,1,1,0.998706,0.988774,1,0,1,0,1,"[0]","[1]","[76449.4]","[-0.699803]","[0.365038]","[95945.5]","[-0.0631332]","[1]","[13]","[1]","[0]","[-518.749]","[-0.0110614]","[2.00428]",60062.6,0.734102,2,"[348559,247341]","[-0.885853,1.79207]","[-2.05163,1.3098]","[494696,763018]","[0.994463,0.991841]","[0,0]","[0,0]","[-0.633376,-0.818071]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[352282]","[-0.903117]","[-2.05348]","[506034]","[7353.89]","[0]","[3.21053]","[0.282054]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[559.649]",6748.83,"[13079.4,6940.3]","[]","[3497.62]","[]"
9756,284500,94470,364196,1.27102,14.6034,5.98304e+06,0.75088,1,0.9968,1,1,0.928559,0.96028,1,0,1,0,1,"[0]","[1]","[99275.1]","[-0.559954]","[1.42178]","[115250]","[0.00395203]","[1]","[13]","[1]","[0]","[-402.165]","[-0.0157132]","[3.11333]",181815,1.13309,5,"[352461,124039,115760,24221.6,21744.4]","[0.0552538,0.898588,0.460265,0.491255,0.995411]","[-0.638178,-3.06293,-2.8444,-0.137704,2.67136]","[354592,178733,128774,27877.6,33710.9]","[0.989437,0.991009,0.992482,0.99403,0.99007]","[0,4,4,0,0]","[0,0,0,0,0]","[-0.977881,0.648085,-0.817611,-0.796536,-0.395627]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[365600]","[0.0615437]","[-0.646894]","[369868]","[51299.8]","[0]","[2.81802]","[0.680676]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2394.21]",4486.3,"[4308.69,2544.69,4954.75,3981.51,2345.48]","[]","[704.375]","[]"
10116,284500,1602641,364196,1,14.6034,5.98304e+06,0.553627,0.9407,1,1,1,0.96924,0.99124,1,1,0,0,1,"[0]","[1]","[33965.6]","[1.56422]","[-0.909608]","[84713.9]","[0.245216]","[1]","[11]","[1]","[0]","[669.75]","[0.0305229]","[2.76129]",41635.5,-1.06765,5,"[294622,266284,43787.7,40749.8,29206.4]","[1.96732,-1.5023,1.66047,-0.550818,2.2267]","[-1.62119,1.55733,2.29447,2.04984,0.895975]","[1.07433e+06,628038,119562,47329.3,137028]","[1,0.998181,0.994597,0.99641,0.991634]","[0,0,0,4,0]","[0,0,0,0,0]","[-0.84281,-0.958688,-0.87615,0.686509,-0.756246]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[315047,292861]","[1.98238,-1.47131]","[-1.53349,1.5556]","[1.16988e+06,671576]","[103134,18543.6]","[0,0]","[1.61719,2.07715]","[0.525065,0.658272]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[143.966]",3891.75,"[5647.13,4384.82,3019.69,2143.34,2939.67]","[]","[1501.12,2166.34]","[]"
10880,284500,506411,364196,1,14.6034,5.98304e+06,1.26459,1,0.998301,1,1,0.996375,0.988807,1,0,1,0,1,"[0]","[1]","[38404.1]","[2.13674]","[-1.50892]","[164942]","[-0.0638876]","[1]","[13]","[1]","[0]","[375.451]","[0.0185055]","[1.65359]",145700,-1.9961,5,"[224119,158374,78830.6,73446.1,28938.4]","[1.88839,0.155896,0.968206,-0.605767,0.638476]","[1.45562,-0.454404,1.77666,-2.35734,-3.1389]","[757681,163696,119115,88194.2,35543.2]","[0.932222,0.997488,0.990209,0.997397,0.999253]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.897028,-0.954438,-0.90449,-0.24224,-0.870662]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[308161]","[1.73707]","[1.53746]","[914484]","[148172]","[0]","[0.758672]","[0.741074]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[966.898]",1040.95,"[8119.13,2015.69,7144.74,4456.19,3742.03]","[]","[22880.2]","[]"
15356,284500,1226742,364196,1.22837,14.6034,5.98304e+06,0.619412,1,0.985198,1,1,1.4884,1.01924,1,0,1,0,1,"[0]","[1]","[182293]","[-1.87045]","[0.885429]","[605691]","[-0.169743]","[1]","[13]","[1]","[0]","[-215.528]","[0.0668587]","[8.70681]",210726,0.835668,2,"[430946,21630.2]","[-1.32061,0.741536]","[-2.3671,2.17708]","[865308,28380.7]","[0.994922,0.962641]","[4,0]","[0,0]","[0.895463,-0.77356]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[426267]","[-1.32945]","[-2.36906]","[862257]","[27310.8]","[0]","[3.12522]","[0.672276]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1240.67]",6185.73,"[5895.83,1619.27]","[]","[23766]","[]"
15591,284500,2302433,364196,1,14.6034,5.98304e+06,0.596562,1,0.988795,1,1,0.956745,0.993086,1,0,1,0,1,"[0]","[1]","[88267.8]","[1.60941]","[-0.331795]","[229490]","[0.0860825]","[-1]","[13]","[1]","[0]","[-194.89]","[-9.10169e-05]","[0.0148822]",93142.3,0.162154,4,"[312293,201019,28583.8,27936.7]","[1.36641,-1.54725,-2.07885,1.05264]","[2.41444,-1.08547,-0.384852,2.76675]","[654998,494206,116227,45047.3]","[0.99,1,1,0.995445]","[0,4,0,0]","[0,0,0,0]","[-0.814573,0.815688,-0.765075,-0.924108]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[331283]","[1.32989]","[2.43216]","[674587]","[78162]","[0]","[1.30644]","[0.592803]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1657.69]",10592,"[7181.61,6396.3,5519.35,3283.87]","[]","[19491]","[]"
