event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
399,284500,53139,301324,1,3.1201,199000,0.506784,1,0.998312,1,1,0.999241,1.15755,1,0,1,0,1,"[1]","[1]","[172840]","[-0.914154]","[2.6292]","[250231]","[0.00252533]","[1]","[13]","[1]","[0]","[-630.285]","[0.00907643]","[1.94177]",8502.08,-1.99457,5,"[144483,131455,112067,111885,25763.9]","[-0.495344,-0.0675864,-0.559576,-0.0839354,-0.191793]","[2.03383,-1.27412,-0.852041,-0.228761,1.7078]","[163467,132382,130639,112763,26813]","[1,1,0.986435,0.993875,0.98]","[5,4,0,5,0]","[1,1,0,1,0]","[0.999048,-0.720893,-0.929591,0.979208,-0.892486]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[304313]","[-0.297104]","[-0.814407]","[362467]","[174237]","[1]","[1.08432]","[0.255799]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2028.46]",739.829,"[3760.33,2899.31,4829.9,4867.71,2366.26]","[]","[14928.6]","[]"
486,284500,91879,301324,1,3.1201,199000,1.74563,1,0.996824,1,1,0.943113,0.933939,1,0,1,0,1,"[1]","[1]","[73414.8]","[-0.258813]","[1.96312]","[75887.5]","[-0.049469]","[-1]","[13]","[1]","[0]","[-567.528]","[-0.0290963]","[3.62886]",242997,-2.15997,4,"[432591,232864,110823,61066.5]","[0.268866,1.33192,0.506734,1.01505]","[0.435938,-2.48093,2.57881,0.465714]","[448760,473635,125460,95896.4]","[0.997321,0.992912,0.983596,0.996802]","[0,15,5,0]","[0,1,1,0]","[-0.960149,-0.371984,0.499239,-0.667409]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[455180]","[0.224694]","[0.434061]","[467159]","[20269.2]","[0]","[2.93247]","[0.148841]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[810.645]",7264.73,"[7655.59,10156.6,2663.01,5541.43]","[]","[1251.28]","[]"
610,284500,32126,301324,1,3.1201,199000,1.1961,0.97663,1,1,1,0.89979,1.00121,1,1,0,0,1,"[1]","[1]","[91015.1]","[-1.90765]","[-2.82525]","[313349]","[0.219757]","[-1]","[11]","[1]","[8121.36]","[132.361]","[0.0410147]","[1.06761]",168183,-2.75776,4,"[175985,108520,64786.4,57153]","[-2.06714,-1.51335,-1.43024,0.507312]","[0.381162,0.552161,-2.89879,-0.965648]","[706512,258643,143290,65780.8]","[0.998303,1,1,0.998556]","[0,4,5,4]","[0,1,1,0]","[-0.94891,0.314459,0.271581,0.60888]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[282792]","[-1.92541]","[0.43874]","[993792]","[83145.9]","[1]","[0.741078]","[0.852763]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[438.176]",16156.8,"[8784.59,5285.77,4321.69,4867.43]","[]","[3105.81]","[]"
695,284500,116134,301324,1,3.1201,199000,1.1961,0.9823,1,1,1,0.97672,1.00632,1,1,0,0,1,"[0]","[1]","[122023]","[0.445464]","[-2.58085]","[134331]","[-0.00104713]","[-1]","[11]","[1]","[0]","[-1119.8]","[-0.0115867]","[1.28026]",70413.3,2.5283,4,"[240836,108889,35789.3,32180.7]","[1.38213,1.19683,1.72921,0.981307]","[-0.0670941,-2.96488,1.44818,0.280997]","[510229,197177,104079,49055.4]","[0.995129,0.996339,0.965123,1]","[5,5,0,4]","[1,1,0,1]","[0.924782,0.998617,-0.865423,-0.668215]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[289556]","[1.35354]","[-0.0271429]","[601158]","[62979.4]","[1]","[1.88832]","[0.76866]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[564.547]",6896.47,"[6170.38,6714.48,4145.78,1180.59]","[]","[26224.3]","[]"
718,284500,23788,301324,1,3.1201,199000,0.934886,0.9666,0.996796,1,1,0.98568,0.95498,1,1,1,0,2,"[1,1]","[1,1]","[148359,51840.9]","[-0.264763,-0.629253]","[1.01831,2.58694]","[153589,62447.5]","[-0.0614204,-0.0546875]","[1,-1]","[13,11]","[1,1]","[0,0]","[-846.368,1875.25]","[0.00861086,0.0817305]","[1.29056,3.87102]",12823.6,3.01472,5,"[231508,85362,70339.8,44425.2,38413.8]","[-0.237734,1.03049,-1.2322,1.33937,-1.06498]","[-2.41558,-0.913829,1.16106,0.529657,-0.661174]","[238284,135054,130991,90990.7,62651.7]","[0.986658,0.998836,0.999714,0.981438,0.988284]","[5,0,5,0,0]","[1,0,1,0,0]","[0.994442,-0.851637,0.95128,-0.902912,-0.893697]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[258323]","[-0.279891]","[-2.40206]","[270637]","[33884.8]","[1]","[4.8239]","[0.285203]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[10475.5,130.871]",591.397,"[2172.1,2728.07,2197.26,2811.08,2147.23]","[]","[6394.58]","[]"
739,284500,25437,301324,1,3.1201,199000,1.08735,0.97695,1,1,1,0.970519,0.98743,1,1,0,0,1,"[1]","[1]","[180285]","[-0.0511845]","[-1.82478]","[180521]","[0.0134583]","[-1]","[11]","[1]","[1779.25]","[2278.35]","[0.00231386]","[0.307811]",41238.6,-0.305755,4,"[170403,132605,112944,52226.9]","[0.611388,0.594891,-0.160682,0.2152]","[1.46792,-1.75074,1.72747,0.800889]","[203675,157129,114722,54638.5]","[0.998053,0.996206,0.98928,0.954894]","[5,5,4,0]","[1,1,1,0]","[0.953544,0.999996,-0.681708,-0.649328]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[318403,279897]","[0.212525,0.34682]","[-1.79509,1.5611]","[343206,313110]","[108452,99441.1]","[1,1]","[0.351312,0.473169]","[0.381996,0.686627]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1662.93]",387.555,"[1582.77,4722.45,2638.95,2206.79]","[]","[7371.72,7974.16]","[]"
1176,284500,96866,301324,1,3.1201,199000,0.596562,1,0.996615,1,1,0.906276,0.926666,1,0,1,0,1,"[0]","[1]","[31298.6]","[-0.174213]","[-0.881311]","[31774.9]","[0.0493813]","[1]","[13]","[1]","[0]","[-520.373]","[0.0070496]","[0.981536]",209692,-1.16438,4,"[166504,116903,62658.1,51972.1]","[0.589907,0.39004,0.317907,0.770047]","[1.48665,2.00872,-1.66043,2.95063]","[197046,126209,66463.5,68540.7]","[0.917105,0.985485,0.99,0.727383]","[5,0,5,0]","[1,0,1,0]","[0.975799,-0.931028,0.118771,-0.735166]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[266032]","[0.556761]","[1.70673]","[319740]","[84616.5]","[1]","[0.73126]","[0.760152]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[72.0232]",8532.25,"[4822.15,2180.13,4697.95,3085.22]","[]","[2439.66]","[]"
1201,284500,117103,301324,1,3.1201,199000,0.402058,1,0.99582,1,1,0.998064,0.855128,1,0,1,0,1,"[0]","[1]","[60399.3]","[-1.09359]","[0.500999]","[100263]","[0.0242615]","[1]","[13]","[1]","[0]","[-422.309]","[0.0172399]","[2.50773]",205016,0.86494,7,"[214659,159864,130750,108609,107505,70129,25062.3]","[-0.788235,1.36803,-1.3932,-1.63828,-1.20068,-1.61456,-1.25933]","[-2.32666,1.80211,-0.502126,-2.28568,-2.70235,-0.0359951,3.07684]","[285634,335074,279943,290690,195074,183344,47947.7]","[0.998729,0.999522,1,0.988641,0.997522,0.98736,0.92745]","[0,0,0,5,4,0,0]","[0,0,0,1,0,0,0]","[-0.803352,-0.791519,-0.873169,0.999995,-0.770651,-0.567912,-0.626562]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[339385]","[-1.1346]","[-2.4046]","[597340]","[133206]","[1]","[1.16516]","[0.320516]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[486.806]",37898.2,"[6535.98,10712.6,9507.84,8189.82,14912,3517.52,1836.62]","[]","[49855.3]","[]"
1234,284500,24313,301324,1,3.1201,199000,1.08735,1.01425,0.997835,1,1,0.928553,0.843175,1,0,1,0,2,"[1,0]","[1,0]","[26048.5,7190.76]","[-0.603673,0.37158]","[1.90317,3.11549]","[30940.8,7692.92]","[-0.0177689,95.3779]","[-1,-1]","[13,11]","[0,0]","[0,0]","[-808.548,795.909]","[-0.00985655,-0.116081]","[1.11366,5.97067]",262443,2.61455,2,"[141823,45683.1]","[0.47174,0.984839]","[-0.671967,2.63917]","[158719,70096.7]","[0.976551,0.972382]","[0,5]","[0,1]","[0.0924055,-0.96967]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[314836]","[0.266109]","[-0.596068]","[335561]","[79330.1]","[1]","[0.904483]","[0.632165]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[138.136,113.396]",3011.31,"[6354.31,1334.75]","[]","[4566]","[]"
1272,284500,64692,301324,1,3.1201,199000,0.402058,0.96853,1,1,1,0.957407,0.98869,1,1,0,0,1,"[1]","[1]","[65682.8]","[-1.95853]","[-2.34244]","[237442]","[-0.044838]","[1]","[11]","[1]","[0]","[440.71]","[-0.0108739]","[0.667019]",44262,-0.478355,7,"[188704,157010,149142,130983,74847.3,53350.7,33275.9]","[-0.362154,-0.196524,-0.913895,0.108326,-1.03923,2.02911,1.83194]","[0.545547,-2.84115,-2.72328,0.307177,0.648947,2.46646,-1.55829]","[201900,160490,216216,132035,119362,206528,106756]","[0.993187,0.99,0.980932,1,0.99338,0.999551,0.994696]","[4,0,5,5,0,0,0]","[1,0,1,1,0,0,0]","[-0.476206,-0.963768,0.999948,-0.616486,-0.964966,-0.364003,-0.892092]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[368649,283010]","[-0.356887,-0.617068]","[0.470978,-2.7837]","[424807,359028]","[162794,119314]","[1,1]","[1.38186,0.455789]","[0.224196,0.746481]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[237.749]",8630.79,"[3137.05,2441.54,9862.02,3309,3700.9,4779.99,2494.47]","[]","[14870.9,7036.22]","[]"
