event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,3565,364115,0.644652,219.996,2.83914e+06,1.21412,0.98697,1,1,1,0.996913,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[260572,251131]","[-0.258358,-0.315179]","[-1.0545,2.3126]","[269317,263708]","[-0.0166321,-0.0547142]","[-1,1]","[11,11]","[1,0]","[0,0]","[1656.18,-296.984]","[-0.00666139,0.0132165]","[0.528666,1.91551]",32804.3,-2.21075,3,"[43267.3,27395.1,24866.6]","[0.397166,2.42721,1.02152]","[0.607184,1.26106,1.15913]","[46968.8,156444,39374.5]","[0.998958,0.715586,0.919153]","[0,0,0]","[0,0,0]","[-0.945853,0.10748,-0.820952]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[271241,256763]","[-0.28629,-0.340448]","[-1.05189,2.31017]","[282449,271790]","[3023.9,1282.64]","[0,0]","[11.8157,0]","[0.149101,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1506.78,1287.69]",1893.11,"[2001.25,2345.55,1725.86]","[]","[7702.06,10737.1]","[]"
1,284500,668845,364115,1,219.996,2.83914e+06,1.32095,0.912294,1,1,1,0.955102,0.96697,1,1,0,0,2,"[1,1]","[1,1]","[43017.3,39075]","[-0.632249,-1.74004]","[0.0217938,-3.12168]","[51905.4,114746]","[0.0325851,0.00992966]","[-1,1]","[11,11]","[1,1]","[1523.95,0]","[458.893,169.384]","[0.0195153,-0.0312079]","[1.9406,1.88304]",93774,2.46841,2,"[330914,244389]","[0.785976,-0.376862]","[-0.447065,2.71115]","[438829,262312]","[0.99026,0.99]","[0,4]","[0,0]","[-0.93857,0.0788243]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[328588,256343]","[0.764703,-0.402886]","[-0.440233,2.67329]","[429604,279062]","[11996.3,30131.9]","[0,0]","[1.59117,1.66356]","[0.172691,0.529804]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[136.857,74.6106]",1868.61,"[4499.64,2053.98]","[]","[9339.5,12793.2]","[]"
2,284500,673860,364115,1,219.996,2.83914e+06,3.34815,0.940357,1,1,1,1,0.99544,1,1,0,0,2,"[1,1]","[1,1]","[252179,250885]","[1.28857,1.35594]","[0.566938,-2.54967]","[492161,519096]","[-0.0205574,0.0383606]","[-1,1]","[11,11]","[1,1]","[0,0]","[-936.754,3608.69]","[0.00509902,-0.00248766]","[0.768586,0.319922]",6393.78,0.178275,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[280879,266897]","[1.3527,1.28075]","[-2.54662,0.561632]","[579532,517403]","[5380.25,0]","[0,0]","[0,0]","[-1,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3109.13,3042.03]",12055.8,"[]","[]","[12006.4,14555.6]","[]"
3,284500,705252,364115,1,219.996,2.83914e+06,1.26459,0.97332,1,1,1,0.996236,0.98683,1,1,0,0,1,"[1]","[1]","[63718.2]","[-1.13734]","[-1.60064]","[109568]","[0.923851]","[1]","[11]","[1]","[13379.9]","[-872.794]","[0.020763]","[1.37039]",53626.6,2.07717,3,"[220171,185877,24241.7]","[-1.08744,-2.05447,-1.80855]","[0.309568,2.89479,-1.31247]","[364318,737279,76080.6]","[1,1,0.987469]","[0,0,0]","[0,0,0]","[-0.962283,-0.899559,0.582967]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[253000]","[-1.12451]","[0.405003]","[431954]","[34852.1]","[0]","[1.44472]","[0.695387]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[142.239]",6904.86,"[6202.33,4347.06,1782.77]","[]","[1763.95]","[]"
4,284500,724402,364115,-1,219.996,2.83914e+06,1.25133,1.00057,1,1,1,1,1.00936,1,1,0,0,2,"[1,1]","[1,1]","[439818,409979]","[0.0732562,-0.472746]","[1.90192,-1.21314]","[440999,456652]","[0.0194464,-0.0949469]","[-1,1]","[11,11]","[1,1]","[0,0]","[-913.497,264.199]","[-0.000885215,0.00275203]","[0.143629,0.463059]",17671.7,-1.79878,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[457772,420907]","[0.0820867,-0.470403]","[1.9044,-1.21624]","[459315,468343]","[0.00658727,1304.97]","[0,0]","[0,0]","[-1,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5729.66,2544.93]",0,"[]","[]","[13167,12419.1]","[]"
5,284500,763695,364115,0.0308079,219.996,2.83914e+06,1.08735,0.971455,1,1,1,0.974456,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[552310,535246]","[-0.446087,-1.97408]","[-0.130573,2.99083]","[608180,1.96405e+06]","[0.0280674,-0.0393872]","[-1,1]","[11,11]","[1,1]","[0,0]","[263.903,-120.179]","[-0.00481593,-0.00733769]","[0.53029,0.747679]",20311.4,-0.316567,1,"[38511.1]","[-0.385628]","[-3.13761]","[41540.2]","[0.942963]","[4]","[0]","[-0.764303]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[561695,565157]","[-0.448854,-1.97553]","[-0.132795,2.99088]","[619234,2.0767e+06]","[0.010335,0]","[0,0]","[0,0]","[-1,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3875.08,7381.37]",1310.31,"[1776.15]","[]","[6265.75,13787.7]","[]"
6,284500,1134456,364115,1,219.996,2.83914e+06,1.26205,0.979183,1,1,1,1,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[266642,265488]","[-0.131776,-0.777023]","[-0.712502,2.40673]","[268961,349748]","[-0.167515,-0.0120583]","[-1,1]","[11,11]","[1,1]","[0,0]","[904.293,1406.51]","[-0.036964,0.0174464]","[3.57978,2.02973]",23996.5,-1.67264,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[275646]","[-0.16293]","[-0.716213]","[279313]","[-0.00262947]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1384.51,3025.29]",18452.2,"[]","[]","[178.875]","[]"
7,284500,1201689,364115,1,219.996,2.83914e+06,0.738662,0.980311,1,1,1,1,0.99866,1,1,0,0,2,"[1,0]","[1,1]","[313247,302148]","[-1.07929,-2.38912]","[-2.90151,0.291128]","[514106,1.66115e+06]","[0.0406723,-0.167717]","[1,1]","[11,11]","[1,0]","[0,0]","[-2730.14,2285.98]","[-0.00920009,-0.0582022]","[1.06351,2.60987]",41586.7,-1.35802,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[328448]","[-1.06754]","[-2.90033]","[534068]","[912.618]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4682.67,4125.01]",3378.54,"[]","[]","[17935.6]","[]"
8,284500,1205826,364115,-1,219.996,2.83914e+06,1.22586,0.972512,1,1,1,1,1.00632,1,1,0,0,2,"[1,1]","[1,1]","[336075,331031]","[0.809611,0.594448]","[-2.92068,0.143422]","[452368,391262]","[0.045414,-0.0281563]","[1,-1]","[11,11]","[1,1]","[0,0]","[1134.09,10289.7]","[-0.00143057,-0.00307491]","[0.183109,0.445038]",36220.2,1.63314,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[359762,344762]","[0.579019,0.796033]","[0.149915,-2.91434]","[421827,459891]","[6663.35,2198.74]","[0,0]","[5.34711,0]","[0.0273013,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3180.21,1944]",0,"[]","[]","[2355,17082.1]","[]"
9,284500,2606302,364115,1,219.996,2.83914e+06,1.22586,0.993444,1,1,1,0.968281,1.00632,1,1,0,0,2,"[1,1]","[1,1]","[314211,295545]","[0.546049,0.0263459]","[2.08933,-0.83809]","[362231,295647]","[0.0397592,0.0318966]","[-1,1]","[11,11]","[1,1]","[0,0]","[-59.9585,-661.915]","[0.0303557,-0.00721174]","[1.82952,1.29748]",23058.2,-2.49067,1,"[45648.1]","[1.36624]","[-2.03687]","[95361]","[0.993356]","[4]","[0]","[-0.726918]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[327836,307401]","[0.553704,0.0336311]","[2.09416,-0.838695]","[379388,307575]","[0.00276214,0.00164229]","[0,0]","[0,0]","[-1,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1973.87,1582.72]",725.559,"[1484.92]","[]","[6155.94,13494.8]","[]"
