event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
2489,284500,4180,364127,1,0.145046,1.00431e+06,1.25133,0.92237,1,1,1,0.991836,0.96413,1,1,0,0,1,"[1]","[1]","[70198.3]","[2.33808]","[1.9504]","[367063]","[-0.091156]","[1]","[11]","[1]","[1469.09]","[617.908]","[-0.0418698]","[3.31612]",39959.4,1.25394,7,"[613160,309095,145587,96238.3,88849.1,86471.3,57080.8]","[0.49286,-0.622332,-1.74143,-2.26939,-1.20089,-2.44247,1.60419]","[-1.76948,1.7604,1.74451,0.403654,-0.508341,1.30197,-1.70253]","[689866,371749,428548,470722,161177,501151,147806]","[0.994788,1,0.992456,0.990582,0.999589,0.983679,0.974244]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[-0.902279,-0.882378,-0.712201,-0.708835,-0.903473,-0.833101,0.0537863]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[601280,320164]","[0.546296,-0.570723]","[-1.76516,1.76113]","[693649,374236]","[23319.5,19316.9]","[0,0]","[3.83459,1.62927]","[0.49889,0.705788]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[331.463]",420.461,"[8421.21,3449.37,5852.26,6147.42,3007.14,3386.27,3582.06]","[]","[38576.1,37045.2]","[]"
3339,284500,9360,364127,1,0.145046,1.00431e+06,1.26459,0.9823,1,1,1,0.900934,1.00632,1,1,0,0,1,"[1]","[1]","[81215]","[0.507363]","[-2.90605]","[91894.3]","[-0.0770721]","[-1]","[11]","[1]","[1725.49]","[144.853]","[-0.00581984]","[0.768336]",59894.2,-1.46541,6,"[520628,431573,187094,57530.5,47172,23503.6]","[1.07152,0.815359,0.240175,1.94092,-0.52135,-0.460866]","[-1.13612,1.50229,2.35771,1.99936,-1.48668,-2.66586]","[849645,587496,193903,204592,53934.2,26633]","[0.998937,0.983865,0.994516,0.986154,1,0.990291]","[0,5,0,4,4,4]","[0,0,0,0,0,0]","[-0.939118,0.9379,-0.918171,-0.928311,-0.1857,-0.848422]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[521338,394562]","[1.08041,0.825798]","[-1.1276,1.50369]","[856819,540825]","[27115.1,64899.4]","[0,0]","[2.68463,1.12387]","[0.189336,0.616402]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[203.571]",20047.4,"[6909.44,12861.4,3848.71,4316.58,1125.37,2187.23]","[]","[17295.3,1482.81]","[]"
3491,284500,5481,364127,1,0.145046,1.00431e+06,0.75088,0.958299,1,1,1,0.947115,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[360851,36670.1]","[-0.275174,-0.512966]","[-1.88233,-2.68329]","[374599,41601.4]","[0.0190659,-0.0497055]","[-1,1]","[11,11]","[1,1]","[0,0]","[3546.37,-1226.47]","[0.0362957,-0.00588241]","[5.63387,0.455863]",24750.3,-2.00143,6,"[769980,370056,168299,45376.2,24957,21282.2]","[0.343695,0.0321873,0.672349,-0.953443,1.29336,0.566086]","[1.26111,-2.38663,-0.345801,-1.60689,-0.931529,0.581006]","[819135,371041,208905,67851.4,49169.4,25294.1]","[0.99178,0.999807,0.997581,0.991343,1,0.983015]","[4,0,0,0,0,0]","[0,0,0,0,0,0]","[0.741181,-0.872094,-0.882911,-0.893353,-0.832411,-0.934325]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[763642,750798]","[-0.0868572,0.394854]","[-2.16209,1.26939]","[810153,813502]","[262276,74420.8]","[0,0]","[0.920085,2.1538]","[0.324679,0.650804]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2143.51,64.7021]",17950.2,"[22808.6,4621.11,3030.4,4267.61,4032.37,1951]","[]","[45249.4,3372]","[]"
3853,284500,811,364127,1,0.145046,1.00431e+06,0.738662,0.97166,1,1,1,1.03412,1.0005,1,1,0,0,1,"[1]","[1]","[82100.6]","[2.14416]","[-1.37485]","[355170]","[-0.0543594]","[1]","[11]","[1]","[0]","[-1253.64]","[0.00660338]","[0.65618]",52471.8,-1.46147,6,"[395278,278306,260093,67379.6,37344.3,30322.1]","[1.0968,0.138193,-0.325395,0.29075,-0.217049,0.676735]","[-0.827186,1.87284,2.19414,-2.22556,-1.43014,1.43561]","[660125,283172,275890,71453.5,38592.9,37906]","[0.995783,0.99,0.988564,0.99,0.94497,1]","[0,0,0,0,0,5]","[0,0,0,0,0,0]","[-0.837811,-0.789276,-0.753134,-0.878555,-0.852189,0.90065]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[535121,369949]","[-0.0713869,1.11684]","[2.03112,-0.829923]","[563014,627849]","[170790,52186.9]","[0,0]","[0.947273,0.778915]","[0.698594,0.481848]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[422.43]",9148.35,"[7060.09,3454.18,6223.78,1876.99,3366.91,1147.65]","[]","[12678.1,13313.3]","[]"
6674,284500,3105,364127,1,0.145046,1.00431e+06,1.25133,0.873721,1,1,1,1.03228,0.96343,1,1,0,0,2,"[1,1]","[1,1]","[38430.8,24428.8]","[0.86772,1.8886]","[2.04463,-0.523658]","[53829.7,82586.5]","[-0.0274639,0.0692234]","[-1,1]","[11,11]","[1,1]","[0,0]","[153.262,171.176]","[0.0132582,0.0106067]","[1.0732,0.352337]",76732.4,-1.59796,5,"[346811,281716,160068,126629,32626.7]","[-1.22321,-0.943571,1.23239,1.85012,1.93323]","[1.24239,-1.90066,-2.40182,1.18475,0.112113]","[640560,418424,298328,413023,115146]","[1,0.997239,0.958377,0.99,0.995448]","[5,0,0,0,0]","[0,0,0,0,0]","[-0.041559,-0.928501,-0.91604,-0.894103,-0.750396]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[354799,292889]","[-1.21729,-0.938877]","[1.24527,-1.89987]","[652032,434097]","[18316.7,45141.6]","[0,0]","[2.69627,1.67031]","[0.513085,0.669446]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[43.784,140.827]",2890.59,"[6260.86,5564.77,4023.56,5227.22,2993.03]","[]","[12485.2,9568.56]","[]"
12552,284500,72908,364127,1.00008,0.145046,1.00431e+06,1.1961,0.97166,1,1,1,0.995764,1.0005,1,1,0,0,1,"[1]","[1]","[102595]","[2.25849]","[-0.750158]","[496207]","[0.0975456]","[-1]","[11]","[1]","[0]","[260.587]","[-0.00486198]","[0.292708]",79434,2.62997,4,"[510613,470563,68770.4,49899.8]","[0.0579948,1.46404,0.984614,1.02808]","[-2.87524,0.665417,3.06056,0.170874]","[511749,1.07236e+06,105428,79313.2]","[0.996235,0.99955,0.985504,0.999605]","[0,0,0,0]","[0,0,0,0]","[-0.742484,-0.968007,-0.944772,-0.597725]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",3,"[546268,486944,297060]","[0.129347,1.44681,1.79183]","[-2.90553,0.648163,-0.758153]","[580686,1.09478e+06,925308]","[183760,78788.8,130920]","[0,0,0]","[1.50547,2.87372,0.0268991]","[0.736812,0.78438,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1253.66]",3655.16,"[13099.5,7902.82,4157.09,5371.94]","[]","[75604.1,9349.09,1409.53]","[]"
14468,284500,73228,364127,1,0.145046,1.00431e+06,1.22586,0.940254,1,1,1,0.994099,1.00306,1,1,0,0,2,"[1,1]","[1,0]","[131746,21422.9]","[1.01275,1.17681]","[1.52593,-2.84435]","[205287,38050.1]","[0.0206528,0.0150986]","[-1,1]","[11,11]","[1,1]","[0,0]","[1177.76,-143.19]","[-0.00342262,0.0188207]","[0.387189,1.05612]",16769.9,-1.27907,2,"[605107,545577]","[-1.1206,1.48596]","[-2.28129,0.619697]","[1.02709e+06,1.26943e+06]","[1,1]","[0,0]","[0,0]","[-0.960945,-0.892086]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[597970,573747]","[-1.1538,1.46708]","[-2.27934,0.608956]","[1.04253e+06,1.31271e+06]","[27663,81134.4]","[0,0]","[2.8576,1.65404]","[0.490494,0.649303]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[959.047,319.453]",3156.18,"[8188.43,7510.92]","[]","[5191.06,3720.75]","[]"
16279,284500,232804,364127,1,0.145046,1.00431e+06,1.26459,0.96966,1,1,1,0.991173,0.99604,1,1,0,0,1,"[1]","[1]","[194569]","[-2.27775]","[-0.584961]","[958956]","[-0.0878522]","[-1]","[11]","[1]","[1036.92]","[306.866]","[0.00313831]","[0.255554]",69897.5,1.17913,8,"[605697,178323,136213,82219.4,35449.2,33814.9,27661.5,24149]","[1.03921,-0.0750675,-0.758989,-1.60633,0.489396,-0.590001,-1.1295,-0.65794]","[1.98658,-2.29664,-1.26587,-1.79326,0.660172,1.08959,-1.683,-1.72249]","[964370,179327,179464,213533,40239.2,40659,47408.1,29663.3]","[1,0.999684,0.995112,1,0.983161,0.957404,0.999189,0.994048]","[0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0]","[-0.976893,-0.677523,-0.814623,-0.858347,-0.600605,-0.665301,-0.864336,0.265256]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[607320]","[1.04206]","[1.98756]","[968814]","[39674.3]","[0]","[2.26347]","[0.8044]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3835.97]",14936.3,"[17839.3,3994.68,2604.33,4940.85,3538.06,4018.8,1976.92,1702.29]","[]","[16972.1]","[]"
21388,284500,238987,364127,1,0.145046,1.00431e+06,0.351687,0.94316,1,1,1,0.96835,0.99544,1,1,0,0,2,"[1,1]","[1,1]","[95685.1,70685]","[1.25962,1.69059]","[3.1304,-2.18631]","[182176,198169]","[0.020565,-0.0747261]","[-1,1]","[11,11]","[1,1]","[0,0]","[-290.995,2193.31]","[0.0270055,0.0265418]","[3.08926,1.85614]",28488.6,-0.721254,6,"[624976,462882,135258,121633,87429,44927.1]","[0.652314,-0.108392,-1.43565,-2.49403,0.575826,-0.587445]","[0.17935,-2.91575,2.87889,0.830565,-0.757751,-2.77162]","[764174,466533,300459,741557,102719,53298]","[0.998469,0.998128,0.974091,0.96142,1,0.975737]","[0,0,0,4,0,0]","[0,0,0,0,0,0]","[-0.895438,-0.737895,-0.928453,-0.955208,-0.562126,-0.897432]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[690896,526884]","[0.653008,-0.153613]","[0.0901025,-2.91107]","[878128,536877]","[244128,63470]","[0,0]","[1.83619,2.53753]","[0.712303,0.279906]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[959.195,1586.17]",17594,"[12383.4,12278.4,3113.15,10756.2,2106.8,2842.05]","[]","[20415.7,22722.7]","[]"
22633,284500,362500,364127,1,0.145046,1.00431e+06,1.24168,0.97994,1,1,1,0.993677,1.00632,1,1,0,0,1,"[1]","[1]","[166225]","[0.110283]","[-1.83284]","[167237]","[-0.00658035]","[1]","[11]","[1]","[0]","[942.155]","[0.030313]","[3.05911]",28724.1,1.45667,8,"[395156,374452,156650,109318,67034,59991.9,43427.8,27695.1]","[-0.42554,-1.16298,-0.676191,-0.220542,0.373046,-0.789175,-0.645236,-1.2292]","[-1.81606,1.41298,1.50615,-1.13136,1.1551,2.27536,-0.882475,2.02655]","[432393,658289,194040,112300,72156.3,80543.6,52850.7,51793.6]","[0.997239,0.992196,0.992401,0.998195,0.991025,0.996475,0.992574,0.946627]","[0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0]","[-0.966499,-0.878657,-0.595381,-0.913159,-0.678342,-0.861754,-0.921346,-0.531883]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[695574,559429]","[-0.310863,-1.03815]","[-1.68611,1.49205]","[785592,909194]","[291635,190756]","[0,0]","[1.4913,1.64935]","[0.310032,0.479895]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1396.88]",10027.7,"[9609.06,4820.78,5401.62,4861.68,1844.54,2208.76,2067.87,1832.65]","[]","[60264,39720.8]","[]"
25228,284500,246332,364127,1,0.145046,1.00431e+06,1.21412,0.99904,1,1,1,0.992929,0.92551,1,1,0,0,2,"[1,1]","[1,0]","[153499,12776]","[-2.38812,-2.22228]","[-2.39379,1.70701]","[843078,59643.2]","[0.161991,-0.346077]","[-1,1]","[11,11]","[1,0]","[0,0]","[-824.285,291.31]","[0.00786427,-0.140023]","[0.616261,0.8995]",37346.9,-1.50957,5,"[571513,514119,211927,62118.3,37969.1]","[-1.0516,-1.10455,-1.75599,-0.0176552,-1.44562]","[-1.09759,1.55679,2.7714,1.32971,1.87986]","[918597,863265,631834,62660,85360.4]","[1,1,0.99111,0.976494,0.996961]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.773344,-0.850881,-0.853234,-0.637096,-0.441393]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[598152,503391]","[-1.04273,-1.11508]","[-1.09777,1.57065]","[954728,853653]","[40040.5,77199.3]","[0,0]","[2.58532,1.83975]","[0.625923,0.782703]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2073.44,455.045]",5472.17,"[25683.8,8740.87,5166.83,7701.95,2225.86]","[]","[3978.19,36402.7]","[]"
43897,284500,269140,364127,1,0.145046,1.00431e+06,0.619412,0.96203,1,1,1,0.987976,1.01508,1,1,0,0,1,"[1]","[1]","[182924]","[-1.60988]","[1.39917]","[475798]","[0.136906]","[1]","[11]","[1]","[0]","[1513.45]","[-0.03814]","[0.796642]",33270.1,-1.62736,7,"[596056,559388,513861,163048,42858.9,33715.1,25287.4]","[1.49494,-1.20991,-0.950553,-2.00735,-0.206714,-0.0335918,-1.56571]","[-0.654592,-2.15544,1.89152,1.82852,1.15848,1.74167,-1.4616]","[1.39663e+06,1.02354e+06,764946,617899,44727.3,34739.5,63381]","[1,0.995107,0.997013,0.996792,0.966908,0.976936,0.764133]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[-0.852685,-0.9521,-0.935901,-0.949636,-0.899092,-0.855122,-0.879944]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",3,"[870015,596942,540144]","[-1.4104,1.48006,-1.22844]","[1.76903,-0.658999,-2.15734]","[1.93835e+06,1.37935e+06,1.00279e+06]","[436084,20941.6,48918.4]","[0,0,0]","[0.907171,2.92688,1.82931]","[0.141559,0.623414,0.696383]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2716.5]",29105.2,"[27251.7,8503.17,6692.93,3347.84,4897.83,2058.53,3319.81]","[]","[106324,45206.9,30817.1]","[]"
58166,284500,497252,364127,1,0.145046,1.00431e+06,0.75088,0.97388,1,1,1,0.993113,0.98854,1,1,0,0,1,"[1]","[1]","[44401.6]","[-0.359615]","[-0.643871]","[47303.8]","[0.00337219]","[-1]","[11]","[1]","[0]","[-498.116]","[-0.00111044]","[0.105612]",63581,0.728073,6,"[463962,435606,104515,57861.9,37464,20616]","[0.0995041,-2.45503,-2.41437,0.636688,-2.11457,1.98315]","[2.99762,-0.178557,-1.35639,2.85606,1.13423,2.37976]","[467261,2.55553e+06,589448,70724.5,157643,76405.6]","[1,0.645213,0.99964,0.981792,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.574264,-0.740622,-0.894444,-0.0750714,-0.704385,-0.787327]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[510165]","[0.079972]","[2.9874]","[515169]","[58844.7]","[0]","[3.43567]","[0.725289]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[390.298]",31057.2,"[5172.97,15680.2,4783.68,2335.73,3172.7,1103.1]","[]","[15463.2]","[]"
60168,284500,570417,364127,1.13735,0.145046,1.00431e+06,0.402058,0.98916,1,1,1,0.949264,0.99765,1,1,0,0,1,"[1]","[1]","[84260.7]","[0.622288]","[-0.507368]","[101109]","[-0.018961]","[1]","[11]","[1]","[0]","[204.791]","[-0.00530324]","[0.585107]",29381.3,-2.2332,3,"[579721,486971,81396]","[0.369786,0.830368,0.129022]","[-2.60415,0.600059,1.16905]","[620460,665126,83373.7]","[1,1,0.997874]","[4,0,0]","[0,0,0]","[-0.0915069,-0.964073,-0.93458]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[570026,524378]","[0.361994,0.75545]","[-2.60233,0.681493]","[608180,705927]","[21978.8,184968]","[0,0]","[5.62332,1.23968]","[0.105527,0.586649]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[335.285]",1855.42,"[8701.47,6392.15,2248.77]","[]","[13509.9,20984.1]","[]"
67934,284500,444394,364127,1.13971,0.145046,1.00431e+06,1.21412,0.9823,1,1,1,0.992837,1.00632,1,1,0,0,1,"[1]","[1]","[92722.1]","[0.499363]","[2.0688]","[104525]","[-0.0328751]","[-1]","[11]","[1]","[0]","[-508.929]","[-0.00553951]","[0.718792]",124638,-2.16253,4,"[602672,533886,87617,26919]","[-0.22089,0.672596,1.47357,0.794182]","[-1.60659,1.35792,1.59163,0.578309]","[618048,659936,201382,36388]","[0.962005,0.996703,1,0.813431]","[0,0,0,0]","[0,0,0,0]","[-0.754073,-0.885084,-0.915977,-0.806764]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[713968,594522]","[0.777725,-0.23284]","[1.47572,-1.60942]","[986001,611318]","[294488,27232]","[0,0]","[1.81038,3.48866]","[0.249225,0.0728678]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[431.986]",20916.3,"[7436.54,16617.5,8504.26,1787.08]","[]","[12159.9,23152.6]","[]"
68350,284500,438172,364127,1.03279,0.145046,1.00431e+06,1.55465,0.929862,1,1,1,0.993114,0.98743,1,1,0,0,2,"[1,1]","[1,1]","[112620,31977.9]","[-0.0907672,-0.0620902]","[-2.39402,-0.687685]","[113085,32039.5]","[0.0207939,0.0797768]","[-1,1]","[11,11]","[1,1]","[1792.39,0]","[412.277,1445.4]","[0.0129888,-0.0111383]","[1.73774,0.919652]",11028.7,-1.39803,5,"[496109,470834,106920,92464.2,20060.1]","[-0.659765,0.125654,-1.78065,-0.163201,-2.49723]","[1.48497,-1.75228,-0.251673,1.83065,0.530272]","[609068,475501,326703,94029.2,122784]","[0.993715,1,0.997452,0.993277,0.985698]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.902267,-0.794914,-0.918931,-0.265325,-0.808912]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[582402,547737]","[-0.57367,0.11171]","[1.53395,-1.87444]","[692735,574293]","[127543,161360]","[0,0]","[1.45598,0.529183]","[0.417059,0.294591]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[664.522,150.03]",2444.77,"[6156.25,5304.07,3421.15,2785.15,4465.75]","[]","[4978.19,14565.4]","[]"
70260,284500,441378,364127,1,0.145046,1.00431e+06,1.32095,0.893023,1,1,1,0.954135,1,1,1,0,0,2,"[1,1]","[1,0]","[90290.1,17109]","[0.627078,2.0579]","[-3.12903,0.676056]","[108632,68069.8]","[-0.0852547,0.00207615]","[1,-1]","[11,11]","[0,1]","[0,0]","[400.821,-197.648]","[-0.00757694,-0.0261664]","[0.746638,0.915373]",79240.1,-0.722576,7,"[1.19459e+06,733818,402378,98810.2,52230.3,25090.6,21478.4]","[0.185774,1.2284,0.423951,2.19744,0.0684853,-0.0633641,0.235615]","[-0.761249,2.42257,2.27491,2.10481,-0.215991,2.53275,-1.8118]","[1.21712e+06,1.36147e+06,442651,450373,52850.9,25602.3,22694.4]","[0.988158,0.993612,0.996785,0.999333,0.993806,0.97975,0.984128]","[0,0,0,0,4,0,0]","[0,0,0,0,0,0,0]","[-0.763249,-0.933885,-0.720408,-0.942003,-0.0531062,-0.858758,-0.73813]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[1.12815e+06,1.14532e+06]","[0.187954,1.01391]","[-0.768077,2.43429]","[1.14905e+06,1.85657e+06]","[45847.9,506208]","[0,0]","[1.95238,1.20826]","[0.16724,0.309251]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[400.526,90.2935]",46621.1,"[20535.2,30988.9,10110.5,7838.01,1855.47,6593.96,2597.09]","[]","[5762,42135.8]","[]"
74800,284500,39403,364127,1,0.145046,1.00431e+06,0.696077,0.948128,1,1,1,0.994386,0.99866,1,1,0,0,2,"[1,1]","[1,1]","[319160,56146.5]","[-0.808917,-0.694226]","[-1.87361,-1.16705]","[429400,70228.7]","[-0.00999832,0.0267677]","[-1,1]","[11,11]","[1,1]","[0,0]","[-931.463,-112.497]","[-0.00315269,-0.0355197]","[0.411177,2.9786]",40191.6,-1.77644,3,"[620488,313036,63800.7]","[1.76543,0.745138,-2.38379]","[1.69393,-0.875036,-2.35238]","[1.86662e+06,404417,349018]","[0.995453,0.9952,0.997137]","[0,0,0]","[0,0,0]","[-0.894166,-0.868505,-0.266261]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",3,"[606616,372217,322622]","[1.76144,-0.842443,0.724887]","[1.69955,-1.76935,-0.872028]","[1.81771e+06,525581,411369]","[19407,117409,13078.6]","[0,0,0]","[7.95263,0.0733256,2.76816]","[0.682105,0.174205,0.46528]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4214.55,95.3848]",26160.8,"[22087.3,7483.97,2782.35]","[]","[62495.5,34771.9,10531]","[]"
79207,284500,70456,364127,1,0.145046,1.00431e+06,1.21412,0.897249,1,1,1,1.04656,0.9995,1,1,0,0,2,"[0,1]","[1,1]","[66796,33700.2]","[2.15181,1.98133]","[-1.59046,2.32322]","[291119,124526]","[-0.00291443,-0.0828323]","[1,1]","[11,11]","[1,1]","[0,0]","[490.304,1081.6]","[-0.0765361,-0.0721939]","[1.92171,1.35931]",11929.1,1.57431,5,"[460596,380089,73450.9,52763.8,41732.5]","[0.726843,-0.505586,-0.286277,0.276679,-0.0682955]","[0.167701,-2.85102,2.32304,2.35125,-0.992225]","[587827,430385,77670.5,55220.7,42334.9]","[0.999715,1,0.99,0.996417,0.991125]","[0,0,5,0,0]","[0,0,0,0,0]","[-0.682346,-0.422509,0.999908,-0.766605,-0.892824]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[444620,394282]","[0.765251,-0.456437]","[0.168399,-2.90501]","[581285,447261]","[0,99420.4]","[0,0]","[0,3.03518]","[-1,0.712658]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[260.135,90.4864]",7180.78,"[5653.02,5977.15,3327.22,2120.92,5726.52]","[]","[14865.8,30335.4]","[]"
