event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
411,284500,1901,364125,-1,1.4922,1.85418e+06,1.55465,0.98178,1,1,1,1.03096,0.99604,1,1,0,0,1,"[1]","[1]","[106888]","[-2.06833]","[-0.959623]","[429580]","[-0.0501823]","[-1]","[11]","[1]","[0]","[182.179]","[0.0296952]","[1.28203]",25679.3,0.00082524,3,"[319430,200728,20267.2]","[0.310035,-1.45894,0.550807]","[2.39688,-0.676224,-2.98466]","[335485,455324,23817.8]","[0.992237,0.988002,0.946749]","[0,0,5]","[0,0,0]","[-0.947535,-0.977104,0.671415]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[306544,292804]","[0.3238,-1.74392]","[2.40081,-0.785249]","[322967,867586]","[11713.7,89364.3]","[0,0]","[4.79744,0.112356]","[0.120319,0.657234]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[670.847]",18989.1,"[4321.35,4211.71,886.575]","[]","[18187,3865.12]","[]"
1278,284500,8795,364125,1,1.4922,1.85418e+06,0.506784,0.962145,1,1,1,1.08048,0.99866,1,1,0,0,2,"[1,1]","[1,1]","[275538,165831]","[-0.781072,-0.969099]","[-1.59044,-2.91939]","[363948,249989]","[-0.00827026,-0.042717]","[-1,1]","[11,11]","[1,1]","[0,1216.54]","[-888.214,-260.217]","[0.034726,0.00727942]","[3.84242,0.52007]",48752.7,-2.16388,5,"[240235,66528.4,30029.2,29843.1,29206.9]","[-0.693362,1.61931,0.892591,-0.889999,0.245462]","[1.13264,1.13199,0.519324,1.92412,0.777792]","[300858,175046,43287.6,42727.3,30440.7]","[1,0.996563,0.974282,0.995828,0.997343]","[0,5,0,0,5]","[0,0,0,0,0]","[-0.580717,0.999915,-0.822927,-0.854193,0.942428]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[272498]","[-0.808787]","[-1.59495]","[366589]","[0.00478416]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3494.3,1391.92]",8750.66,"[2879.99,4277.17,2196.16,3711.63,3208.63]","[]","[16655.9]","[]"
1441,284500,8048,364125,1.33126,1.4922,1.85418e+06,0.696077,0.9823,1,1,1,0.995972,1.00632,1,1,0,0,1,"[1]","[1]","[104636]","[0.562466]","[-1.32857]","[121629]","[-0.0422897]","[1]","[11]","[1]","[1736.85]","[-524.047]","[0.0140796]","[2.12099]",10396.2,2.11509,4,"[261616,155454,25855.2,20275.3]","[-0.510738,-1.87158,-1.47797,-0.782404]","[1.51848,-1.75622,-1.35198,2.00704]","[297292,517605,59709.9,27124.5]","[0.998555,0.997289,0.998905,0.85974]","[0,0,0,0]","[0,0,0,0]","[-0.874652,-0.240057,-0.855298,-0.640794]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[253750]","[-0.545545]","[1.52323]","[293656]","[26512.9]","[0]","[2.37779]","[0.640663]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[509.441]",2912.96,"[11205.1,10597.6,4330.95,1441.75]","[]","[0]","[]"
2096,284500,1071220,364125,1,1.4922,1.85418e+06,0.696077,0.934497,1,1,1,1.01089,0.98592,1,1,0,0,2,"[1,1]","[1,1]","[69205.7,45965.3]","[-1.14595,-0.907519]","[-1.33851,0.608592]","[119842,66228.9]","[-0.00177002,-0.0996323]","[1,-1]","[11,11]","[1,1]","[0,0]","[268.07,582.667]","[0.00587385,0.021282]","[0.674836,2.02414]",9622.44,1.1675,2,"[263789,163811]","[1.15737,0.0118539]","[2.151,-1.05491]","[461326,164145]","[1,1]","[0,5]","[0,0]","[-0.928142,0.999856]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[257412]","[1.13156]","[2.14877]","[440706]","[11171]","[0]","[1.92063]","[0.575058]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[638.557,199.102]",10492,"[3392.97,5146.02]","[]","[0]","[]"
2403,284500,1051996,364125,-1,1.4922,1.85418e+06,0.187531,0.960924,1,1,1,0.996213,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[335779,48203.6]","[-0.381083,-0.29932]","[0.913366,0.213416]","[360457,50379.1]","[-0.0234985,0.00199127]","[-1,1]","[11,11]","[1,1]","[0,0]","[8330.28,-354.03]","[-0.00170891,0.00527652]","[0.200193,0.55092]",74945.8,-2.21322,4,"[51095.6,26888.9,24340.6,22217]","[0.654974,1.75835,0.858667,0.496062]","[-2.03285,-2.01597,-0.329284,1.91132]","[63064.7,80571.8,34185.5,25611.6]","[0.969208,0.988212,0.708522,0.940859]","[0,0,0,0]","[0,0,0,0]","[-0.853664,-0.857822,-0.232089,-0.886883]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[444896,376519]","[-0.347787,1.22184]","[0.839795,-2.35202]","[486975,701185]","[119545,97883.4]","[0,0]","[0.93309,2.1829]","[0.0917211,0.737221]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3663.72,217.014]",596.328,"[2103.69,3592.72,3138.74,1669.72]","[]","[21142.1,24195.2]","[]"
2616,284500,1055946,364125,1,1.4922,1.85418e+06,1.26459,0.96203,1,1,1,1.01082,1.01508,1,1,0,0,2,"[1,1]","[1,0]","[210500,88855.5]","[-1.75064,-1.35371]","[1.30436,1.54613]","[624339,183489]","[-0.0419347,-0.00831485]","[1,-1]","[11,11]","[1,0]","[0,0]","[-154.169,352.899]","[-0.00257331,-0.011897]","[0.294089,0.65785]",29002.3,-0.466861,4,"[157954,148099,27042.7,22227.3]","[-0.391606,-0.755773,-1.01768,-0.7736]","[-1.54808,-1.93399,1.96814,-2.91199]","[172492,193333,42777.2,29701.2]","[0.998617,1,0.700672,0.970518]","[5,0,0,0]","[0,0,0,0]","[0.975283,-0.927394,-0.541561,-0.594255]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[343642,321110]","[-1.6266,-0.577197]","[1.41278,-1.6843]","[912046,394476]","[88379.4,118990]","[0,0]","[0.944452,1.29279]","[0.438818,0.559779]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3063.9,1753.35]",2417.04,"[7009.32,3002.25,2192.04,1706.75]","[]","[2599.66,6091.16]","[]"
2703,284500,1075333,364125,1,1.4922,1.85418e+06,0,0.97994,1,1,1,0.933402,1.00632,1,1,0,0,1,"[1]","[1]","[162634]","[0.406472]","[-0.0436098]","[176256]","[0.0318146]","[1]","[11]","[1]","[0]","[1497.86]","[-0.000359876]","[0.0370744]",34768,-1.82287,7,"[196376,42076.1,33629.4,30152,25953.8,23122.2,22191.3]","[-0.363101,1.48214,0.553442,-0.877795,2.49233,1.07913,-0.559928]","[-3.14024,0.512601,3.13868,-1.44015,2.5675,-2.54205,-0.451135]","[210180,97696.7,39386.2,42995.7,158059,38242.4,26177.1]","[0.994886,0.998909,0.986525,0.956039,0.174106,0.851775,0.986963]","[0,0,0,5,0,0,0]","[0,0,0,0,0,0,0]","[-0.829314,-0.922912,-0.862329,-0.392771,-0.514505,-0.824381,-0.487736]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[250654]","[-0.29183]","[3.09478]","[272804]","[78041.8]","[0]","[2.19392]","[0.349252]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1149.05]",9655.36,"[3650.72,4073.28,2237.98,4588.54,2187.51,1849.31,1926.34]","[]","[0]","[]"
2961,284500,1053652,364125,1,1.4922,1.85418e+06,1.26205,0.98697,1,1,1,0.96125,1.00582,1,1,0,0,1,"[1]","[1]","[333564]","[-0.467041]","[2.02068]","[370610]","[-0.0342736]","[1]","[11]","[1]","[0]","[279.88]","[0.0301059]","[5.16383]",37250.6,-0.0790208,3,"[319527,38698.9,28172.7]","[0.949701,1.80359,0.227981]","[-1.19008,2.8842,-0.373661]","[476029,120786,29231.8]","[0.994749,0.986853,0.994883]","[4,0,0]","[0,0,0]","[-0.913203,-0.85407,-0.83067]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[346722,330690]","[-0.467122,0.950837]","[2.01809,-1.18597]","[385266,492852]","[4257.4,32436.7]","[0,0]","[53.5119,1.88681]","[0.201756,0.758932]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2918.66]",3225.16,"[8416.33,2136.83,2151.68]","[]","[8435.19,10699.3]","[]"
3171,284500,1153787,364125,1,1.4922,1.85418e+06,0.619412,0.99093,1,1,1,0.99812,1.00306,1,1,0,0,1,"[1]","[1]","[112102]","[0.8424]","[-1.5848]","[154287]","[-0.0135841]","[1]","[11]","[1]","[0]","[3658.25]","[-0.0255785]","[3.92763]",59161.7,2.06035,3,"[278145,207044,24826.1]","[0.45508,1.40502,0.539798]","[1.73394,-1.32,-0.405554]","[308132,447424,28739.2]","[0.992387,0.998093,0.995827]","[0,0,0]","[0,0,0]","[-0.804348,-0.930929,-0.767406]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[338203,273280]","[1.18344,0.434457]","[-1.42874,1.74537]","[614162,299869]","[111260,15268.8]","[0,0]","[0.240628,2.90728]","[0.571535,0.488104]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1132.7]",181.395,"[3174.72,3637.8,1835.57]","[]","[5690.12,546.406]","[]"
3202,284500,1109737,364125,1,1.4922,1.85418e+06,0.00220911,0.942558,1,1,1,1.02597,0.99544,1,1,0,0,2,"[1,1]","[1,1]","[174327,41842.7]","[1.28691,0.333577]","[1.99106,1.56092]","[339737,44192.4]","[0.0291252,-0.0272179]","[-1,1]","[11,11]","[1,1]","[4514.59,0]","[1757.77,-256.905]","[-0.00201748,-0.0126668]","[0.199735,0.995733]",27583,1.40805,3,"[270492,60745.2,49928.8]","[0.300652,1.48031,-2.15377]","[-1.19289,-2.58019,1.1501]","[283023,140525,218089]","[0.0593186,1,0.918452]","[5,0,5]","[0,0,0]","[0.996512,-0.883841,0.999424]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[264447]","[0.320965]","[-1.18836]","[278442]","[11939.8]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2450.03,19.5256]",720.57,"[7107.13,6811.66,4252.46]","[]","[5357.41]","[]"
