event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,6450,364117,1,74.9038,2.16425e+06,1.25133,0.979183,1,1,1,0.999413,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[310889,219180]","[-0.115082,-0.779471]","[-0.0914178,2.88678]","[312950,289205]","[-0.044591,0.055254]","[-1,1]","[11,11]","[1,1]","[0,0]","[3048.82,227.762]","[-0.00770214,0.0197836]","[1.18518,2.58624]",14147.2,-1.38336,1,"[82042.9]","[0.54554]","[-2.82445]","[95370]","[0.997187]","[0]","[0]","[-0.89269]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[328133]","[-0.111584]","[-0.0865683]","[330179]","[892.534]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2499.24,1370.12]",117.573,"[2826.67]","[]","[3188.78]","[]"
1,284500,3321758,364117,1,74.9038,2.16425e+06,1.26205,0.962145,1,1,1,1,0.99866,1,1,0,0,2,"[1,1]","[1,1]","[332614,288993]","[-1.08538,-1.04891]","[1.94442,-1.03976]","[548534,463090]","[-0.024231,0.0191574]","[-1,1]","[11,11]","[1,1]","[0,0]","[-1147.45,3166.52]","[0.00405401,-0.00963657]","[0.676884,0.790877]",6200.56,1.18055,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[353315,320385]","[-1.11816,-1.08211]","[1.94211,-1.04205]","[598179,527025]","[-0.00552427,5343.93]","[0,0]","[0,9.17625]","[-1,0.558191]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4585.51,3136.7]",8799.32,"[]","[]","[7585.5,32626.8]","[]"
2,284500,2742980,364117,0.376924,74.9038,2.16425e+06,0.923924,0.96203,1,1,1,0.997563,1,1,1,0,0,1,"[1]","[1]","[297626]","[-1.69842]","[2.53019]","[840534]","[-0.0435219]","[1]","[11]","[0]","[0]","[2967.22]","[-0.0469752]","[2.13091]",66882,3.00893,3,"[434261,76228.9,22436.3]","[-2.2755,1.45935,0.245749]","[-0.638581,2.16091,-1.13999]","[2.13567e+06,173060,23602.9]","[0.91955,0.991839,0.88738]","[0,0,0]","[0,0,0]","[-0.875344,-0.910517,-0.344871]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[324741]","[-1.70231]","[2.51999]","[920466]","[3682.49]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6756.67]",22138.8,"[8206.29,3639.02,1668.25]","[]","[34156.6]","[]"
3,284500,2763233,364117,1,74.9038,2.16425e+06,1.21412,0.967171,1,1,1,0.998504,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[507920,504967]","[-0.367895,0.572777]","[0.00663743,3.06181]","[542682,590090]","[0.0681515,0.0168247]","[-1,1]","[11,11]","[1,1]","[0,0]","[-2287.25,-1472.57]","[-0.0096768,0.00901749]","[1.02571,1.17002]",50893.6,1.01867,2,"[81588.7,22240.9]","[-0.628021,-0.137598]","[-1.7149,-2.52208]","[99909.8,22965.1]","[0.895957,0.684676]","[0,0]","[0,0]","[-0.771006,-0.77101]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[519922,514358]","[-0.362714,0.588064]","[0.00911793,3.0661]","[554499,605888]","[0.00390625,0.00390625]","[0,0]","[0,0]","[-1,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3583.76,3332.96]",6296.75,"[7908.82,1922.33]","[]","[23770.6,10614.4]","[]"
4,284500,2763014,364117,-0.87436,74.9038,2.16425e+06,1.25133,0.983083,1,1,1,0.999307,0.99544,1,1,0,0,2,"[1,1]","[1,1]","[402556,332774]","[1.18068,0.110135]","[0.737914,-2.41514]","[717287,334794]","[0.0334435,-0.0214844]","[-1,1]","[11,11]","[1,1]","[0,0]","[980.096,2011]","[0.00389127,-0.0053653]","[0.419495,0.813392]",10819.6,-3.06393,1,"[67383.6]","[1.92948]","[-2.19609]","[237104]","[0.997072]","[0]","[0]","[-0.644767]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[425168,345002]","[1.17105,0.0832869]","[0.73602,-2.41424]","[751573,346203]","[0,1647.32]","[0,0]","[0,0]","[-1,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5153.81,5268.38]",4918.25,"[6823.79]","[]","[11526.8,15637.5]","[]"
5,284500,2761841,364117,-0.520947,74.9038,2.16425e+06,1.24168,0.943908,1,1,1,0.999265,1.00632,1,1,0,0,2,"[1,1]","[1,1]","[257501,224355]","[0.243327,-1.25596]","[-2.87668,0.709921]","[265162,425825]","[0.0418148,0.104618]","[1,-1]","[11,11]","[1,1]","[0,0]","[5296.22,59.7386]","[-0.017139,0.0282239]","[1.533,1.95301]",33529.3,0.528406,1,"[94014.4]","[-0.359343]","[-0.614807]","[100795]","[0.991606]","[0]","[0]","[0.776834]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[274141]","[0.248264]","[-2.88642]","[282731]","[7465.53]","[0]","[5.25342]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1352.69,2735.38]",3671.61,"[2788.7]","[]","[3625.28]","[]"
6,284500,2194474,364117,-2.32315,74.9038,2.16425e+06,1.1961,0.96966,1,1,1,0.999323,0.99604,1,1,0,0,1,"[1]","[1]","[247933]","[-2.29712]","[0.593638]","[1.24537e+06]","[-0.0658259]","[-1]","[11]","[1]","[0]","[830.78]","[0.00021313]","[0.0224407]",32683.3,-0.154161,1,"[270128]","[-1.64052]","[-2.62697]","[722956]","[1]","[0]","[0]","[-0.81703]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[254096]","[-1.64281]","[-2.62494]","[681479]","[11975.7]","[0]","[3.1805]","[0.436009]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4382.88]",8061.82,"[10411.4]","[]","[0]","[]"
7,284500,2780495,364117,-1,74.9038,2.16425e+06,1.26459,0.972208,1,1,1,0.999618,0.9918,1,1,0,0,2,"[1,1]","[1,1]","[342631,218454]","[-0.780699,0.506234]","[0.190361,-2.78325]","[452458,247049]","[-0.0202554,0.0373984]","[-1,1]","[11,11]","[1,1]","[0,0]","[2237.72,-465.18]","[0.0372962,-0.0289806]","[3.70221,5.09762]",22648.8,-3.03325,1,"[67417.1]","[-0.581575]","[3.05177]","[81112.4]","[0.998607]","[0]","[0]","[-0.825965]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[355364]","[-0.788255]","[0.184652]","[471603]","[0.00552427]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2454.16,1266.02]",191.535,"[2088.61]","[]","[3842.88]","[]"
8,284500,2197583,364117,0.994012,74.9038,2.16425e+06,0.934886,0.96392,1,1,1,0.998629,1.01012,1,1,0,0,1,"[1]","[1]","[246245]","[1.92057]","[1.10404]","[858333]","[-0.122778]","[-1]","[11]","[1]","[0]","[1261.99]","[0.0269516]","[1.91637]",75149,0.770063,1,"[143563]","[0.546512]","[1.50254]","[165819]","[0.996138]","[0]","[0]","[-0.841471]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[280847]","[1.91258]","[1.10374]","[971559]","[12098.8]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3185.71]",5185.28,"[2497.79]","[]","[2723.22]","[]"
9,284500,2778754,364117,1,74.9038,2.16425e+06,1.26459,0.962145,1,1,1,0.998762,0.99866,1,1,0,0,2,"[1,1]","[1,1]","[287645,255659]","[-1.00122,-0.987328]","[2.99069,0.178208]","[444272,390728]","[0.015625,0.0102768]","[1,-1]","[11,11]","[1,1]","[0,0]","[-1206.07,3246.35]","[0.000263675,-0.00357226]","[0.0284571,0.489587]",38451.6,1.22962,1,"[122650]","[-0.584843]","[-1.42401]","[144523]","[0.673856]","[0]","[0]","[-0.945742]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[320613,286368]","[-0.957632,-0.942739]","[2.99018,0.171174]","[479208,423364]","[752.379,5167.46]","[0,0]","[0,22.0429]","[-1,0.500989]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2916.06,2598.72]",23280.7,"[3607.94]","[]","[3109.03,13026.4]","[]"
