event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
6,284500,1604,361106,1941,1950.53,1.50278e+11,1.55465,0.98428,1,1,1,0.999219,1.00121,1,1,0,0,1,"[1]","[1]","[187004]","[-1.99379]","[0.264802]","[699347]","[0.0797119]","[-1]","[11]","[1]","[2199.55]","[-615.359]","[0.0003669]","[0.0319424]",23740.9,-2.678,1,"[250887]","[-1.27085]","[-3.06303]","[482945]","[1]","[0]","[0]","[-0.93532]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[253947]","[-1.26776]","[-3.06123]","[487381]","[22506.6]","[0]","[1.87929]","[0.763637]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1673.21]",2738.62,"[3475.7]","[]","[0]","[]"
168,284500,1047594,361106,1941.17,1950.53,1.50278e+11,0.619412,0.97921,1,1,1,0.998603,1.00192,1,1,0,0,1,"[1]","[1]","[76127]","[-0.399098]","[-0.402677]","[82270.6]","[0.0274878]","[1]","[11]","[1]","[0]","[285.434]","[-0.0111535]","[1.11449]",30899.5,-2.47484,2,"[257405,194840]","[-1.11846,-0.851988]","[-3.11379,0.324723]","[436790,270125]","[0.997146,0.986544]","[0,0]","[0,0]","[-0.803381,-0.973951]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[253297,252664]","[-0.777142,-1.12486]","[0.11078,-3.12086]","[351427,430600]","[110160,20862.9]","[1,0]","[0.0905839,2.15361]","[0.455768,0.764183]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[223.441]",11712.9,"[12129.1,2955.72]","[]","[0,0]","[]"
257,284500,416058,361106,1941.39,1950.53,1.50278e+11,0.696077,0.97677,1,1,1,0.99927,1.00306,1,1,0,0,2,"[1,1]","[1,1]","[206579,45201.6]","[1.07761,1.06581]","[1.16157,0.176975]","[338589,73399.3]","[-0.027988,-0.0562948]","[1,-1]","[11,11]","[1,1]","[0,0]","[-1996.53,629.585]","[-0.0166865,0.0182838]","[1.39654,1.28857]",50438.6,-2.52775,1,"[219414]","[0.233598]","[-2.10507]","[226481]","[0.994392]","[0]","[0]","[-0.914859]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[258679]","[1.14192]","[0.975314]","[465856]","[132965]","[1]","[0.218331]","[0.721297]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2172.65,190.675]",5010.04,"[4744.07]","[]","[12061.9]","[]"
394,284500,1561901,361106,1942.21,1950.53,1.50278e+11,0.923924,0.944799,1,1,1,0.999264,0.98743,1,1,0,0,2,"[1,1]","[1,1]","[248386,82635.3]","[-0.0330457,0.0310659]","[1.55915,0.905302]","[248522,82675.1]","[0.0108767,0.00616741]","[-1,1]","[11,11]","[1,0]","[1566.12,0]","[-459.101,-557.191]","[-0.0223326,-0.0202003]","[1.69124,1.64122]",8196.22,-3.13895,1,"[320705]","[0.919011]","[-1.66764]","[466417]","[0.99526]","[0]","[0]","[-0.555977]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[328184,323835]","[-0.0127419,0.919145]","[1.39489,-1.66764]","[343101,471425]","[99980,28980.7]","[0,0]","[0.0495764,1.96194]","[0.476901,0.58235]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2561.89,720.93]",5511.68,"[11002.9]","[]","[14237.8,1871.81]","[]"
531,284500,15165964,361106,1940.89,1950.53,1.50278e+11,1.32095,0.957774,1,1,1,0.999314,1.00632,1,1,0,0,2,"[1,1]","[1,1]","[150222,69560.9]","[0.150066,0.147461]","[-0.0348315,-0.965247]","[151917,70318.6]","[-0.0391655,-0.0260143]","[1,-1]","[11,11]","[1,1]","[0,0]","[69.0875,3387.16]","[-0.0106447,0.0193937]","[0.768975,2.04429]",13727,-2.70077,2,"[306508,84359.6]","[0.647667,0.955917]","[2.32013,0.107244]","[373772,126503]","[0.988527,0.979238]","[0,0]","[0,0]","[-0.82619,-0.719051]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[307391]","[0.6415]","[2.31895]","[373189]","[16143.8]","[0]","[1.72474]","[0.115251]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1129.84,175.817]",393.182,"[5776.86,2130.01]","[]","[6484.34]","[]"
568,284500,16330991,361106,1940.84,1950.53,1.50278e+11,0.351687,1,1,1,1,0.979796,1,1,1,0,0,1,"[1]","[1]","[311014]","[2.09167]","[0.328495]","[1.27856e+06]","[-0.00293732]","[-1]","[11]","[0]","[0]","[-3437.51]","[-0.00307848]","[0.221409]",22348.2,-0.893824,5,"[325761,87160.7,49162.1,22421.3,20812.8]","[1.24575,-1.37548,0.518083,0.223604,0.779163]","[2.97831,-1.4074,-1.40601,0.99941,-2.12389]","[613176,184289,56266.9,23360.2,27750.6]","[0.995169,0.999371,0.973433,0.85212,0.980744]","[0,4,0,0,0]","[0,0,0,0,0]","[-0.948515,-0.275676,-0.753441,-0.754566,-0.719128]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[334061]","[1.25792]","[2.97829]","[635246]","[13173.6]","[0]","[3.66191]","[0.597458]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4046.32]",2605.46,"[11110.8,8990.49,2007.83,2545.11,1267.77]","[]","[28930.2]","[]"
656,284500,15650527,361106,1941.73,1950.53,1.50278e+11,1.55465,0.960638,1,1,1,0.999204,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[171946,75145.5]","[-0.336118,-1.06358]","[-2.32645,-2.07702]","[181751,121808]","[0.0106468,0.0297899]","[1,-1]","[11,11]","[1,1]","[0,0]","[29.1094,118.934]","[-0.0464867,-0.00134258]","[1.71353,0.107737]",14842.2,-1.2259,1,"[259048]","[1.26265]","[0.876105]","[494691]","[0.997564]","[0]","[0]","[-0.897734]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[254455,260045]","[-0.592176,1.26714]","[-2.25191,0.873448]","[318874,498528]","[106989,15490.6]","[0,0]","[0.0350567,2.13588]","[0.465577,0.24222]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[775.833,247.236]",1008.77,"[3933.22]","[]","[572.938,0]","[]"
732,284500,8327559,361106,1941.69,1950.53,1.50278e+11,0.553627,0.96203,1,1,1,0.999921,1.01508,1,1,0,0,1,"[1]","[1]","[230792]","[-1.78277]","[-1.20774]","[705585]","[0.0501747]","[-1]","[11]","[1]","[0]","[1202.3]","[0.0181287]","[1.80781]",90307.4,0.125483,1,"[67766.6]","[-1.51072]","[-0.544601]","[161179]","[0.999389]","[0]","[0]","[-0.926444]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[301156]","[-1.76994]","[-1.07408]","[915535]","[103916]","[0]","[0.273461]","[0.796002]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3440.82]",10700.8,"[2388.58]","[]","[9094.91]","[]"
782,284500,15478646,361106,1942.15,1950.53,1.50278e+11,1.22586,0.950287,1,1,1,0.997815,0.99544,1,1,0,0,2,"[1,1]","[1,1]","[307117,187289]","[1.30719,1.65487]","[1.23348,1.06647]","[609068,507882]","[0.0555229,0.0502243]","[1,-1]","[11,11]","[1,1]","[0,0]","[2134.4,773.851]","[0.00205388,0.00175174]","[0.215424,0.126675]",51463.4,-0.27265,2,"[497146,23690]","[0.727099,1.03322]","[-2.08973,-2.66828]","[636495,37841.1]","[0.994213,0.760784]","[0,0]","[0,0]","[0.0914456,-0.889424]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[517283,550626]","[0.728912,1.46609]","[-2.10071,1.16539]","[662366,1.26064e+06]","[44102.2,104833]","[0,0]","[1.97788,0.0554603]","[0.7652,0.49787]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4320.46,4661.83]",2255.46,"[15181.5,3651.41]","[]","[37397.2,7387.31]","[]"
820,284500,15489695,361106,1941.45,1950.53,1.50278e+11,1.22586,0.98089,1,1,1,0.998999,0.99866,1,1,0,0,1,"[1]","[1]","[294999]","[-0.868734]","[2.82983]","[413496]","[-0.0146332]","[-1]","[11]","[1]","[0]","[-1718.24]","[0.00891231]","[1.43708]",13740.8,-0.43532,2,"[367596,90953.5]","[-0.741468,-1.3992]","[-0.384367,2.42036]","[474632,195600]","[1,0.999404]","[0,0]","[0,0]","[-0.660694,-0.996052]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[370465,359752]","[-1.03345,-0.776463]","[2.75225,-0.386709]","[594027,475117]","[94007.1,35913.8]","[0,0]","[0.0761194,0.945635]","[0.324785,0.267943]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3928.72]",7764.16,"[5160.44,5124.32]","[]","[13960.3,34860]","[]"
829,284500,15926458,361106,1941.34,1950.53,1.50278e+11,1.32095,0.95968,1,1,1,0.999425,0.97155,1,1,0,0,2,"[1,1]","[1,0]","[126944,25505.2]","[2.42362,1.00235]","[-2.94466,-2.96924]","[722013,39427.1]","[-0.0263214,0.0778046]","[1,-1]","[11,11]","[1,0]","[0,0]","[2259.12,3273.03]","[-0.00354513,0.0342945]","[0.218693,2.71123]",33567.6,-0.0500321,3,"[273131,54447.8,45097.4]","[-0.103902,-0.400966,-0.119332]","[0.334522,-2.00564,-2.80087]","[275666,59949,46293.7]","[1,0.998357,0.995171]","[0,0,0]","[0,0,0]","[-0.715026,-0.678006,-0.933044]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[267218]","[-0.102091]","[0.339423]","[268935]","[13181.5]","[0]","[1.81352]","[0.517869]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4075.79,72.4663]",2015.53,"[4841.87,6902.94,2548.27]","[]","[8982.16]","[]"
855,284500,15921344,361106,1942.03,1950.53,1.50278e+11,0.738662,0.972521,1,1,1,0.999063,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[215347,80484.5]","[-0.264634,-0.745291]","[-2.07806,-2.54063]","[222931,103891]","[-0.0701675,-0.0818672]","[-1,1]","[11,11]","[1,1]","[0,1176.63]","[-878.263,-791.892]","[-0.0119088,-0.0191396]","[1.52146,1.60721]",12736.2,-3.017,1,"[301362]","[-1.49143]","[0.921446]","[703719]","[1]","[0]","[0]","[-0.114534]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[302915,276927]","[-0.463162,-1.50846]","[-2.21935,0.921964]","[349713,656543]","[97002.6,10603.7]","[0,0]","[0.119651,5.1211]","[0.37762,0.705396]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1196.51,446.984]",2821.02,"[6606.79]","[]","[2434.88,10595]","[]"
935,284500,14833737,361106,1941.45,1950.53,1.50278e+11,0.738662,0.96203,1,1,1,1,1.01508,1,1,0,0,1,"[1]","[1]","[215784]","[-1.74204]","[1.17399]","[634852]","[-0.0568314]","[-1]","[11]","[1]","[0]","[-793.334]","[-0.0187333]","[1.71322]",23408.6,-2.69854,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[253995]","[-1.80902]","[1.25289]","[796841]","[35373.2]","[0]","[0.899441]","[0.68467]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3826.38]",4549.84,"[]","[]","[11588.2]","[]"
937,284500,15426968,361106,1942.05,1950.53,1.50278e+11,0.596562,0.940719,1,1,1,0.99924,1.00493,1,1,0,0,2,"[1,1]","[1,1]","[183514,144942]","[-1.30926,-1.8479]","[-2.45921,-2.48169]","[364592,471355]","[-0.036171,0.0669479]","[1,1]","[11,11]","[1,1]","[0,0]","[892.888,-149.353]","[-0.014684,0.00797529]","[1.3457,0.802944]",11925,-2.43237,1,"[318714]","[-1.04593]","[0.649035]","[511968]","[0.996337]","[0]","[0]","[-0.776105]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[360980,303034]","[-1.56268,-1.04483]","[-2.47382,0.65396]","[903113,486531]","[85596.3,49109.7]","[0,0]","[0,1.76451]","[-1,0.722765]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2944.58,931.238]",22084.9,"[22447.2]","[]","[4562.59,4041.22]","[]"
955,284500,15353627,361106,1942.48,1950.53,1.50278e+11,0.402058,0.943004,1,1,1,0.999428,0.99544,1,1,0,0,2,"[1,1]","[1,1]","[165138,137824]","[1.19286,1.15427]","[2.82945,-2.80788]","[297236,240297]","[-0.0587654,0.02808]","[-1,1]","[11,11]","[1,1]","[0,0]","[687.82,-31.7621]","[-0.0423316,-0.0463598]","[5.41258,3.63925]",18516.3,-0.8738,2,"[160726,84677]","[2.16384,-0.914372]","[-0.0532331,0.161032]","[709043,122983]","[0.994698,0.99605]","[0,0]","[0,0]","[-0.779673,-0.63988]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[311522]","[1.25445]","[3.11759]","[598741]","[98915.8]","[0]","[0.140831]","[0.519319]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1764.93,2135.53]",2549.58,"[5458.13,5826.58]","[]","[6128.66]","[]"
999,284500,16485438,361106,1941.75,1950.53,1.50278e+11,0,0.943898,1,1,1,0.997016,1.00632,1,1,0,0,2,"[1,1]","[1,0]","[354628,11975.5]","[0.552697,-0.128101]","[-2.4269,-1.05488]","[410186,12073.9]","[0.0901098,-0.075839]","[-1,1]","[11,11]","[1,1]","[0,0]","[-377.765,1223.06]","[-0.0141583,-0.0134831]","[2.42114,0.847583]",30076.9,-2.41791,3,"[344554,43466.2,24570.7]","[-0.971274,-1.57349,-1.2929]","[0.798465,0.638758,-1.00221]","[522992,109541,48452.1]","[0.996171,0.987337,0.928586]","[0,0,0]","[0,0,0]","[-0.792012,-0.729227,-0.612906]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[390114,363603]","[-1.04078,0.56399]","[0.78389,-2.42127]","[627891,422990]","[91569,2802.66]","[0,0]","[1.78586,20.393]","[0.683343,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2091.33,57.3458]",3290.04,"[5629.95,2439.2,3700.28]","[]","[450.75,5731]","[]"
1046,284500,14782700,361106,1941.38,1950.53,1.50278e+11,0.696077,0.98697,1,1,1,0.996914,1.00582,1,1,0,0,1,"[1]","[1]","[510860]","[-0.148613]","[-0.223797]","[516512]","[-0.00379562]","[1]","[11]","[1]","[0]","[5998.4]","[-0.00827404]","[0.671017]",39945.3,-1.42291,2,"[609912,87102.6]","[1.34264,0.297294]","[2.94109,-0.0808365]","[1.24865e+06,91179.7]","[0.995167,0.997691]","[0,0]","[0,0]","[-0.84828,-0.980798]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[620913,591261]","[-0.116016,1.33278]","[-0.208818,2.93259]","[632298,1.19956e+06]","[95158.5,40410.4]","[0,0]","[0.846397,2.39297]","[0.713686,0.812252]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3439.53]",18893.8,"[19942.1,4157.55]","[]","[26807.8,21811.5]","[]"
1110,284500,15082711,361106,1942.69,1950.53,1.50278e+11,1.22586,0.988076,1,1,1,0.99693,1.00306,1,1,0,0,2,"[1,1]","[1,1]","[172023,89289.4]","[0.885217,0.49691]","[2.71199,2.10048]","[243940,100542]","[-0.0515327,-0.101345]","[-1,1]","[11,11]","[1,1]","[0,0]","[-489.716,-1134.8]","[0.0441149,0.072749]","[4.32714,5.22203]",22116.5,2.79132,4,"[137789,57082.1,45703.3,22670.8]","[0.69508,0.0550566,2.1069,2.04858]","[-0.730519,-0.863277,0.249197,-1.43709]","[172941,57914.4,190985,89484.4]","[0.989939,0.996154,0.839735,0.990893]","[0,0,0,0]","[0,0,0,0]","[-0.94638,-0.808916,-0.932256,-0.7091]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[281285]","[0.839434]","[2.46724]","[400516]","[105589]","[1]","[0.557825]","[0.28701]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1631.85,225.976]",7205.65,"[11871.1,3218.16,3541.87,1735.98]","[]","[28814.2]","[]"
1142,284500,15392630,361106,1940.95,1950.53,1.50278e+11,1.26205,0.97949,1,1,1,0.971498,0.99672,1,1,0,0,1,"[1]","[1]","[76409.6]","[0.800495]","[1.26529]","[102227]","[-0.0330935]","[1]","[11]","[1]","[0]","[-1125.74]","[0.00922311]","[1.24827]",50199.5,-2.09605,4,"[224333,117943,20996,20327.5]","[-0.235795,-1.52158,-0.957247,-0.431602]","[-2.09833,-0.622451,-0.852355,-0.514547]","[231112,283118,31844.4,22653.1]","[0.989689,0.996664,0.913478,0.605801]","[4,4,0,0]","[0,0,0,0]","[-0.852925,-0.884285,-0.859699,-0.872906]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[317357]","[1.24989]","[1.55337]","[604621]","[80424.6]","[0]","[0.0154416]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[343.931]",15652.6,"[5392.75,11984.7,1330.41,1146.66]","[]","[10384.7]","[]"
1173,284500,15678996,361106,1940.77,1950.53,1.50278e+11,1.1961,0.984032,1,1,1,0.998505,1.0005,1,1,0,0,2,"[1,1]","[1,1]","[286628,265907]","[2.27463,1.11228]","[0.451673,-2.53914]","[1.40838e+06,448065]","[0.0565262,-0.0441895]","[1,-1]","[11,11]","[1,1]","[0,0]","[-118.516,3109.5]","[-0.0333834,-0.0123302]","[2.14086,1.66049]",14073.9,0.846384,2,"[62687.7,27565.8]","[0.652403,-2.1848]","[2.45934,-1.55882]","[76904.9,124234]","[0.988482,0.980213]","[0,0]","[0,0]","[-0.803194,-0.693701]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[274850]","[1.14552]","[-2.52878]","[475788]","[2511.42]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5163.4,2943.25]",2983.36,"[9739.43,1867.64]","[]","[0]","[]"
1187,284500,15507914,361106,1940.39,1950.53,1.50278e+11,1.21412,0.928667,1,1,1,0.999039,0.99866,1,1,0,0,2,"[1,1]","[1,0]","[250220,29607.2]","[-0.830868,0.108286]","[-2.35448,-1.98883]","[341673,29780.9]","[-0.107214,0.108955]","[1,-1]","[11,11]","[1,1]","[0,0]","[-531.02,5374.59]","[-0.0133899,-0.0180236]","[1.54608,1.5201]",70741.7,-1.9518,2,"[302754,31162.6]","[-0.905394,0.042996]","[0.915518,0.868756]","[436215,32172.7]","[0.999606,0.977304]","[0,0]","[0,0]","[-0.779711,-0.898084]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[302306,265152]","[-0.910231,-0.843838]","[0.919677,-2.36035]","[437454,365291]","[29947,0]","[0,1]","[3.19835,0]","[0.628274,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2647.36,88.3156]",569.328,"[4028.26,1938.02]","[]","[7373.72,8441.59]","[]"
1195,284500,15710382,361106,1940.81,1950.53,1.50278e+11,1.24168,1.00057,1,1,1,1,1.00936,1,1,0,0,2,"[1,1]","[1,1]","[285212,266337]","[0.0403179,-0.359144]","[1.49686,-1.60736]","[285444,283700]","[0.106022,-0.0312729]","[-1,1]","[11,11]","[1,1]","[0,0]","[1736.07,-767.545]","[0.0167023,-0.013982]","[2.95083,1.08714]",24184.3,-1.42642,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[293539,276617]","[0.0689358,-0.337321]","[1.50475,-1.61076]","[294237,292510]","[0.00548638,1910.26]","[0,0]","[0,0]","[-1,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6515.35,1383.71]",261.049,"[]","[]","[32773.7,21399.4]","[]"
1267,284500,16020297,361106,1941.85,1950.53,1.50278e+11,1.74563,0.98089,1,1,1,0.999125,0.99866,1,1,0,0,1,"[1]","[1]","[183132]","[-0.938155]","[-0.610916]","[269810]","[-0.0397501]","[-1]","[11]","[1]","[1430.68]","[4848.36]","[0.0229018]","[3.21951]",9034.69,0.438685,2,"[264027,82538.4]","[-1.48433,-1.45828]","[2.41925,-1.06641]","[613765,187082]","[0.996164,0.999578]","[0,0]","[0,0]","[-0.978813,-0.986301]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[279839,279956]","[-1.07547,-1.47921]","[-0.725619,2.42725]","[465741,647792]","[85160.6,43611.1]","[0,0]","[0.68316,1.54226]","[0.406094,0.826662]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1739.23]",897.97,"[4551.57,2504.61]","[]","[15104.7,4804.12]","[]"
1317,284500,16359396,361106,1941.03,1950.53,1.50278e+11,1.25133,0.95674,1,1,1,0.988599,0.99866,1,1,0,0,2,"[1,1]","[1,1]","[159058,86667.4]","[-1.15145,-1.6377]","[-0.354007,-2.25863]","[276677,231305]","[0.0654449,0.0596752]","[-1,1]","[11,11]","[1,1]","[4305.12,0]","[1302.66,-311.317]","[-0.0140567,-0.00528855]","[2.0412,0.279771]",8805.01,1.57651,2,"[270855,166733]","[-1.13513,-0.603492]","[2.15087,-1.03425]","[465686,199166]","[0.999362,1]","[4,0]","[0,0]","[-0.59481,-0.915118]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[312580,285727]","[-0.942496,-1.13068]","[-0.686702,2.14515]","[488976,489732]","[160171,32164.1]","[0,0]","[0.520825,2.38118]","[0.749212,0.76621]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2860.26,825.64]",151.687,"[7512.22,4602.67]","[]","[18198.6,6315.91]","[]"
1550,284500,14765402,361106,1942.2,1950.53,1.50278e+11,0.738662,0.904719,1,1,1,0.99866,1.01265,1,1,0,0,2,"[1,1]","[1,0]","[249116,23663]","[1.73819,1.33694]","[2.69925,1.4835]","[730272,48154.7]","[0.00437355,-0.0607319]","[1,-1]","[11,11]","[1,1]","[0,0]","[5266.89,-65.9478]","[0.0306468,0.011299]","[3.36956,0.729428]",31251.3,1.78499,2,"[216183,137130]","[0.592301,1.12996]","[-0.0146242,-1.45938]","[255845,234831]","[0.979512,0.995495]","[0,0]","[0,0]","[-0.936704,-0.689459]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[264535]","[1.74604]","[2.69833]","[781221]","[2492.67]","[0]","[15.4527]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3900.62,159.745]",7671.34,"[5146.7,8274.79]","[]","[4818.28]","[]"
