event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
6112,284500,232080,364113,1,0.143925,1.00798e+06,1.22586,1,0.9961,1,1,0.993073,0.956342,1,0,1,0,2,"[1,1]","[1,1]","[283518,52631.6]","[-0.21029,-0.793377]","[3.06172,2.57468]","[289810,70083.4]","[0.015564,-0.0569382]","[-1,1]","[13,13]","[1,1]","[0,0]","[-640.786,-808.733]","[-0.0228801,-0.0157117]","[3.24368,2.6107]",27809.3,2.41133,5,"[633242,117035,66536.3,35660,27957.2]","[0.869007,-0.694343,2.47703,0.668139,0.945365]","[-0.254083,-2.63404,2.51943,-2.91426,0.32997]","[888931,146931,399119,44624.3,41765.2]","[1,0.994363,0.985372,0.980372,0.981796]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.408486,-0.950545,-0.766665,-0.853088,-0.894615]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[576220]","[0.912843]","[-0.24583]","[834213]","[35953.4]","[0]","[2.70646]","[0.588347]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[13150.9,126.924]",2625.53,"[11298.9,3415.92,2860.86,4800.91,5137.33]","[]","[18538.9]","[]"
7050,284500,236878,364113,1,0.143925,1.00798e+06,0.619412,1,0.992749,1,1,0.990845,0.990935,1,0,1,0,2,"[1,1]","[1,1]","[107868,37791]","[-1.02503,-1.17028]","[0.151426,1.76405]","[169674,66761.4]","[0.0336809,-0.00214005]","[1,-1]","[13,13]","[1,1]","[2815.58,0]","[-316.867,-639.744]","[-0.0162467,-0.0239227]","[2.56657,2.92585]",14160.8,-2.04025,7,"[724549,446555,380378,57179.9,33046.9,26314.1,25910.3]","[-1.12534,0.716812,-0.600913,0.0100595,-0.909659,0.462614,1.24369]","[-2.12726,0.427169,1.91681,1.82433,-1.3569,1.13506,-1.21218]","[1.23548e+06,566800,451534,57630.3,47974.3,29682.8,49030.8]","[0.999719,0.997589,1,0.99,0.729106,0.596054,0.988127]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[-0.262901,-0.593375,-0.960885,-0.773978,-0.0471409,-0.877073,-0.772823]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",3,"[718347,449381,436217]","[-1.12887,-0.543433,0.714358]","[-2.13004,1.90632,0.424026]","[1.22806e+06,525102,552478]","[55948.9,89688.2,12613.3]","[0,0,0]","[2.06047,1.7212,2.24799]","[0.798527,0.66595,0.0924082]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[236.871,509.329]",4309.01,"[11359.5,11898.2,8478.42,2989.54,2062.94,1531.53,1261.54]","[]","[19615.5,21475.8,16396.8]","[]"
12379,284500,241847,364113,1,0.143925,1.00798e+06,1.21412,1,0.992904,1,1,0.951605,0.942752,1,0,1,0,1,"[1]","[1]","[79001]","[0.167396]","[-0.282116]","[80110.5]","[0.0169158]","[-1]","[13]","[1]","[0]","[536.715]","[0.003802]","[0.654052]",72259.3,-1.25662,4,"[523490,402461,62901.2,31048.3]","[-0.445542,-0.533899,-0.65629,-1.16692]","[3.0761,0.251015,-0.74602,3.09714]","[580422,461614,77459.9,55103.1]","[0.988165,0.999384,0.995122,0.977125]","[4,0,0,0]","[0,0,0,0]","[-0.952915,-0.882409,-0.957125,-0.878107]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[519625,404423]","[-0.451143,-0.532242]","[3.0729,0.254502]","[578321,463507]","[75224.9,20103.9]","[0,0]","[1.32249,3.26027]","[0.751664,0.584336]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[892.033]",1016.01,"[12353.3,5110.27,2565.47,4425.4]","[]","[45395.2,6656.72]","[]"
17924,284500,160527,364113,1,0.143925,1.00798e+06,1.24168,1,0.985209,1,1,0.996157,1.05554,1,0,1,0,2,"[1,1]","[1,1]","[94611.1,54950.4]","[0.850908,1.87363]","[3.0724,-2.73579]","[130980,183135]","[-0.0818024,0.00866699]","[1,-1]","[13,13]","[0,1]","[0,0]","[-404.969,-169.197]","[-0.0230996,0.00196591]","[4.5894,0.271723]",46971.4,2.55034,1,"[613135]","[-0.673537]","[-0.938293]","[758141]","[0.984338]","[0]","[0]","[-0.467472]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[596532]","[-0.736852]","[-0.941189]","[766433]","[27566.9]","[0]","[3.62325]","[0.397879]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[993.988,580.503]",22295.7,"[16248.9]","[]","[25249.3]","[]"
20658,284500,184658,364113,1,0.143925,1.00798e+06,1.08735,1,0.998822,1,1,0.994506,0.995954,1,0,1,0,1,"[1]","[1]","[31526.5]","[1.26606]","[-3.07877]","[60354.2]","[0.000137329]","[1]","[13]","[1]","[0]","[-43.741]","[-0.0122338]","[1.43437]",26628,-0.845822,6,"[518260,296364,224235,84036.6,21923,21533.4]","[0.525452,-0.0494456,-0.135471,0.585877,0.122869,-0.0233133]","[1.4966,-1.78095,-1.06067,-2.43349,2.0509,-0.384541]","[592366,300161,230133,100023,22522.4,21999.8]","[0.997524,0.988385,0.998449,0.999116,0.942045,0.94587]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.970223,-0.675661,-0.468597,-0.930433,-0.7487,-0.499159]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[540328,482152]","[0.544163,-0.0737977]","[1.4955,-1.45158]","[623347,524259]","[35750.4,202753]","[0,0]","[2.87375,0.896001]","[0.488922,0.49539]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[145.677]",1831.81,"[7262.31,3332.14,3492.17,4215.88,2807.64,1670.54]","[]","[10285.4,12345.9]","[]"
26310,284500,34687,364113,1,0.143925,1.00798e+06,1.25133,1,0.988416,1,1,0.990785,1.02324,1,0,1,0,1,"[1]","[1]","[51413.3]","[1.79745]","[1.01748]","[159380]","[0.0358486]","[-1]","[13]","[1]","[0]","[-343.571]","[0.0456834]","[5.61274]",141494,-0.229808,8,"[693327,466374,122907,76858.7,53054.3,44013.6,37805.2,20673.4]","[-0.65563,1.45973,0.0610239,-1.05343,-0.780166,0.203183,0.711209,-0.386282]","[-2.95165,-0.232488,1.8134,2.05573,0.692141,-0.232224,-0.434292,1.12738]","[849915,1.05814e+06,123852,123977,70609.6,45521.3,48045.5,22642.4]","[1,0.993265,0.996797,0.997812,0.976455,0.992905,0.99,0.978814]","[0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0]","[0.287435,-0.966858,-0.904176,-0.893378,-0.811954,-0.907031,-0.677153,-0.877253]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[649974,483825]","[-0.664994,1.42161]","[-2.94823,-0.246572]","[800371,1.06536e+06]","[45735.7,98353]","[0,0]","[1.3269,2.64752]","[0.678512,0.700084]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[181.92]",13498.8,"[21792.2,7272.15,5338.28,7567.74,2046.73,5649.17,2527.64,1156.21]","[]","[22822.8,10774.6]","[]"
33619,284500,224018,364113,1,0.143925,1.00798e+06,0.187531,1,0.998924,1,1,0.986035,0.974253,1,0,1,0,1,"[1]","[1]","[73133.4]","[-2.07776]","[2.12019]","[296621]","[-0.139437]","[1]","[13]","[1]","[0]","[-230.04]","[0.0207644]","[3.02926]",77379,1.21294,5,"[1.48632e+06,1.2796e+06,471841,193578,30667]","[0.138768,0.175068,0.909518,-1.27835,-0.409206]","[-1.22054,1.71969,-2.92244,0.666539,-1.63183]","[1.50411e+06,1.30049e+06,683107,375600,33620.8]","[0.997903,0.989262,1,0.999783,0.989285]","[0,0,0,0,0]","[0,0,0,0,0]","[0.716876,-0.629347,-0.864055,-0.499015,-0.91574]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",3,"[1.49856e+06,1.26875e+06,456265]","[0.124806,0.161001,0.899961]","[-1.21906,1.71791,-2.92039]","[1.51349e+06,1.28609e+06,655600]","[98959.2,47255,47885]","[0,0,0]","[1.47611,3.70343,1.60063]","[0.619608,0.560336,0.556067]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1313.78]",32146.6,"[29596.4,33082,14883.5,12863,4261.58]","[]","[22916.4,41392.4,19110.3]","[]"
34458,284500,226706,364113,1,0.143925,1.00798e+06,0.75088,1,0.985906,1,1,0.989715,1.01423,1,0,1,0,1,"[1]","[1]","[54113.3]","[1.64115]","[-1.61835]","[144884]","[-0.0244589]","[1]","[13]","[1]","[0]","[-535.387]","[0.0463957]","[5.24824]",64995.7,-0.592274,4,"[835000,807764,97715.2,23547.6]","[-0.945375,1.02881,-1.37273,-0.822105]","[2.91897,-0.165244,2.45896,-2.80608]","[1.23782e+06,1.27517e+06,205694,32200.4]","[0.992152,0.991087,0.993773,0.989782]","[0,0,0,0]","[0,0,0,0]","[-0.253815,-0.825521,-0.930903,-0.340483]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[888498,819629]","[-0.998152,1.02454]","[2.87227,-0.171144]","[1.37912e+06,1.28898e+06]","[165995,23129]","[0,0]","[2.25932,6.56857]","[0.8083,0.530093]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[585.39]",13326.7,"[18580,12455.4,5017.11,5833.35]","[]","[9750.81,36632.5]","[]"
36988,284500,249907,364113,1,0.143925,1.00798e+06,1.21412,1,0.993199,1,1,1.04294,0.980575,1,0,1,0,2,"[1,1]","[1,0]","[69763.8,16071.8]","[2.04197,0.495373]","[-1.98529,1.66035]","[273319,18084.7]","[-0.0528564,-0.0660286]","[-1,1]","[13,13]","[1,1]","[0,0]","[-205.645,474.599]","[0.000695767,0.0582148]","[0.083589,4.39977]",9876.73,-3.03735,5,"[604153,438158,157152,38133.7,28295.5]","[-0.810111,0.408021,-0.249494,0.973503,-0.798414]","[1.36741,-1.92415,-1.02544,-2.66408,0.849556]","[814558,475671,162544,57950.9,38054.5]","[0.988358,0.999373,0.997228,1,0.898883]","[0,0,0,5,0]","[0,0,0,0,0]","[-0.357473,-0.933125,-0.920639,0.995429,-0.797942]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[616654,437078]","[-0.789205,0.430764]","[1.37146,-1.92429]","[819571,478467]","[33859.1,14074.1]","[0,0]","[2.11165,9.00755]","[0.535455,0.186377]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3316.2,65.2471]",1658.65,"[11528.5,6440.7,5191.36,2044.86,4422.04]","[]","[10625.8,4425.53]","[]"
38672,284500,80756,364113,1,0.143925,1.00798e+06,1.21412,1,0.994187,1,1,0.932244,1.027,1,0,1,0,1,"[1]","[1]","[57417.3]","[0.334933]","[-0.764072]","[60668.1]","[0.00173187]","[1]","[13]","[1]","[0]","[-576.156]","[-0.00621289]","[0.930679]",111225,0.666894,8,"[395457,212213,196613,193634,98950.5,85928.4,35562.1,25103.4]","[0.0550495,0.49493,-0.464523,1.19299,0.0237713,1.59036,-0.859335,0.683539]","[-2.86358,0.73758,0.580812,-1.91411,0.994024,-2.49709,0.980823,0.208789]","[397135,240628,218633,349028,99473.6,219911,49876.5,31468.2]","[0.997004,0.992556,0.990214,0.991954,0.999393,0.996576,0.980112,1]","[0,4,0,0,0,0,4,0]","[0,0,0,0,0,0,0,0]","[-0.707121,0.0205871,-0.921697,-0.94494,-0.910281,-0.90619,-0.153003,-0.910656]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[443823,382088]","[0.00964161,0.0942156]","[0.719676,-2.86192]","[497841,384560]","[225497,24412.2]","[0,0]","[0.853951,5.00101]","[0.267754,0.616365]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[279.364]",18525.8,"[9351.73,2435.81,2240.08,7399.99,2052.89,2256.2,4951.46,1762.65]","[]","[23074.7,21302.9]","[]"
