event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
17,284500,350644,364106,1,23.4374,2.94006e+06,1.26459,1,0.992826,1,1,0.997238,0.898807,1,0,1,0,2,"[1,1]","[1,1]","[177974,72630.4]","[-1.19397,-0.688703]","[-1.54678,-2.1826]","[320635,90546.9]","[-0.0314255,0.0766869]","[1,-1]","[13,13]","[1,1]","[1001.32,2185.28]","[982.083,2937.25]","[-0.00933782,-0.00460548]","[1.35304,0.669666]",31548.1,-2.5931,3,"[243945,34866,22475.4]","[-0.10821,-2.36384,0.869954]","[1.20261,-2.0068,-1.02143]","[247131,187049,31804.6]","[0.998666,0.990651,0.956479]","[0,0,0]","[0,0,0]","[0.440792,-0.179095,-0.712467]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[258608]","[-0.127841]","[1.19772]","[262993]","[34475.5]","[0]","[1.95437]","[0.668054]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[9781.44,962.865]",9983.87,"[10595.5,2172.72,1922.45]","[]","[4347.25]","[]"
39,284500,742827,364106,1,23.4374,2.94006e+06,0.75088,1,0.995413,1,1,0.999221,0.936284,1,0,1,0,1,"[1]","[1]","[217555]","[2.37375]","[2.11661]","[1.17814e+06]","[0.0157137]","[-1]","[13]","[1]","[4247.91]","[189.608]","[0.00327109]","[0.499491]",39694.6,2.01629,1,"[256009]","[1.89767]","[-1.04447]","[873083]","[0.996461]","[0]","[0]","[-0.930302]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[258325]","[1.89416]","[-1.04445]","[878027]","[9732.81]","[0]","[6.85266]","[0.516166]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[71866.5]",18046.7,"[18555.5]","[]","[0]","[]"
110,284500,3707136,364106,1,23.4374,2.94006e+06,0.923924,1,0.996198,1,1,0.999655,0.929528,1,0,1,0,2,"[1,1]","[1,0]","[270627,7291.23]","[-0.844902,0.661919]","[2.51469,-2.28703]","[373107,8948.31]","[0.0587635,0.0390272]","[-1,1]","[13,13]","[1,1]","[6411.27,0]","[4696.62,477.567]","[0.00224783,-0.0134274]","[0.427006,0.730661]",21158.6,-1.07532,1,"[268435]","[-0.640889]","[-0.573331]","[326571]","[0.996244]","[0]","[0]","[-0.950529]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[267939]","[-0.651122]","[-0.573919]","[327851]","[26584.2]","[0]","[1.85374]","[0.877181]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4673.83,25.1151]",21158.6,"[2362.27]","[]","[14619.6]","[]"
141,284500,1189252,364106,1,23.4374,2.94006e+06,0.696077,1,0.987765,1,1,0.99838,0.955691,1,0,1,0,2,"[1,1]","[1,0]","[237149,14452]","[-0.887881,-1.41674]","[2.69407,1.06016]","[336930,31550.2]","[0.0131493,-0.0925636]","[1,-1]","[13,13]","[1,1]","[1560.85,0]","[-221.496,-175.636]","[0.0377869,0.0153995]","[8.80126,1.2404]",21452.6,-0.766732,2,"[265579,23681.6]","[-1.8776,-0.207384]","[-0.504161,2.59453]","[888841,24602.3]","[0.987074,0.980931]","[0,0]","[0,0]","[-0.877601,-0.655126]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[280228]","[-1.87054]","[-0.501938]","[931477]","[23839.4]","[0]","[2.44991]","[0.664107]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[14765,80.5025]",8713.79,"[11478.6,2151.77]","[]","[8810.19]","[]"
157,284500,896915,364106,-1,23.4374,2.94006e+06,0.506784,1,0.991797,1,1,0.997628,0.733023,1,0,1,0,2,"[1,1]","[1,1]","[168258,104617]","[-0.72681,-1.23992]","[-1.95681,-2.36612]","[214691,195882]","[-0.0123444,-0.0335312]","[-1,1]","[13,13]","[1,0]","[0,0]","[-287.493,-287.493]","[0.00232577,-0.0206723]","[0.320147,2.49321]",15197.4,2.91338,2,"[253287,25422.5]","[-1.31707,-1.38295]","[1.06656,-0.130152]","[507072,53949.4]","[1,0.644016]","[0,0]","[0,0]","[-0.690981,-0.932375]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[262643]","[-1.29086]","[1.06858]","[513953]","[19220.2]","[0]","[1.7879]","[0.637237]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[10355.6,1973.26]",4344.09,"[6906.47,2533.24]","[]","[27497.8]","[]"
186,284500,169350,364106,-1,23.4374,2.94006e+06,0.619412,1,0.9958,1,1,0.998222,0.988683,1,0,1,0,2,"[1,1]","[1,1]","[224268,67076.9]","[-1.10874,-0.525509]","[0.107476,-0.390925]","[376830,76554]","[-0.00816512,0.00673413]","[1,-1]","[13,13]","[1,1]","[0,0]","[-593.467,790.458]","[-0.00973665,-0.00973866]","[2.28692,1.78218]",16173,2.61981,3,"[248620,37631,20155.5]","[0.816253,0.160032,-0.397244]","[-3.11001,2.64206,-1.13274]","[337429,38582.8,22190]","[0.997249,0.995289,0.972197]","[0,0,0]","[0,0,0]","[-0.72604,-0.849053,-0.940028]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[260135]","[0.768868]","[3.12229]","[347062]","[65165.5]","[0]","[2.04382]","[0.450942]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[22628.6,415.833]",8992.87,"[2898.58,10582.2,1530.24]","[]","[18708]","[]"
229,284500,3621337,364106,1,23.4374,2.94006e+06,0.75088,1,0.982687,1,1,0.999657,0.999379,1,0,1,0,2,"[1,1]","[1,1]","[175884,73123.6]","[-1.91637,-1.89501]","[-1.40423,-0.682358]","[610617,248728]","[0.0119362,-0.0159264]","[-1,1]","[13,13]","[1,1]","[0,0]","[-250.771,-250.771]","[-0.00155796,0.000176233]","[0.254795,0.018674]",29698.1,-0.826845,1,"[267098]","[-0.852848]","[1.98031]","[370504]","[0.995829]","[0]","[0]","[-0.867993]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[264632]","[-0.88181]","[1.97622]","[374473]","[9123]","[0]","[1.85029]","[0.0760796]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3211.57,1837.95]",4449.31,"[5593.69]","[]","[278.25]","[]"
294,284500,4338378,364106,1,23.4374,2.94006e+06,0.923924,1,0.992303,1,1,0.999639,0.990935,1,0,1,0,2,"[1,1]","[1,1]","[153950,135508]","[-1.15248,-1.30644]","[1.5596,0.947759]","[268018,268562]","[7.9155e-05,0.0316515]","[1,-1]","[13,13]","[1,1]","[0,0]","[-474.055,-666.614]","[-0.00315462,-0.0014062]","[0.634729,0.277596]",29312.4,2.76271,1,"[260456]","[-1.00854]","[-1.81607]","[404854]","[0.994364]","[0]","[0]","[-0.405185]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[252035]","[-1.0035]","[-1.82104]","[390110]","[11214.7]","[0]","[4.88661]","[0.404476]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4411.55,7177.8]",2494.92,"[8784.03]","[]","[0]","[]"
313,284500,919582,364106,1,23.4374,2.94006e+06,1.25133,1,0.993996,1,1,0.999675,0.959462,1,0,1,0,2,"[1,1]","[1,1]","[154119,123735]","[0.0212054,0.680512]","[1.25583,1.09927]","[154154,153509]","[-0.0190887,-0.0574722]","[-1,1]","[13,13]","[1,1]","[0,0]","[-175.831,-508.487]","[0.00901745,0.0129607]","[2.06296,1.97114]",20348.2,1.90337,1,"[286227]","[-0.99241]","[-1.8914]","[439935]","[0.999419]","[0]","[0]","[-0.843204]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[266260]","[-0.959434]","[-1.89665]","[398807]","[15612.2]","[0]","[1.32715]","[0.188812]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4412.6,3058.19]",9734.61,"[13453.8]","[]","[1691.91]","[]"
334,284500,3858216,364106,1,23.4374,2.94006e+06,1.24168,1,0.991761,1,1,0.999646,0.923946,1,0,1,0,2,"[1,1]","[1,1]","[174192,64823.7]","[-0.0597789,-0.793211]","[-0.518689,-0.783643]","[174503,86308.7]","[-0.00151253,-0.0372868]","[-1,1]","[13,13]","[1,1]","[1953.13,0]","[934.635,-324.407]","[0.0161388,0.0027156]","[2.29719,0.520453]",48968.9,-0.938699,1,"[261818]","[0.558752]","[2.41352]","[303958]","[0.99]","[0]","[0]","[-0.639755]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[264516]","[0.549874]","[2.41517]","[305634]","[8200.28]","[0]","[0.38508]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6677.18,235.984]",6317.12,"[5376.44]","[]","[15067.2]","[]"
