event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
55,284500,70028,364111,1,1.46836,1.85421e+06,1.22586,1,0.989777,1,1,0.977277,0.925018,1,0,1,0,2,"[1,1]","[1,1]","[250788,106437]","[-0.554599,-0.194205]","[2.68277,2.2826]","[290356,108451]","[-0.0279617,0.0186768]","[-1,1]","[13,13]","[1,1]","[0,0]","[-160.705,-96.8026]","[-0.00527472,-0.0236414]","[1.08194,4.59532]",22902.4,-0.420817,1,"[320018]","[-1.62561]","[-0.592165]","[845055]","[0.99642]","[5]","[0]","[0.999072]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[320033]","[-1.64375]","[-0.589811]","[859406]","[28484.5]","[0]","[2.23336]","[0.701147]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[7632.62,805.153]",11751.9,"[12602.9]","[]","[5910.59]","[]"
128,284500,73526,364111,1,1.46836,1.85421e+06,1.32095,1,0.987056,1,1,0.999183,0.768756,1,0,1,0,2,"[1,1]","[1,1]","[234353,176558]","[0.505548,0.351792]","[2.01762,1.61886]","[264944,187596]","[0.106674,-0.0078392]","[-1,1]","[13,13]","[1,1]","[0,0]","[-149.088,-25.3865]","[0.0147035,0.018716]","[3.07373,3.44141]",23464.7,-0.343878,2,"[361690,48436.8]","[1.14781,0.890798]","[-1.26015,-2.05502]","[629072,69202.8]","[0.999922,0.97895]","[0,0]","[0,0]","[-0.461767,-0.659947]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[383471]","[1.14628]","[-1.33981]","[673750]","[112893]","[0]","[1.94575]","[0.553561]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[13480.6,9399.07]",5219.05,"[10807.5,2836.98]","[]","[1441.34]","[]"
377,284500,662,364111,1,1.46836,1.85421e+06,0,1,0.987215,1,1,1.03017,0.952143,1,0,1,0,1,"[1]","[1]","[372022]","[-0.354486]","[1.20952]","[395642]","[-0.00773621]","[1]","[13]","[1]","[0]","[318.898]","[0.0172744]","[4.15878]",14865.9,2.98117,1,"[385106]","[1.09674]","[-1.89831]","[641298]","[0.995885]","[5]","[0]","[0.139269]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[406507]","[1.07241]","[-1.89843]","[663745]","[16421.6]","[0]","[3.39991]","[0.498753]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[20873]",213.494,"[5799.28]","[]","[51630.6]","[]"
396,284500,18421,364111,1,1.46836,1.85421e+06,1.1961,1,0.995149,1,1,0.973765,1.1034,1,0,1,0,1,"[1]","[1]","[37071.5]","[-0.909971]","[-0.45188]","[53508.9]","[-0.046772]","[-1]","[13]","[0]","[0]","[2245.88]","[0.0367629]","[4.8043]",16292.8,-0.280893,4,"[274223,32780,26398.2,20944.2]","[-1.20412,-1.24175,-1.76658,-0.989475]","[-2.55335,2.88183,0.849936,0.471614]","[499205,61843.2,79689.3,32443.4]","[0.993632,0.861042,1,0.993373]","[5,0,0,0]","[0,0,0,0]","[0.998833,-0.556435,-0.113127,-0.904859]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[263892]","[-1.25183]","[-2.61367]","[502602]","[59115.9]","[0]","[2.22912]","[0.669995]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[54.9409]",1050.32,"[3246.78,1981.16,3302.93,1444.86]","[]","[4836.58]","[]"
528,284500,208928,364111,1,1.46836,1.85421e+06,1.21412,1,0.985651,1,1,0.996904,0.993119,1,0,1,0,2,"[1,1]","[1,1]","[185214,183836]","[-1.94068,-1.33331]","[-2.56293,-1.20116]","[658167,372929]","[0.0256901,-0.0277119]","[1,-1]","[13,13]","[1,1]","[0,0]","[1275.66,-967.589]","[-0.0106719,-0.00899128]","[2.15489,1.69465]",43952.5,-1.71449,4,"[321504,77535.4,46432.2,21104.8]","[-0.904641,-0.504996,-2.42712,0.537724]","[1.41548,-0.603455,3.07099,1.00884]","[462849,88639.9,265026,24878.3]","[0.990098,0.9903,0.99054,0.905198]","[0,0,0,0]","[0,0,0,0]","[-0.915551,-0.942477,-0.948872,-0.763354]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[312771]","[-0.915086]","[1.41692]","[453709]","[23077.7]","[0]","[1.16366]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[382.79,4259.67]",7321.43,"[5862.51,4276.52,6061.1,1249.9]","[]","[5472.28]","[]"
558,284500,406,364111,1.64391,1.46836,1.85421e+06,0.738662,1,0.993821,1,1,0.96961,0.988764,1,0,1,0,2,"[1,1]","[1,1]","[165285,43842]","[-0.902737,-1.2036]","[1.89278,2.89419]","[237333,79621.3]","[-0.0241051,-0.000865936]","[1,-1]","[13,13]","[1,1]","[0,0]","[-410.828,-469.652]","[-0.0133263,-0.0186567]","[2.69126,2.15836]",19324.9,1.22564,2,"[253381,22881.3]","[1.63921,-1.59557]","[-1.09933,-2.33107]","[677338,58930.6]","[0.990136,0.948381]","[5,5]","[0,0]","[0.996601,0.99729]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[261211]","[1.62668]","[-1.0986]","[690154]","[11442.9]","[0]","[2.87357]","[0.643554]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5492.52,1166.79]",1358.8,"[8178.82,3632.07]","[]","[11253.1]","[]"
835,284500,61179,364111,1,1.46836,1.85421e+06,0.738662,1,0.985869,1,1,0.976839,0.999478,1,0,1,0,2,"[1,1]","[1,0]","[153591,15860.6]","[-1.23542,-0.482518]","[1.39516,-2.37753]","[286488,17743.3]","[0.0431061,-0.0264282]","[1,-1]","[13,13]","[1,1]","[0,0]","[-709.144,-13.6215]","[-0.00560261,-0.000396426]","[0.951095,0.027989]",17100.9,-1.86979,2,"[272782,25050.7]","[-1.53773,-0.132896]","[-2.3624,-3.06199]","[665177,25773]","[0.998514,0.979458]","[5,0]","[0,0]","[0.985795,-0.802491]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[265180]","[-1.53203]","[-2.35349]","[642981]","[31221.7]","[0]","[1.58015]","[0.816669]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[12804.4,74.2162]",5799.5,"[17009.1,2214.61]","[]","[14543.8]","[]"
853,284500,568771,364111,-1,1.46836,1.85421e+06,0.696077,1,0.991012,1,1,0.997508,0.927834,1,0,1,0,2,"[1,1]","[1,1]","[426066,52800.9]","[-0.851308,-1.31422]","[-2.64087,-3.03467]","[590008,105352]","[-0.0540066,0.00999832]","[-1,1]","[13,13]","[1,1]","[0,1831.88]","[554.206,752.632]","[0.0261748,0.0239292]","[7.12945,4.06922]",22947,2.06539,2,"[478924,21369.6]","[-0.851399,-0.215536]","[0.413292,-1.86211]","[668185,22366]","[1,0.994468]","[0,0]","[0,0]","[-0.706625,-0.539706]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[489499]","[-0.861529]","[0.414502]","[687969]","[85168]","[0]","[0.709469]","[0.504111]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[19070.8,395.824]",1183.27,"[8653.3,1696.81]","[]","[38073.1]","[]"
907,284500,113732,364111,2.75433,1.46836,1.85421e+06,1.24168,1,0.993997,1,1,0.99272,0.938744,1,0,1,0,1,"[1]","[1]","[218157]","[0.466709]","[-2.62459]","[242350]","[-0.0141754]","[-1]","[13]","[1]","[0]","[624.212]","[-0.0200812]","[3.71361]",36030.8,-0.698802,4,"[290908,47547.3,43922.4,23247]","[-0.450174,-2.32033,1.56133,-0.459519]","[0.83055,-1.97433,-1.4982,2.96743]","[321523,244389,109483,26071.6]","[1,0.98403,0.993641,0.99]","[5,5,4,0]","[0,0,0,0]","[0.982506,0.890493,-0.058348,0.563119]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[301374]","[-0.42151]","[0.828233]","[329429]","[24104.7]","[0]","[2.32042]","[0.73159]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[9704.7]",291.645,"[10946.4,2681.15,5113.05,4472.75]","[]","[19625.5]","[]"
1116,284500,586001,364111,1.23676,1.46836,1.85421e+06,1.1961,1,0.986606,1,1,0.996506,0.924334,1,0,1,0,2,"[1,1]","[1,1]","[305328,55980.1]","[0.946375,1.65659]","[1.37083,1.32762]","[452573,152047]","[-0.00936127,0.0213852]","[-1,1]","[13,13]","[1,1]","[2047.76,1737.5]","[6534.97,280.689]","[-0.00486204,-0.00844979]","[1.04321,0.998526]",33444.9,-0.585312,4,"[196931,134369,42258,22076.3]","[1.09025,1.25425,-1.2825,0.375981]","[-1.32434,-1.86158,-1.95678,2.70894]","[326859,255141,82205.7,24206.1]","[0.993504,0.973369,0.996771,0.994623]","[0,0,0,0]","[0,0,0,0]","[0.106472,-0.597464,-0.716678,-0.617634]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[327119]","[1.15115]","[-1.53849]","[577163]","[97451.6]","[0]","[0.985724]","[0.763996]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[18898.6,786.526]",2350.75,"[4224.27,14614.5,2536.23,2366.32]","[]","[9867.94]","[]"
