event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
113,284500,23375,364110,1,2.21483,906361,0.696077,1,0.996303,1,1,0.992673,0.996049,1,0,1,0,1,"[1]","[1]","[68948.1]","[-2.01019]","[0.682711]","[261958]","[-0.155598]","[1]","[13]","[1]","[0]","[548.073]","[-0.0206543]","[2.89796]",83005,1.42161,8,"[139087,93813.1,77110.5,49171.2,42595.2,28325,22256.3,21301.7]","[1.16287,-1.27589,0.46241,1.69276,-1.51204,-2.07744,0.943074,0.883505]","[-2.16462,1.95206,-1.81095,-1.59477,0.468601,-0.305968,-2.83355,0.949151]","[245464,181596,85782.1,138317,101532,114953,33154.3,30364.8]","[0.991568,0.996917,0.990024,0.936841,0.995685,0.989267,0.993554,0.988939]","[0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0]","[-0.472328,-0.94866,-0.83383,-0.804077,-0.932748,-0.795491,-0.794978,-0.718276]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[250492]","[1.13389]","[-1.93617]","[448533]","[129170]","[0]","[1.2584]","[0.40979]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1070.67]",12582.7,"[3309.5,7449.18,3523.26,3108.17,3920.01,2973.91,2381.46,1647.15]","[]","[0]","[]"
388,284500,46185,364110,1.00211,2.21483,906361,1.26205,1,0.995099,1,1,0.997745,0.817035,1,0,1,0,2,"[1,1]","[1,1]","[205099,97025.4]","[0.693624,1.22576]","[0.287244,0.684203]","[256447,179511]","[0.0484352,-0.0442047]","[1,-1]","[13,13]","[1,1]","[2345.78,0]","[-597.821,3089.85]","[0.00274689,0.00317001]","[0.558808,0.559413]",18200.4,0.583596,3,"[310639,46188.5,33495.6]","[0.568038,0.107679,-2.08372]","[-2.62817,1.51298,-2.10943]","[362900,46966.5,136796]","[0.991179,0.9844,0.969932]","[0,0,0]","[0,0,0]","[-0.893398,-0.613781,-0.811147]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[308723]","[0.559005]","[-2.6226]","[358992]","[23411.2]","[0]","[4.92704]","[0.241219]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[931.389,4198.57]",3449.61,"[3945.66,5038.19,4499.36]","[]","[29520.1]","[]"
484,284500,45101,364110,1.00522,2.21483,906361,1.25133,1,0.993207,1,1,0.998092,0.972706,1,0,1,0,2,"[1,1]","[1,1]","[157844,116376]","[-0.207237,-1.17519]","[-0.192706,-1.01101]","[161245,206424]","[0.0613327,-0.0132408]","[1,-1]","[13,13]","[1,1]","[0,0]","[-481.069,-481.069]","[-0.01187,-0.0263875]","[2.22901,4.39999]",19272.4,2.10219,3,"[262751,45375.1,27724.1]","[-0.636088,-1.32112,-0.499784]","[2.79919,0.622774,-1.86232]","[318088,91248.9,31497]","[0.972119,0.9915,0.99]","[0,0,0]","[0,0,0]","[-0.758352,-0.946477,-0.765941]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[259424]","[-0.648823]","[2.80221]","[316295]","[14295.7]","[0]","[2.38435]","[0.530535]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5921.06,9749.9]",15018.5,"[10611.8,9625.5,3316.41]","[]","[0]","[]"
644,284500,40673,364110,1,2.21483,906361,1.1961,1,0.982811,1,1,0.997911,0.87265,1,0,1,0,2,"[1,1]","[1,1]","[267153,48899.2]","[-0.332049,0.183362]","[1.22904,0.638265]","[282016,49723.6]","[-0.00670624,-0.0523453]","[1,-1]","[13,13]","[1,1]","[0,0]","[-1089.17,943.575]","[-0.0178168,-0.0197863]","[3.76083,2.14137]",24169.3,1.44963,3,"[282332,38258.6,26523]","[-0.876657,-1.24733,-0.172749]","[-1.9819,-2.54556,-0.483914]","[398503,72298,27616.6]","[0.999421,0.976356,0.999989]","[0,0,0]","[0,0,0]","[-0.587978,-0.914653,-0.852975]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[277814]","[-0.933495]","[-2.01781]","[411679]","[55592.3]","[0]","[2.75812]","[0.0838265]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[11843.9,142.586]",45770.9,"[13964.2,4891.28,4405.65]","[]","[5826.41]","[]"
698,284500,109472,364110,1,2.21483,906361,0.402058,1,0.996432,1,1,0.969423,0.99828,1,0,1,0,1,"[1]","[1]","[83697.2]","[-2.14746]","[-2.91855]","[363240]","[0.0613785]","[1]","[13]","[1]","[0]","[991.92]","[0.0347062]","[4.10542]",15637.9,1.42223,3,"[400422,45327.8,31961]","[1.90638,0.792378,-0.0384232]","[0.877401,-1.84874,-1.83105]","[1.37794e+06,60642.3,32370.2]","[0.992241,0.984965,0.98]","[4,0,0]","[0,0,0]","[0.0839632,-0.86478,-0.894451]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[409681]","[1.90946]","[0.876933]","[1.41404e+06]","[56513.2]","[0]","[1.71265]","[0.766819]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1230.77]",17255.3,"[10905.8,4308.25,3575.2]","[]","[25748.3]","[]"
756,284500,46959,364110,1,2.21483,906361,0.696077,1,0.994289,1,1,0.998631,0.933939,1,0,1,0,2,"[1,1]","[1,1]","[289058,59195.6]","[-0.882952,-0.146003]","[1.99761,1.97952]","[409247,59827.7]","[-0.0232086,0.00354767]","[-1,1]","[13,13]","[1,1]","[0,0]","[1047.31,-833.007]","[0.00449783,-1.09904e-06]","[0.901704,0.000157375]",44064.8,-0.815193,2,"[324534,104318]","[1.37577,0.264575]","[-0.844893,-2.66838]","[684655,109078]","[0.996406,0.996628]","[0,0]","[0,0]","[0.0983019,-0.953749]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[332897]","[1.39648]","[-0.844301]","[715019]","[41693.5]","[0]","[1.71039]","[0.600866]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3834.08,655.167]",7602.78,"[9657.84,4782.02]","[]","[13748.5]","[]"
875,284500,11763,364110,1.17847,2.21483,906361,1.55465,1,0.997915,1,1,0.997643,0.994389,1,0,1,0,2,"[1,1]","[0,1]","[205903,144350]","[1.02084,1.51328]","[-1.27246,-1.22177]","[322838,343682]","[0.0425186,-0.00432587]","[1,-1]","[13,13]","[1,1]","[0,0]","[135.808,-338.743]","[-0.0307193,-0.025389]","[5.07213,3.94945]",6826.13,-1.04863,3,"[328847,53421.9,33999.8]","[0.342349,-0.543076,2.32015]","[2.13418,0.617644,1.64418]","[349459,61820.4,174756]","[0.998405,0.992425,0.94629]","[0,0,0]","[0,0,0]","[-0.830684,-0.929779,-0.615637]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[322777]","[0.28855]","[2.1393]","[337519]","[28571.2]","[0]","[1.97222]","[0.626661]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2966.38,10293.4]",550.51,"[4230.49,2379.58,2579.02]","[]","[12309.6]","[]"
949,284500,10721,364110,-1,2.21483,906361,1.1961,1,0.995077,1,1,1.48956,0.984584,1,0,1,0,2,"[1,1]","[1,1]","[284279,48177.2]","[0.578319,1.13419]","[0.49973,-0.0450187]","[333158,82632.1]","[-0.0169277,-0.0333023]","[1,-1]","[13,13]","[1,1]","[0,0]","[-1128.21,761.647]","[0.00285949,-0.00303412]","[0.464501,0.343274]",28446,-2.9002,1,"[242921]","[0.302994]","[-2.79046]","[255291]","[0.999821]","[4]","[0]","[0.872391]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[250521]","[0.28798]","[-2.7498]","[263385]","[35504.4]","[0]","[2.66191]","[0.697231]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[10778.7,276.63]",1482.57,"[3415.61]","[]","[0]","[]"
973,284500,4360,364110,1,2.21483,906361,1.55465,1,0.995923,1,1,0.958648,0.985095,1,0,1,0,1,"[1]","[1]","[132840]","[2.12328]","[-1.35678]","[563119]","[0.073864]","[1]","[13]","[1]","[0]","[662.081]","[-0.00873404]","[1.73822]",5961.41,0.715119,5,"[187444,83128.9,71939.9,57826.7,26805.2]","[-0.362707,-0.960274,1.42837,0.689726,0.231343]","[2.07341,1.70688,-0.985608,-1.64229,2.35929]","[201568,124956,159065,72710.7,28119.3]","[0.992792,0.996343,0.992679,0.994264,0.991447]","[4,0,0,0,0]","[0,0,0,0,0]","[0.806598,-0.934431,-0.958129,-0.823937,-0.844269]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[252658]","[-0.549859]","[1.96306]","[305478]","[90303.8]","[0]","[1.19136]","[0.592552]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[11023.7]",679.234,"[1581.56,2208.85,5114.56,2544.27,1821.15]","[]","[11367.2]","[]"
976,284500,3691,364110,1,2.21483,906361,0,1,0.998201,1,1,1.24089,0.963046,1,0,1,0,2,"[1,1]","[1,1]","[217260,163885]","[0.516205,0.975558]","[1.44717,1.47234]","[246854,248256]","[0.0170212,0.0498657]","[1,-1]","[13,13]","[1,1]","[0,0]","[1386.87,2453.88]","[0.0157736,0.0123635]","[3.48509,2.06561]",9421.97,-1.32761,3,"[388258,91742.4,53614.1]","[-0.363572,-1.62185,-0.311098]","[-1.81104,-0.417328,2.08011]","[415061,241835,57680.8]","[0.999551,0.992411,0.993136]","[0,0,0]","[0,0,0]","[-0.841403,0.982408,-0.693093]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[391837]","[-0.33532]","[-1.81323]","[414831]","[25072.5]","[0]","[2.59174]","[0.61751]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[20514.6,5337.22]",6863.21,"[8243.12,8592.25,3648.96]","[]","[13055.5]","[]"
