event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
308,284500,2817540,361107,1941.72,1950.63,1.46764e+11,1.08735,1,0.987501,1,1,0.984608,0.972705,1,0,1,0,2,"[1,1]","[1,1]","[150430,90664.5]","[-2.39607,-1.61278]","[-0.999487,-1.08292]","[832705,236456]","[-0.0738449,-0.0962524]","[1,-1]","[13,13]","[1,1]","[1639.27,0]","[-289.272,-289.272]","[0.0128624,-0.00526591]","[2.48546,0.722357]",39011.2,-2.2372,2,"[266587,24065.4]","[-1.24289,1.31487]","[1.64686,-2.01332]","[500974,48297.1]","[0.992888,1]","[0,5]","[0,0]","[-0.926061,0.857919]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[265647]","[-1.23502]","[1.64606]","[495910]","[23848.6]","[0]","[2.23889]","[0.651955]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[9667.35,2072.6]",21495.4,"[17283.4,3243.06]","[]","[23099.9]","[]"
704,284500,41634305,361107,1940.83,1950.63,1.46764e+11,0.923924,1,0.99186,1,1,1.00397,0.668725,1,0,1,0,2,"[1,1]","[1,1]","[306949,40279.3]","[0.514736,-0.0701464]","[0.651767,0.30644]","[348519,40378.6]","[-0.00203705,-0.105282]","[-1,1]","[13,13]","[1,1]","[0,0]","[-652.051,-652.051]","[-0.0147894,-0.015285]","[3.0903,2.16971]",53061.8,2.47639,4,"[222953,159181,73490.6,28392.2]","[1.38367,0.618822,1.05119,1.1046]","[-1.68911,2.61769,-2.25172,-0.967379]","[473325,191120,118436,47912.2]","[0.991956,0.99,1,0.987426]","[0,0,0,4]","[0,0,0,0]","[-0.734199,-0.947104,-0.965554,0.699621]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[277466]","[1.32511]","[-1.81064]","[565518]","[86468.8]","[0]","[1.36786]","[0.845645]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[7566.5,224.858]",840.145,"[4184.67,2194.43,6733.14,1929.38]","[]","[17429.1]","[]"
825,284500,41307439,361107,1941.67,1950.63,1.46764e+11,0.402058,1,0.974279,1,1,0.999065,0.829622,1,0,1,0,2,"[1,1]","[1,1]","[177149,51391.3]","[0.245396,-0.566372]","[-0.299198,0.275331]","[182509,59856.7]","[0.0781183,0.0380077]","[-1,1]","[13,13]","[1,1]","[1485.12,0]","[-412.931,-412.931]","[0.00592022,0.0021796]","[1.16176,0.316139]",5365.65,1.6094,2,"[308707,100253]","[-0.0371088,0.50269]","[3.12842,0.285918]","[315370,113861]","[1,0.999228]","[0,0]","[0,0]","[-0.911824,-0.89406]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[285399]","[-0.0273097]","[3.12891]","[291391]","[58270]","[0]","[0.962303]","[0.71221]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3666.52,119.303]",30438.5,"[3495.16,7081.53]","[]","[1173.91]","[]"
908,284500,42227299,361107,1941.4,1950.63,1.46764e+11,0,1,0.985988,1,1,0.997876,0.815837,1,0,1,0,2,"[1,1]","[1,0]","[201215,61594.3]","[0.322863,0.709183]","[1.76375,1.0536]","[211794,77743.6]","[0.0954895,-0.0441895]","[-1,1]","[13,13]","[1,1]","[0,1482.47]","[966.605,-834.808]","[-0.020949,0.00192186]","[3.71688,0.23075]",10827.1,2.32328,3,"[279858,33814.8,31151.6]","[0.097109,0.022302,-1.53569]","[-1.73467,-1.22982,0.827603]","[282060,34390.9,76130.1]","[1,0.952124,0.986822]","[0,0,0]","[0,0,0]","[-0.92536,-0.583635,-0.745196]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[275219]","[0.141532]","[-1.73136]","[278639]","[19152.4]","[0]","[2.19842]","[0.392186]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6551.6,677.27]",7855.55,"[5058.42,4865.07,2291.91]","[]","[4539.72]","[]"
952,284500,42592840,361107,1941.96,1950.63,1.46764e+11,1.26205,1,0.984504,1,1,0.999066,1.01744,1,0,1,0,2,"[1,1]","[1,1]","[257938,72751.1]","[1.11134,0.824673]","[-1.8533,-1.19151]","[434309,98923.9]","[-0.0175972,0.0238075]","[-1,1]","[13,13]","[1,1]","[0,0]","[231.761,-601.927]","[-0.0154787,0.000561707]","[3.08178,0.0743652]",57320.1,-1.30697,2,"[241708,83455.4]","[2.01865,1.40695]","[1.47915,1.55142]","[926338,181143]","[0.995517,0.998114]","[0,0]","[0,0]","[-0.775168,-0.920378]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[297208]","[1.91001]","[1.50758]","[1.02985e+06]","[94001.3]","[0]","[1.33897]","[0.820412]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[15763.8,1122.83]",632.922,"[4748.01,3669.9]","[]","[4912.56]","[]"
1159,284500,41140860,361107,1940.92,1950.63,1.46764e+11,1.24168,1,0.99122,1,1,0.998185,0.985422,1,0,1,0,2,"[1,1]","[0,1]","[145721,37739.6]","[1.06258,1.65289]","[0.990676,2.18728]","[236023,102153]","[-0.00707626,0.0347748]","[-1,1]","[13,13]","[1,1]","[0,0]","[270.296,-15.1629]","[-0.0140708,0.00315908]","[2.78481,0.346526]",29733.5,1.32579,3,"[336101,200701,53693.1]","[1.62266,0.294843,0.0656926]","[-1.88433,1.54095,-0.895476]","[884812,211193,54477.8]","[0.996106,1,0.998016]","[0,0,0]","[0,0,0]","[-0.92985,-0.32134,0.0656313]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[351539]","[1.61315]","[-1.8845]","[917247]","[13901.3]","[0]","[3.88058]","[0.479504]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[14693.9,279.897]",9456.59,"[7422.75,3833.04,5231.97]","[]","[3952.97]","[]"
1162,284500,61240334,361107,1941.43,1950.63,1.46764e+11,1.22586,1,0.99649,1,1,0.999049,0.955365,1,0,1,0,2,"[1,1]","[1,1]","[226284,172398]","[-1.55598,-1.36072]","[2.65605,2.21009]","[560133,358199]","[0.0427427,0.038662]","[-1,1]","[13,13]","[1,1]","[2887.16,2375.68]","[463.143,-693.49]","[-0.00362862,0.00784637]","[0.641862,1.35854]",65219.6,-0.740723,1,"[305769]","[-1.50843]","[-0.700532]","[725594]","[0.994707]","[0]","[0]","[-0.753726]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[309143]","[-1.5218]","[-0.69118]","[742712]","[37685.8]","[0]","[2.11519]","[0.758763]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[7805.39,556.447]",6697.27,"[12789.5]","[]","[13685.7]","[]"
1163,284500,61362220,361107,1941.97,1950.63,1.46764e+11,1.26459,1,0.996124,1,1,0.998501,0.939534,1,0,1,0,2,"[1,1]","[1,1]","[150235,145888]","[-1.42828,-0.848935]","[-2.5924,-2.42111]","[331363,201692]","[0.0178604,-0.0317001]","[1,-1]","[13,13]","[1,1]","[0,0]","[133.657,-928.677]","[-0.00236272,-0.0028088]","[0.490641,0.455609]",35380.3,-0.827782,7,"[172253,115363,110068,90178.9,81506.9,31531.7,27520.3]","[0.762564,-1.4274,-1.64358,-1.22091,1.26529,1.07976,0.901066]","[-0.998738,0.752806,1.26272,1.32159,1.84026,-1.57393,1.42785]","[225966,254422,295554,166586,156359,52328.5,39652.5]","[1,0.991189,0.99997,0.999324,0.998498,0.94712,0.986586]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[-0.964895,-0.808126,-0.938403,-0.829403,-0.80498,-0.872232,0.571871]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[296478]","[-1.48883]","[1.0766]","[698008]","[102554]","[0]","[1.15049]","[0.388738]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[222.15,664.297]",6206.46,"[2325.24,6061.58,2493.69,3841.77,2758.45,1960.84,2094.44]","[]","[20865.2]","[]"
1203,284500,63150358,361107,1941.19,1950.63,1.46764e+11,1.21412,1,0.99668,1,1,0.9982,0.946839,1,0,1,0,2,"[1,1]","[1,0]","[265039,22668.8]","[-1.12363,-1.35004]","[0.866037,-0.145502]","[450713,46661.9]","[-0.00977707,0.0162754]","[-1,1]","[13,13]","[1,1]","[0,0]","[-613.572,-125.98]","[-0.000932978,-0.0101265]","[0.216627,0.919924]",46944.2,-2.17704,3,"[291454,199856,22263.2]","[-0.617783,-0.446774,0.878556]","[-2.88896,-1.04977,2.92103]","[349077,222556,31721.3]","[0.995143,0.999966,0.959366]","[0,0,0]","[0,0,0]","[-0.869476,-0.949125,-0.815533]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[277518]","[-0.625839]","[-2.88546]","[333752]","[7693.36]","[0]","[26.6752]","[0.2774]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[13174.9,60.1592]",6181.06,"[13664.9,3616.87,1698.33]","[]","[14889.4]","[]"
1274,284500,58053566,361107,1941.62,1950.63,1.46764e+11,1.24168,1,0.994001,1,1,0.997604,1.02398,1,0,1,0,2,"[1,1]","[1,1]","[238833,40226.5]","[-0.303794,-0.820824]","[0.24449,0.701125]","[249939,54556.1]","[0.0795765,0.0142965]","[1,-1]","[13,13]","[1,1]","[0,0]","[-375.685,-399.139]","[0.0110716,0.01225]","[1.96003,1.25345]",17793,1.71609,3,"[236269,54519,33456.1]","[-1.26846,-2.00214,2.38003]","[-2.89324,-2.83655,-0.863717]","[453571,205812,182533]","[0.992448,0.998973,0.992934]","[0,0,0]","[0,0,0]","[-0.826007,-0.875028,-0.901982]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[274262]","[-1.41299]","[-2.88818]","[603249]","[88344.6]","[0]","[1.05101]","[0.652382]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[12131.4,61.3108]",5426.2,"[5830.83,9828.03,5522.17]","[]","[9732.38]","[]"
