event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
2,284500,4806359,363356,1,2.20355,2.98823e+06,1.32095,1,1.0007,1,1,0.997921,0.9198,1,0,1,0,2,"[0,0]","[0,1]","[125402,94529.6]","[-0.0398562,0.744661]","[-0.756722,-1.00688]","[125502,121973]","[0.0486846,0.0354066]","[1,-1]","[13,13]","[0,1]","[0,1041.86]","[-583.937,-833.144]","[-0.0125832,-0.0144122]","[2.27411,2.09669]",61735.1,1.71667,3,"[400522,89444.6,25917]","[-0.626522,-0.260213,-1.00277]","[1.87369,-2.13435,1.1452]","[482189,93240.1,40451.8]","[0.999347,0.997735,0.99]","[0,0,0]","[0,0,0]","[-0.78612,-0.880059,-0.820082]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[415286]","[-0.630176]","[1.87232]","[500820]","[17616.8]","[0]","[0.830857]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[380.507,744.448]",9391.62,"[7880.4,3331.12,4145.46]","[]","[3111.94]","[]"
88,284500,4536516,363356,1,2.20355,2.98823e+06,1.25133,0.97411,1,1,1,0.918204,1.00582,1,1,0,0,2,"[0,0]","[1,1]","[300959,231285]","[-0.562181,-0.241577]","[2.23194,2.12602]","[349784,238067]","[0.0544205,0.0124092]","[-1,1]","[11,11]","[1,1]","[0,0]","[2382.52,3957.05]","[0.00101377,-0.0269748]","[0.124103,2.74881]",66506.2,0.180361,3,"[417776,61965.4,22745]","[0.536941,0.0342077,0.257804]","[-0.931949,-0.79681,2.69466]","[480708,62491.4,24107.1]","[0.994472,0.990401,0.615317]","[4,4,0]","[0,0,0]","[-0.713723,-0.657551,-0.722516]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[564713,468501]","[-0.404181,0.500906]","[2.18266,-0.911891]","[619564,537310]","[99814.4,96817.4]","[1,1]","[0.120444,1.46654]","[0.549975,0.263887]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2018.35,1459.16]",20094.1,"[8017.01,1658.18,1183.55]","[]","[4668.06,1210.06]","[]"
131,284500,5147928,363356,1.06148,2.20355,2.98823e+06,1.26459,0.950401,1,1,1,0.996336,1.00121,1,1,0,0,2,"[0,0]","[1,1]","[322921,70464.7]","[-1.81705,-1.68385]","[1.20302,1.81326]","[1.01981e+06,196311]","[0.111023,-0.108795]","[-1,1]","[11,11]","[1,1]","[0,0]","[-478.783,157.304]","[-0.00987499,-0.0418214]","[0.757234,0.816143]",51437.6,0.943806,6,"[355004,85907.6,74835.3,70789.2,28663.9,25886.6]","[-0.92677,-0.427181,-2.30544,-0.786989,0.144852,0.189987]","[-1.72837,-2.17096,0.453936,-2.61849,1.84195,-2.4415]","[520803,94729,379079,94068.5,29528.3,26898.6]","[0.992087,0.990322,0.996867,0.995365,0.986661,0.877766]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.948749,-0.905222,0.193176,-0.945477,-0.593669,-0.166464]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[446874,437798]","[-1.97443,-0.908959]","[1.19978,-1.91425]","[1.65657e+06,658826]","[231432,187931]","[1,1]","[1.95167,1.2663]","[0.0567505,0.591765]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3487.44,785.348]",11221.2,"[5227.25,4501.42,4661.12,2024.88,2484.47,1779.17]","[]","[23451.3,9861.25]","[]"
225,284500,4656825,363356,1,2.20355,2.98823e+06,1.26205,0.98178,1,1,1,0.984184,0.99604,1,1,0,0,1,"[0]","[1]","[96071.7]","[-2.30961]","[-1.9399]","[488517]","[-0.0909271]","[1]","[11]","[1]","[0]","[-878.866]","[0.000282529]","[0.0183529]",30759.9,2.68083,4,"[564178,453935,27079.2,22768.6]","[1.3478,-0.941489,-0.832376,-1.74829]","[-0.304379,2.67818,1.99402,-2.48806]","[1.15987e+06,671518,37409.7,67397.6]","[0.994621,0.997848,0.980459,0.991669]","[0,0,0,5]","[0,0,0,0]","[-0.916286,-0.925651,-0.846391,0.864606]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[520879,443065]","[1.34224,-0.957305]","[-0.296434,2.67438]","[1.06523e+06,663136]","[26536.7,37572.2]","[0,0]","[2.6133,3.356]","[0.441122,0.820632]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[834.582]",27791.9,"[12425.8,6314.5,1779.3,2747.58]","[]","[322.844,20370.7]","[]"
239,284500,4817659,363356,1,2.20355,2.98823e+06,1.1961,1,0.995674,1,1,0.999504,0.651849,1,0,1,0,2,"[0,0]","[1,0]","[238477,22373.6]","[-0.99272,-1.06517]","[-0.649697,-2.04959]","[365958,36312.3]","[-0.00926208,-0.035202]","[1,-1]","[13,13]","[1,1]","[0,0]","[-540.415,-199.684]","[0.00838315,0.00230292]","[1.8424,0.148634]",5307.68,-1.29946,1,"[243414]","[-0.602503]","[2.42957]","[289263]","[1]","[0]","[0]","[-0.920636]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[258771]","[-0.561265]","[2.4277]","[300692]","[6964.61]","[1]","[5.32249]","[0.0856424]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1265.89,182.067]",2324.11,"[5560.44]","[]","[0]","[]"
262,284500,5147528,363356,1.44637,2.20355,2.98823e+06,1.26459,1,0.995481,1,1,0.926781,0.890931,1,0,1,0,1,"[0]","[1]","[247007]","[-0.314192]","[1.66631]","[259299]","[0.00794601]","[-1]","[13]","[1]","[0]","[-662.717]","[0.0255616]","[5.88366]",35479.5,-1.81067,3,"[298420,85841.8,45879.7]","[0.677532,1.30691,-0.944941]","[-1.38549,1.45535,-2.81516]","[369890,170497,68310.2]","[0.997329,1,0.974673]","[0,5,5]","[0,0,0]","[-0.619604,0.999993,-0.731059]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[288306]","[0.708685]","[-1.38587]","[363990]","[12180.7]","[0]","[5.91396]","[0.447351]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[37330.1]",15834.7,"[10207.7,10254,2522.11]","[]","[5935.53]","[]"
338,284500,5185482,363356,-1,2.20355,2.98823e+06,1.32095,0.98697,1,1,1,0.997634,1.00582,1,1,0,0,1,"[0]","[1]","[298783]","[-0.0982302]","[0.120307]","[300225]","[0.000183105]","[1]","[11]","[1]","[0]","[1808.8]","[-0.0279989]","[4.9602]",6622.17,0.694235,4,"[333817,50601.3,48945.9,28853.1]","[1.08304,-0.790692,1.861,0.327357]","[-3.03611,0.702519,-2.5421,-0.319574]","[549842,67489.2,161326,30870.8]","[0.959858,0.767445,0.963467,1]","[0,0,0,0]","[0,0,0,0]","[-0.795786,-0.868257,-0.844062,0.191385]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[387633,358286]","[1.1627,-0.237786]","[-2.99349,0.159402]","[694673,380397]","[139482,94536.9]","[0,1]","[1.87934,2.26865]","[0.697463,0.346323]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4185.36]",1218.59,"[8782.97,2067.08,5244.87,2183.9]","[]","[44132.8,7484.28]","[]"
344,284500,4565074,363356,1.11274,2.20355,2.98823e+06,0.696077,0.99941,1,1,1,0.996879,0.92551,1,1,0,0,1,"[0]","[1]","[217224]","[-2.45103]","[-2.49515]","[1.26929e+06]","[0.0269585]","[1]","[11]","[1]","[0]","[317.857]","[-0.0388121]","[1.50302]",46785.4,1.40339,3,"[166198,132540,21346]","[-0.74634,-1.082,0.699138]","[0.663739,1.34505,-1.21737]","[214972,218367,27012.5]","[0.991337,0.986671,0.963506]","[0,0,0]","[0,0,0]","[-0.844969,-0.981169,-0.790953]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[268510]","[-0.960876]","[0.952162]","[416276]","[106957]","[1]","[0.431353]","[0.543743]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[9150.26]",5860.66,"[5738.85,6797.4,3264.06]","[]","[15330.1]","[]"
410,284500,4745063,363356,1.39772,2.20355,2.98823e+06,0.923924,0.97996,1,1,1,0.997635,1.01265,1,1,0,0,1,"[0]","[1]","[200961]","[1.68937]","[1.70403]","[562760]","[-0.0073911]","[-1]","[11]","[1]","[0]","[594.184]","[0.00537205]","[0.520269]",37633.8,-2.57953,3,"[202471,104089,102526]","[-0.0604093,1.97023,0.148803]","[-0.740381,2.30849,-1.50071]","[203341,380547,104032]","[1,0.817654,0.998975]","[0,0,0]","[0,0,0]","[-0.960501,-0.958727,-0.354511]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[296536,265595]","[1.82617,0.0152997]","[1.89879,-1.01752]","[947622,286880]","[75242.6,108366]","[1,1]","[0.0381532,0.541157]","[0.274621,0.709232]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4222.42]",3413.96,"[2888.5,4435.47,2160.84]","[]","[773.375,3985.62]","[]"
414,284500,5260680,363356,1,2.20355,2.98823e+06,1.22586,0.985601,1,1,1,0.96604,1.00632,1,1,0,0,2,"[0,0]","[1,0]","[126031,12461.6]","[0.100647,-1.59563]","[1.60321,2.98655]","[126670,31990.4]","[-0.115837,-0.0853271]","[1,-1]","[11,11]","[1,1]","[0,2178.4]","[-153.095,475.077]","[-0.00269856,0.0154501]","[0.417358,0.423881]",116684,-1.39022,8,"[293481,146693,135828,65667.3,64710.2,55900.9,31607.3,21891.9]","[1.9248,1.06462,1.73708,-2.48424,0.596369,0.573448,1.72036,2.39075]","[1.05274,-2.10674,-1.28312,0.944102,-1.96433,2.65265,-2.17198,-0.415612]","[1.02733e+06,239189,398108,396577,77446.6,65665.1,91279.9,120638]","[0.978556,0.994208,0.99505,0.996479,0.997654,0.99231,0.988393,0.964802]","[0,0,5,0,0,0,5,0]","[0,0,0,0,0,0,0,0]","[-0.914121,-0.871888,0.589516,-0.943461,-0.68122,-0.885355,0.999872,-0.388095]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[284812]","[1.93959]","[1.06072]","[1.01148e+06]","[30071.1]","[0]","[2.18137]","[0.591349]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[548.671,389.54]",19476.9,"[9563.4,5769.42,1767.45,7598.56,2907.21,2604.46,1560.93,1799.13]","[]","[2162.84]","[]"
