event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
538,284500,668,364141,1,0.144568,997975,0.553627,1,0.989098,1,1,0.995169,1.0086,1,0,1,0,1,"[0]","[1]","[64806.8]","[-1.84902]","[-2.02695]","[210978]","[-0.053257]","[1]","[13]","[1]","[0]","[88.79]","[-0.0119988]","[1.41854]",21503.4,-1.59852,3,"[572234,455653,37468.5]","[1.55582,-0.743914,0.679432]","[1.20801,-1.97615,-1.35153]","[1.41742e+06,588203,47118.3]","[0.998835,0.993643,0.681784]","[0,0,0]","[0,0,0]","[-0.895232,-0.7848,-0.934655]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[591152,477882]","[1.56046,-0.727623]","[1.20601,-1.97768]","[1.46997e+06,610376]","[43489.6,19431.5]","[0,0]","[1.38594,5.59349]","[0.739929,0.681369]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[193.021]",13344.7,"[9791.83,9150.78,1973.65]","[]","[53344.8,34241.7]","[]"
655,284500,11869,364141,1,0.144568,997975,1.26459,0.96126,1,1,1,0.956378,0,1,1,0,0,1,"[0]","[1]","[25079.9]","[0.3483]","[-1.38881]","[26616.6]","[0.107071]","[-1]","[11]","[1]","[1158.19]","[703.264]","[0.0190995]","[2.10888]",167615,-0.867043,5,"[692393,562454,66016,41477.2,24627.5]","[0.255856,0.793948,1.42529,1.14534,-0.181177]","[2.24911,-0.958064,1.48971,2.21128,-0.866113]","[717070,750118,145552,72370.5,25783.6]","[0.994526,0.759596,1,0.983969,0.990623]","[0,4,0,0,0]","[0,0,0,0,0]","[-0.7494,0.767355,-0.687317,-0.874316,-0.491271]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[669217,557936]","[0.3198,0.843043]","[2.2458,-0.960288]","[705576,769267]","[50991.2,39940.7]","[0,0]","[2.05592,4.74269]","[0.533297,0.471995]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[61.5934]",2306.73,"[9877.65,7028.76,3379.27,2506.9,1799.93]","[]","[58205.4,16101.8]","[]"
2207,284500,310209,364141,1,0.144568,997975,0.553627,0.90435,1,1,1,0.987696,0.93374,1,1,0,0,1,"[0]","[1]","[42743.1]","[-2.42581]","[-2.06078]","[243632]","[0.198318]","[-1]","[11]","[1]","[0]","[2260.8]","[-0.00855129]","[0.409788]",87612.1,-0.588848,9,"[446676,380670,75512.4,49086.9,42065.4,37056.4,26310.4,25159.4,23369.6]","[-0.21769,-1.52994,-1.64146,-0.923333,-1.7826,-0.960177,-0.590805,-2.22654,0.392073]","[0.916079,-2.37534,-2.86492,0.688449,-1.97258,-0.0353921,1.87139,0.179671,1.48599]","[463494,921602,202382,72251.6,128679,55923.4,31695.2,118056,25722.5]","[0.990548,0.992401,0.998195,0.998027,0.992777,0.992363,0.990403,0.947293,0.981452]","[0,0,15,0,0,0,0,0,0]","[0,0,1,0,0,0,0,0,0]","[-0.961037,-0.677187,-0.377826,-0.863442,-0.90803,-0.82779,-0.807269,-0.922414,-0.669348]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[523336,470574]","[-1.71624,-0.285249]","[-2.38095,0.900181]","[1.51656e+06,507970]","[203549,134467]","[0,0]","[1.76368,1.89241]","[0.658908,0.650653]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[346.762]",7066.41,"[9027.5,13025.5,3686.14,3151.76,3825.17,2324.65,8060.54,6107.78,1753.84]","[]","[31776.7,2529.41]","[]"
2548,284500,469318,364141,1,0.144568,997975,1.26205,0.936896,1,1,1,0.995739,0.98425,1,1,0,0,2,"[0,0]","[1,0]","[48025.7,24555.1]","[0.444582,0.0328047]","[-2.60725,-1.00603]","[52850.6,24568.3]","[0.0260468,0.0746002]","[-1,1]","[11,11]","[1,1]","[5096.61,1989.34]","[339.653,-1145.24]","[0.0157904,-0.0132892]","[2.12759,1.00364]",22712.4,-2.80974,2,"[600452,102103]","[-0.0106478,-0.328166]","[1.05808,1.57461]","[601842,108035]","[0.996278,0.991772]","[0,0]","[0,0]","[-0.862004,-0.886636]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[687876,647404]","[-0.0918587,0.14228]","[1.12669,-2.09281]","[707885,669810]","[154674,144815]","[0,0]","[1.63215,2.14514]","[0.710431,0.493258]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[462.071,109.362]",5253.33,"[11894.8,5026.33]","[]","[43415.1,3435.44]","[]"
2576,284500,471764,364141,1,0.144568,997975,1.24168,0.97003,1,1,1,0.947583,0.97484,1,1,0,0,1,"[0]","[1]","[42044]","[1.02823]","[-0.00613263]","[66298]","[-0.0640278]","[-1]","[11]","[1]","[0]","[1106.75]","[-0.00401638]","[0.376698]",86939.1,-0.221414,6,"[546836,396749,116639,34068.3,32697.3,28069.7]","[0.793681,0.243712,0.638659,0.694383,-1.06127,2.01484]","[2.34988,-0.929883,-1.48079,3.05414,0.916044,0.863113]","[728892,409643,141992,42917.8,53220.9,107173]","[0.996278,0.997101,0.997776,0.995029,0.949189,1]","[0,4,0,0,0,15]","[0,0,0,0,0,1]","[-0.307672,-0.430047,-0.942855,-0.953777,-0.922491,-0.756479]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[518080,475446]","[0.790812,0.336321]","[2.35567,-1.05205]","[688841,522467]","[13933.8,142743]","[0,0]","[9.33506,1.154]","[0.395307,0.802885]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[201.861]",605.523,"[6612.6,4606.83,2171.15,2308.22,1927.12,4150.98]","[]","[1748.88,28739.4]","[]"
3316,284500,874009,364141,1,0.144568,997975,1.22586,1,1,1,1,0.991004,1,1,1,0,0,1,"[0]","[1]","[171228]","[2.01927]","[-1.64036]","[656279]","[-0.206154]","[-1]","[11]","[0]","[0]","[-1560.37]","[0.0815461]","[11.2612]",162420,-1.50904,2,"[799469,659208]","[-0.712792,0.645651]","[2.55702,-0.256912]","[1.01205e+06,802209]","[0.89,0.999484]","[0,0]","[0,0]","[-0.883485,-0.572045]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[760714,656993]","[-0.696045,0.661653]","[2.5569,-0.256213]","[952957,806438]","[27885.1,22377.1]","[0,0]","[3.81285,3.98446]","[0.336272,0.367658]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1784.72]",13213.7,"[32374.3,10876.8]","[]","[27903.6,52161.1]","[]"
4389,284500,862819,364141,1,0.144568,997975,1.55465,1,0.997345,1,1,0.946581,0.977996,1,0,1,0,1,"[0]","[1]","[28531.4]","[-0.398991]","[0.206901]","[30832.9]","[0.132088]","[-1]","[13]","[1]","[0]","[40.3135]","[0.0455246]","[4.37218]",92184.6,0.617686,6,"[542402,458747,222865,199441,41521.4,28082.1]","[-0.0734144,0.327455,1.83684,-1.05408,0.707109,1.91971]","[2.50116,-0.715809,-2.85333,0.133767,-0.125303,-1.77144]","[544711,483974,717415,320910,52412.1,97887.4]","[1,1,0.998553,0.988782,0.990393,0.99361]","[4,0,0,15,0,0]","[0,0,0,1,0,0]","[-0.919871,-0.967143,-0.856775,-0.966408,-0.747703,0.141119]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[571222,500318]","[-0.104455,0.334698]","[2.50088,-0.66776]","[574965,539500]","[26787.3,107883]","[0,0]","[1.97088,2.10613]","[0.604314,0.557243]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[115.479]",7691.2,"[8337.29,8303.45,11467.4,3537.79,2218.34,2550.02]","[]","[6970.5,23183.7]","[]"
4927,284500,885045,364141,1,0.144568,997975,0.402058,0.94038,1,1,1,0.988514,0.99919,1,1,0,0,1,"[0]","[1]","[32861]","[-2.0443]","[2.41355]","[129033]","[-0.0754547]","[1]","[11]","[1]","[0]","[-163.313]","[0.0470812]","[3.28246]",46228.1,1.92399,8,"[553823,385868,81386.1,66016.7,54866.2,34049.6,29048.7,24420.6]","[0.071646,-0.112008,0.594472,-0.376818,-1.74063,-0.0654789,1.00797,-1.70944]","[-1.55803,1.45603,2.3377,0.249087,0.921856,2.10596,-2.49099,-1.93612]","[555523,390708,96649.8,71009.5,161228,34643.7,45276.5,69740.2]","[0.99328,0.993391,0.989523,0.98,0.996892,0.997254,0.995778,0.990797]","[0,0,0,0,15,0,0,0]","[0,0,0,0,1,0,0,0]","[-0.858187,-0.962782,-0.827195,-0.912502,-0.834438,-0.563877,-0.956518,-0.796958]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[539608,402563]","[0.0265141,-0.111277]","[-1.55817,1.50964]","[539850,420420]","[7537.46,112609]","[0,0]","[0.439412,2.40405]","[-1,0.451232]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[102.572]",6685.13,"[7418.64,6257.68,3719.37,6051.69,3129.95,3885.65,4601.4,4111.26]","[]","[56855.1,11138.5]","[]"
6965,284500,896875,364141,1.03636,0.144568,997975,0.934886,1,0.99747,1,1,0.994689,0.938722,1,0,1,0,1,"[0]","[1]","[28704.8]","[-2.10243]","[1.03419]","[119243]","[-0.0589142]","[-1]","[13]","[1]","[0]","[1074.44]","[-0.019159]","[1.3669]",11398.6,2.15385,7,"[257766,163870,159643,119939,81273.8,66651.1,33857.4]","[-0.753876,-0.795032,0.0735079,-0.272875,-1.1983,-0.0348285,-0.466843]","[0.370961,0.82683,2.66547,1.17899,1.48774,-3.12037,-2.26294]","[336552,219667,160368,127199,147682,67325.1,37924.2]","[0.992504,0.99784,0.990087,0.986627,0.997859,0.996614,0.990497]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[-0.890503,-0.822188,-0.96392,-0.855935,-0.929868,-0.956495,-0.920782]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[528539,468390]","[-1.04353,-0.814905]","[-1.86307,0.709287]","[844042,681206]","[33030.9,252423]","[0,0]","[5.09619,1.47622]","[0.604328,0.669022]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[211.858]",26976.8,"[4546.76,4672.86,2516.81,8164.4,3794.32,7904.63,6241.48]","[]","[43260.9,7246.28]","[]"
9528,284500,917374,364141,1,0.144568,997975,1.21412,1,0.997514,1,1,0.986872,0.996049,1,0,1,0,1,"[0]","[1]","[45298.5]","[-2.36635]","[0.326564]","[243530]","[-0.118401]","[-1]","[13]","[1]","[0]","[1351.33]","[-0.00696901]","[0.729098]",22099.7,0.0105486,5,"[756722,731909,106962,23358.5,20350.5]","[0.511769,-0.607129,-0.413875,-0.744851,2.03378]","[1.71336,-1.70262,-0.659338,1.14093,0.402144]","[860108,872317,118381,30574.8,79244.6]","[1,0.9904,0.99253,0.700339,0.948194]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.773365,-0.781727,-0.954142,-0.406264,-0.660947]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[760302,715410]","[0.472084,-0.648389]","[1.71123,-1.65144]","[848790,887298]","[60800.8,168589]","[0,0]","[2.18176,2.38739]","[0.594197,0.312716]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[428.45]",7787.64,"[15101.6,10106.3,2015.43,2003.98,3730.91]","[]","[16631,27260.9]","[]"
