event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
10,284500,830537,364136,-1,6.19297,3.43045e+06,0.596562,1,0.99958,1,1,0.997227,0.993677,1,0,1,0,1,"[0]","[1]","[38305.9]","[-1.37119]","[-0.611874]","[80324.7]","[-0.101868]","[1]","[13]","[1]","[0]","[-129.88]","[-0.014531]","[1.63526]",198293,-0.574757,3,"[283923,28825.7,27226.2]","[1.07763,-1.79424,0.467899]","[2.48716,-0.358916,2.6731]","[465650,89177.9,30709.1]","[1,0.981038,0.983333]","[0,0,0]","[0,0,0]","[-0.807039,-0.924554,-0.905491]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[263524]","[1.11536]","[2.48837]","[445235]","[8585.84]","[0]","[1.60427]","[0.465939]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[387.992]",17000.5,"[12260.8,2826.63,2498.26]","[]","[6452.78]","[]"
25,284500,3419795,364136,-1,6.19297,3.43045e+06,0.402058,0.97245,1,1,1,0.998694,0.99544,1,1,0,0,1,"[0]","[1]","[99281.8]","[1.26769]","[0.912815]","[190329]","[0.044981]","[-1]","[11]","[1]","[3013.57]","[1548.93]","[-0.0773223]","[10.1786]",193278,0.946231,2,"[283265,29341.6]","[1.91259,-0.925349]","[-2.23128,-0.784098]","[980051,43212.5]","[0.988267,0.771503]","[0,0]","[0,0]","[-0.717874,-0.766975]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[285051]","[1.90558]","[-2.23004]","[979778]","[25869.3]","[0]","[2.48681]","[0.682309]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[691.871]",19.0469,"[4664.3,4995.29]","[]","[8939.44]","[]"
27,284500,1971736,364136,-1,6.19297,3.43045e+06,1.24168,0.96592,1,1,1,0.971529,0.95452,1,1,0,0,1,"[0]","[1]","[45320.3]","[-0.67615]","[-1.2053]","[56080.8]","[0.0248022]","[1]","[11]","[1]","[0]","[670.553]","[-0.0218808]","[2.16356]",117921,-0.767098,3,"[273736,102270,24488.7]","[-0.821097,-0.655633,-1.62386]","[2.41339,-0.515534,-0.078319]","[372107,125279,64567.9]","[1,0.98207,0.98]","[5,15,0]","[0,1,0]","[0.999773,-0.982931,0.0518203]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[257522]","[-0.826865]","[2.4194]","[351166]","[18313.3]","[0]","[1.88941]","[0.57986]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[86.3455]",337.336,"[6808.38,5946.36,3996.97]","[]","[0]","[]"
39,284500,2049043,364136,1,6.19297,3.43045e+06,1.1961,1,0.993124,1,1,1.42909,0.91657,1,0,1,0,1,"[0]","[1]","[71382.2]","[-0.954987]","[-2.87458]","[106483]","[0.00815582]","[-1]","[13]","[1]","[0]","[-847.304]","[0.0124631]","[1.81651]",98818.3,-2.67875,2,"[264800,23007]","[-0.537924,0.147484]","[0.32079,0.326927]","[304992,23710.5]","[0.997084,0.979407]","[0,0]","[0,0]","[-0.747044,0.890365]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[274574]","[-0.485431]","[0.324489]","[309019]","[29944.2]","[0]","[3.04236]","[0.449014]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1387.27]",9154.45,"[3363.49,7581.06]","[]","[18244.7]","[]"
109,284500,2922635,364136,1,6.19297,3.43045e+06,1.22586,0.9823,1,1,1,0.997229,1.00632,1,1,0,0,1,"[0]","[1]","[80611.1]","[0.427354]","[-0.452152]","[88084.9]","[0.0165284]","[-1]","[11]","[1]","[0]","[-55.5472]","[-0.00333863]","[0.492095]",134785,-0.411748,2,"[268171,43875.7]","[0.944846,0.85443]","[2.69108,-1.0643]","[398829,60973.2]","[0.98891,0.979242]","[0,15]","[0,1]","[-0.883574,-0.603007]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[282498]","[0.946935]","[2.69783]","[420707]","[38882.2]","[0]","[1.36052]","[0.785897]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[238.4]",1130.33,"[11117.9,6745]","[]","[11507.6]","[]"
118,284500,3858568,364136,1,6.19297,3.43045e+06,1.1961,1,0.998924,1,1,0.994255,0.978073,1,0,1,0,1,"[0]","[1]","[146495]","[-2.29751]","[2.1606]","[736127]","[-0.0303216]","[-1]","[13]","[1]","[0]","[354.969]","[-0.14885]","[19.1697]",91855.5,2.14005,3,"[257008,56409.2,30843.7]","[-1.34445,-1.8615,-1.0522]","[-1.22516,1.37161,-0.28068]","[526745,185875,49908.4]","[0.99798,0.980861,0.979618]","[0,15,0]","[0,1,0]","[-0.870985,-0.684915,-0.80569]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[263673]","[-1.33877]","[-1.1817]","[542366]","[72978.5]","[0]","[3.21146]","[0.660267]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6491.43]",3808.1,"[3838.16,2529.63,6454.37]","[]","[324.156]","[]"
151,284500,3743402,364136,1,6.19297,3.43045e+06,1.22586,1,0.995568,1,1,1.05014,0.87682,1,0,1,0,2,"[0,0]","[1,0]","[64030.6,36140.9]","[-1.12298,-0.985759]","[0.650024,-0.0162861]","[108830,55169.3]","[-0.0567551,-0.00380325]","[1,-1]","[13,13]","[1,1]","[0,0]","[-357.223,-111.59]","[-0.122889,-0.231095]","[20.1432,29.4181]",188626,0.41862,2,"[229092,46257.6]","[-1.55414,-2.31692]","[-2.7093,-2.54501]","[566263,236996]","[0.996766,0.99]","[0,5]","[0,0]","[-0.680622,0.997735]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[260042]","[-1.7079]","[-2.68123]","[745465]","[82017.3]","[0]","[1.31313]","[0.662771]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[539.704,189.709]",1759.69,"[9068.86,6910.25]","[]","[3894.48]","[]"
176,284500,3599339,364136,1,6.19297,3.43045e+06,0.696077,0.97245,1,1,1,1.04472,0.99544,1,1,0,0,1,"[0]","[1]","[98999.8]","[1.33472]","[-0.183327]","[201077]","[0.00736332]","[1]","[11]","[1]","[0]","[3237.15]","[-0.0121369]","[1.2534]",116056,0.299957,7,"[328330,68634,60044.9,27815,25399.8,23983.4,21026.5]","[-1.3223,-0.998407,-1.15641,0.426613,1.91158,0.240562,0.0489333]","[2.84702,-1.27412,-0.75049,1.8367,-1.27984,-0.100263,-0.816588]","[660488,106299,105149,31094.5,87956.1,25059,21401.4]","[0.998459,0.995914,0.998832,0.961783,0.974398,0.776951,0.986929]","[0,5,0,0,0,0,0]","[0,0,0,0,0,0,0]","[-0.76971,0.983587,-0.230133,-0.38636,0.104919,-0.803872,-0.698783]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[299900]","[-1.30975]","[2.85539]","[596401]","[19843.4]","[0]","[1.74329]","[0.66883]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[802.416]",2100.43,"[9424,2852.96,3533.5,4162.49,2265.22,1825.82,1216.84]","[]","[5585.53]","[]"
193,284500,1480883,364136,1,6.19297,3.43045e+06,1.08735,1,1.00078,1,1,1.02969,1.0031,1,0,1,0,1,"[0]","[1]","[58421.9]","[1.48613]","[-1.58211]","[135720]","[-0.102585]","[-1]","[13]","[1]","[1742.72]","[69.1844]","[3.7155e-05]","[0.00509183]",101498,-1.62534,4,"[236514,122625,71640.5,25593.8]","[1.5775,0.970057,1.24309,-0.683595]","[1.74516,-1.08699,2.62109,0.391722]","[597718,185046,134748,32156]","[0.997934,0.996089,1,0.99]","[5,15,0,0]","[0,1,0,0]","[0.817927,-0.68331,-0.634129,-0.731247]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[254106]","[1.59683]","[1.90868]","[663603]","[117943]","[0]","[1.16379]","[0.57257]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[693.475]",10391.4,"[7612.13,5700.12,2226.55,2634.9]","[]","[0]","[]"
241,284500,4775059,364136,1,6.19297,3.43045e+06,0.351687,0.96654,1,1,1,0.998713,0.99589,1,1,0,0,1,"[0]","[1]","[32711.4]","[-0.332252]","[-1.53074]","[34533.6]","[0.0656433]","[-1]","[11]","[1]","[0]","[-410.26]","[-0.0998947]","[8.47158]",243809,-1.79231,2,"[260549,30425.4]","[1.61712,-0.136785]","[1.25882,1.42899]","[682382,31041.7]","[0.989474,0.990476]","[0,0]","[0,0]","[-0.925456,-0.796629]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[264691]","[1.61087]","[1.26006]","[689177]","[9954.63]","[0]","[1.85616]","[0.235637]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[27.1433]",10991.8,"[4206.44,1829.19]","[]","[17333.2]","[]"
