event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
12,284500,576945,364135,1,9.30182,1.98317e+06,1.55465,1,0.997581,1,1,0.99969,0.98589,1,0,1,0,1,"[0]","[1]","[61662.6]","[-2.05718]","[-2.16592]","[245162]","[-0.021637]","[1]","[13]","[1]","[1546.23]","[-197.765]","[-0.0124243]","[1.84462]",165906,-2.14494,1,"[265709]","[-0.226157]","[0.858952]","[272621]","[0.952814]","[0]","[0]","[-0.775988]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[272108]","[-0.284527]","[0.858611]","[283476]","[12562.9]","[0]","[2.35147]","[0.0958872]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1104.5]",6549.36,"[10608]","[]","[10777.3]","[]"
22,284500,58449,364135,1.0092,9.30182,1.98317e+06,1.55465,1,0.998593,1,1,0.959494,0.955365,1,0,1,0,1,"[0]","[1]","[64451.4]","[-1.36774]","[2.05884]","[134741]","[0.0888681]","[1]","[13]","[1]","[1505.88]","[1308.2]","[0.0058842]","[0.814537]",82274.8,2.32934,4,"[121170,87110,48153.6,30086]","[0.336311,1.58041,2.16693,-1.15872]","[0.935973,-1.12246,2.79295,0.0819076]","[128573,220620,213039,52889.1]","[0.995803,1,0.97143,0.664849]","[0,15,4,0]","[0,1,0,0]","[-0.763185,-0.981871,0.717001,-0.929389]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[261809]","[1.96346]","[-1.39975]","[957681]","[113485]","[0]","[0.674468]","[0.306239]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[759.438]",3021.95,"[4031.22,2727.1,4256.22,1927.49]","[]","[18650.4]","[]"
40,284500,15789,364135,-1,9.30182,1.98317e+06,0.351687,0.96323,1,1,1,0.997957,1.00493,1,1,0,0,1,"[0]","[1]","[155595]","[-1.33529]","[1.94318]","[316184]","[0.0643082]","[1]","[11]","[1]","[0]","[31.0157]","[0.0190524]","[2.84971]",69907.2,1.78547,4,"[276298,26610.6,24398.5,20997.4]","[-1.99988,-1.09769,-1.50012,0.986968]","[-1.11222,-3.12792,2.60887,1.6072]","[1.03954e+06,44550.4,57674.1,32351.5]","[0.996316,0.809144,0.994274,0.948598]","[0,15,0,0]","[0,1,0,0]","[-0.872187,-0.765759,-0.822616,-0.869896]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[283127]","[-1.97598]","[-1.11059]","[1.04094e+06]","[16016.5]","[0]","[3.35628]","[0.699916]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1791.97]",4463.85,"[9255.36,1831.34,1765.63,2564.84]","[]","[13696.7]","[]"
61,284500,190252,364135,1,9.30182,1.98317e+06,1.26459,0.97663,1,1,1,0.953179,1,1,1,0,0,1,"[0]","[1]","[110889]","[-1.88309]","[-0.52549]","[372916]","[-0.351463]","[-1]","[11]","[0]","[0]","[6820.76]","[0.0977923]","[6.95355]",140336,-0.969677,4,"[265691,29107.6,21993.4,21515.8]","[-1.78173,-1.9607,0.8567,1.9985]","[2.44234,-1.34336,1.46576,0.0289401]","[811739,105481,31014.8,80976.5]","[0.997075,0.9943,0.943509,0.981585]","[4,15,0,0]","[0,1,0,0]","[-0.422311,-0.930636,0.707363,-0.434229]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[263868]","[-1.78073]","[2.43783]","[805291]","[15011.3]","[0]","[2.69769]","[0.701342]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1881.5]",4237.28,"[9245.73,4794.34,2056.89,2058.85]","[]","[0]","[]"
149,284500,392637,364135,-1,9.30182,1.98317e+06,0.923924,1.00038,1,1,1,1.55606,0.99765,1,1,0,0,2,"[0,0]","[1,0]","[162500,7357.51]","[0.599726,1.05163]","[0.966623,2.53306]","[192610,11815]","[-0.0103512,-0.118711]","[-1,1]","[11,11]","[1,1]","[0,0]","[-1520.94,-888.484]","[0.00262656,0.0951049]","[0.422673,3.71387]",65823.9,1.31924,3,"[230843,61016.3,35285.3]","[-0.0521362,-0.366143,1.45159]","[-2.19071,-1.55048,1.06811]","[232583,65757.4,79864.3]","[0.995564,1,0.962076]","[0,4,0]","[0,0,0]","[-0.901522,0.962146,-0.482311]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[259373]","[-0.113434]","[-2.05158]","[277479]","[94079]","[0]","[1.17276]","[0.577567]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[982.031,215.083]",22245.8,"[3641.84,7621.59,5798.63]","[]","[872.703]","[]"
155,284500,271583,364135,-1,9.30182,1.98317e+06,0.619412,0.99093,1,1,1,0.962881,1.00306,1,1,0,0,1,"[0]","[1]","[146512]","[0.865077]","[-1.24547]","[204839]","[-0.0525017]","[1]","[11]","[1]","[0]","[-871.797]","[-0.00680253]","[0.893969]",93745.1,-1.116,3,"[272023,57357.9,21305.7]","[-0.316947,0.0444914,-0.951563]","[2.00806,-0.746615,2.32333]","[286503,58297.8,32026]","[0.97873,0.979616,0.719088]","[0,4,0]","[0,0,0]","[-0.921584,-0.92338,-0.771199]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[272818]","[-0.349524]","[2.01163]","[290664]","[24224.1]","[0]","[3.11104]","[0.435681]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1419.58]",8397.29,"[7108.91,1658.02,1949.35]","[]","[18561]","[]"
160,284500,279709,364135,1,9.30182,1.98317e+06,0.75088,0.97921,1,1,1,0.999313,1.00192,1,1,0,0,1,"[0]","[1]","[62692.8]","[-0.291955]","[1.92081]","[65383.8]","[-0.0593491]","[1]","[11]","[1]","[0]","[-386.695]","[-0.0253324]","[2.92095]",184178,1.69168,2,"[284575,40664.5]","[0.878952,-0.46287]","[-1.55923,0.852044]","[402678,45759.9]","[0.994758,0.992349]","[0,0]","[0,0]","[-0.954956,-0.891705]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[284146]","[0.856464]","[-1.556]","[395423]","[20546.4]","[0]","[2.0299]","[0.652745]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[211.956]",22251.8,"[20386.5,4041.09]","[]","[1449.06]","[]"
162,284500,291810,364135,1,9.30182,1.98317e+06,1.1961,0.97076,1,1,1,0.968643,0.95972,1,1,0,0,1,"[0]","[1]","[58055.1]","[-0.909939]","[0.732505]","[83794.4]","[-0.06147]","[-1]","[11]","[1]","[2990.07]","[3168.89]","[0.0368886]","[4.04737]",206278,0.674005,4,"[319580,138325,27042.8,22476.7]","[-1.012,2.18865,1.2872,1.12206]","[-2.45336,0.68011,3.03507,-2.79678]","[498627,625073,52952.1,38316]","[0.997888,0.99533,0.99627,0.977881]","[0,4,0,0]","[0,0,0,0]","[-0.940037,-0.872344,-0.965324,-0.538442]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[319511]","[-1.04169]","[-2.44951]","[509988]","[29792]","[0]","[2.20572]","[0.772681]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[94.1018]",13130.3,"[5016.32,11270.7,1820.25,1992.66]","[]","[12112.7]","[]"
168,284500,388416,364135,1,9.30182,1.98317e+06,1.22586,1,0.998419,1,1,0.993618,0.868493,1,0,1,0,1,"[0]","[1]","[74506.4]","[-2.41176]","[-2.07322]","[418846]","[-0.107414]","[1]","[13]","[1]","[0]","[-283.008]","[-0.0138804]","[1.95168]",154350,-2.0117,3,"[270539,52147.3,24076.8]","[-1.59257,-1.78341,-1.40772]","[1.07315,-1.9004,2.28168]","[692751,159573,52390.7]","[0.9913,0.876597,0.988532]","[0,15,0]","[0,1,0]","[-0.843324,-0.497646,-0.927193]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[258117]","[-1.61493]","[1.06863]","[674588]","[9995.94]","[0]","[0.863031]","[0.263233]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[604.829]",3881.06,"[4443.15,5792.42,2148.29]","[]","[26157.2]","[]"
226,284500,612188,364135,-1,9.30182,1.98317e+06,0.75088,0.97553,1,1,1,0.969273,1.01265,1,1,0,0,1,"[0]","[1]","[145434]","[1.77298]","[1.93031]","[440535]","[0.0213611]","[-1]","[11]","[1]","[0]","[-108.907]","[-0.0462061]","[5.91614]",83371.7,1.99882,3,"[253058,72385.1,31077]","[2.03869,2.4964,1.162]","[-1.22926,1.81788,-1.28859]","[988486,442325,54772]","[0.998214,0.923238,0.99041]","[0,15,4]","[0,1,0]","[-0.826294,-0.58014,-0.700516]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[282655]","[1.99604]","[-1.23053]","[1.06164e+06]","[69674]","[0]","[2.74233]","[0.746364]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1693.02]",1195.74,"[4661.61,2524.87,2075.52]","[]","[11897.2]","[]"
