event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
119,284500,9000,364137,1,4.7597,1.65609e+06,0.923924,1,0.995148,1,1,0.999484,0.974594,1,0,1,0,1,"[0]","[1]","[61543.9]","[-0.585947]","[3.12095]","[72414.8]","[-0.15484]","[-1]","[13]","[1]","[0]","[744.542]","[-0.125943]","[18.0363]",193775,2.88517,1,"[352145]","[-0.504625]","[-0.263758]","[398525]","[0.994002]","[0]","[0]","[-0.836334]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[346148]","[-0.507684]","[-0.261165]","[391849]","[9924.01]","[0]","[5.32822]","[0.565348]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[111.176]",6138.48,"[7110.32]","[]","[24088]","[]"
137,284500,12903,364137,1,4.7597,1.65609e+06,1.26205,1,1.00113,1,1,0.99462,1.02224,1,0,1,0,1,"[0]","[1]","[66755.8]","[1.35314]","[-2.97648]","[137783]","[-0.0508194]","[-1]","[13]","[1]","[0]","[-339.537]","[-0.00603265]","[0.810344]",142313,-2.76394,3,"[276052,111161,70650.4]","[1.48816,0.740259,2.01443]","[0.487698,-2.87142,-0.396099]","[644198,143237,269796]","[0.998727,0.995245,0.985341]","[0,15,0]","[0,1,0]","[-0.919112,-0.848219,-0.822498]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[302919]","[1.62807]","[0.37085]","[812508]","[134649]","[0]","[1.71928]","[0.67206]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1027.41]",12090.8,"[9604.49,3013.07,2952.68]","[]","[2945.25]","[]"
143,284500,13279,364137,-1,4.7597,1.65609e+06,0.75088,1,0.998525,1,1,0.999544,1.00146,1,0,1,0,1,"[0]","[1]","[133865]","[-2.31563]","[-0.383158]","[684724]","[-0.00796127]","[-1]","[13]","[1]","[0]","[1165.22]","[0.0350688]","[5.26573]",129142,-0.33837,3,"[288478,41155.3,26961.3]","[-0.824234,-1.63018,-1.98338]","[2.63789,-0.528848,-1.8085]","[392501,109405,99867]","[0.99737,0.989334,0.983843]","[0,0,15]","[0,0,1]","[-0.720221,-0.270715,-0.585968]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[279630]","[-0.846197]","[2.63678]","[385913]","[6188.75]","[0]","[2.88012]","[0.405863]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6224.17]",1566.82,"[6397.13,3910.55,4546.26]","[]","[28103.7]","[]"
278,284500,1518,364137,1.48221,4.7597,1.65609e+06,1.24168,0.97994,1,1,1,0.99337,1.00632,1,1,0,0,1,"[0]","[1]","[198350]","[0.146618]","[3.00598]","[200486]","[-0.11005]","[-1]","[11]","[1]","[0]","[3017.27]","[0.0185561]","[2.41082]",90495,2.90162,6,"[283062,40106.2,35218.2,31781.3,28607.3,27060.2]","[0.0802515,0.405384,1.91396,-0.159388,-0.629716,2.48025]","[-0.495881,2.49685,0.891035,0.434388,0.128206,2.36042]","[284366,43531,122089,32358.8,34616.7,162799]","[0.772002,0.995368,0.996435,0.993177,0.958271,0.00961335]","[0,15,0,0,0,0]","[0,1,0,0,0,0]","[-0.973226,-0.546637,-0.765422,-0.862284,0.789548,-0.783602]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[305929]","[0.0332492]","[-0.396567]","[339151]","[146038]","[0]","[1.81494]","[0.391202]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[898.655]",5879.65,"[5671.65,2181.75,2222,3574.68,2492.41,2157.37]","[]","[35572.1]","[]"
342,284500,7395,364137,1.06226,4.7597,1.65609e+06,0.351687,1,0.998063,1,1,0.994038,0.9335,1,0,1,0,1,"[0]","[1]","[162824]","[-0.948126]","[1.56301]","[241659]","[-0.0221979]","[-1]","[13]","[1]","[0]","[-244.878]","[0.0468206]","[10.3775]",62363.2,0.506038,3,"[302766,79154.2,63648]","[-1.30086,-1.33909,-1.85122]","[-1.59291,2.45125,1.04372]","[598072,161562,207779]","[0.996784,0.96381,0.995798]","[0,15,0]","[0,1,0]","[-0.827287,0.167486,-0.315923]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[317109]","[-1.29944]","[-1.58422]","[625133]","[23482.7]","[0]","[2.13202]","[0.217022]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1348.38]",16625,"[6884.2,3722.02,3187.64]","[]","[26301.8]","[]"
403,284500,9411,364137,1,4.7597,1.65609e+06,1.26205,0.96304,1,1,1,0.991183,0.9991,1,1,0,0,1,"[0]","[1]","[46607.7]","[-1.69868]","[1.38994]","[131659]","[0.276841]","[1]","[11]","[1]","[0]","[2417.67]","[0.0511162]","[4.73172]",76414.7,1.66327,5,"[263608,122599,63230.4,30112.6,24995.5]","[-1.11226,1.08981,-1.62303,1.92995,0.128217]","[-2.4413,0.243934,0.0624145,1.67716,-0.906098]","[444560,203192,166503,106060,25896.3]","[0.992319,0.993717,1,0.997841,0.676689]","[0,0,15,0,0]","[0,0,1,0,0]","[-0.714515,-0.924122,0.0627132,0.439905,-0.358108]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[287086]","[-1.11767]","[-2.44197]","[486370]","[22258.5]","[0]","[2.40218]","[0.735521]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[153.389]",7812.2,"[7386.06,2291.93,7580.29,4040.51,2610.15]","[]","[12035.3]","[]"
522,284500,574152,364137,1,4.7597,1.65609e+06,1.26459,1,0.996682,1,1,0.99945,0.924334,1,0,1,0,1,"[0]","[1]","[119446]","[0.992473]","[1.58961]","[183263]","[-0.387753]","[1]","[13]","[1]","[0]","[-380.156]","[-0.236718]","[39.0592]",270165,1.55179,1,"[364833]","[1.69822]","[-1.50652]","[1.03033e+06]","[0.990682]","[0]","[0]","[-0.833421]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[343304]","[1.70549]","[-1.5049]","[976035]","[10964.8]","[0]","[6.54479]","[0.527707]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1878.7]",2255.34,"[7251.58]","[]","[5011.12]","[]"
576,284500,579190,364137,1.07414,4.7597,1.65609e+06,0.351687,0.957442,1,1,1,0.998219,1.00021,1,1,0,0,2,"[0,0]","[1,1]","[67153.4,66746.4]","[0.610825,0.970161]","[-1.13273,-1.63325]","[80075.5,100700]","[-0.0750999,-0.0118065]","[-1,1]","[11,11]","[1,1]","[0,0]","[400.941,2707.5]","[-0.0182695,-0.0056402]","[1.76073,0.292825]",145464,-1.28252,3,"[219265,54033.3,24531]","[0.878271,0.519391,-0.481599]","[1.6628,1.99143,-2.87595]","[311851,62608.6,27745.7]","[0.989597,0.997286,0.997133]","[0,0,0]","[0,0,0]","[-0.831545,-0.0357026,-0.846189]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[263797]","[0.801299]","[1.68079]","[360211]","[71142.1]","[0]","[1.76339]","[0.705815]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[357.178,106.747]",10196.5,"[14099.4,3956.93,1767.82]","[]","[5407.77]","[]"
658,284500,573734,364137,-1,4.7597,1.65609e+06,1.22586,0.94701,1,1,1,0.996009,1,1,1,0,0,1,"[0]","[1]","[47118.4]","[-1.31901]","[1.17212]","[94404.7]","[-0.179304]","[1]","[11]","[0]","[0]","[-1121.69]","[-0.0961764]","[6.21865]",142923,1.06963,2,"[312071,123086]","[-1.39562,-0.912501]","[-2.14854,0.835384]","[669343,178182]","[0.999811,0.993066]","[0,15]","[0,1]","[-0.887844,-0.949582]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[288395]","[-1.3962]","[-2.15924]","[618554]","[20154.1]","[0]","[1.96415]","[0.686878]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[166.836]",12101.2,"[16119.5,4136.39]","[]","[18681.9]","[]"
731,284500,576442,364137,1,4.7597,1.65609e+06,0.75088,1,0.998702,1,1,0.991526,0.91148,1,0,1,0,1,"[0]","[1]","[85297.1]","[-1.45072]","[1.92239]","[191943]","[-0.157955]","[-1]","[13]","[1]","[0]","[173.944]","[-0.00397406]","[0.554388]",257313,1.92737,6,"[141963,120006,103944,53929.2,43075,24023.4]","[-0.769898,-0.107232,-0.869361,-1.22721,-1.52386,0.391761]","[-1.57149,-1.01976,-0.859445,1.55478,-1.26924,-2.73055]","[187099,121095,146857,100186,103793,26175.9]","[0.985485,0.999978,1,0.963075,0.99551,1]","[0,0,0,15,0,0]","[0,0,0,1,0,0]","[-0.917955,-0.965737,-0.727141,-0.944856,-0.903721,-0.841039]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[345606]","[-0.728496]","[-1.17215]","[487658]","[207219]","[0]","[1.28306]","[0.459658]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1942.04]",11078,"[4944.17,5530.38,2645.8,6568.67,5081.59,1713.67]","[]","[1481.62]","[]"
