event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
746,284500,72287,364140,1,1.76249,2.92375e+06,0.619412,1,0.999528,1,1,0.999382,0.948081,1,0,1,0,1,"[0]","[1]","[52388.4]","[1.37157]","[2.13414]","[109891]","[-0.0537033]","[-1]","[13]","[1]","[0]","[369.234]","[-0.000836253]","[0.110143]",52775.8,-0.367183,2,"[301315,292435]","[0.902545,-0.0779451]","[0.68869,-2.21153]","[433284,295440]","[0.992817,0.983959]","[0,0]","[0,0]","[0.106536,-0.819906]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[321681,309728]","[0.883325,-0.101546]","[0.692978,-2.21327]","[456462,316554]","[28767,57292.6]","[0,0]","[2.02714,1.94007]","[0.687877,0.744262]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[384.894]",6045.71,"[3637.85,9716.89]","[]","[1453.41,10537.6]","[]"
2953,284500,961876,364140,1.45071,1.76249,2.92375e+06,0.75088,0.93894,1,1,1,0.999236,1,1,1,0,0,1,"[0]","[1]","[32258.3]","[2.18988]","[-2.26591]","[145906]","[-0.0486298]","[1]","[11]","[0]","[0]","[1763.35]","[-0.124438]","[5.77456]",148396,-2.03772,2,"[337224,61293.8]","[-0.412941,-0.855092]","[0.950999,1.61848]","[367278,85917.3]","[0.983385,0.990364]","[0,0]","[0,0]","[-0.934986,-0.745924]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[375135]","[-0.443878]","[1.02396]","[428891]","[116726]","[0]","[1.80511]","[0.794842]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[282.972]",19217.6,"[10124.1,4843.4]","[]","[17045.8]","[]"
7088,284500,957388,364140,1,1.76249,2.92375e+06,1.25133,0.96052,1,1,1,0.972439,1.01448,1,1,0,0,1,"[0]","[1]","[59610.6]","[1.85102]","[-1.98826]","[194432]","[0.0567379]","[-1]","[11]","[1]","[0]","[1062.58]","[0.0367552]","[2.68357]",87498.5,-1.78792,5,"[201517,176740,104080,51278.7,26573]","[-0.338579,1.85604,0.320131,1.04762,-0.953247]","[1.55397,-0.810254,2.03041,-3.08948,-1.07061]","[214154,579476,110497,82312.2,39913.7]","[0.995917,0.998071,0.990244,0.984982,0.955227]","[0,0,0,0,5]","[0,0,0,0,0]","[-0.683515,-0.902943,-0.862755,-0.918292,0.814975]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[281700]","[-0.11255]","[1.72006]","[307693]","[119628]","[0]","[0.819747]","[0.686306]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[520.873]",2369.62,"[2398.59,3396.57,4204.17,3761.81,1146.78]","[]","[550]","[]"
7784,284500,959361,364140,1.13207,1.76249,2.92375e+06,1.55465,0.97332,1,1,1,0.953855,0.98683,1,1,0,0,1,"[0]","[1]","[75054.4]","[-0.792035]","[2.28953]","[99852.6]","[-0.0238571]","[-1]","[11]","[1]","[0]","[-37.6837]","[0.0128087]","[1.51675]",56978.7,1.17931,4,"[312732,165869,27288.2,25821.5]","[-1.46497,0.331055,-1.2632,-1.58501]","[-0.716242,2.53011,-2.1643,2.54854]","[713009,177635,52270.5,65836.9]","[1,0.99,0.884682,0.993356]","[4,0,0,0]","[0,0,0,0]","[0.771698,-0.85692,-0.826536,-0.398552]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[321243]","[-1.47214]","[-0.715576]","[737049]","[13301.5]","[0]","[2.90327]","[0.622048]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[235.161]",4650.11,"[7858.01,2905.07,3484.37,2574.36]","[]","[16414.3]","[]"
8541,284500,1672510,364140,1,1.76249,2.92375e+06,1.74563,0.906072,1,1,1,0.999599,0.84038,1,1,0,0,2,"[0,0]","[1,0]","[27778.9,13287.4]","[1.64006,0.492173]","[-0.354672,2.49851]","[74301,14929.5]","[0.123062,0.00543213]","[1,-1]","[11,11]","[1,1]","[0,0]","[780.241,402.987]","[-0.0472717,0.0659229]","[3.70514,4.78468]",29808.9,2.83217,7,"[267895,190714,84657.6,75669.9,44473.8,44196,21188.9]","[-0.168625,-1.40193,-0.620657,-2.08766,2.20411,-0.167043,-0.615754]","[2.65779,-0.530897,1.33244,-0.751265,-2.32089,-0.90904,0.423845]","[272390,411119,102352,310037,204068,45190.7,25676]","[0.998217,0.990072,0.997749,0.992511,0.992202,0.996491,0.947987]","[0,0,5,4,0,0,0]","[0,0,0,0,0,0,0]","[-0.850756,-0.975238,0.993438,0.465216,-0.829078,-0.770899,-0.364055]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[270657]","[-0.0871886]","[2.66297]","[272058]","[14200.3]","[0]","[1.73497]","[0.58798]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[293.245,47.0944]",412.701,"[5604.09,7733.62,3152.37,1679.21,4471.51,4431,2613.21]","[]","[3660.66]","[]"
9835,284500,1260459,364140,1,1.76249,2.92375e+06,1.24168,1,0.996714,1,1,0.998479,0.98589,1,0,1,0,1,"[0]","[1]","[68527.6]","[-2.09809]","[-2.00025]","[283473]","[-0.0177116]","[1]","[13]","[1]","[0]","[-115.222]","[0.0225804]","[2.96933]",94509.2,-1.75637,3,"[310458,270658,31623.1]","[1.61937,0.775058,0.7016]","[0.333501,2.78999,-1.27944]","[814722,356330,40105.2]","[1,0.999693,0.978323]","[0,0,0]","[0,0,0]","[-0.818316,-0.911536,-0.956209]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[301237,261970]","[1.6119,0.760597]","[0.33181,2.79346]","[785108,341553]","[13184.9,7515.34]","[0,0]","[6.03287,0]","[0.546418,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1110.04]",786.164,"[8842.48,4808.72,4084.45]","[]","[3895.81,546.391]","[]"
10729,284500,28870,364140,1,1.76249,2.92375e+06,1.1961,1,0.988313,1,1,0.976865,0.901612,1,0,1,0,2,"[0,0]","[1,0]","[76812.2,16546.3]","[0.186157,-0.199414]","[0.73757,-0.96847]","[78147.1,16876.4]","[0.0385361,-0.00369263]","[1,-1]","[13,11]","[1,0]","[0,0]","[-742.707,267.702]","[-0.0268316,0.0819656]","[4.458,4.74721]",47914.9,0.688329,4,"[261635,65107,49304.1,36437.9]","[0.741596,1.12321,1.90722,2.31465]","[-2.35868,-0.123584,1.1824,1.40643]","[337279,111918,169791,186240]","[0.996995,0.982223,0.992843,0.966992]","[5,0,0,0]","[0,0,0,0]","[0.981801,-0.974433,-0.920278,-0.922715]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[269530]","[0.701501]","[-2.35965]","[339008]","[16358.5]","[0]","[2.16268]","[0.358211]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1613.34,67.3923]",7821.54,"[9364.52,3614.5,8378.17,5383.34]","[]","[5928.16]","[]"
11068,284500,95159,364140,1,1.76249,2.92375e+06,0.187531,1,1.00109,1,1,0.949182,1.01621,1,0,1,0,1,"[0]","[1]","[142165]","[1.59666]","[-3.06383]","[365300]","[0.0162573]","[-1]","[13]","[1]","[0]","[1197]","[-0.00896609]","[1.6843]",68795.1,-2.95487,5,"[234868,84892.7,81898.3,33895.5,22112.9]","[-1.52586,1.3746,0.798329,-1.30098,-1.90557]","[-1.11076,2.54721,-2.61852,-0.523616,-1.34149]","[567158,178676,109835,67074.8,76097.6]","[0.993568,0.998149,0.996153,0.967869,0.982896]","[4,15,0,0,0]","[0,1,0,0,0]","[-0.529967,0.387588,-0.859226,0.376134,-0.122454]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[293792]","[-1.54523]","[-1.07119]","[723397]","[68646.9]","[0]","[1.71036]","[0.74411]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[7233.38]",506.586,"[4114.39,3071.42,4641.99,7384.19,2614.81]","[]","[6588.5]","[]"
16748,284500,113405,364140,1,1.76249,2.92375e+06,0.75088,0.97332,1,1,1,0.994252,0.98683,1,1,0,0,1,"[0]","[1]","[77626.3]","[-1.08682]","[2.60004]","[128165]","[0.00782585]","[-1]","[11]","[1]","[5427.96]","[1032.71]","[-0.0234861]","[1.89777]",166853,2.47723,4,"[413001,167917,64790.3,35198.2]","[-0.357754,-0.834173,-0.501581,-0.574423]","[-0.446897,-3.05589,2.4424,0.513607]","[441751,230704,73468.2,41628.3]","[0.989595,0.994927,0.987269,0.996771]","[0,0,15,0]","[0,0,1,0]","[-0.483906,-0.916238,-0.800007,-0.837151]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[411469,304258]","[-0.400294,-0.898799]","[-0.39539,2.89844]","[459921,457926]","[116666,141077]","[0,0]","[2.97053,1.13238]","[0.470894,0.264455]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[439.29]",7352.31,"[5392.54,2536.87,5694.93,2793.65]","[]","[20643.8,1193.78]","[]"
19133,284500,206622,364140,1,1.76249,2.92375e+06,1.55465,0.94443,1,1,1,0.975996,1.01758,1,1,0,0,1,"[0]","[1]","[39019]","[2.23165]","[-2.55959]","[183829]","[0.0522156]","[-1]","[11]","[1]","[0]","[779.763]","[-0.0257511]","[1.34915]",17274,-1.47888,6,"[334844,262655,44972.9,30823.7,27528.5,25895.8]","[1.23933,1.24682,1.55702,1.88976,1.04192,0.363868]","[-1.24018,1.98417,1.03219,2.15057,1.30364,0.860246]","[628440,495071,111455,104488,44222.1,27918.1]","[1,0.994813,1,1,0.990403,1]","[0,0,15,0,0,4]","[0,0,1,0,0,0]","[-0.964755,-0.913526,-0.684961,-0.669022,-0.44587,-0.842111]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[357123,325812]","[1.2299,1.38273]","[-1.23818,1.88111]","[664951,704868]","[50420.2,143158]","[0,0]","[1.4515,1.71248]","[0.69349,0.29176]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[84.1951]",11030.7,"[11645.3,4969.13,9349.74,2075.69,2628.78,2043.49]","[]","[19064.6,17356.9]","[]"
