event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
2,284500,1007776,361108,1940.55,1950.63,5.61717e+10,0.596562,0.96615,1,1,1,0.999375,0.98962,1,1,0,0,1,"[0]","[1]","[62722.8]","[1.2673]","[-2.54854]","[120203]","[0.0322266]","[-1]","[11]","[1]","[0]","[-573.69]","[0.00987012]","[0.617952]",236172,-2.6876,1,"[302599]","[0.142939]","[0.482695]","[307730]","[1]","[0]","[0]","[-0.950675]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[298976]","[0.169088]","[0.484145]","[305574]","[37537.3]","[0]","[1.53706]","[0.728472]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[266.422]",8273.19,"[8889.33]","[]","[7841.34]","[]"
45,284500,213879,361108,1941.17,1950.63,5.61717e+10,0.923924,0.97388,0.996812,1,1,0.998578,0.98886,1,1,1,0,2,"[0,0]","[1,1]","[40039.4,33016.8]","[-0.562271,-0.658604]","[0.940103,1.69485]","[46537.1,40440.3]","[-0.0250397,0.0847015]","[1,-1]","[11,13]","[1,1]","[1718.13,0]","[2666.28,268.161]","[0.0104679,0.11144]","[1.27646,11.7158]",253231,1.47908,3,"[347344,45654.8,21554.8]","[-1.10715,0.272264,-1.10559]","[-1.86109,1.00044,-1.1103]","[583713,47919.4,36478]","[1,0.980473,0.965148]","[0,0,0]","[0,0,0]","[-0.173701,-0.924865,-0.839147]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[345150]","[-1.07967]","[-1.87352]","[566872]","[16394.9]","[0]","[3.16523]","[0.735504]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[163.725,116.31]",17960.8,"[7861.93,1936.74,1798.83]","[]","[12849.8]","[]"
75,284500,836033,361108,1941.65,1950.63,5.61717e+10,0.619412,1,1,1,1,0.997343,1,1,1,0,0,1,"[0]","[1]","[39406.6]","[2.24436]","[-1.11189]","[187977]","[-0.50816]","[-1]","[11]","[0]","[3162.22]","[851.327]","[-0.0559293]","[3.26333]",157716,-1.13874,3,"[220990,35939,28118.7]","[0.896617,1.20066,2.1888]","[2.07171,-1.2141,1.10644]","[317728,65310.7,127117]","[1,0.995296,0.978177]","[0,15,0]","[0,1,0]","[-0.911658,-0.535356,-0.448325]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[252677]","[0.892256]","[2.06498]","[362800]","[44101.7]","[0]","[1.95545]","[0.76967]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[51.0021]",8870.92,"[7754.18,2071.11,3319.59]","[]","[10364.4]","[]"
98,284500,943557,361108,1941.5,1950.63,5.61717e+10,0.75088,1,0.994261,1,1,0.993023,0.888263,1,0,1,0,1,"[0]","[1]","[32917.9]","[-0.282314]","[-1.60145]","[34238.6]","[0.0800667]","[1]","[13]","[1]","[1161.61]","[984.739]","[-0.0762561]","[10.5297]",299384,-1.42748,6,"[283553,199415,93091.1,39969.7,22006.3,20523.2]","[1.22376,-0.641385,0.141999,1.46234,1.10927,-0.24855]","[0.890506,2.19581,-1.51787,-1.4227,-2.47428,1.81898]","[526652,242462,94423.2,91230.3,37251.6,21538.5]","[0.99462,0.999587,0.999344,1,0.968077,0.983861]","[0,0,15,0,0,0]","[0,0,1,0,0,0]","[-0.883931,-0.896536,-0.895578,-0.929222,-0.434454,-0.942451]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[295840,284294]","[-0.814683,1.22802]","[2.30862,0.898433]","[403618,530035]","[57044.1,56754.2]","[0,0]","[0.277095,1.34908]","[0.131399,0.758429]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[262.087]",2715.78,"[9064.43,11022.1,8302.19,2140.72,1893.79,1206.47]","[]","[9405.41,2290.44]","[]"
132,284500,2243566,361108,1941.07,1950.63,5.61717e+10,0,0.98089,1,1,1,0.995439,0.99866,1,1,0,0,1,"[0]","[1]","[267263]","[-1.02835]","[2.0977]","[421479]","[-0.0228348]","[-1]","[11]","[1]","[0]","[1497.32]","[-0.0109052]","[1.64372]",195069,1.88882,2,"[425000,20995.6]","[0.781931,-2.14923]","[-1.08209,-1.02444]","[561893,91337.5]","[0.990365,0.715506]","[15,0]","[1,0]","[-0.939531,-0.778236]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[421049,289794]","[0.754944,-1.05933]","[-1.08304,2.10197]","[546848,468181]","[2106.87,0]","[0,0]","[24.1686,0]","[0.082554,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5003.08]",11311.7,"[10820.1,1366.8]","[]","[4429.41,13123.3]","[]"
133,284500,1627383,361108,1941.35,1950.63,5.61717e+10,1.25133,1,0.994592,1,1,0.999305,0.979958,1,0,1,0,1,"[0]","[1]","[164234]","[-0.267833]","[-2.9372]","[170159]","[-0.133713]","[-1]","[13]","[1]","[0]","[-600.189]","[0.01762]","[3.71205]",159881,-3.06345,1,"[307563]","[-1.12208]","[0.136572]","[522805]","[0.998527]","[0]","[0]","[-0.695026]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[304197]","[-1.13024]","[0.147838]","[520219]","[12039.5]","[0]","[3.89922]","[0.564753]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4373.68]",4885.12,"[6183]","[]","[32729.7]","[]"
162,284500,2330029,361108,1941.11,1950.63,5.61717e+10,0.75088,0.97738,1,1,1,0.994952,1.00056,1,1,0,0,1,"[0]","[1]","[74214.3]","[0.189064]","[-0.444705]","[75544.6]","[0.117836]","[1]","[11]","[1]","[0]","[-41.9675]","[-0.00130568]","[0.1578]",120405,-0.0973912,5,"[325588,157900,74854.3,73596,20641.1]","[-0.037863,-0.139823,-0.630439,-0.0377942,1.78885]","[3.0535,-0.0248748,0.712805,-2.54858,2.56699]","[326301,159560,90502,73927.7,63625.7]","[1,1,0,0.145458,1]","[0,15,0,0,0]","[0,1,0,0,0]","[-0.776357,-0.857053,-0.847182,-0.777538,-0.76636]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[372839]","[-0.0378427]","[-3.11834]","[384708]","[93764.4]","[0]","[0.853543]","[0.71867]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[512.506]",5873.47,"[4407.1,2714.03,5560.88,3717.78,1101.6]","[]","[14237.8]","[]"
173,284500,2490284,361108,1941.36,1950.63,5.61717e+10,0.738662,1,0.997359,1,1,0.998229,0.886619,1,0,1,0,1,"[0]","[1]","[163594]","[-1.13395]","[-1.19903]","[280535]","[-0.0184975]","[1]","[13]","[1]","[0]","[820.1]","[-0.035941]","[6.50313]",285724,-0.955624,2,"[422520,28185.3]","[1.0788,1.08641]","[2.14539,0.897776]","[695448,46897.5]","[0.998232,0.999686]","[0,0]","[0,0]","[-0.791833,-0.945625]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[411790]","[1.08888]","[2.16235]","[683550]","[58914.9]","[0]","[1.41593]","[0.756689]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[7895.78]",8022.81,"[10840.8,5870.68]","[]","[18845]","[]"
182,284500,3032336,361108,1941.6,1950.63,5.61717e+10,1.26459,1,0.999004,1,1,0.996019,0.891405,1,0,1,0,1,"[0]","[1]","[85059.4]","[0.927717]","[-0.732639]","[124365]","[0.0233536]","[-1]","[13]","[1]","[0]","[-121.713]","[-0.0189376]","[3.65157]",195667,-0.636664,3,"[312047,30111.8,24054.5]","[1.27696,1.56112,1.77284]","[2.1274,-2.20711,-2.79257]","[603542,75154.5,73040.3]","[1,0.897035,0.947036]","[0,0,0]","[0,0,0]","[-0.827975,-0.774785,-0.910071]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[336564]","[1.26802]","[2.12085]","[645787]","[22526.3]","[0]","[2.01202]","[0.655563]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2126.52]",14169.7,"[4548.68,2826.22,1656.03]","[]","[5497.59]","[]"
221,284500,3360767,361108,1941.66,1950.63,5.61717e+10,0.738662,0.97538,1,1,1,0.995165,1.01508,1,1,0,0,1,"[0]","[1]","[99710.4]","[-1.71214]","[-1.7259]","[285235]","[-0.00762939]","[1]","[11]","[1]","[0]","[96.5524]","[-0.0130775]","[1.37997]",110441,-1.58206,4,"[306477,108220,29222.4,23307.7]","[-0.069784,-1.30959,1.15395,0.327316]","[1.38244,-2.16565,-0.440931,0.993422]","[308982,215227,51301,25166.7]","[0.999907,0.992994,0.989933,0.961299]","[0,15,0,0]","[0,1,0,0]","[-0.798508,-0.916065,-0.861302,-0.785722]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[301853]","[-0.0929189]","[1.38067]","[304809]","[31693]","[0]","[1.5633]","[0.587004]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[949.937]",10969.5,"[5367.79,10628.6,2013.96,3592.35]","[]","[6219]","[]"
