event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
417,284500,15652973,363491,0.105288,4.6049,4.36373e+06,1.21412,0.948842,0.994069,1,1,0.996485,0.98653,1,1,0,0,3,"[1,1,1]","[1,1,0]","[51111.4,40866.1,15651.4]","[0.528126,-0.378512,-0.297744]","[-1.57506,0.395161,-2.44801]","[58406.5,43828.7,16350.6]","[-0.0214453,-0.0372248,0.0475445]","[-1,1,1]","[11,11,13]","[1,1,1]","[0,0,1415.97]","[-216.368,1373.03,-707.147]","[-0.0171862,-0.0287289,-0.00462412]","[2.22918,3.00515,0.400301]",258673,-1.39096,4,"[351601,153002,74704.5,33561.3]","[-0.306212,-0.313428,-0.960308,-1.67156]","[2.4,-0.235922,1.71977,-0.277151]","[369308,161767,112738,92694.4]","[0.983788,0.99084,1,0.99]","[0,0,0,0]","[0,0,0,0]","[-0.691084,-0.703365,-0.919915,-0.696282]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[378673]","[-0.410168]","[2.33015]","[437547]","[150153]","[0]","[1.79611]","[0.453768]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[104.829,269.976,69.7649]",10591.4,"[7654.73,2048.43,3606.8,2132.43]","[]","[25701.1]","[]"
6589,284500,14420443,363491,0.1,4.6049,4.36373e+06,1.32095,1,1.00069,1,1,0.996776,1.01861,1,0,1,0,1,"[1]","[1]","[78333.6]","[-1.43553]","[1.19583]","[173895]","[0.0067215]","[1]","[13]","[1]","[0]","[650.102]","[-0.00916856]","[1.28435]",31519.8,2.21837,4,"[318340,190716,139090,32180.4]","[-0.631954,0.266334,-0.419703,0.593073]","[2.47863,-0.984601,-0.906898,-0.273797]","[386474,198138,153418,38676.7]","[0.981959,0.990146,0.998367,0.939509]","[0,0,0,0]","[0,0,0,0]","[-0.938337,-0.94984,-0.872182,-0.601344]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[320025,316378]","[-0.673852,-0.0465061]","[2.48019,-0.958474]","[397914,338964]","[44001.4,120768]","[0,0]","[1.45878,0.892431]","[0.568294,0.727614]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2089.15]",8798.34,"[5597.64,4684.37,1966.02,1884.97]","[]","[8301.66,10059.7]","[]"
8513,284500,16003346,363491,0.154113,4.6049,4.36373e+06,1.1961,1,0.998838,1,1,0.987863,0.988055,1,0,1,0,1,"[1]","[1]","[41021.5]","[2.13405]","[-2.02334]","[175723]","[0.0428581]","[1]","[13]","[1]","[1118.99]","[-634.762]","[0.0106655]","[0.972014]",224074,-1.19847,6,"[238808,76511.9,55708,46169.6,38796.5,35443.2]","[1.31225,2.34981,-2.14676,1.08621,-2.02299,-0.602604]","[1.57492,3.07526,-0.550494,2.24028,-0.960452,2.16997]","[475960,404761,241805,76536.4,149317,42692.8]","[0.993101,0.997116,0.996355,0.986773,0.990131,0.984829]","[0,15,0,15,0,0]","[0,1,0,1,0,0]","[-0.912689,0.24261,-0.882967,-0.674837,-0.831268,-0.880802]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[279653]","[1.2978]","[1.65168]","[557701]","[91576.3]","[0]","[1.44679]","[0.671666]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[658.901]",5416.75,"[4558.84,8654.83,5199.22,5503.8,2839.27,3383.25]","[]","[27404.3]","[]"
10141,284500,12872715,363491,0.1,4.6049,4.36373e+06,0.75088,1,0.994214,1,1,0.996821,0.975588,1,0,1,0,2,"[1,1]","[1,1]","[28438,25277.3]","[-0.399724,2.4029]","[-1.50922,-0.0799826]","[30740.5,140866]","[0.0147858,0.0674553]","[1,-1]","[13,13]","[1,1]","[0,1136.52]","[-244.09,-441.368]","[0.00828907,-0.0169889]","[0.949944,1.34612]",119061,1.49436,3,"[362102,274504,25689.7]","[-1.6826,1.5781,2.08086]","[2.10582,-1.39097,-1.68967]","[1.00807e+06,694051,104666]","[0.999599,0.961178,0.902612]","[0,0,0]","[0,0,0]","[-0.608679,-0.659053,-0.784875]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[364067,267168]","[-1.69069,1.5564]","[2.10621,-1.37999]","[1.02107e+06,662149]","[24700.9,27210.3]","[0,0]","[2.68985,1.9292]","[0.846764,0.588102]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[170.001,321.675]",19565.1,"[21815.3,5863.33,2270.29]","[]","[1655.22,21098]","[]"
10705,284500,13159757,363491,0.135575,4.6049,4.36373e+06,1.25133,0.98916,0.991073,1,1,0.977455,0.99765,1,1,0,0,3,"[1,1,1]","[0,0,1]","[277033,241500,85698.1]","[-0.817632,-0.55084,0.729559]","[-1.95578,-1.72885,1.04368]","[374910,279075,109535]","[0.0518169,0.0351887,0.0516396]","[1,-1,-1]","[13,13,11]","[1,1,1]","[0,0,2916.03]","[-433.411,-433.411,-468.1]","[0.0213887,0.0138552,-0.0109364]","[4.18375,2.4819,1.44417]",16647.1,1.26402,3,"[425174,27936.3,27174.4]","[0.929761,0.36313,-2.24906]","[1.50716,-0.0538877,-0.0494682]","[623037,30248,130257]","[0.99336,0.998329,0.997972]","[0,4,0]","[0,0,0]","[-0.814586,-0.806273,-0.843683]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[497381]","[0.897206]","[1.42409]","[720251]","[112779]","[0]","[1.08638]","[0.603925]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[17528.1,52824.3,372.242]",3060.36,"[5351.77,2601.48,5005.42]","[]","[405.469]","[]"
11997,284500,4822816,363491,0.1,4.6049,4.36373e+06,1.25133,0.965061,1,1,1,0.954259,1.00306,1,1,0,0,2,"[1,1]","[1,0]","[244630,24445.4]","[0.795827,0.303645]","[0.624956,1.71586]","[326272,25581]","[-0.0196457,0.16301]","[-1,1]","[11,11]","[1,1]","[0,0]","[-1438.17,91.3861]","[0.0129765,0.0550069]","[1.54226,5.19691]",145617,-0.526964,6,"[356941,83651.9,44656.7,33291.7,28596.8,21733.8]","[-0.286251,-2.03238,0.833029,-1.9087,0.833513,-1.08118]","[-2.82479,1.30043,-1.3982,-1.80713,1.61422,-2.55519]","[380540,324816,61590.8,114873,39169.3,36103.3]","[0.996807,0.991711,0.893383,0.991181,0.994215,0.95031]","[0,4,15,0,0,0]","[0,0,1,0,0,0]","[-0.83684,-0.642253,0.254479,-0.558507,-0.220132,-0.832755]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[337202]","[-0.281858]","[-2.82006]","[360232]","[82382.2]","[0]","[1.06974]","[0.767482]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2475.72,251.832]",4783.95,"[4030.62,5387.15,2811.63,2706.84,2113.13,3033.19]","[]","[23096.4]","[]"
12244,284500,4820004,363491,0.105204,4.6049,4.36373e+06,0.696077,1,0.98872,1,1,0.99472,0.83683,1,0,1,0,2,"[1,1]","[1,1]","[314727,99005.4]","[-0.601613,-0.528438]","[-1.12681,-0.624084]","[373421,113154]","[-0.0733275,-0.0784292]","[-1,1]","[13,13]","[1,1]","[0,0]","[3043.73,168.096]","[-0.00463551,0.00465348]","[1.11683,0.825768]",20112.4,-2.98232,2,"[398672,71933.7]","[-0.739085,-1.40465]","[1.90148,-2.29718]","[514445,155526]","[0.996884,0.998171]","[0,15]","[0,1]","[-0.774273,0.0111295]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[388048]","[-0.741375]","[1.90322]","[501350]","[41073.3]","[0]","[0.542495]","[0.55925]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[24357.1,3535.88]",9013.22,"[4814.52,6485.1]","[]","[7109.25]","[]"
16596,284500,3656517,363491,0.127233,4.6049,4.36373e+06,1.1961,0.905377,1,1,1,0.998764,0.99197,1,1,0,0,2,"[1,1]","[1,0]","[32359.5,21131.9]","[-0.334247,0.76453]","[0.289407,-1.07147]","[34184,27614.5]","[-0.0435143,0.0522041]","[-1,-1]","[11,11]","[1,1]","[2330.08,0]","[234.22,35.2524]","[0.0371561,0.0944431]","[3.84358,3.26382]",136420,-0.00807508,2,"[257896,122411]","[1.21132,1.46484]","[-2.77239,0.842877]","[472971,279094]","[0.999201,0.996518]","[0,0]","[0,0]","[-0.912374,-0.966693]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[259534]","[1.24012]","[-2.77626]","[487644]","[39676]","[0]","[1.75249]","[0.672602]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[102.915,110.052]",3004.16,"[12348,3648.34]","[]","[2628.56]","[]"
17101,284500,4460907,363491,1,4.6049,4.36373e+06,0.696077,0.940066,0.996261,1,1,0.999156,1.00121,1,1,0,0,3,"[1,1,1]","[1,1,1]","[165524,58109.4,24783.6]","[-1.91238,-1.18753,-0.326851]","[-0.314194,-0.234175,-2.08241]","[572455,104131,26119.5]","[0.0305991,0.0364623,0.0270689]","[1,-1,1]","[11,11,13]","[1,1,1]","[0,0,0]","[3128.6,-99.9229,1834.48]","[-0.0131606,-0.00252656,0.0162079]","[1.56247,0.25093,2.08971]",83921,-2.22241,1,"[210183]","[-0.752674]","[2.31846]","[273115]","[0.986267]","[0]","[0]","[-0.887546]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[268431]","[-1.75268]","[-0.263338]","[803367]","[95307.9]","[0]","[1.0088]","[0.259388]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1928.54,102.8,277.617]",321.258,"[3109.27]","[]","[6027.38]","[]"
18096,284500,4324816,363491,0.212827,4.6049,4.36373e+06,1.1961,1,1.00675,1,1,0.999439,1.02619,1,0,1,0,3,"[1,1,1]","[1,1,0]","[81677.4,54186.2,26457]","[-1.45381,-0.497921,0.0407726]","[0.367821,0.292874,1.41688]","[184308,61043.3,26479.2]","[0.0123405,-0.00612259,0.0990829]","[1,-1,-1]","[13,13,13]","[1,1,0]","[0,0,0]","[-216.146,-722.216,124.872]","[-0.000658123,0.0109311,0.000587739]","[0.117813,1.24845,0.079942]",141246,1.14402,1,"[288850]","[-1.46429]","[-2.36215]","[658700]","[1]","[0]","[0]","[-0.954278]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[307006]","[-1.45723]","[-2.36266]","[695685]","[33143.9]","[0]","[2.09257]","[0.795071]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1366.82,117.818,153.157]",637.234,"[3923.39]","[]","[19598.2]","[]"
