event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
32,284500,9792,363492,0.1,12.466,5.03926e+06,0.75088,0.96972,1,1,1,0.994613,0.99544,1,1,0,0,1,"[1]","[1]","[218738]","[1.35748]","[-2.5533]","[453192]","[-0.000511169]","[1]","[11]","[1]","[3417.08]","[-336.779]","[0.00665843]","[1.00533]",90088.1,-2.33941,3,"[226542,214898,56082.8]","[-0.026372,1.62734,1.4205]","[1.23022,-0.347622,2.4004]","[227366,568308,122896]","[0.96584,1,0.982558]","[0,0,15]","[0,0,1]","[-0.93005,-0.648054,-0.954377]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[265830]","[1.334]","[-2.50877]","[540640]","[33787.4]","[0]","[0.470204]","[0.599216]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3108.49]",3304.37,"[4473.42,3937.24,5080.43]","[]","[7045.75]","[]"
5105,284500,734502,363492,0.102522,12.466,5.03926e+06,0.923924,0.96966,1,1,1,0.99529,0.99604,1,1,0,0,1,"[1]","[1]","[295324]","[-2.13971]","[-1.83254]","[1.27206e+06]","[0.0111046]","[-1]","[11]","[1]","[6338.21]","[-1830.26]","[-0.023933]","[2.21143]",35320.8,1.34637,5,"[354495,80387.5,36965.3,22873.1,22523]","[-0.560638,-1.64156,-0.0905757,-1.36145,-0.745236]","[1.4853,-0.903522,0.229204,-2.93044,-2.64073]","[412994,215508,37390.2,47843.6,29441.2]","[0.998484,0.999543,0.969978,0.993991,0.983886]","[0,0,15,0,0]","[0,0,1,0,0]","[-0.306918,-0.912869,-0.948646,-0.472443,-0.88853]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[349736]","[-0.570884]","[1.4906]","[409397]","[30058.8]","[0]","[1.78306]","[0.763004]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4992.61]",4074.24,"[6532.66,2429.9,2640.7,3479.68,1695.73]","[]","[8430.5]","[]"
7273,284500,882343,363492,0.144371,12.466,5.03926e+06,1.24168,1,0.997374,1,1,0.99067,0.976419,1,0,1,0,1,"[1]","[1]","[61504.1]","[-0.494904]","[0.990349]","[69191.2]","[-0.0610771]","[-1]","[13]","[1]","[0]","[-412.257]","[0.0170661]","[3.3546]",466069,0.616201,6,"[550690,112986,64719.8,43647.2,25222.1,20907.1]","[1.2596,-0.995762,0.814327,1.84501,-1.25235,-1.19992]","[-2.63393,-0.383404,2.80465,-0.863921,1.92213,-0.856963]","[1.04905e+06,174651,87778.2,141614,47924,38026.3]","[1,0.98862,0.992535,0.998062,0.831645,0.989624]","[0,0,0,15,0,0]","[0,0,0,1,0,0]","[-0.767327,-0.797937,-0.912774,-0.783801,-0.330109,-0.934041]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[596733]","[1.2534]","[-2.69295]","[1.1424e+06]","[166910]","[0]","[2.42788]","[0.728545]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[545.788]",12832.6,"[9226.47,6124.84,6063.69,4406.37,3625.29,1366.21]","[]","[36734.4]","[]"
8472,284500,320656,363492,0.130625,12.466,5.03926e+06,1.55465,0.93319,0.998799,1,1,0.924366,0.99419,1,1,1,0,2,"[1,1]","[1,1]","[103968,33420.9]","[1.31399,-1.72188]","[-2.53902,1.40015]","[207403,96482.4]","[-0.0391159,0.0176468]","[-1,1]","[13,11]","[1,1]","[0,0]","[-584.394,75.4929]","[0.00271102,0.0191747]","[0.537633,1.13606]",118358,-2.17402,4,"[194971,119701,79218,30055.2]","[-0.569969,2.25981,0.26181,-0.45547]","[0.153126,2.82409,0.525112,0.859177]","[231723,579998,82114.9,34039.3]","[0.994403,0.994055,0.346087,0.978531]","[4,0,4,0]","[0,0,0,0]","[-0.632969,-0.865906,-0.931086,-0.835891]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[260861]","[-0.375687]","[0.262534]","[298351]","[104403]","[0]","[1.03183]","[0.379736]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4122.04,190.702]",19554.2,"[3135.55,7464.55,1674.11,2872.61]","[]","[1376.95]","[]"
8962,284500,161898,363492,0.107246,12.466,5.03926e+06,0.738662,1,0.990361,1,1,0.999693,0.982864,1,0,1,0,2,"[1,1]","[1,0]","[194853,20732.7]","[0.451269,-0.574597]","[-1.49477,0.831916]","[215033,24250.8]","[0.106052,0.0244446]","[-1,1]","[13,13]","[1,1]","[1190.3,0]","[-484.179,264.113]","[0.0150722,-0.00424773]","[2.31848,0.37297]",108043,-1.22118,1,"[296187]","[0.420389]","[1.86339]","[323243]","[0.994438]","[0]","[0]","[-0.610849]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[296699]","[0.439195]","[1.86491]","[326065]","[13682]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[23319.8,92.5757]",283.273,"[6238.42]","[]","[16138.8]","[]"
12359,284500,536344,363492,0.110983,12.466,5.03926e+06,1.25133,1,0.990711,1,1,0.992913,0.985264,1,0,1,0,1,"[1]","[1]","[358542]","[-1.94665]","[-2.19025]","[1.28141e+06]","[0.0163155]","[-1]","[13]","[1]","[0]","[-307.551]","[0.029634]","[6.01762]",79777,2.1087,4,"[341010,146012,85145.6,74326.9]","[-1.48716,1.53085,1.82604,-1.52422]","[0.804696,0.908033,3.06441,-2.18535]","[793238,354466,271644,178844]","[0.995225,0.996334,0.990897,0.961951]","[0,0,0,15]","[0,0,0,1]","[-0.89383,-0.218451,-0.921736,-0.957106]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[336981]","[-1.47223]","[0.805175]","[773341]","[19627.9]","[0]","[2.04153]","[0.792004]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[15541.2]",22266.1,"[5713.64,9508,3930.9,5751.46]","[]","[19059.8]","[]"
13430,284500,527870,363492,0.115467,12.466,5.03926e+06,0.696077,0.95894,0.995532,1,1,0.997575,0.839396,1,0,1,0,2,"[1,1]","[1,0]","[81070.7,21095.3]","[-0.169338,-0.30354]","[0.516223,-0.119442]","[82235.9,22074.6]","[0.0515785,-0.00645065]","[-1,1]","[13,11]","[1,1]","[0,0]","[-742.372,2514.33]","[0.023431,0.0263942]","[3.91798,2.49907]",147860,0.738155,3,"[326508,80424.9,33638.9]","[1.5464,-1.6579,-1.42234]","[-2.52401,0.945634,-0.182914]","[801672,219419,73919.7]","[0.998419,0.990845,0.969129]","[0,0,0]","[0,0,0]","[-0.606507,-0.906723,-0.915792]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[334211]","[1.54701]","[-2.51916]","[820854]","[23004.7]","[0]","[2.47752]","[0.737238]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[198.403,134.897]",2556.59,"[9251.41,7620.98,3564.45]","[]","[29205.2]","[]"
16058,284500,839061,363492,1,12.466,5.03926e+06,1.21412,0.96392,0.99534,1,1,0.998988,1.01012,1,1,1,0,2,"[1,1]","[1,1]","[246043,150487]","[1.9029,-0.424871]","[-3.11616,-0.258959]","[843240,164275]","[-0.124237,-0.0525436]","[1,-1]","[11,13]","[1,1]","[1024.86,0]","[4410.68,1107.05]","[-0.0643109,-0.015205]","[0.705803,3.05819]",35472.7,-2.96055,1,"[145823]","[-1.80231]","[0.397477]","[454524]","[0.998579]","[0]","[0]","[-0.637725]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[266586]","[1.90058]","[-3.11376]","[911839]","[19808.1]","[0]","[9.37957]","[0.411486]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3443.42,16086.9]",2522.15,"[4042.84]","[]","[8998.95]","[]"
17312,284500,581137,363492,0.1,12.466,5.03926e+06,1.24168,1,0.993673,1,1,0.98285,1.0152,1,0,1,0,1,"[1]","[1]","[170489]","[-0.450419]","[-1.91224]","[188078]","[0.000915527]","[1]","[13]","[1]","[0]","[-942.247]","[-0.00506517]","[0.899448]",253107,-1.41763,4,"[527835,56606.4,28615.7,28324.8]","[0.582096,0.276078,-0.943894,0.130393]","[1.47533,-1.45208,-2.06738,-2.09831]","[622443,59402.1,42700.3,29255.8]","[0.994973,0.965225,0.981195,0.986663]","[0,0,15,0]","[0,0,1,0]","[-0.814125,-0.968637,0.979616,-0.776646]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[518000]","[0.618522]","[1.47042]","[623205]","[60254.5]","[0]","[1.3454]","[0.786488]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[19630.6]",5356.45,"[6588.43,3006.56,6412.3,2461.38]","[]","[16664]","[]"
18212,284500,603991,363492,0.12865,12.466,5.03926e+06,1.25133,0.97332,0.998634,1,1,0.996641,0.98683,1,1,1,0,2,"[1,0]","[1,1]","[104487,74940.1]","[0.15716,-0.968837]","[2.37494,0.0668273]","[105780,112950]","[-0.0863419,-0.0641174]","[1,-1]","[13,11]","[1,1]","[0,0]","[-369.295,2571.71]","[-0.0150856,0.0156745]","[1.19803,0.48394]",242995,2.44153,6,"[293788,247992,172624,88214.1,76817.6,50132.2]","[0.980385,1.92322,-1.21846,0.436123,0.745435,-0.174757]","[0.117453,-2.89233,-1.27373,-2.03127,0.633458,-0.0644911]","[447110,866910,317619,97346.7,99462.7,51165.8]","[0.994744,0.997335,0.982867,0.998735,0.997671,0.9977]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.772828,-0.829463,-0.953298,-0.953635,-0.947206,-0.689994]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[352235]","[0.961544]","[0.217538]","[537521]","[100687]","[0]","[1.22215]","[0.583473]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[747.475,188.409]",4090.44,"[11672,4148.14,6423.82,2553.14,8320.78,6096.12]","[]","[6963.72]","[]"
