event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
110,284500,123787,363493,0.108576,3.2286,1.72799e+06,1.26205,1,0.996435,1,1,0.996178,0.984797,1,0,1,0,1,"[1]","[1]","[163446]","[2.00211]","[-2.55433]","[616167]","[0.048502]","[-1]","[13]","[1]","[0]","[-131.431]","[-0.0130475]","[2.25266]",177784,-2.18149,4,"[492375,89299.2,32879.2,25770.1]","[0.5205,-0.643796,-0.233507,0.6927]","[0.832016,-2.45192,-1.48923,-2.37398]","[561746,108612,34485.5,32264.4]","[0.998781,0.831763,0.801629,0.988988]","[0,0,0,0]","[0,0,0,0]","[-0.797133,-0.822511,-0.908105,-0.749909]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[500939]","[0.525448]","[0.832361]","[572612]","[32348.4]","[0]","[2.92355]","[0.621227]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[26184.4]",3396.23,"[5706.08,5195.58,2497.55,1735.64]","[]","[15569.7]","[]"
933,284500,179864,363493,0.107084,3.2286,1.72799e+06,1.25133,1,0.982428,1,1,0.99928,1.00184,1,0,1,0,1,"[1]","[1]","[277270]","[-1.79607]","[0.455076]","[858408]","[-0.0452948]","[-1]","[13]","[1]","[0]","[180.813]","[-0.00686306]","[1.18156]",126325,2.01271,2,"[296414,35741.6]","[-0.0518844,0.924301]","[-2.37627,-0.796297]","[298134,52558.5]","[0.961892,1]","[0,0]","[0,0]","[-0.98424,-0.828614]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[263454]","[-0.0565796]","[-2.37034]","[266984]","[40620.8]","[0]","[3.11313]","[0.655786]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[31268.4]",8721.73,"[3596.38,8875.22]","[]","[11251.5]","[]"
1184,284500,97959,363493,0.157085,3.2286,1.72799e+06,1.25133,0.98178,1,1,1,1.53437,0.99604,1,1,0,0,1,"[1]","[1]","[83804.8]","[-2.0393]","[-1.6712]","[327481]","[-0.0457268]","[1]","[11]","[1]","[0]","[-1195.9]","[0.0491928]","[4.86676]",439289,0.485866,4,"[567024,137989,117656,66760.2]","[-1.27308,-2.27573,0.360611,0.336018]","[-3.05483,-0.281207,-0.504167,2.35377]","[1.09228e+06,678953,126244,71214.6]","[0.998715,0.994062,0.993982,0.992644]","[0,0,0,0]","[0,0,0,0]","[0.83503,-0.942166,-0.921905,-0.244871]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[594952]","[-1.26702]","[-3.05189]","[1.14001e+06]","[14858.8]","[0]","[2.12114]","[0.144813]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[814.393]",369.219,"[12376.9,3415.28,5792.78,1819.46]","[]","[3358.56]","[]"
1568,284500,136382,363493,0.100236,3.2286,1.72799e+06,1.08735,0.97435,1,1,1,0.937727,0.98425,1,1,0,0,1,"[1]","[1]","[48259.6]","[0.27837]","[0.983019]","[50141.6]","[-0.00946045]","[1]","[11]","[1]","[0]","[3882.9]","[-0.0384061]","[3.6382]",338424,1.38502,4,"[327738,56530.6,47527.6,35592.1]","[-0.879455,2.10516,-0.0601215,0.628252]","[-1.94862,-0.670339,-2.63756,-0.232081]","[464338,235490,48442.2,43162.9]","[0.996924,1,0.993809,0.996504]","[0,4,0,4]","[0,0,0,0]","[-0.941402,-0.598161,-0.826814,-0.94237]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[330881]","[-0.927287]","[-1.94325]","[485196]","[38988.6]","[0]","[1.40364]","[0.6524]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[402.188]",6661.03,"[11019.4,8439,2017.63,2756.62]","[]","[4663.16]","[]"
1870,284500,169389,363493,0.102475,3.2286,1.72799e+06,1.32095,1,0.994543,1,1,0.995638,0.979787,1,0,1,0,1,"[1]","[1]","[65447.7]","[0.450985]","[-1.91866]","[72217]","[0.0269833]","[-1]","[13]","[1]","[0]","[-312.813]","[-0.0102235]","[1.87274]",315563,2.79145,5,"[219818,101034,53425.2,40340.9,22576.5]","[1.52254,1.81574,0.721479,1.60968,1.26756]","[-0.0298563,-1.42359,0.556169,0.92548,0.627359]","[528220,318846,68737.2,105111,43597.4]","[0.999502,0.999642,0.989966,1,0.940679]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.914329,-0.74339,-0.313926,-0.877555,-0.905599]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[256458]","[1.51013]","[0.123957]","[620894]","[121677]","[0]","[1.84852]","[0.381707]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1639.5]",475,"[14594.2,6543.59,6615.07,4288.83,1779.66]","[]","[0]","[]"
2817,284500,121317,363493,0.113576,3.2286,1.72799e+06,1.32095,0.98916,1,1,1,0.996647,0.99765,1,1,0,0,1,"[1]","[1]","[94402.6]","[0.586869]","[1.18372]","[111131]","[-0.0701294]","[1]","[11]","[1]","[0]","[1488.62]","[0.00541233]","[0.747234]",695287,-0.267884,5,"[414298,265981,96669.8,22138.9,21662.6]","[-0.643002,0.0583577,-1.2918,-0.573111,-0.195267]","[-2.9773,2.27243,-2.78868,-0.7255,2.77069]","[503863,268229,189443,26232.2,22580.5]","[0.997366,0.996272,0.999212,1,0.930084]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.833147,-0.546941,-0.899065,-0.355892,-0.854861]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[512803,264575]","[-0.774101,0.102034]","[-2.93769,2.27174]","[690245,267511]","[147625,28830.6]","[0,0]","[1.12089,1.58589]","[0.79039,0.639106]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[667.183]",1760.44,"[6346.79,5813.61,4341.8,5785.36,2120.67]","[]","[12341.8,4485.69]","[]"
4040,284500,186101,363493,0.1,3.2286,1.72799e+06,1.21412,0.98697,1,1,1,0.998938,1.00582,1,1,0,0,1,"[1]","[1]","[167512]","[-0.412449]","[2.97856]","[181963]","[0.0327969]","[1]","[11]","[1]","[0]","[200.238]","[-0.0169243]","[2.9434]",64969.9,0.687994,2,"[257336,28348.9]","[-0.77817,0.100076]","[-0.759687,2.11319]","[339487,29069.3]","[0.991361,0.64664]","[0,0]","[0,0]","[-0.918156,0.202076]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[252290]","[-0.766535]","[-0.759958]","[330186]","[7027.86]","[0]","[5.78059]","[0.122315]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[749.045]",900.867,"[3767.21,1269.78]","[]","[0]","[]"
7222,284500,907565,363493,0.1,3.2286,1.72799e+06,0.696077,0.97738,1,1,1,0.997162,1.00056,1,1,0,0,1,"[1]","[1]","[72709.8]","[0.316114]","[2.62632]","[76373]","[-0.0812531]","[-1]","[11]","[1]","[0]","[460.884]","[0.0213716]","[2.00004]",211948,2.33253,4,"[403829,219803,102146,86157.1]","[-1.71846,-1.16174,-1.36853,-2.40789]","[-0.771703,3.13892,-0.0221108,1.15986]","[1.16275e+06,385889,213992,482656]","[0.999698,0.999178,0.986442,0.999136]","[0,0,0,0]","[0,0,0,0]","[-0.966567,-0.866785,-0.753887,0.546152]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[455077]","[-1.72507]","[-0.649089]","[1.327e+06]","[156855]","[0]","[1.35803]","[0.630519]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[266.466]",3245.48,"[6052.96,3654.72,9523.46,2723.04]","[]","[10521.2]","[]"
8098,284500,804843,363493,0.169307,3.2286,1.72799e+06,1.24168,1,1.00099,1,1,0.998025,0.987548,1,0,1,0,1,"[1]","[1]","[45095.5]","[1.29709]","[-0.721474]","[88657]","[0.0260201]","[-1]","[13]","[1]","[0]","[-405.676]","[-0.0150182]","[2.18431]",390756,-0.797876,3,"[327365,70913.2,41668.4]","[1.47581,0.91857,1.82882]","[2.362,2.08022,2.66887]","[755741,103598,133120]","[0.994648,0.340944,0.98064]","[0,0,0]","[0,0,0]","[-0.755793,-0.90837,-0.766422]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[436182]","[1.43173]","[2.33652]","[974899]","[138447]","[0]","[1.53965]","[0.760602]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[347.593]",4954.41,"[4520.49,3654.65,3407.28]","[]","[37855.5]","[]"
8631,284500,884071,363493,0.133439,3.2286,1.72799e+06,1.32095,0.97921,1,1,1,0.998712,1.00192,1,1,0,0,1,"[1]","[1]","[61953.2]","[-0.360518]","[2.85223]","[66023.2]","[-0.00681412]","[-1]","[11]","[1]","[0]","[321.864]","[-0.0491457]","[4.87301]",381760,-1.92149,2,"[369896,21896]","[0.0140922,1.04592]","[1.14302,0.853839]","[370248,35292.5]","[1,0.946789]","[0,0]","[0,0]","[-0.888231,-0.927001]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[378134]","[0.0165298]","[1.13974]","[378318]","[9988.32]","[0]","[4.06328]","[0.4009]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[125.398]",6977.34,"[8468.84,1745.29]","[]","[16311.3]","[]"
