event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,327170,410026,1.26471e-09,1.28866,0.00027783,0.75088,1,0.995319,1,1,1.00755,0.909105,1,0,1,0,1,"[1]","[1]","[70163]","[-0.446873]","[2.53328]","[77286.1]","[-0.00884247]","[-1]","[13]","[1]","[0]","[-1047.7]","[0.0137831]","[2.45973]",123734,3.08236,6,"[532802,504205,308956,53552.7,28889.3,25780.7]","[-0.459654,-0.728119,-0.238481,1.23962,1.44353,0.273668]","[-1.03339,1.10713,3.06797,-2.69217,-1.11214,-1.17818]","[590540,644898,318739,100369,65078.7,27536.5]","[0.994567,0.985534,0.991399,0.99442,0.967679,0.985054]","[0,5,5,0,0,0]","[0,1,1,0,0,0]","[-0.690606,0.652668,0.986439,-0.670145,-0.627079,-0.61618]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",3,"[501482,497560,291214]","[-0.773976,-0.505656,-0.290787]","[1.10601,-1.03627,3.06568]","[660001,562568,303849]","[29626.2,5826.64,11985.7]","[0,0,1]","[3.25252,0.405003,0.232245]","[0.679546,-1,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[979.344]",8748.52,"[6441.2,5321.32,4068.86,3265.54,2246.83,5350.61]","[]","[5103.31,23221.7,0]","[]"
13,284500,349102,410026,1.26609e-09,1.28866,0.00027783,1.21412,1,0.987889,1,1,1.05547,1.00468,1,0,1,0,1,"[1]","[1]","[63575.7]","[-1.8429]","[2.97636]","[205769]","[-0.103065]","[-1]","[13]","[1]","[0]","[-293.409]","[0.0163599]","[1.92287]",61819.4,-0.465818,2,"[228772,223461]","[-1.01589,-1.87296]","[2.33261,-0.739777]","[358377,744386]","[1,0.987354]","[5,5]","[1,1]","[-0.0320771,0.99849]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[251184]","[-1.02134]","[2.33717]","[394821]","[25687.1]","[1]","[2.4413]","[0.676509]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[75.8241]",9780.4,"[8655.32,3102.59]","[]","[4862.59]","[]"
18,284500,240930,410026,1.26396e-09,1.28866,0.00027783,0.619412,1,1.00431,1,1,0.912432,0.919965,1,0,1,0,1,"[1]","[1]","[71625]","[-0.076585]","[-0.233691]","[71835.2]","[-0.00165558]","[-1]","[13]","[1]","[0]","[40.7355]","[0.0242304]","[3.65925]",240646,-0.707207,4,"[404196,171549,29276.6,27205.9]","[0.460978,0.491798,-0.521711,-0.817817]","[2.37259,-1.08888,1.40342,2.57143]","[450061,193243,33896,37049.9]","[0.998455,0.994873,0.99,0.988184]","[5,5,5,5]","[1,1,0,0]","[0.932745,0.995881,0.477544,0.99576]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[419994]","[0.420276]","[2.35329]","[458485]","[27895.4]","[0]","[2.23632]","[0.687187]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[584.928]",639.594,"[4819.82,2024.79,2294.07,4123.48]","[]","[14629.8]","[]"
19,284500,418573,410026,1.26498e-09,1.28866,0.00027783,1.1961,0.97749,1,1,1,1.07795,1.00021,1,1,0,0,1,"[1]","[1]","[66964.7]","[0.856774]","[1.03199]","[93083.6]","[-0.022583]","[-1]","[11]","[1]","[0]","[154.804]","[0.00961377]","[1.17773]",42343,-2.03321,3,"[203431,174831,30240.7]","[0.649373,-1.29457,-1.62528]","[0.427705,-2.34805,2.63115]","[248458,343628,80106]","[0.992905,0.995336,0.99078]","[5,0,0]","[1,0,0]","[-0.90528,-0.947378,-0.69027]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[256123]","[0.664886]","[0.611454]","[326886]","[87876.7]","[1]","[0.428366]","[0.685545]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[746.084]",1453.59,"[2408.53,3462.18,2678.69]","[]","[4310.27]","[]"
32,284500,256471,410026,1.26447e-09,1.28866,0.00027783,1.55465,0.97738,1,1,1,1.00151,1.00056,1,1,0,0,1,"[1]","[1]","[64425.8]","[0.58987]","[-0.374908]","[75962.9]","[0.0874023]","[-1]","[11]","[1]","[0]","[38.411]","[0.0320168]","[3.76473]",77039.5,0.823071,2,"[347122,238991]","[2.26435,0.843606]","[-2.55794,0.718354]","[1.68883e+06,329521]","[0.999534,0.981095]","[5,5]","[1,1]","[0.789506,0.995968]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[258647]","[0.818119]","[0.716973]","[350697]","[19718.6]","[1]","[1.92262]","[0.649398]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[215.2]",6406.62,"[4750.55,9454.87]","[]","[0]","[]"
37,284500,431277,410026,1.26261e-09,1.28866,0.00027783,0.00292683,1,0.993171,1,1,1.09455,0.763373,1,0,1,0,1,"[1]","[1]","[233414]","[0.505995]","[2.05552]","[263937]","[-0.064889]","[-1]","[13]","[1]","[0]","[-521.505]","[-0.00778155]","[1.77801]",49302,2.09696,6,"[327168,187712,161995,49947.7,48978.2,29674.7]","[0.554164,0.99888,0.971694,1.32637,1.19967,0.278808]","[-1.31125,2.44361,0.366932,-0.685395,-1.3647,-1.8433]","[379752,290157,245574,101185,89159.5,31292.9]","[0.974083,0.968644,1,0.929331,0.978816,0.971795]","[5,5,0,0,0,0]","[1,1,0,0,0,0]","[-0.214576,0.939574,-0.926686,-0.95696,-0.733826,0.0652301]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[380536]","[0.710561]","[-1.26697]","[498756]","[132942]","[0]","[2.05476]","[0.408778]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[12346.6]",2788.18,"[7926.08,13432.5,2605.1,2725.67,9297.18,2760.49]","[]","[12172.1]","[]"
50,284500,486951,410026,1.26504e-09,1.28866,0.00027783,0.923924,0.95055,1,1,1,0.968222,0,1,1,0,0,1,"[1]","[1]","[25635.5]","[1.08594]","[2.8404]","[42296.3]","[-0.00243759]","[-1]","[11]","[1]","[1188.29]","[-568.258]","[0.04036]","[2.98302]",260986,1.74367,3,"[185529,44708.2,25373.9]","[0.36367,1.11164,-1.01638]","[2.01272,0.0189455,3.10885]","[199637,75666.3,40019.7]","[0.997748,0.991674,0.969706]","[5,5,0]","[1,1,0]","[-0.686506,-0.913972,-0.7921]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[414907]","[-0.579791]","[-1.30427]","[487167]","[23099.2]","[0]","[10.366]","[0.140528]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[118.708]",7407.48,"[4781.01,2665.11,3881.28]","[]","[6713.16]","[]"
55,284500,256558,410026,1.26447e-09,1.28866,0.00027783,1.55465,0.96679,1,1,1,1.03029,0.96793,1,1,0,0,1,"[1]","[1]","[42875.8]","[-0.895086]","[-3.11555]","[61229.2]","[0.00172424]","[-1]","[11]","[1]","[1392.13]","[262.584]","[-0.0188753]","[2.1796]",143156,-2.03394,2,"[377583,214329]","[-1.28958,-1.22027]","[0.762558,-2.43388]","[738845,395071]","[0.996949,1]","[5,5]","[1,1]","[0.937943,0.784668]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[365067]","[-1.33911]","[0.767795]","[745806]","[46986.3]","[0]","[2.02027]","[0.711431]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[30.1038]",3107.8,"[7688.47,3853.01]","[]","[8441.44]","[]"
56,284500,256496,410026,1.26447e-09,1.28866,0.00027783,1.24168,1,0.993938,1,1,1.08098,0.972908,1,0,1,0,1,"[1]","[1]","[41609.7]","[-0.552275]","[2.75871]","[48118.4]","[0.0533524]","[-1]","[13]","[1]","[0]","[526.817]","[-0.0266685]","[3.51287]",55505.2,-2.27569,3,"[296709,201170,21816]","[-1.13171,-0.571249,0.564812]","[0.293179,-2.76309,-2.94582]","[508219,235264,25653.9]","[0.9894,0.992897,0.988903]","[5,5,0]","[1,1,0]","[-0.0460472,0.997987,-0.861274]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[261794]","[-1.1665]","[0.292347]","[461397]","[18051.1]","[0]","[1.9999]","[0.307942]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[323.754]",3000.26,"[3461.54,2061.97,2059.53]","[]","[7862.33]","[]"
64,284500,393438,410026,1.26625e-09,1.28866,0.00027783,0.75088,1,0.993432,1,1,1.0211,0.935601,1,0,1,0,1,"[1]","[1]","[200177]","[0.178158]","[-0.156453]","[203362]","[0.0673218]","[-1]","[13]","[1]","[0]","[-370.48]","[0.0148284]","[3.14992]",56188.8,-0.888925,4,"[298303,109157,33292,27792.8]","[-1.14632,1.44457,-2.26052,-0.79827]","[-3.03534,1.20378,1.05403,-1.29401]","[517283,244473,161460,37441.6]","[0.990693,0.99413,0.984763,0.990838]","[0,0,0,5]","[0,0,0,1]","[-0.925216,-0.355152,-0.700799,0.974547]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[319158]","[-1.07965]","[-2.97872]","[533504]","[100492]","[0]","[1.18803]","[0.663938]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2486.17]",7012.27,"[9817.33,4832.35,6179.05,3209.15]","[]","[4493.41]","[]"
