event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
9,284500,2697894,410012,2.75104e-08,26.276,0.128695,0,1,0.991474,1,1,0.997474,0.753185,1,0,1,0,1,"[1]","[1]","[44805.1]","[-0.267714]","[-3.06085]","[46420.5]","[0.11031]","[-1]","[13]","[1]","[0]","[-637.911]","[-0.0123765]","[1.932]",135397,2.42934,4,"[303907,66848,60540.5,24269.8]","[1.15053,-1.34965,-1.31802,-1.20763]","[-0.537812,2.07262,2.68188,-3.03926]","[528706,137663,121443,44530.5]","[0.993685,0.990303,0.986477,0.989117]","[0,0,0,0]","[0,0,0,0]","[-0.88398,-0.960657,-0.933869,0.0396818]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[284341]","[1.16522]","[-0.542271]","[500491]","[16280.5]","[0]","[2.06189]","[0.671398]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[522.568]",18686.1,"[5276.15,8865.99,6273.75,1426.93]","[]","[20385.1]","[]"
101,284500,4426315,410012,2.75104e-08,26.276,0.128695,1.21412,0.96126,1,1,1,0.97,0.96978,1,1,0,0,1,"[1]","[1]","[27565.9]","[0.46325]","[3.10089]","[30577]","[0.0399055]","[-1]","[11]","[1]","[0]","[-17.7471]","[0.01606]","[1.58772]",54611.4,-2.37655,2,"[369866,208028]","[1.68667,-1.05058]","[0.160052,3.06448]","[1.03362e+06,334575]","[0.999515,0.989604]","[0,5]","[0,1]","[-0.893642,0.973024]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[368532]","[1.68271]","[0.150919]","[1.02587e+06]","[22404.1]","[0]","[2.87632]","[0.638626]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[288.419]",9479.42,"[5257.83,4775.75]","[]","[1992.12]","[]"
183,284500,4914341,410012,2.75104e-08,26.276,0.128695,0.696077,1.00588,1,1,1,0.999534,1.00306,1,1,0,0,1,"[1]","[1]","[258629]","[0.994252]","[0.755647]","[397345]","[0.0353508]","[-1]","[11]","[1]","[0]","[-194.661]","[-0.0166357]","[2.2299]",36003.8,-1.32026,1,"[24343]","[0.361119]","[0.682275]","[26643.7]","[0.645085]","[0]","[0]","[-0.666305]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[285097]","[0.98105]","[0.75178]","[433660]","[1323.32]","[1]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2608.09]",800.125,"[1720.45]","[]","[1212.78]","[]"
244,284500,4720383,410012,2.75104e-08,26.276,0.128695,0.619412,0.97446,1,1,1,1.02628,0.98483,1,1,0,0,1,"[1]","[1]","[58668.5]","[-0.24705]","[-3.0188]","[60468]","[-0.0522308]","[-1]","[11]","[1]","[0]","[-1026.97]","[0.00628662]","[0.929244]",222955,-2.7949,5,"[264556,30316.3,26670.7,21652.7,20892]","[0.261064,-0.620893,-1.11068,-2.43137,-2.49923]","[0.524836,-0.953877,-0.000537956,-2.86731,-0.562993]","[273963,36744.2,45150.1,124146,128105]","[0.993393,0.992538,0.991864,0.99839,0]","[0,5,0,0,0]","[0,1,0,0,0]","[-0.882204,0.998991,-0.750923,-0.505851,-0.648645]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[261932]","[0.233899]","[0.520841]","[269538]","[14827.6]","[0]","[4.26496]","[0.563134]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[163.437]",19362.6,"[3887.69,4268.49,2170.05,2276.47,1247.23]","[]","[5675.3]","[]"
601,284500,4352129,410012,2.75104e-08,26.276,0.128695,1.25133,0.96787,1,1,1,1.0977,0.98743,1,1,0,0,1,"[1]","[1]","[122800]","[-0.00393849]","[-3.06071]","[122801]","[-0.0293121]","[-1]","[11]","[1]","[0]","[-702.813]","[0.00196513]","[0.277522]",101456,2.54087,4,"[311783,255018,174252,20048.6]","[-1.63633,0.40176,1.62487,-2.02261]","[-0.258293,2.74262,-0.365831,-1.61167]","[831133,276375,459753,77174.3]","[1,0.995103,0.99,0.930289]","[0,5,5,0]","[0,1,1,0]","[-0.847613,0.703898,0.99913,-0.672151]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[378065,313584]","[0.231976,-1.65745]","[2.88986,-0.258616]","[407450,852465]","[123500,9601.47]","[1,0]","[0.563111,2.38254]","[0.264412,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1719.85]",20358.1,"[4451.49,5180.89,2143.56,1089.36]","[]","[30147.2,14851.5]","[]"
854,284500,4858185,410012,2.75104e-08,26.276,0.128695,1.22586,1,0.994259,1,1,0.962808,0.906811,1,0,1,0,1,"[1]","[1]","[56485.2]","[0.158942]","[2.22546]","[57200.2]","[-0.0741882]","[-1]","[13]","[1]","[0]","[356.387]","[-0.00607175]","[0.871221]",105294,0.882217,3,"[276557,187299,43047.1]","[1.0458,0.0261836,1.38488]","[-1.84239,1.24097,-2.15883]","[442767,188553,91497]","[0.992223,0.994035,0.998666]","[4,5,0]","[0,1,0]","[0.730479,0.908374,-0.759116]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[319698]","[1.05957]","[-1.87185]","[519410]","[54050.7]","[0]","[1.78641]","[0.722553]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[250.526]",8925.54,"[7712.43,2551.87,2262.65]","[]","[27648.4]","[]"
901,284500,612599,410012,2.75104e-08,26.276,0.128695,0.738662,0.97135,1,1,1,1.00515,1.0044,1,1,0,0,1,"[1]","[1]","[64921.3]","[1.88923]","[-3.08517]","[219611]","[0.0748253]","[-1]","[11]","[1]","[1286.61]","[617.541]","[0.0452557]","[2.15956]",68567.2,2.54792,4,"[332336,129881,36957.1,28254.5]","[0.498759,1.52626,1.05197,0.200663]","[-0.508725,2.25768,-0.563052,2.0936]","[375462,313244,59598,29407.6]","[0.213394,0.999173,0.904315,0.994188]","[0,5,4,0]","[0,1,0,0]","[-0.803752,0.999969,-0.326392,-0.894862]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[336272]","[0.547161]","[-0.505916]","[390665]","[46578.7]","[0]","[2.79602]","[0.538528]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[208.945]",14727.7,"[7091.69,1553.55,2141.9,3413.1]","[]","[13424.5]","[]"
980,284500,1425002,410012,2.75104e-08,26.276,0.128695,1.24168,0.97332,1,1,1,0.961522,0.98683,1,1,0,0,1,"[1]","[1]","[64727.2]","[-1.16698]","[-1.90089]","[114036]","[0.00082016]","[-1]","[11]","[1]","[1327]","[590.5]","[0.0196335]","[1.58316]",66966.4,-0.202725,3,"[430208,317130,22672.2]","[-2.14222,-1.08692,-0.322704]","[2.08096,-1.11255,-0.681275]","[1.85792e+06,524001,24639.7]","[1,1,0.940523]","[0,5,5]","[0,1,1]","[-0.831454,0.997535,-0.0249238]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[350671]","[-1.12962]","[-1.25131]","[610309]","[115743]","[1]","[0.820864]","[0.497755]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[159.526]",11861.5,"[14178.5,6017.74,1716.04]","[]","[31708.8]","[]"
1024,284500,2737776,410012,2.75104e-08,26.276,0.128695,0.738662,1,0.996125,1,1,0.951969,0.986238,1,0,1,0,1,"[0]","[1]","[27500.5]","[-1.25387]","[-2.30889]","[52103.5]","[0.0295467]","[-1]","[13]","[1]","[0]","[-53.6542]","[0.0151583]","[1.52543]",172051,-2.39945,2,"[361902,117813]","[-1.8085,1.60992]","[0.568914,-2.59888]","[1.13415e+06,306687]","[1,0.998667]","[5,0]","[1,0]","[0.997839,-0.939181]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[393748]","[-1.90404]","[0.591325]","[1.35366e+06]","[85821.4]","[0]","[2.32499]","[0.682459]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[89.8461]",18276.4,"[10283.7,6605.26]","[]","[8692.72]","[]"
1025,284500,621347,410012,2.75104e-08,26.276,0.128695,0.402058,0.98089,1,1,1,0.964306,0.99866,1,1,0,0,1,"[1]","[1]","[175148]","[-0.836321]","[-2.69337]","[240055]","[0.0646935]","[-1]","[11]","[1]","[0]","[-1072.79]","[0.0412543]","[3.14928]",54152.5,-2.40711,3,"[319677,73617.4,69369.3]","[-0.24932,1.07818,-1.06771]","[0.381528,-2.16627,2.31169]","[329953,121214,112968]","[0.995687,0.978206,0.993439]","[5,4,5]","[1,0,1]","[0.990231,-0.881045,0.998181]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[310659]","[-0.275308]","[0.381341]","[322868]","[15261.3]","[0]","[2.51502]","[0.338802]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2010.62]",3375.22,"[3078.74,5665.83,7962.16]","[]","[25996.7]","[]"
