event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
332,284500,320105,410014,1,35.8244,4.9856e+06,1.26459,0.97245,1,1,1,0.909316,0.99544,1,1,0,0,1,"[1]","[1]","[99360.4]","[1.22976]","[2.21664]","[184452]","[0.0168743]","[-1]","[11]","[1]","[0]","[-622.086]","[-0.0198814]","[2.83538]",189094,2.97572,10,"[193400,181094,102785,56685.9,51754.9,34121.7,29160.6,26503.8,21727.6,20996.5]","[1.19551,-1.53169,-0.288831,-1.23972,-0.60924,-1.13089,0.930967,0.37134,-0.368134,0.877343]","[2.99928,-0.283253,-0.558728,-0.732823,0.13815,-1.84235,0.157162,-0.587242,0.665189,1.08891]","[349170,439380,107736,106537,62494.6,58702.8,42874.9,28668.3,23434.3,29930.2]","[0.992945,0.995393,0.99437,0.999547,0.994913,0.989911,1,0.969223,0.950426,0.830038]","[5,0,0,0,0,5,0,0,0,0]","[1,0,0,0,0,0,0,0,0,0]","[0.978862,-0.480166,-0.959291,-0.572592,-0.569853,-0.668193,-0.623431,-0.858194,-0.675095,-0.858182]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[273166]","[1.28495]","[2.72711]","[543828]","[115284]","[1]","[0.352951]","[0.669395]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1172.57]",17630.3,"[3194.97,13810.6,4115.77,6421.5,2886.45,1538.72,3082.49,2074.98,2296.2,1148.83]","[]","[3760.25]","[]"
695,284500,333712,410014,1,35.8244,4.9856e+06,1.08735,1.00588,1,1,1,0.950759,1.00306,1,1,0,0,1,"[1]","[1]","[185013]","[0.812816]","[-1.49707]","[249569]","[-0.0185881]","[1]","[11]","[1]","[0]","[1591.57]","[0.00397532]","[0.462059]",53240.5,-0.122708,3,"[307650,118703,104323]","[-0.31651,1.18816,1.01683]","[1.41368,-3.05738,-1.96542]","[323484,213098,163442]","[0.999476,0.998586,0.998]","[5,5,4]","[1,1,1]","[0.990023,0.99621,-0.83943]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[298875,288582]","[-0.326652,0.900408]","[1.41427,-1.65157]","[315225,419898]","[12849.1,71968]","[0,1]","[6.58389,0.679019]","[0.408333,0.782548]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2077.31]",3430.39,"[5454.44,5411.73,2722.27]","[]","[8603.59,1908.53]","[]"
787,284500,348164,410014,1,35.8244,4.9856e+06,0.75088,0.97994,1,1,1,0.938541,1.00632,1,1,0,0,1,"[1]","[1]","[305424]","[0.211307]","[1.79061]","[312268]","[-0.127855]","[1]","[11]","[1]","[0]","[937.901]","[0.0117759]","[2.03739]",119374,2.40625,9,"[312034,73501.2,73091.4,67155.2,42157,29335.6,23636.9,22424.1,21383.2]","[-0.980053,-0.270435,0.589538,-0.21085,-0.546758,-1.77682,0.188625,-1.00341,1.76281]","[-1.3159,2.03417,-1.16483,-1.74419,0.333697,-1.07479,0.112807,-0.678062,2.11502]","[474557,76447.4,87258.2,68892.8,49338.1,89428.8,24500.7,35077.7,64335.1]","[0.995487,0.995488,1,0.993268,0.998161,0.995984,0.980728,0.991428,0.981288]","[4,4,4,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0]","[-0.48262,-0.677163,-0.729116,-0.824183,-0.791251,0.204054,-0.943376,-0.835582,0.116937]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[397365,376328]","[0.143242,-0.855203]","[1.83651,-1.39774]","[410836,538232]","[87323.7,129013]","[1,1]","[0.62912,0.662111]","[0.150905,0.622358]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2496.61]",10353,"[6451.09,1382.17,2825.33,1812.48,3802.1,2124.55,1838.71,2339.64,1751.72]","[]","[44329.2,24514]","[]"
1107,284500,1362043,410014,1,35.8244,4.9856e+06,0.75088,1,0.995931,1,1,1.00493,0.987784,1,0,1,0,1,"[1]","[1]","[61976.1]","[0.8901]","[-2.93366]","[88191.7]","[-0.0110455]","[1]","[13]","[1]","[0]","[-788.013]","[-0.0157119]","[1.8921]",47261.7,-2.45924,6,"[273024,183874,86798.6,62009.8,55243.7,25941.1]","[0.343911,1.0177,2.13399,-1.74359,1.80006,1.36638]","[-2.86199,-0.00258883,0.23501,0.626059,1.32836,0.554674]","[290817,288694,371920,182939,171799,54249.5]","[0.991094,0.995433,0.996713,0.989008,1,0.99]","[5,5,0,0,0,0]","[1,1,0,0,0,0]","[0.919241,0.264501,-0.82688,-0.890185,-0.819371,-0.876763]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[282817]","[0.342723]","[-2.84759]","[300511]","[23511.4]","[1]","[1.83159]","[0.695279]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[127.361]",10943.8,"[5459.26,9842.4,2422.81,7175.1,2673.38,1704.16]","[]","[9832.28]","[]"
1281,284500,564794,410014,1,35.8244,4.9856e+06,0.923924,1,0.998865,1,1,0.967035,0.945822,1,0,1,0,1,"[1]","[1]","[195104]","[0.765335]","[2.942]","[255088]","[-0.0101509]","[-1]","[13]","[1]","[0]","[2.99438]","[0.0061487]","[1.05354]",162300,-2.91482,8,"[375320,324703,202720,179852,144994,71473,43948.2,20639.6]","[-1.133,-1.551,0.211086,-0.0646724,1.04791,-1.82567,1.09146,-2.0269]","[-0.267278,-0.847871,2.26572,2.60908,1.40777,-0.265325,-2.63898,-1.51984]","[643894,800538,207400,180747,232206,227951,73195.9,79745.6]","[0.996362,0.991358,0.998801,0.994726,0.63664,0.99652,1,0.99]","[5,0,0,0,0,0,0,0]","[1,0,0,0,0,0,0,0]","[0.956285,-0.912147,-0.900755,-0.821675,-0.0418345,0.886761,-0.934897,-0.85504]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[718169,386190]","[-1.37142,0.0979604]","[-0.542021,2.44095]","[1.53103e+06,399068]","[274309,93146.7]","[0,1]","[0.608878,0.667149]","[0.822025,0.713941]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2451.3]",13570,"[4643.53,5884.49,8433.25,3781.39,4127.55,9784.99,3242.91,1170.64]","[]","[21103.8,848.969]","[]"
1457,284500,1352019,410014,1,35.8244,4.9856e+06,0.75088,0.97014,1,1,1,0.982413,0.96677,1,1,0,0,1,"[1]","[1]","[54621.7]","[0.589836]","[0.871161]","[64402]","[0.0180817]","[1]","[11]","[1]","[0]","[940.437]","[0.0191202]","[1.85443]",81715.2,-1.42561,3,"[358266,195210,109836]","[1.3194,-1.85458,-1.85218]","[2.39827,-0.925052,-0.379701]","[718981,638915,358674]","[1,0.993157,0.99765]","[0,4,0]","[0,1,0]","[-0.101325,-0.632511,-0.969771]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[332603,297315]","[1.33744,-1.87252]","[2.38323,-0.741819]","[677684,993309]","[26967.4,83188.6]","[0,1]","[2.3191,0.306133]","[0.676956,0.676673]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[88.8632]",6111.39,"[9333.06,9813.97,14711.6]","[]","[872.875,8189.19]","[]"
1699,284500,590152,410014,1,35.8244,4.9856e+06,1.24168,0.98697,1,1,1,0.983636,1.00582,1,1,0,0,1,"[1]","[1]","[245013]","[-0.60111]","[2.93856]","[290628]","[0.0111599]","[1]","[11]","[1]","[0]","[1649.14]","[0.0118717]","[1.33165]",14783.5,-1.23938,5,"[136714,74705.3,27485,27351.6,22047.2]","[-0.869207,-1.54454,-1.32699,-0.898309,-0.613338]","[-0.0982933,-0.217365,-1.65803,0.574244,2.28659]","[192539,183130,55561.2,39426.6,26497.8]","[0.989336,0.993296,0.857425,0.999889,0.964064]","[5,0,0,0,5]","[1,0,0,0,1]","[-0.848583,-0.9053,-0.602455,-0.946684,0.706794]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[253133]","[-0.593053]","[2.92824]","[298968]","[0.00195312]","[1]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4151.71]",5567.75,"[7183.61,4353.96,2565.45,2755.31,2799.37]","[]","[0]","[]"
1865,284500,664793,410014,1,35.8244,4.9856e+06,1.25133,0.97994,1,1,1,0.866242,1,1,1,0,0,1,"[1]","[1]","[222453]","[0.132688]","[-2.76627]","[224414]","[-0.0441303]","[1]","[11]","[0]","[0]","[2514.77]","[-0.023089]","[1.68146]",431846,-2.58427,6,"[303813,179525,120197,86956.7,26876.4,25582.2]","[0.619536,-0.230484,-0.0910759,-0.480071,-0.924341,-1.57946]","[0.447036,0.498642,-0.0574101,0.967083,1.3525,-2.52238]","[365476,186129,122280,97576.7,39528.1,64856.1]","[0.993296,0.995993,1,0.999753,0.991854,0.996698]","[5,0,5,0,4,4]","[1,0,1,0,0,0]","[0.958826,-0.478197,-0.0117097,-0.884441,0.964789,0.659949]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[587407]","[0.186492]","[0.452212]","[695339]","[355400]","[1]","[1.16587]","[0.529653]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3609.2]",6901.88,"[3572.36,3872.04,1273.4,1930.37,1794.53,1216.97]","[]","[24390.3]","[]"
1886,284500,695244,410014,1,35.8244,4.9856e+06,0.696077,0.97097,1,1,1,0.99847,0.99737,1,1,0,0,1,"[1]","[1]","[35366.1]","[0.562439]","[2.27618]","[41108.9]","[0.00819683]","[-1]","[11]","[1]","[1152.3]","[-725.445]","[-1.60964e-05]","[0.00165984]",57050,-0.705456,2,"[282847,282456]","[-0.374937,0.510756]","[-2.06976,1.14903]","[303966,320979]","[1,0.995099]","[0,0]","[0,0]","[-0.941459,-0.960555]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[278671,265081]","[0.503794,-0.372501]","[1.14928,-2.06668]","[315027,283899]","[12212.5,11017]","[1,0]","[3.89456,3.45581]","[0.352659,0.0874211]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[69.5619]",180.98,"[9258.62,6172.31]","[]","[565.875,10524.3]","[]"
2092,284500,686385,410014,1,35.8244,4.9856e+06,1.32095,1,0.993563,1,1,1.03471,0.933946,1,0,1,0,1,"[1]","[1]","[75104.9]","[-0.0720185]","[-0.494342]","[75299.9]","[-0.0271454]","[1]","[13]","[1]","[0]","[-991.015]","[0.00849215]","[1.60334]",194273,0.253577,8,"[106844,103036,58397,58171.5,43620,32195.4,25247.3,22630.3]","[-0.424413,-0.581459,0.573555,0.195029,-1.74484,-1.22264,0.795912,1.22006]","[2.9958,2.3041,-0.319375,2.89564,-2.3099,-2.49722,-2.38794,-2.05474]","[117830,122780,68804.2,59535.7,128876,59616.8,34128.7,41854.8]","[0.982052,0.992047,0.992895,1,0.991202,0.998046,0.995603,0.884652]","[0,0,0,0,5,0,0,0]","[0,0,0,0,1,0,0,0]","[-0.611779,-0.384594,-0.914443,-0.569772,0.99995,-0.610108,-0.722959,-0.708728]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[252201]","[-0.482137]","[2.70757]","[312333]","[134088]","[1]","[1.30841]","[0.613866]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[703.832]",124.672,"[2692.32,3940.07,2908.26,2741.78,1476.39,2714.02,1753.35,1643.32]","[]","[0]","[]"
