event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
36,284500,256846,410025,2.05547e-09,2.06111,0.00204857,0.553627,0.95822,1,1,1,0.91091,1.01975,1,1,0,0,1,"[1]","[1]","[46350.2]","[-2.25601]","[-2.88275]","[223633]","[-0.0650787]","[1]","[11]","[1]","[1676.22]","[3792.73]","[0.0177569]","[1.2656]",70203.8,-1.10434,4,"[360627,255826,57529.1,30635.5]","[-1.30992,-1.57086,-2.22366,1.82867]","[0.81217,-2.22684,2.8975,1.56457]","[717412,642080,268971,97973.5]","[0.999621,0.982643,0.999757,0.623368]","[5,5,0,0]","[1,1,0,0]","[0.886902,0.994236,-0.834218,-0.772016]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[360801,319992]","[-1.28612,-1.73772]","[0.809067,-2.3383]","[703056,947989]","[23233,139840]","[0,1]","[2.29635,0.694439]","[0.359384,0.579984]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[193.884]",3764.9,"[4377.27,4631.58,3573.97,3027.01]","[]","[23631.1,10138.8]","[]"
95,284500,48665,410025,2.06472e-09,2.06111,0.00204857,0.934886,1,0.991048,1,1,0.974164,0.928946,1,0,1,0,1,"[1]","[1]","[49870.5]","[0.199341]","[-0.257502]","[50864.8]","[-0.115062]","[1]","[13]","[1]","[0]","[41.8358]","[0.0235769]","[2.35739]",13340.6,-1.31319,5,"[270780,209533,53222.3,25592.1,21010.4]","[-0.496183,-0.480047,0.532099,-0.183392,2.3331]","[1.88129,-1.18349,-2.86253,-0.85963,-1.73101]","[305145,235279,61467.2,26185.7,109363]","[1,0.996019,0.997305,0.998004,0.870996]","[5,0,0,5,4]","[1,0,0,1,0]","[0.83089,-0.684772,-0.87262,0.984321,-0.226593]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[257294]","[-0.496764]","[1.88257]","[289891]","[10551.1]","[0]","[2.6206]","[0.0584335]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[138.494]",3372.45,"[2665.67,3744.53,2225.7,2314.93,1323.39]","[]","[1823.62]","[]"
115,284500,602619,410025,2.05528e-09,2.06111,0.00204857,1.26205,0.95138,1,1,1,0.973495,0.99031,1,1,0,0,1,"[1]","[1]","[35632.7]","[0.0959639]","[-0.356838]","[35796.9]","[-0.0134277]","[1]","[11]","[1]","[1805.77]","[-228.788]","[0.0165506]","[2.19509]",135794,-1.09851,5,"[331909,222080,202079,145579,49326.6]","[-1.24481,-0.266982,0.474858,-1.34336,1.55561]","[2.82782,0.382707,-0.936031,0.38042,1.91475]","[624299,231859,225601,298065,122245]","[0.994028,0.994651,0.994841,0.994749,0.965439]","[0,0,5,5,0]","[0,0,1,1,0]","[-0.815965,-0.915024,0.998112,0.999993,-0.893757]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[329981]","[-1.27058]","[2.82503]","[634243]","[10630]","[0]","[3.11348]","[0.426652]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[116.922]",2720.75,"[5297.85,2504.05,5999.6,12122.4,5247.39]","[]","[21180]","[]"
203,284500,764843,410025,2.05878e-09,2.06111,0.00204857,1.55465,1,0.996831,1,1,1.02775,1.0152,1,0,1,0,1,"[1]","[1]","[76465]","[-0.3713]","[-1.5503]","[81796.7]","[-0.0440693]","[1]","[13]","[1]","[0]","[-355.654]","[-0.0109518]","[1.95804]",57767.4,-0.133741,4,"[230947,218307,77126.1,45237]","[0.706497,0.148898,-2.25675,0.879787]","[2.08999,-0.947679,3.05795,1.60556]","[291400,221212,372532,64236.4]","[1,0.981976,0.568159,1]","[0,5,5,0]","[0,1,1,0]","[-0.921167,0.572007,0.0621847,-0.928468]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[258569]","[0.730278]","[2.02303]","[333693]","[45062.2]","[0]","[1.65657]","[0.546311]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2591.72]",9197.66,"[6115.13,9769.42,5269.8,4223.44]","[]","[110.656]","[]"
285,284500,777039,410025,2.06372e-09,2.06111,0.00204857,1.26459,1,0.987326,1,1,1.02726,1.02233,1,0,1,0,1,"[1]","[1]","[67218.1]","[-1.60584]","[-0.0452809]","[174188]","[-0.0782719]","[1]","[13]","[1]","[0]","[-273.653]","[0.00858278]","[1.11852]",81162.2,-0.455594,5,"[339920,75967.2,62623.3,27701,20524]","[0.146341,-1.83522,-1.77434,-1.60321,2.45196]","[2.18587,-1.93021,-0.862611,-1.33753,-3.00407]","[343971,244409,190133,71742.6,120099]","[0.989942,0.996783,0.9891,0.964645,0.0401519]","[0,5,0,0,0]","[0,1,0,0,0]","[-0.873016,0.992955,-0.922038,-0.679098,-0.779546]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[340764]","[0.137788]","[2.18367]","[344294]","[14122.6]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[158.7]",3527.06,"[3685.7,2358.65,3602.52,2543.02,4038.1]","[]","[18036]","[]"
383,284500,635646,410025,2.05605e-09,2.06111,0.00204857,0.923924,0.94707,1,1,1,0.960901,0.94238,1,1,0,0,1,"[1]","[1]","[27962.3]","[-1.04229]","[-2.00267]","[44576.7]","[-0.0277672]","[1]","[11]","[1]","[0]","[370.424]","[-0.0183546]","[1.3887]",12885.4,0.157544,3,"[279248,137057,20632.2]","[-0.552906,-0.704802,0.66792]","[-1.16694,2.31806,-2.18948]","[324042,173360,25631]","[0.995321,0.993329,0.964949]","[5,5,0]","[1,1,0]","[0.983369,0.999815,-0.835193]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[266226]","[-0.543785]","[-1.16655]","[307608]","[25276.8]","[0]","[2.29053]","[0.268273]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[196.519]",25795.8,"[4534.82,3961.49,1136.26]","[]","[2916.38]","[]"
462,284500,9379,410025,2.0593e-09,2.06111,0.00204857,1.26459,0.96853,1,1,1,1.08676,0.98869,1,1,0,0,1,"[1]","[1]","[78058]","[-1.91127]","[1.34903]","[269673]","[0.0498943]","[1]","[11]","[1]","[1605.66]","[4985.01]","[-0.00581221]","[0.489965]",45829.7,0.7889,3,"[514595,458196,55870.6]","[-0.641218,-2.31629,-1.12699]","[-1.9291,1.20321,-2.15428]","[625449,2.34567e+06,95586.5]","[0.997459,1,0.992342]","[5,5,0]","[1,1,0]","[-0.58984,0.143045,-0.878148]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[562822]","[-0.688145]","[-1.94661]","[706965]","[88330.3]","[0]","[2.84627]","[0.682749]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[629.479]",15624.1,"[7905.7,13522.1,2141.62]","[]","[1256.12]","[]"
478,284500,44750,410025,2.05212e-09,2.06111,0.00204857,1.1961,1,0.985703,1,1,1.02604,1.02139,1,0,1,0,1,"[1]","[1]","[78046.5]","[0.384655]","[-1.16154]","[83892]","[0.0652695]","[1]","[13]","[1]","[0]","[-691.741]","[0.00258232]","[0.399844]",142506,-1.55193,2,"[305470,187463]","[0.787657,-2.35755]","[2.41844,0.17673]","[405707,999411]","[0.99463,0.992335]","[0,5]","[0,1]","[-0.859336,-0.282499]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[279661]","[0.833263]","[2.42004]","[382600]","[8802]","[0]","[1.60489]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2095.84]",17175.5,"[15883.9,7921.65]","[]","[25.9688]","[]"
506,284500,602162,410025,2.05528e-09,2.06111,0.00204857,1.21412,0.97388,1,1,1,0.947828,0.98886,1,1,0,0,1,"[0]","[1]","[40329.6]","[-0.335976]","[-3.08773]","[42627.2]","[-0.0139561]","[1]","[11]","[1]","[0]","[371.107]","[0.00196709]","[0.125766]",109578,2.89592,3,"[271667,162575,53984.6]","[0.212088,0.234741,-0.383952]","[0.238756,-2.89868,-1.14805]","[278217,167493,58441.1]","[1,0.988906,0.99631]","[5,5,0]","[1,1,0]","[0.999606,0.994722,-0.380509]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[273451]","[0.228167]","[0.241741]","[280675]","[6513.66]","[0]","[27.0117]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[51.1866]",3097.86,"[2895.62,1936.52,2358.77]","[]","[2458.41]","[]"
521,284500,758513,410025,2.05924e-09,2.06111,0.00204857,0.738662,0.96787,1,1,1,0.964098,0.98743,1,1,0,0,1,"[1]","[1]","[129570]","[-0.00512142]","[0.769638]","[129571]","[0.0994797]","[1]","[11]","[1]","[1179.23]","[271.072]","[-0.00224587]","[0.251486]",6578.45,3.06794,4,"[194277,170199,60565.1,28894.9]","[0.483747,-0.0493871,-1.85285,0.776204]","[-2.71658,0.139929,-2.37501,-2.37078]","[220226,171006,197990,38243.1]","[0.998722,0.996445,0.999987,0.88267]","[5,5,0,0]","[1,1,0,0]","[0.999014,0.989868,-0.881354,-0.919021]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[319743]","[-0.117391]","[0.402746]","[342599]","[117145]","[1]","[0.970595]","[0.449589]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3578.71]",1229.02,"[4841.08,1933.66,2552.98,3067.78]","[]","[17856]","[]"
533,284500,1805,410025,2.0533e-09,2.06111,0.00204857,1.24168,1,0.996487,1,1,1.0639,0.82679,1,0,1,0,1,"[1]","[1]","[29826.1]","[-0.376681]","[0.608391]","[31967.4]","[-0.0028801]","[1]","[13]","[1]","[0]","[133.81]","[-0.0217836]","[2.72611]",234903,0.301167,7,"[368119,203491,172516,96825.1,94959,26337.7,23482.2]","[-0.517687,-0.0390149,0.310617,-1.53951,0.276927,0.87569,-0.162915]","[2.91665,-1.14076,2.77537,-0.481977,0.0699253,1.73832,-0.593403]","[418947,205305,181618,236220,99868,37422.2,24019]","[0.996442,0.991723,1,0.997587,0.997607,0.982202,0.99353]","[0,0,5,5,0,0,0]","[0,0,1,1,0,0,0]","[-0.902624,-0.916089,0.800284,0.998904,-0.899012,-0.873036,-0.62712]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[530960]","[-0.259855]","[2.87748]","[590920]","[218631]","[0]","[0.259432]","[0.512768]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[166.053]",2956.53,"[4589.88,5475.73,1731.38,5205.26,5162.37,1867.41,3116.6]","[]","[13146.2]","[]"
