event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
42,284500,1910270,410011,-4.68686e-08,44.152,0.218165,0.596562,0.99242,1,1,1,0.992776,0.99765,1,1,0,0,1,"[1]","[1]","[163737]","[0.604879]","[-1.88738]","[194615]","[0.00790405]","[1]","[11]","[1]","[0]","[-275.434]","[0.0138181]","[1.7854]",26982.8,3.11573,4,"[267736,102331,42716.3,23076.6]","[0.272647,-0.840827,0.308093,-0.305121]","[0.815848,-2.68174,-2.83098,0.158789]","[280863,141029,45069.2,24347.6]","[0.994974,0.997673,0.99216,0.99623]","[5,0,5,0]","[1,0,1,0]","[0.996181,-0.954145,0.998533,-0.885521]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[267220]","[0.287636]","[0.76858]","[289792]","[80624.2]","[0]","[1.9147]","[0.458825]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1689.04]",6705.59,"[8172.12,3407.88,6104.03,2987.7]","[]","[9038.59]","[]"
162,284500,1678189,410011,4.68686e-08,44.152,0.218165,1.32095,0.97429,1,1,1,0.892885,0.98653,1,1,0,0,1,"[1]","[1]","[58177.5]","[0.225792]","[-2.47968]","[59666.8]","[0.0170441]","[1]","[11]","[1]","[0]","[587.093]","[-0.00136307]","[0.119123]",61258.9,-1.44041,5,"[204653,121105,107752,89469,28363.3]","[0.145372,2.42247,-2.31631,1.2099,0.80923]","[-1.81032,1.99416,1.02085,0.970755,0.260306]","[206973,688138,551886,164669,38608.4]","[0.993246,0.997263,0.985479,1,0.979205]","[5,0,0,5,0]","[1,0,0,1,0]","[0.884515,-0.939052,-0.905692,-0.826358,-0.869017]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[271200]","[0.0766843]","[-1.95827]","[286567]","[90209.8]","[1]","[0.616356]","[0.274604]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[91.8808]",13965.1,"[4753.75,3828.9,4727.64,1469.23,3989.7]","[]","[7763.56]","[]"
182,284500,2316610,410011,4.68686e-08,44.152,0.218165,0.75088,0.99093,1,1,1,1.25705,1.00306,1,1,0,0,1,"[1]","[1]","[97790.8]","[0.932806]","[-0.823716]","[143512]","[-0.0689011]","[1]","[11]","[1]","[0]","[1146.63]","[0.0180449]","[1.95164]",71514.2,-2.06421,3,"[276447,49497.9,20557.8]","[-1.8807,-0.608275,0.428299]","[1.83511,-1.5121,-1.27516]","[927802,60005.2,23020.5]","[0.990349,0.992689,0.991331]","[0,5,0]","[0,1,0]","[0.937598,0.948725,-0.365311]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[271449]","[-1.87012]","[1.83024]","[901943]","[23078.5]","[0]","[3.57097]","[0.758632]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[519.154]",34611.3,"[4378.53,1890.35,1169.83]","[]","[4769.88]","[]"
201,284500,2312030,410011,4.68686e-08,44.152,0.218165,1.21412,0.98536,1,1,1,0.947273,0.9918,1,1,0,0,1,"[0]","[1]","[97818]","[-0.827192]","[-0.363399]","[133236]","[-0.014576]","[1]","[11]","[1]","[0]","[5804.3]","[0.0102105]","[1.24761]",79554,-0.431337,4,"[600010,405069,38858.6,26170.1]","[-1.84015,-0.256551,0.886717,-1.10271]","[2.79423,-0.369503,-0.746754,2.26839]","[1.93748e+06,419079,55563.9,44220.4]","[0.99986,0.994246,0.646271,0.993301]","[0,5,0,0]","[0,1,0,0]","[-0.870906,0.985473,-0.94368,-0.801784]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[619353,497677]","[-1.82872,-0.359454]","[2.80404,-0.368284]","[1.97785e+06,545918]","[19446.2,130151]","[0,1]","[5.56793,0.590368]","[0.723214,0.704116]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[370.935]",12966.1,"[9670.58,13960.5,2088.57,4179.71]","[]","[62931.2,17839]","[]"
757,284500,1215975,410011,4.68686e-08,44.152,0.218165,0.351687,0.99242,1,1,1,0.983767,0.99765,1,1,0,0,1,"[1]","[1]","[241952]","[0.762854]","[-0.548862]","[315834]","[-0.0357361]","[1]","[11]","[1]","[0]","[4226.98]","[-0.00904756]","[0.91106]",59295.1,-0.286001,3,"[403160,141726,37787.8]","[-1.37481,1.37075,-1.77358]","[2.47382,-0.873473,2.77378]","[849811,297284,114809]","[0.992082,0.994031,0.908881]","[0,5,0]","[0,1,0]","[-0.301436,0.599732,-0.534608]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[412872,410754]","[0.969743,-1.43421]","[-0.66221,2.49684]","[639278,913661]","[144628,72626.7]","[1,0]","[0.368849,1.74472]","[0.574034,0.671514]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1488.82]",4559.02,"[15866.8,8884.21,2935.53]","[]","[14109.2,9794.19]","[]"
785,284500,2155938,410011,4.68686e-08,44.152,0.218165,1.1961,0.95586,1,1,1,1.00462,0.96932,1,1,0,0,1,"[0]","[1]","[31200.5]","[0.671457]","[0.84941]","[38502.2]","[0.0254288]","[1]","[11]","[1]","[0]","[1036.49]","[-0.00230171]","[0.248986]",101437,0.497203,3,"[265492,139004,23125.8]","[1.55557,0.236403,-1.66409]","[2.78741,-0.458418,-0.331704]","[657065,144235,63316.3]","[0.999859,0.987807,1]","[0,5,0]","[0,1,0]","[-0.900171,0.966575,-0.910213]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[286386]","[1.53788]","[2.78808]","[697350]","[9541.81]","[0]","[2.72467]","[0.545825]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[62.854]",4299.56,"[4024.79,3205.87,4494.22]","[]","[12242.1]","[]"
807,284500,1227294,410011,4.68686e-08,44.152,0.218165,0.619412,1,1.00183,1,1,0.997533,0.971526,1,0,1,0,1,"[1]","[1]","[32234.9]","[1.11359]","[3.06371]","[54374.7]","[-0.0110149]","[1]","[13]","[1]","[0]","[-676.608]","[-0.00220925]","[0.268384]",174991,2.04166,5,"[220349,212092,130252,49167.1,41859.8]","[0.345717,-2.0591,1.08039,-0.0286954,-1.18367]","[-1.91285,-0.337936,1.52176,-1.6824,1.76697]","[235259,844917,214783,50254.5,74974.1]","[0.991036,0.997413,0.996077,0.991271,0.931064]","[0,0,5,5,0]","[0,0,1,1,0]","[-0.659566,-0.923232,-0.777812,0.999376,-0.848489]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[259461]","[0.31395]","[-1.8478]","[276951]","[50257.3]","[0]","[1.78019]","[0.797521]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[155.898]",4431.39,"[12120.4,4152.74,5359.68,1843.73,4456.13]","[]","[0]","[]"
880,284500,2138022,410011,4.68686e-08,44.152,0.218165,1.32095,1,0.995562,1,1,0.910202,0.856877,1,0,1,0,1,"[1]","[1]","[165188]","[0.178719]","[-2.54352]","[167833]","[-0.031311]","[1]","[13]","[1]","[0]","[2359.24]","[-0.0261586]","[4.58376]",46493.1,2.25162,5,"[460637,266355,51925.4,37072.6,20707.4]","[0.863834,0.410991,-1.49003,-0.363641,-0.979361]","[0.370585,-3.08951,-1.56352,-1.08291,-1.31116]","[644378,290009,121610,40026.2,31653.7]","[0.986198,1,0.985317,0.996875,0.988216]","[5,5,0,0,0]","[1,1,0,0,0]","[0.989439,0.993243,0.0462014,-0.88029,-0.821775]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[470395,291866]","[0.836787,0.383787]","[0.37017,-3.08817]","[645377,314225]","[24271.9,19395.9]","[0,1]","[3.93192,1.79832]","[0.54331,0.64039]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[7422.38]",6936.77,"[8561.13,7021.02,5103.59,2358.93,1196.72]","[]","[7505.75,9302.62]","[]"
941,284500,2303728,410011,4.68686e-08,44.152,0.218165,1.25133,0.97826,1,1,1,0.985659,1.00493,1,1,0,0,1,"[1]","[1]","[134335]","[-1.36527]","[-0.721931]","[280229]","[-0.0308151]","[1]","[11]","[1]","[2404.19]","[615.837]","[0.0014877]","[0.216662]",105218,-1.09307,5,"[404720,141483,63028.3,33515.4,22175.1]","[1.77285,-0.534526,-2.09124,-1.94793,-1.77037]","[2.69414,-0.442576,0.255791,1.20954,0.788668]","[1.22612e+06,162845,259167,120115,67073.5]","[1,0.996122,0.98661,0.993442,0.897543]","[0,5,0,4,5]","[0,1,0,0,1]","[0.30842,0.997556,-0.91336,-0.663501,0.838019]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[414450]","[1.78504]","[2.6966]","[1.27002e+06]","[23821.7]","[0]","[3.30029]","[0.622515]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1708.62]",624.719,"[8536.62,4842.21,7281.06,5357.48,1153.2]","[]","[5257]","[]"
1037,284500,1574171,410011,4.68686e-08,44.152,0.218165,1.21412,1,0.991979,1,1,0.99972,0.836291,1,0,1,0,1,"[1]","[1]","[55013]","[-0.41193]","[-1.13802]","[59747]","[-0.0693011]","[1]","[13]","[0]","[1202.51]","[429.06]","[-0.0257564]","[3.86202]",11396.8,-0.0736793,8,"[296623,179317,43313.7,36592.6,35234.1,24072.3,21992.7,20893.1]","[-1.06465,-0.441705,0.0730018,2.35488,0.640969,1.33163,0.293964,0.641317]","[1.42813,-1.9907,-1.74226,-0.459152,-2.77861,-2.51037,0.924218,-1.39473]","[481741,198218,44112,194682,42814.4,49010,23388,25803.7]","[0.990537,1,0.99,0.998214,1,1,0.694499,1]","[4,5,0,0,5,0,0,0]","[0,1,0,0,1,0,0,0]","[-0.910684,0.999945,-0.919124,-0.806219,0.926014,-0.833114,-0.868268,-0.37291]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[332135]","[-1.07056]","[1.42594]","[541990]","[26285.5]","[0]","[3.27642]","[0.771528]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[682.904]",5794.32,"[10003,4506.56,1990.15,2371.71,1733.68,1827.02,1686.65,1145.89]","[]","[23485.1]","[]"
