event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
743,284500,97375,410013,1,35.8455,4.9858e+06,0.738662,1,0.982264,1,1,0.98291,1.01291,1,0,1,0,1,"[1]","[1]","[69741.7]","[1.66051]","[0.463963]","[190116]","[0.0484848]","[1]","[13]","[1]","[0]","[840.203]","[0.0241225]","[3.20501]",219368,1.21783,2,"[171442,110131]","[0.0525463,0.315354]","[-2.25268,-1.75997]","[173316,116193]","[0.997623,0.994502]","[4,0]","[1,0]","[0.59057,-0.833652]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[252996]","[0.179297]","[-2.06769]","[272464]","[90277.1]","[1]","[0.776268]","[0.39272]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1198.38]",7852.62,"[6851.88,2589.47]","[]","[7766.09]","[]"
833,284500,96182,410013,1,35.8455,4.9858e+06,1.24168,0.99242,1,1,1,1.20406,0.99765,1,1,0,0,1,"[1]","[1]","[153216]","[0.643907]","[0.0188779]","[186092]","[-0.0221329]","[-1]","[11]","[1]","[0]","[-8.33173]","[-0.028791]","[3.23099]",83305.8,-0.823468,4,"[397624,84879,36810,28675.5]","[0.555282,1.80185,1.11321,-0.620811]","[2.36194,-1.3058,-1.47037,-0.605411]","[461059,264363,62258.1,34850.3]","[0.996241,1,0.989864,0.983743]","[4,5,0,0]","[0,1,0,0]","[0.946151,0.977508,-0.840827,-0.78222]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[412401]","[0.530951]","[2.36461]","[472494]","[23486.2]","[0]","[1.928]","[0.649962]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[876.04]",2149.27,"[4475.46,4808.83,2582.55,2702.52]","[]","[15498.9]","[]"
1414,284500,265364,410013,1,35.8455,4.9858e+06,0.696077,0.97446,1,1,1,1.02778,0.98483,1,1,0,0,1,"[0]","[1]","[57138.3]","[-0.201335]","[-2.05584]","[58300.3]","[-0.0956039]","[-1]","[11]","[1]","[13067.5]","[-121.307]","[0.0391413]","[3.80243]",194892,-2.25779,4,"[176800,151881,84154,71141.6]","[0.717265,0.848202,1.06511,-1.08452]","[0.694358,1.12906,-0.00206909,-2.42381]","[224801,210154,137043,117840]","[0.994638,0.994317,0.996324,0.999614]","[0,0,5,0]","[0,0,1,0]","[-0.776308,-0.928314,0.825654,-0.890028]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[374647]","[0.85855]","[0.735322]","[552072]","[181403]","[1]","[1.31697]","[0.251014]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[368.364]",16202.7,"[2264.33,3399.66,4960.27,10408.2]","[]","[2186.31]","[]"
1462,284500,407624,410013,1,35.8455,4.9858e+06,1.25133,0.95884,1,1,1,1.08899,0.95437,1,1,0,0,1,"[1]","[1]","[38150.6]","[-0.619699]","[2.01529]","[45713.5]","[-0.0256538]","[1]","[11]","[1]","[1561.82]","[-330.576]","[-0.0107913]","[1.04703]",297608,2.54776,5,"[690483,448776,143406,70238.2,23654.4]","[-0.469459,0.0672138,1.34284,0.943495,0.451673]","[0.478114,-2.02414,-2.53303,2.71398,1.77257]","[772713,451668,294587,104753,26763.6]","[0.993058,0.991138,0.998256,1,0.974905]","[4,5,0,5,0]","[1,1,0,1,0]","[-0.599306,-0.190385,-0.963067,0.96989,-0.913438]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[674682,465373]","[-0.484314,0.0530434]","[0.476247,-2.02979]","[760027,467856]","[84027.4,41314.2]","[1,0]","[1.23974,1.74854]","[0.501308,0.603158]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[83.6768]",26884.2,"[11647,4563.41,4773.39,3503.67,1762.8]","[]","[21032.1,18785.1]","[]"
1836,284500,512234,410013,1,35.8455,4.9858e+06,1.21412,0.97097,1,1,1,0.978435,0.99468,1,1,0,0,1,"[1]","[1]","[39853.7]","[0.269679]","[-0.1911]","[41311.7]","[0.0611053]","[1]","[11]","[1]","[0]","[-263.898]","[0.00872681]","[0.822636]",86319.5,0.400363,4,"[354964,144033,83451.7,29972.1]","[-0.023868,-0.820817,-1.26241,1.44887]","[-2.67606,0.148055,0.651809,0.259348]","[356053,195700,159375,67610.8]","[0.997831,0.995286,0.985377,0.999271]","[5,0,0,5]","[1,0,0,1]","[0.992709,-0.743082,-0.947789,0.953567]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[349322]","[-0.0278767]","[-2.67769]","[349682]","[12534]","[0]","[2.92393]","[0.40919]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[157.821]",7508.16,"[6368.56,2663.65,3298.87,3810.92]","[]","[13817.1]","[]"
2707,284500,1078960,410013,1,35.8455,4.9858e+06,1.24168,1,0.99092,1,1,0.968886,0.914018,1,0,1,0,1,"[1]","[1]","[396228]","[0.313127]","[2.40697]","[415812]","[-0.0192928]","[-1]","[13]","[1]","[0]","[-363.624]","[-0.00360955]","[0.666069]",181629,2.18941,5,"[459380,82874.3,70833,46136.6,20265.2]","[0.611569,-0.904199,0.784801,0.371169,0.0401584]","[-0.819955,-2.74047,-0.144412,-1.3568,-1.70869]","[548672,119590,93856.2,49872.1,20472.4]","[0.980685,0.94884,0.995686,0.980667,1]","[5,5,0,4,0]","[1,1,0,1,0]","[0.889238,0.890056,-0.919993,0.762765,-0.728594]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[500327]","[0.651567]","[-0.774656]","[632398]","[165556]","[1]","[2.38837]","[0.437606]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[23799.8]",765.719,"[4817.41,6724.48,3846.34,4262.74,2287.77]","[]","[12087.2]","[]"
2739,284500,1795105,410013,1,35.8455,4.9858e+06,1.74563,1,0.994161,1,1,1.09391,0.925018,1,0,1,0,1,"[1]","[1]","[83488.1]","[-0.179801]","[2.05538]","[84841.3]","[0.0085268]","[1]","[13]","[1]","[1340.06]","[-462.671]","[-0.00161184]","[0.207178]",217997,1.74354,7,"[591570,486833,468290,218412,55623.8,27108.3,25095.1]","[-1.34546,1.24907,-0.0979626,-0.478054,-0.790739,2.17534,-0.110922]","[-0.817781,-1.77031,1.55584,2.50568,1.96288,-2.05172,-2.64765]","[1.21323e+06,919188,471786,244615,74209.9,120966,25674.3]","[0.8909,0.988281,1,0.980227,0.999703,0.99,0.975186]","[5,0,5,0,4,0,0]","[1,0,1,0,1,0,0]","[-0.145898,-0.962903,0.721517,-0.761864,0.653876,-0.281729,-0.203398]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",3,"[654822,572048,486224]","[-0.275155,-1.33956,1.25485]","[1.84255,-0.820845,-1.76575]","[763032,1.16747e+06,922683]","[346604,39985.8,35769.6]","[1,0,0]","[0.798733,3.59316,4.41442]","[0.55021,0.49621,0.548935]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1763.33]",41217.2,"[29034.7,16208.4,6815.7,8825.18,1689.17,4994.96,1809.98]","[]","[14534,17705.9,11228.4]","[]"
2981,284500,1707766,410013,1,35.8455,4.9858e+06,1.1961,1,1.00415,1,1,1.03711,0.975987,1,0,1,0,1,"[0]","[1]","[60286.4]","[1.09885]","[-0.887529]","[100497]","[0.0285416]","[-1]","[13]","[1]","[0]","[317.739]","[0.0779598]","[12.1601]",251642,-1.12745,5,"[378250,100267,86170.7,76692.1,24263.8]","[-1.28266,0.0274746,-0.824964,-0.517169,0.985344]","[2.66756,0.473536,1.59468,-0.590819,-0.140094]","[735180,101442,117619,87505.4,37470.2]","[1,0.98912,0.986079,0.999986,0.989477]","[0,0,0,5,4]","[0,0,0,1,1]","[-0.225299,-0.86145,-0.956622,0.999963,-0.402752]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[391597]","[-1.27917]","[2.67273]","[758586]","[26615.1]","[0]","[1.8609]","[0.634754]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[494.815]",4223.86,"[20491.2,2089.39,6419.9,1079.8,1156.97]","[]","[8420.72]","[]"
3008,284500,1784608,410013,1,35.8455,4.9858e+06,1.32095,1,0.998019,1,1,0.976866,1.0226,1,0,1,0,1,"[0]","[1]","[32009]","[-1.49065]","[-0.149662]","[74664.6]","[0.0683966]","[1]","[13]","[1]","[0]","[-490.167]","[-0.0340777]","[3.62353]",106448,-0.0922228,3,"[191708,124913,71356.1]","[-1.65271,-0.820415,-2.27069]","[0.766931,-2.69681,-1.91262]","[519047,170076,349370]","[1,0.991422,0.993893]","[5,0,0]","[1,0,0]","[0.998785,-0.789407,-0.908727]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[265608]","[-0.994576]","[-2.98047]","[416324]","[82005.1]","[1]","[0.83979]","[0.765965]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[48.2717]",5731.34,"[8991.69,3499.97,3041.43]","[]","[10354.9]","[]"
3293,284500,1700341,410013,1,35.8455,4.9858e+06,0.696077,0.96203,1,1,1,0.998098,1.01508,1,1,0,0,1,"[1]","[1]","[245679]","[-1.567]","[2.24076]","[614312]","[0.00314331]","[-1]","[11]","[1]","[0]","[-2449.73]","[-0.000790073]","[0.0872844]",30622.6,0.236984,4,"[272470,79520.1,69794.6,38988.7]","[-0.276368,-0.182743,-0.0914658,-0.885054]","[-0.695478,-1.96953,1.6107,-2.7883]","[284839,81917.4,71302.7,55746]","[1,0.993126,0.996669,0.995923]","[5,5,4,0]","[1,1,1,0]","[-0.36287,0.672072,0.152462,-0.881448]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[277685,271988]","[-0.272415,-1.57567]","[-0.702713,2.23608]","[289846,685541]","[32200.1,4363.45]","[0,1]","[1.73094,29.7719]","[0.78101,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6216.83]",4848.21,"[3554.89,1343.66,1836.43,3924.7]","[]","[6670.28,11172.2]","[]"
