event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
11587,284500,10832930,410000,1,452.694,4.93866e+07,1.25133,1,0.997364,1,1,0.851373,0.695754,1,0,1,0,1,"[1]","[1]","[96992.4]","[-0.681802]","[2.1329]","[120423]","[0.0229073]","[1]","[13]","[1]","[0]","[-480.757]","[-0.0208671]","[4.23102]",16045.2,-2.73514,4,"[239849,217004,92863.8,51240]","[-0.55596,-0.176017,-0.220985,-1.07284]","[2.75065,-0.556874,-0.981616,0.117011]","[278114,223982,95154.2,84013.1]","[0.902354,0.994574,0.990002,0.993429]","[5,0,4,5]","[1,0,1,1]","[0.824998,-0.943422,-0.879447,-0.40494]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[303335]","[-0.219261]","[-0.685312]","[320830]","[80157.9]","[1]","[0.981447]","[0.606655]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1836.62]",23967.5,"[4882.44,6935.94,5424.93,1250.75]","[]","[10114.8]","[]"
20309,284500,10348702,410000,1,452.694,4.93866e+07,0.738662,0.94707,1.00098,1,1,0.963564,0.94238,1,1,1,0,2,"[1,1]","[1,1]","[72229.2,28469.9]","[-1.35433,-1.10496]","[-2.37882,-2.92358]","[149236,47691.7]","[0.0590668,0.153187]","[-1,1]","[13,11]","[1,1]","[1358.37,0]","[-1315.96,-826.961]","[-0.00400057,0.0408431]","[0.559273,2.32109]",63744.7,-0.808264,5,"[281495,115415,78663.1,35096.1,24897.9]","[-1.3728,-0.87493,-0.78316,1.26608,0.910023]","[1.48657,-1.8958,-1.32123,1.15865,-0.691226]","[591585,163078,104714,67699.1,36336.5]","[1,0.982742,0.992747,0.784357,0.984887]","[0,5,5,0,0]","[0,1,1,0,0]","[-0.813203,0.70023,0.997151,-0.890329,-0.802806]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[289672]","[-1.35956]","[1.48884]","[601645]","[21800.8]","[0]","[2.30209]","[0.742284]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[456.423,176.143]",4472.54,"[4617.1,1602.46,10404.6,2161.69,2416.23]","[]","[5293.75]","[]"
20693,284500,11026018,410000,1,452.694,4.93866e+07,1.24168,1,0.986005,1,1,1.04498,0.911632,1,0,1,0,1,"[1]","[1]","[187883]","[0.0803361]","[1.48214]","[188490]","[-0.00516319]","[1]","[13]","[1]","[0]","[-435.669]","[-0.0036044]","[0.688185]",120199,1.78739,5,"[337080,128853,73089,56684.6,23467.1]","[-1.3875,-0.224131,1.09048,2.20521,1.02449]","[-1.34026,1.95912,-2.53634,-1.31193,0.444011]","[718295,132442,121324,260300,37005.7]","[0.996581,1,0.997079,0.996054,0.999195]","[0,5,5,0,0]","[0,1,1,0,0]","[-0.983354,0.893002,0.999695,-0.908382,-0.745773]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[333394]","[-1.40888]","[-1.33889]","[724962]","[56448]","[0]","[2.01832]","[0.836641]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1237.49]",606.078,"[9889.42,5084.64,3317.88,5483.74,4087.51]","[]","[40886.9]","[]"
29931,284500,11295455,410000,1,452.694,4.93866e+07,1.74563,1,0.994566,1,1,1.02653,0.331599,1,0,1,0,1,"[1]","[1]","[194443]","[0.656351]","[-0.312627]","[237851]","[0.00620651]","[-1]","[13]","[1]","[0]","[293.706]","[-0.0131383]","[2.90189]",66286.7,0.677632,6,"[152304,95644.8,88451.3,35081.8,29939.7,23954.9]","[0.546494,1.32043,0.33253,0.256527,-1.41372,0.975622]","[3.03405,-2.88617,0.597012,-2.01726,0.0593396,-2.43453]","[176075,192085,93914.6,37038,65346,36644.8]","[0.990748,0.994621,0.981994,0.978926,0.999421,0.691425]","[5,0,5,0,0,0]","[1,0,1,0,0,0]","[0.999927,-0.546045,0.981896,-0.558629,-0.826763,-0.288679]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[250495]","[0.871776]","[-3.12108]","[370632]","[116441]","[1]","[0.611031]","[0.685524]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[13383.5]",14544.7,"[2349.3,2533.99,4103.17,2552.85,7361.81,1681.09]","[]","[6485.5]","[]"
40823,284500,10698926,410000,1,452.694,4.93866e+07,0.553627,1,0.995807,1,1,0.934396,0.937307,1,0,1,0,1,"[0]","[1]","[52115]","[0.0921722]","[2.70245]","[52336.6]","[-0.0634651]","[1]","[13]","[1]","[0]","[1185.48]","[0.0294693]","[4.99802]",69512.4,-2.56181,4,"[376408,332815,88781.6,49123.3]","[0.66428,-0.222857,1.68441,-0.0466264]","[-1.13578,2.12148,0.490998,0.59291]","[467676,341902,247875,50228]","[0.995022,0.99879,0.97771,0.960851]","[4,5,0,0]","[1,1,0,0]","[0.690242,0.994006,-0.822381,-0.523034]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[408094,331378]","[0.69908,-0.242975]","[-1.1688,2.12731]","[519822,341818]","[90165.5,20415.3]","[1,1]","[1.48239,1.33394]","[0.73979,0.579539]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[157.314]",12575.6,"[3846.3,3540.52,7504.69,5422.56]","[]","[10379.7,25291]","[]"
41359,284500,11069020,410000,1,452.694,4.93866e+07,1.24168,0.98089,0.996076,1,1,1.0449,0.99866,1,1,1,0,2,"[1,1]","[1,1]","[241030,25887.7]","[-0.841578,-0.378693]","[1.52294,-2.70229]","[331543,27766.5]","[-0.066143,0.058979]","[1,-1]","[11,13]","[1,1]","[2994.84,0]","[1364,-645.075]","[0.00812773,0.0213263]","[0.835546,2.64366]",110482,1.56175,5,"[374521,103748,73416.8,27282.4,21387.8]","[-0.788127,-0.993673,0.37384,-0.0753399,0.396641]","[-1.97406,-1.18695,0.585057,0.186921,1.17907]","[497399,159964,79530.6,27946.1,23537.6]","[1,0.991235,0.99664,0.931853,1]","[0,5,0,0,5]","[0,1,0,0,1]","[-0.689483,0.999988,-0.829526,-0.855026,-0.210084]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[447454,252267]","[-0.874927,-0.864938]","[-1.82259,1.52152]","[649677,352661]","[158982,0]","[0,1]","[0.985284,0]","[0.766866,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2290.25,126.504]",5503.19,"[8662.17,12859.1,4766.86,4310.69,1179.17]","[]","[45235.7,0]","[]"
45939,284500,11337676,410000,1,452.694,4.93866e+07,1.22586,1,0.989721,1,1,1.05038,0.818599,1,0,1,0,1,"[1]","[1]","[78721]","[0.188659]","[1.27441]","[80126.2]","[-0.0184517]","[1]","[13]","[1]","[0]","[-1541.97]","[-0.0224852]","[4.42729]",145440,0.325567,8,"[424291,158478,96050.1,52611.9,51514.9,49842.6,41097.8,36827.3]","[-0.995432,0.645962,1.8853,-0.194367,1.0223,-0.33518,-0.722998,1.06198]","[-2.75102,0.508874,0.293298,-2.30879,-0.476309,0.999702,-1.93105,2.24705]","[655116,192914,323837,54364.4,81401.5,52881.9,53197.3,59914.4]","[0.998267,0.999943,0.995622,0.96297,0.986116,0.999892,0.989845,0.993329]","[5,5,0,4,0,0,0,0]","[1,1,0,1,0,0,0,0]","[-0.0636113,0.998575,-0.467175,-0.758097,-0.959838,-0.733923,-0.855524,-0.944975]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[468628]","[-0.959861]","[-2.70922]","[713656]","[130613]","[1]","[2.23475]","[0.335338]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2572.04]",25979.8,"[10060.4,7084.3,5839.92,1352.26,2632.53,4152.08,2468.5,2104.84]","[]","[20970.9]","[]"
47051,284500,11756938,410000,1,452.694,4.93866e+07,1.24168,0.98697,1,1,1,1.03993,1.00582,1,1,0,0,1,"[1]","[1]","[247412]","[-0.133471]","[1.26877]","[249619]","[-0.00846863]","[1]","[11]","[1]","[3577.37]","[1638.32]","[-0.00582558]","[0.543585]",18045.6,-0.0323124,5,"[112823,101255,94171.5,61201.7,21031.3]","[1.24803,1.07581,1.59983,0.170577,1.94496]","[-2.47365,-3.07252,-1.72617,0.306136,-1.34038]","[213011,166048,242811,63513.1,75068.2]","[1,0.99951,0.994731,0.983334,0.998891]","[4,5,0,5,0]","[1,1,0,1,0]","[0.726751,0.999981,-0.920566,0.956657,0.113236]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[273297]","[-0.157841]","[1.21715]","[282325]","[56035.8]","[1]","[1.6046]","[0.576071]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2234.94]",2041.23,"[1511.89,3745.6,2508.99,4023.23,1146.6]","[]","[8943.72]","[]"
60699,284500,697267,410000,1,452.694,4.93866e+07,1.32095,1,0.994467,1,1,0.989258,0.933914,1,0,1,0,1,"[1]","[1]","[36398.3]","[0.453343]","[-0.504759]","[40203.2]","[0.0893631]","[-1]","[13]","[1]","[0]","[-1774.34]","[-0.028693]","[3.31892]",49842.4,-2.12402,8,"[247236,179977,99587,50544.9,43709.2,38362.1,33535.5,20469.6]","[0.410797,0.385838,0.311316,-0.335089,-0.930371,1.41683,-0.45635,-2.06928]","[-2.26871,1.32631,0.743729,-2.15327,0.640302,1.26558,-1.38649,0.349992]","[268931,194114,105352,54766.4,64446.1,84051.5,37720.3,82423.2]","[0.925971,0.975662,0.985718,0.967047,0.995831,1,1,1]","[0,5,5,4,0,0,0,0]","[0,1,1,0,0,0,0,0]","[0.0108872,0.999916,0.994241,-0.719389,-0.918655,0.069462,-0.896847,-0.77402]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[275053,286451]","[0.279432,0.324829]","[-2.24533,1.11799]","[311361,314005]","[123407,87051.9]","[0,1]","[1.63065,1.05756]","[0.513915,0.770502]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[92.9916]",28735.7,"[9066.15,5003.25,2685.13,2071.33,3662.2,2138.4,4064.35,1126.06]","[]","[13105,12966.7]","[]"
62035,284500,132069,410000,1,452.694,4.93866e+07,1.26205,0.97738,1,1,1,1.00723,1.00056,1,1,0,0,1,"[1]","[1]","[62685.3]","[0.415754]","[-1.60973]","[68181.4]","[0.0319443]","[1]","[11]","[1]","[1266.64]","[1235.96]","[0.00783675]","[1.00359]",287046,-1.78158,7,"[462730,83892.7,79229.7,69008.5,32421.3,29265.1,25603.1]","[0.727761,-0.222524,2.29451,0.117914,-1.23294,1.33984,0.633885]","[1.16031,-2.41792,1.61432,-1.10631,-1.40527,1.5351,0.463755]","[595604,87164.7,397027,69877.5,60687.2,60115.8,31306.6]","[0.993715,0.998979,0.994896,0.98978,0.988856,0.99424,0.975786]","[0,5,0,0,4,0,5]","[0,1,0,0,1,0,1]","[-0.93671,0.99801,-0.921997,-0.940199,0.393436,-0.257197,-0.919001]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[490802]","[0.772284]","[1.15341]","[650797]","[89703.3]","[0]","[1.67511]","[0.841185]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[429.004]",8184.38,"[7409.43,2102.47,4572.8,3255.8,1900.58,2028.78,1624.79]","[]","[23864.2]","[]"
