event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
1,284500,153,392217,1,0.0806897,10327.8,0.187531,0.97166,1,1,1,0.999336,1.0005,1,1,0,0,1,"[1]","[1]","[144096]","[2.12091]","[-0.315704]","[609428]","[0.0311852]","[-1]","[11]","[1]","[0]","[688.441]","[0.00326954]","[0.284715]",258785,2.782,2,"[133613,21920.1]","[1.53613,0.710488]","[-0.133336,-2.02441]","[324940,28025]","[0.992763,0.940321]","[0,0]","[0,0]","[-0.86751,-0.834771]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[300019]","[1.89746]","[-0.23632]","[1.02757e+06]","[97891.2]","[1]","[0.34926]","[0.803809]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2295.72]",18098.5,"[6158.43,2367.88]","[]","[7815.22]","[]"
2,284500,305,392217,1.22622,0.0806897,10327.8,0.553627,0.96972,0.987839,1,1,0.998399,0.99544,1,1,1,0,3,"[1,1,1]","[1,1,1]","[294878,239868,180966]","[1.33676,0.332376,0.408332]","[0.910899,-2.75734,-2.38366]","[599986,253240,196263]","[-0.0898018,-0.0422287,-0.00723648]","[-1,1,-1]","[11,13,13]","[1,1,1]","[0,0,0]","[-1338.28,-182.647,-343.968]","[0.0160885,-0.00292812,-0.0179047]","[1.90509,0.624104,3.07213]",257839,0.561635,2,"[123635,39040.5]","[-0.135904,-2.16986]","[-1.8195,-1.36637]","[125472,173229]","[0.99,1]","[0,0]","[0,0]","[-0.833823,-0.709884]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[321460]","[1.35911]","[0.916426]","[666971]","[500.252]","[1]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3762.3,2378.77,11708.7]",5518.17,"[5286.62,6159.85]","[]","[1139.31]","[]"
4,284500,471,392217,1,0.0806897,10327.8,0.619412,0.964829,1,1,1,1.00826,1.00632,1,1,0,0,2,"[1,1]","[1,1]","[644091,89811.1]","[0.15243,-0.0892575]","[-3.1199,2.88621]","[651588,90169.1]","[-0.0141563,0.0133629]","[-1,1]","[11,11]","[1,1]","[0,0]","[-563.339,27.0845]","[0.0282978,0.00643196]","[4.4278,0.605212]",163035,-0.252519,1,"[23651.7]","[2.28235]","[-0.846204]","[117173]","[0.999783]","[4]","[0]","[-0.602547]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[760775,522016]","[0.0978681,-0.612425]","[3.13266,0.0678485]","[769153,623147]","[85184.8,13091.4]","[1,1]","[0,28.8503]","[-1,0.182432]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4374.13,1360.73]",8159.59,"[1197.57]","[]","[4706.81,19361.1]","[]"
6,284500,1393,392217,1,0.0806897,10327.8,1.08735,0.931078,0.998635,1,1,1.00006,1.0005,1,1,0,0,3,"[1,1,1]","[1,0,1]","[189295,71410.7,47292.1]","[2.09113,2.00607,1.26716]","[3.01793,-0.999043,2.56055]","[777773,270237,90620.4]","[0.12071,-0.138006,0.0638924]","[-1,1,1]","[11,13,11]","[1,1,1]","[0,0,0]","[1167.97,295.235,639.867]","[0.0701797,-0.00574862,0.0276804]","[3.39419,0.822547,1.68056]",131489,-0.10701,1,"[62911.4]","[-1.01094]","[0.392256]","[98154.8]","[1]","[0]","[0]","[-0.920021]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[257772]","[1.97523]","[2.91758]","[955308]","[126248]","[1]","[0.06127]","[0.304221]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1627.08,1015.61,116.057]",7198.49,"[8557.15]","[]","[0]","[]"
9,284500,1760,392217,0.998678,0.0806897,10327.8,1.24168,0.919182,1,1,1,0.99896,1,1,1,0,0,3,"[1,1,1]","[1,1,0]","[114032,41970.3,14692.1]","[-2.21386,0.338257,-0.716855]","[1.58751,-0.545238,-2.91173]","[527981,44394.4,18631.6]","[0.195293,-0.203136,-0.169151]","[1,-1,-1]","[11,11,11]","[0,1,1]","[0,0,0]","[823.673,933.161,185.563]","[0.00218122,0.0220479,-0.0118871]","[0.225642,2.04581,0.558749]",342332,-2.15073,2,"[282467,75809.7]","[-1.6791,2.11223]","[1.36909,-0.794914]","[783670,318275]","[0.995372,1]","[0,0]","[0,0]","[-0.419695,0.118626]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[396913]","[-1.89308]","[1.44024]","[1.3526e+06]","[116252]","[1]","[0.326867]","[0.601409]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[949.286,194.05,125.962]",25486.4,"[7380.1,6402.2]","[]","[12525.7]","[]"
10,284500,1916,392217,1.11827,0.0806897,10327.8,1.24168,0.983419,1,1,1,0.994258,0.99765,1,1,0,0,2,"[1,1]","[1,1]","[241258,136336]","[0.646194,1.0973]","[-2.32489,-2.51472]","[293405,226989]","[0.00956607,-0.0111151]","[1,-1]","[11,11]","[1,1]","[0,0]","[1266.56,313.837]","[-0.0209357,0.00797522]","[3.35919,0.798043]",179943,1.68675,3,"[250546,114845,27551.3]","[1.92314,0.206736,2.32997]","[-0.0196576,2.04475,-0.447483]","[876529,117450,142980]","[0.99,0.949283,0.999738]","[0,15,0]","[0,1,0]","[-0.944297,-0.982185,-0.284207]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[395930]","[0.832941]","[-2.38993]","[549781]","[95612.5]","[1]","[0.0732423]","[0.431007]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1697.59,1563.75]",555.969,"[8463.46,3529.19,3011.58]","[]","[9170.09]","[]"
11,284500,359,392217,1.5696,0.0806897,10327.8,0.553627,0.9652,0.98723,1,1,0.9949,0.98592,1,1,1,0,3,"[1,0,1]","[1,1,0]","[194236,75666.7,8524.26]","[-0.3226,-1.31196,0.521102]","[-1.27782,2.20746,2.09448]","[204431,150680,9708.64]","[0.0199051,0.0533257,-0.10911]","[-1,-1,1]","[13,11,13]","[1,1,1]","[2041.62,1661.33,0]","[-1237.26,-436.924,55.1191]","[0.00593136,0.00377029,-0.0185192]","[0.914397,0.222653,1.00957]",595792,2.5276,5,"[846210,229198,212481,76059.5,42751.2]","[0.0926205,-1.26543,2.48139,-0.254866,-1.75747]","[-0.665718,1.76187,3.13973,0.00575737,1.7329]","[850679,439312,1.27933e+06,79154.4,127739]","[0.999278,0.993955,0.988382,0.986988,0.728623]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.850868,-0.923045,-0.789141,-0.0871893,-0.807905]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[897402,337416]","[0.0787365,-1.34597]","[-0.619226,1.87451]","[918822,696764]","[184122,80690.6]","[1,1]","[1.8923,1.3493]","[0.406596,0.456661]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[20070,489.468,20.3735]",9186.31,"[20633.5,4336.73,9729.36,2606.11,3543.84]","[]","[45140.7,2417.59]","[]"
13,284500,522,392217,1.42248,0.0806897,10327.8,0.619412,0.96972,0.994717,1,1,1.34305,0.99544,1,1,0,0,2,"[1,1]","[0,1]","[402816,324763]","[0.234471,1.13675]","[-1.84743,1.54464]","[413940,558185]","[-0.0765457,0.0628624]","[1,1]","[13,11]","[1,1]","[0,0]","[605.486,893.946]","[0.00467455,0.000257273]","[0.852257,0.0392696]",177287,1.27326,2,"[120506,36580.3]","[-1.66451,-1.70339]","[-0.829848,-2.7606]","[330059,103873]","[0.998423,0.987059]","[0,0]","[0,0]","[-0.95988,0.838203]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[354052]","[1.15978]","[1.54104]","[620085]","[0.00956832]","[1]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[71429.4,4090.07]",9734.19,"[16872.8,3449.82]","[]","[23949.2]","[]"
15,284500,822,392217,1,0.0806897,10327.8,0.738662,0.925059,1,1,1,0.997939,1.01508,1,1,0,0,3,"[1,1,1]","[1,1,1]","[265895,97392.9,82112.1]","[-1.68316,-0.427725,-1.85057]","[-0.828461,3.07357,-1.42437]","[740296,106438,267710]","[-0.209253,-0.208961,-0.233513]","[1,-1,-1]","[11,11,11]","[1,1,1]","[1645.12,0,0]","[819.073,-691.536,3431.93]","[-0.0100402,0.0152933,0.0105563]","[0.991116,1.01296,0.687539]",273799,1.89421,2,"[25306.7,21120.8]","[1.43632,-0.414693]","[2.37118,-0.424247]","[56476.4,23533.7]","[0.900989,0.809969]","[0,0]","[0,0]","[-0.634543,-0.488699]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[363183]","[-1.76632]","[-0.979718]","[1.09732e+06]","[94589]","[1]","[0.150649]","[0.686808]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5768.09,336.587,451.015]",12169.2,"[2637.74,1192.72]","[]","[12813]","[]"
19,284500,1639,392217,1,0.0806897,10327.8,1.55465,0.955259,1,1,1,0.997145,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[608198,82856.7]","[-0.307935,0.0182448]","[3.09692,2.84364]","[637262,82870.4]","[0.0681152,0.0129547]","[-1,1]","[11,11]","[1,1]","[1193.63,0]","[1055.66,1027.65]","[0.00540462,0.00444542]","[0.89636,0.619355]",166350,-0.185028,1,"[603615]","[-1.42912]","[-0.14091]","[1.33237e+06]","[1]","[0]","[0]","[-0.944353]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[698290,541273]","[-0.312509,-1.45084]","[3.06436,-0.141116]","[739485,1.21816e+06]","[100188,2623.67]","[1,1]","[0,0.851485]","[-1,0.272982]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5851.26,993.909]",3588.38,"[10061]","[]","[3108.19,39530.3]","[]"
