event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
112,284500,13133,370114,1,0.057037,101591,1.26205,0.97921,1,1,1,0.83093,1.00192,1,1,0,0,1,"[0]","[1]","[60087.2]","[-0.514942]","[2.9674]","[68231.4]","[-0.0850525]","[1]","[11]","[1]","[3821.13]","[-924.413]","[0.0273032]","[2.87066]",248932,2.07111,11,"[329883,196691,165258,88084.5,83461.9,83071.5,70627.7,68725.8,41615.5,40812.7,29182.4]","[1.05597,0.417559,0.998369,0.430738,-0.159968,-0.233169,0.651697,1.29074,0.86072,0.0434416,-0.620046]","[2.05515,-1.37857,-0.62713,-0.74981,0.252412,-0.489398,-3.00417,-1.49248,-0.101267,-2.1491,-0.112411]","[532278,214972,255209,96872.1,85118,85509.3,86992.3,134687,58335.1,42096.4,35111.7]","[0.999599,0.997371,0.997506,1,0.995717,0.998215,0.991406,0.996162,0.99,1,0.990542]","[0,5,0,0,0,4,4,5,5,5,0]","[0,1,0,0,0,1,1,1,1,1,0]","[-0.917321,0.999207,-0.556814,-0.68319,-0.771863,-0.36731,-0.8436,-0.141427,0.999828,0.156628,-0.94329]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[472346,306626]","[0.884952,1.10882]","[-0.980845,2.05317]","[729214,515972]","[288555,27415.9]","[1,0]","[1.27851,1.81404]","[0.687867,0.587582]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[905.659]",3929.62,"[5617.62,2008.88,2381.07,3516.09,2519.86,5715.65,4923.51,3810.79,7161.04,5124.49,2398.45]","[]","[18739.2,15622.8]","[]"
140,284500,12542,370114,1,0.057037,101591,0.696077,1.05021,1,1,1,0.962935,0.96497,1,1,0,0,2,"[1,0]","[1,0]","[34321.8,7070.14]","[-0.965469,1.59314]","[2.79439,2.76464]","[51599.8,18108.2]","[0.0125771,0.371685]","[-1,-1]","[11,11]","[1,1]","[3110.15,0]","[2962.45,946.895]","[-0.0210766,-0.136286]","[2.34288,3.60287]",310949,2.90408,7,"[255779,93815.4,85505,32359,29939.5,27665.3,23783.3]","[-0.332328,-1.16094,-1.01846,1.01283,0.235194,-1.36859,-0.969627]","[-0.444312,-0.0357268,1.81668,-1.1898,0.0142841,-2.95773,-0.919646]","[270393,165015,134179,50787.8,31220.8,58047.6,36142.4]","[0.992598,1,0.997669,0.994868,0.992799,0.994301,1]","[5,0,5,4,0,0,5]","[1,0,1,1,0,0,1]","[0.999234,-0.465248,0.999998,-0.801224,-0.851805,-0.892211,0.999711]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[339164]","[-0.57694]","[-0.350176]","[423042]","[145608]","[1]","[0.764665]","[0.708419]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[27.7082,253.53]",4279.47,"[6192.26,2397.86,2214.07,2433.66,1983.96,2007.68,2555.66]","[]","[20138.5]","[]"
171,284500,14451,370114,1,0.057037,101591,1.26459,0.96392,0.993397,1,1,1.06619,1.01012,1,1,0,0,2,"[1,1]","[1,0]","[175557,175335]","[1.94936,-0.280777]","[0.759417,-2.24392]","[629067,182292]","[-0.127281,-0.0400009]","[1,-1]","[11,13]","[1,1]","[0,0]","[-717.984,-370.239]","[-0.018296,-0.00786626]","[1.06156,1.63378]",464934,2.60493,9,"[280203,261336,211691,138242,105426,40834.1,34073.1,22738.5,20968.3]","[0.112237,-0.265997,0.282425,1.8325,-0.893998,1.08795,-1.44066,-1.50717,-1.07414]","[0.894821,-1.08018,-2.54066,-0.0517651,-0.730354,0.98776,-1.9872,1.70691,-0.152914]","[282624,275674,224491,443717,151383,67909.9,76311.8,54047.9,34524.2]","[0.986876,0.99,0.998298,1,0.986788,0.97707,0.990696,0.974361,0.791506]","[4,5,5,5,0,0,5,0,0]","[1,0,1,1,0,0,1,0,0]","[-0.600614,0.859175,-0.182021,0.98765,-0.655052,-0.850171,0.975272,-0.593614,-0.672984]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",3,"[329139,302391,280203]","[-0.411846,1.9859,0.124677]","[-0.99243,0.412765,0.897469]","[379664,1.13149e+06,283172]","[127964,143897,21104.4]","[1,1,1]","[1.40447,0.692705,1.63468]","[0.719728,0.551226,0.535103]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1403.54,22804.5]",14382.1,"[3947.44,2539.89,2468.65,6233.34,4968.92,6190.6,1668.9,3975.53,1144.81]","[]","[10890.7,3131.06,24759.4]","[]"
202,284500,14866,370114,1,0.057037,101591,1.22586,1,0.999515,1,1,0.98855,0.744681,1,0,1,0,2,"[1,1]","[1,1]","[227496,160190]","[0.0382224,1.23973]","[-2.60405,2.7309]","[227662,299886]","[0.0301437,0.027092]","[-1,-1]","[13,13]","[1,1]","[0,0]","[461.724,-1185.45]","[-0.00272166,-0.0019457]","[0.695912,0.329439]",169724,-1.66145,7,"[395833,386526,228573,121434,101273,45170.6,21995.5]","[-0.254871,-0.046286,-0.573134,-0.454203,1.39349,-0.749272,0.0864683]","[-1.13039,1.20825,1.18797,-1.56735,1.63314,2.97835,-0.188936]","[409623,393081,268295,134436,216937,58636.9,22289.4]","[0.990165,1,0.998324,0.980634,0.990509,1,0.977198]","[5,5,0,0,5,5,0]","[1,1,0,0,1,1,0]","[-0.778415,0.949359,-0.631591,-0.398294,0.9999,0.587983,-0.727583]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[578895,473404]","[-0.262453,-0.322958]","[1.19773,-1.22637]","[626345,508739]","[183220,102490]","[1,1]","[1.21247,0.727982]","[0.546478,0.557212]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6253.89,5253.48]",3697.12,"[5343.1,7116.01,7127.47,7131.44,4934.99,1752.86,3634.66]","[]","[11200.6,29185.7]","[]"
226,284500,14033,370114,1,0.057037,101591,1.26459,0.97994,1,1,1,0.909508,1.00632,1,1,0,0,1,"[1]","[1]","[528332]","[0.154752]","[2.91149]","[534671]","[0.0257282]","[1]","[11]","[1]","[0]","[-410.768]","[0.00991064]","[1.21636]",250930,-1.22707,7,"[569455,110084,87918.7,61239.6,54589.8,43263.2,29200.2]","[0.270269,-1.34146,-0.105081,-0.468874,0.584063,1.80878,-0.71316]","[-0.390861,1.35172,1.68565,2.72528,0.882472,-2.82431,1.77113]","[596559,225810,90216.5,69054.6,64545.7,135709,37355.9]","[0.985713,0.98872,0.993849,1,1,0.985465,0.976832]","[5,5,0,5,0,5,0]","[1,1,0,1,0,1,0]","[0.989816,0.993525,-0.878682,0.397689,-0.907887,0.990601,-0.663543]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[625479,585816]","[0.296917,0.127684]","[-0.405531,2.89583]","[662819,596693]","[112201,85068.6]","[1,1]","[1.31483,1.59506]","[0.744746,0.585145]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3647.33]",10974.5,"[6246.98,6967.29,5136.66,1298.01,2033.86,1389.67,2085]","[]","[12889.8,22970.6]","[]"
248,284500,15184,370114,1,0.057037,101591,1.32095,1,0.995421,1,1,1.1315,0.920816,1,0,1,0,1,"[1]","[1]","[513327]","[-0.695589]","[-2.60767]","[642600]","[0.0233536]","[1]","[13]","[1]","[0]","[-458.921]","[0.0350596]","[9.0485]",811431,-0.37896,9,"[398367,202184,94862.3,53081.9,48844,44064.5,42379.8,35068.6,28541.2]","[0.756709,0.661953,-0.506198,1.84166,-0.0649655,-1.9486,-0.766332,0.222804,-1.25986]","[2.00212,1.33789,-1.89508,2.394,1.62933,-1.90036,2.88417,2.27356,2.90593]","[520527,248884,107830,171754,50425.3,158093,56002.3,36600.2,54590.1]","[0.993293,0.968847,0.996437,0.993868,0.959777,1,0.992595,0.991624,0.999557]","[5,0,5,4,0,0,5,0,4]","[1,0,1,1,0,0,1,0,1]","[0.984167,-0.881026,0.999887,0.878936,-0.926766,0.412987,0.918363,-0.856828,-0.925219]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[532786]","[0.782938]","[1.77143]","[730599]","[193183]","[1]","[0.813873]","[0.898431]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[44347]",9582.94,"[5674.08,2459.5,6998.04,5381.48,2262.18,2363.9,1669.72,5672.78,2808.82]","[]","[19423.8]","[]"
284,284500,16510,370114,1,0.057037,101591,1.26205,0.99211,1,1,1,1.03742,0.9918,1,1,0,0,1,"[1]","[1]","[215294]","[-0.644922]","[-0.31584]","[261640]","[0.0311718]","[-1]","[11]","[1]","[0]","[2980.69]","[-0.00181271]","[0.290673]",658932,-2.55008,8,"[201178,192908,148296,138317,135644,41954.9,32221,31117.7]","[-0.619887,0.223356,-1.34371,-0.0861061,0.391867,-1.87718,-1.08642,-0.0244671]","[1.37677,0.281161,1.79825,1.53593,-0.211068,2.81073,-1.78372,-2.92031]","[241829,198402,303820,139271,146611,140381,53303.8,31135.5]","[0.972224,0.995168,0.992957,0.981753,0.99,0.973708,0.991545,0.723643]","[5,0,5,0,4,0,5,0]","[1,0,1,0,1,0,1,0]","[0.766998,-0.690685,0.999999,-0.875119,0.273842,-0.431455,-0.916624,-0.795466]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[627104,456823]","[-0.170561,-0.747917]","[-0.0795444,1.53627]","[724170,646933]","[345848,263901]","[1,1]","[1.00346,1.12794]","[0.521175,0.164297]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2433.05]",17550.9,"[1695.63,3577.84,3332.76,3934.63,2918.78,9908.39,1223.7,9295.81]","[]","[4388.06,9168.72]","[]"
312,284500,16271,370114,1,0.057037,101591,1.32095,1,0.991214,1,1,1.12042,0.873044,1,0,1,0,1,"[0]","[1]","[36756.4]","[-0.84618]","[-1.17441]","[50719.9]","[0.0418205]","[-1]","[13]","[1]","[0]","[1294.32]","[-0.036694]","[4.29561]",40523.3,1.42593,13,"[320258,286484,198752,197954,142118,121386,80903.5,80183.1,68457.9,46879.4,46357.5,30834.3,20436.2]","[0.904122,1.51249,-0.304219,0.631798,0.817025,0.401235,1.06897,-0.953137,1.10152,1.54051,1.65898,-0.301136,0.0524109]","[2.68303,-0.0121885,-1.37207,-2.03455,0.536817,2.4352,1.29521,-1.79791,2.13466,-0.585317,0.754878,2.11236,-2.52026]","[461511,682486,210494,239865,192729,132789,131907,119881,114602,114777,126390,33172.5,20614]","[0.99466,0.988547,1,0.989026,1,0.999158,1,0.994584,0.994143,0.991034,0.984747,0.993362,0.989849]","[5,0,5,0,5,0,0,5,0,0,0,0,15]","[1,0,1,0,1,0,0,1,0,0,0,0,1]","[0.497451,-0.876486,0.940487,-0.827503,0.996855,-0.919549,0.518813,0.971874,-0.87879,-0.906106,0.030333,-0.0391231,0.400948]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",3,"[468570,453273,276379]","[0.825611,1.40769,-0.542531]","[2.56587,0.193019,-1.48]","[658329,1.01174e+06,338397]","[164111,245095,115540]","[1,1,1]","[1.46887,1.1819,1.15994]","[0.469791,0.582002,0.473166]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[234.253]",2621.55,"[5138.36,4991.04,3650.92,10058.4,9413.59,3636.44,3597.56,3085.48,2396.94,4522.07,4653.51,5655.56,1178.07]","[]","[25980.1,12773.1,11185.2]","[]"
331,284500,16585,370114,1,0.057037,101591,1.21412,0.957455,0.985198,1,1,1.08063,0.99544,1,1,0,0,3,"[1,1,1]","[1,1,0]","[116958,105500,23394.5]","[1.26158,-0.556502,-1.68123]","[-2.833,-0.0212287,0.581363]","[223049,122262,65016.9]","[-0.0100937,-0.0372086,0.0555344]","[-1,1,-1]","[11,11,13]","[1,0,1]","[0,0,1996.7]","[59.8093,121.958,-450.101]","[-0.0484072,0.037244,0.0350189]","[5.1652,5.4622,3.43961]",381709,1.0977,9,"[204263,186104,160176,125337,99205.5,35509.6,34755.9,33448.6,20647.6]","[-0.982657,-2.44436,1.15231,1.23466,-1.73922,-0.928399,1.52013,-2.44175,-0.647029]","[-0.518694,-2.51463,-1.92099,2.71099,-2.30013,1.83276,1.07289,0.454331,2.27113]","[312644,1.08055e+06,279103,233966,291250,52292.6,83513.8,193767,25458.5]","[0.990083,0.985886,0.995228,0.997993,0.987082,0.897653,1,0.98,0.99492]","[5,0,0,5,5,0,0,0,5]","[1,0,0,1,1,0,0,0,1]","[0.793151,-0.883316,-0.799718,0.999686,0.999312,0.396073,-0.843859,-0.786835,0.932756]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[290584]","[-0.869062]","[-0.339358]","[420420]","[103814]","[1]","[0.864682]","[0.542827]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1199.63,423.829,86.7759]",5238.69,"[2888.71,4766.33,2889.11,2966.77,6897.05,3822.79,2091.49,2423.91,910.499]","[]","[8733.22]","[]"
355,284500,19510,370114,1,0.057037,101591,0.619412,0.98697,1,1,1,1.10448,1.00582,1,1,0,0,1,"[1]","[1]","[193019]","[-0.306583]","[-1.62382]","[202161]","[-0.0696259]","[-1]","[11]","[1]","[0]","[-1996.24]","[0.0334982]","[4.51564]",19059.6,-1.77804,12,"[295363,240279,114756,100131,90415.6,72490.9,47761.4,41399.6,33754.3,33604.5,29424.2,23972.6]","[0.859182,-0.0727334,-0.708129,-0.0851216,-1.07062,-0.708133,-0.579561,-0.89817,-1.40511,-1.74206,0.644294,0.0911521]","[2.39943,-0.339408,3.00692,2.59514,-0.169073,0.384993,1.74491,-1.83092,0.809413,-2.2404,1.21159,-1.06382]","[411735,241450,145541,101154,148546,92582.1,56427,59913.7,73240.4,98984.6,36203,24791.1]","[0.994987,0.999612,1,0.997996,0.979215,1,1,1,0.989979,1,1,0.653283]","[0,0,0,0,0,5,0,5,0,5,5,4]","[0,0,0,0,0,1,0,1,0,1,1,1]","[-0.792903,-0.823151,-0.707355,-0.766513,-0.758155,0.999709,-0.435132,0.852844,-0.0359142,0.999314,0.954937,-0.724933]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[374130,341522]","[0.641921,-0.481775]","[2.45647,-0.206282]","[481394,429933]","[160371,197413]","[1,1]","[0.618786,1.09476]","[0.739937,0.450428]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[886.125]",1285.76,"[5184.45,9622.58,2394.43,2137.17,2692.65,1548.14,2288.01,1611.39,2924.95,1792.11,2458.29,2860.49]","[]","[31079.2,2397.47]","[]"
