event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
1,284500,459,387157,1,0.46702,51998.4,0.619412,1,0.998593,1,1,1.01983,0.994778,1,0,1,0,1,"[1]","[1]","[143328]","[-1.34049]","[2.04616]","[292578]","[0.0305214]","[-1]","[13]","[1]","[4175.26]","[-471.167]","[-0.00177193]","[0.312238]",127762,3.13455,6,"[150933,149703,129174,89758.3,42097.5,28469.4]","[-1.12166,-0.759502,-1.00677,-1.23451,-2.13731,-1.5901]","[2.61786,-0.614002,-1.22068,-0.0401917,-0.354804,0.488061]","[256434,195409,200494,168113,181006,72950.8]","[0.996965,0.999072,0,0.9996,0.999574,0.978375]","[5,0,0,0,5,0]","[1,0,0,0,1,0]","[0.999795,-0.508475,-0.736317,-0.86675,0.999916,-0.0716636]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[320637]","[-1.04784]","[-0.724109]","[540035]","[167599]","[1]","[1.216]","[0.328936]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3650.88]",15305.7,"[10537,2373.04,7448.6,4784.75,2673.31,6399.78]","[]","[5427.03]","[]"
6,284500,1325,387157,1,0.46702,51998.4,1.08735,0.98916,1,1,1,1.07588,0.99765,1,1,0,0,1,"[1]","[1]","[137792]","[0.799258]","[-0.960736]","[184197]","[0.00298309]","[1]","[11]","[1]","[0]","[-471.473]","[-0.0249728]","[0.672734]",198130,2.67261,4,"[385768,248345,94919.1,61607.3]","[1.24489,-0.0106017,0.19941,0.614777]","[-1.13634,1.8279,1.24339,2.09126]","[725581,249336,97257.2,74922]","[0.995498,0.999986,0.997723,0.979109]","[5,5,4,0]","[1,1,1,0]","[0.993633,0.999682,0.943238,0.236657]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[528404,332560]","[1.13111,0.0759992]","[-1.08903,1.71412]","[910426,356778]","[107689,126707]","[1,1]","[0.67193,1.57427]","[0.349603,0.355852]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[765.274]",17463.9,"[16360.6,3935.8,3240.36,3455.47]","[]","[35816.1,1646.81]","[]"
9,284500,1050,387157,1.29317,0.46702,51998.4,0.506784,0.983127,1,1,1,1.05075,1.00306,1,1,0,0,2,"[1,1]","[1,1]","[152342,77081.7]","[0.979583,0.473575]","[0.780025,-1.59287]","[231469,85888.1]","[0.00782108,-0.0582829]","[-1,1]","[11,11]","[1,1]","[0,0]","[2004.18,90.4756]","[0.00907622,-0.00367509]","[0.891887,0.425779]",104136,2.63692,3,"[121507,88136.7,68332.6]","[1.90048,1.5679,0.116546]","[-2.45575,0.738259,-1.1904]","[415636,220599,69196.3]","[0.997806,0.99952,0.996218]","[0,5,5]","[0,1,1]","[-0.925463,0.986278,0.860498]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[260310]","[1.19306]","[0.769817]","[473854]","[70275.7]","[1]","[0.183788]","[0.309735]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1252.2,488.627]",1425.44,"[6161.03,5405.51,2534.95]","[]","[746.359]","[]"
14,284500,732,387157,1,0.46702,51998.4,0.738662,0.96709,1,1,1,0.944785,1.00936,1,1,0,0,1,"[1]","[1]","[112105]","[-0.00205676]","[2.22114]","[112105]","[-0.0143394]","[-1]","[11]","[1]","[0]","[398.598]","[0.00698675]","[0.828987]",160330,-0.80718,4,"[248709,160794,71472.7,23348.6]","[0.0852028,-0.474181,1.69318,0.198746]","[2.71116,-0.748436,0.103806,-3.11228]","[252285,180128,201050,24282.5]","[0.996679,1,0.952922,0.931918]","[5,5,0,0]","[1,1,0,0]","[0.991993,0.999996,-0.826595,-0.819602]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[380623]","[0.0853864]","[2.5836]","[399589]","[117212]","[1]","[1.2666]","[0.548183]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[521.984]",8222.38,"[2121.23,7312.14,3775.82,2011.43]","[]","[2138.91]","[]"
17,284500,3895,387157,1,0.46702,51998.4,1.32095,0.97949,1,1,1,0.962265,0.99672,1,1,0,0,1,"[0]","[1]","[73846.2]","[0.88998]","[0.640766]","[105074]","[0.0345879]","[1]","[11]","[1]","[0]","[-1271.89]","[0.0145422]","[1.46234]",305090,1.08168,4,"[250280,96145.7,61722.5,34187.6]","[-1.00241,-0.529676,-0.964529,0.536814]","[-2.20052,-2.17339,-1.0437,2.57247]","[387513,110166,93103.1,39409.8]","[1,0.989311,0.984025,0.994258]","[5,4,0,5]","[1,1,0,1]","[0.997877,-0.944761,-0.966507,0.948582]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[316450]","[-0.887631]","[-2.19581]","[453862]","[62654.4]","[1]","[0.747765]","[0.665495]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[177.969]",4211.97,"[2428.54,6240.03,4762.79,3885.04]","[]","[12307.8]","[]"
22,284500,2816,387157,1.06036,0.46702,51998.4,0.923924,0.927437,1,1,1,0.935867,0,1,1,0,0,2,"[0,1]","[1,0]","[25563.2,11655.4]","[1.34202,-2.11932]","[-0.585863,0.141042]","[52252,49218.2]","[0.170418,0.0569801]","[-1,1]","[11,11]","[1,1]","[0,0]","[-804.987,202.296]","[0.0331274,0.00395965]","[1.49747,0.164684]",283358,-0.572358,4,"[283900,83861.3,43271.4,27180]","[-0.534616,2.2561,1.45528,-0.385429]","[2.70286,2.85202,0.462829,-0.662007]","[327600,404695,98220.5,29796.8]","[1,0.982352,0.99491,1]","[0,0,5,0]","[0,0,1,0]","[-0.921203,-0.0429868,0.747136,0.291537]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[287726]","[-0.536349]","[2.70302]","[331422]","[29439.2]","[0]","[1.44448]","[0.530477]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[111.986,132.597]",30642.1,"[2935.88,4002.06,6138.73,6063.46]","[]","[13191.6]","[]"
25,284500,3898,387157,1.0574,0.46702,51998.4,1.32095,0.97361,1,1,1,1.05949,0.98448,1,1,0,0,1,"[1]","[1]","[46063.5]","[-0.564225]","[-0.421186]","[53592.3]","[0.0323706]","[1]","[11]","[1]","[0]","[611.287]","[-0.0187367]","[2.02831]",345589,-0.511541,4,"[756391,460551,125743,40285.9]","[1.16693,0.631276,0.223148,2.23239]","[-2.93043,0.915548,0.093455,-1.43727]","[1.33743e+06,556429,129265,189993]","[1,0.984254,1,1]","[5,0,5,0]","[1,0,1,0]","[-0.165248,-0.900884,0.999959,-0.512618]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[731717,579865]","[1.16266,0.585373]","[-2.92809,0.775223]","[1.2895e+06,726924]","[112763,251358]","[1,1]","[0.643423,1.07288]","[0.574399,0.343545]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[77.7589]",17665,"[18567.8,8881.11,6575.58,2314.25]","[]","[14113,42554.4]","[]"
26,284500,2968,387157,1,0.46702,51998.4,1.1961,0.97553,1,1,1,0.979906,1.01265,1,1,0,0,1,"[1]","[1]","[113008]","[1.61746]","[-0.77029]","[296007]","[0.0521698]","[-1]","[11]","[1]","[3428.06]","[-547.119]","[0.0213608]","[2.17363]",98191.6,-2.60159,5,"[186617,145497,58896.7,34757.9,22671.8]","[0.556388,1.16889,-0.1371,1.35266,1.85092]","[2.42391,-0.603824,1.60396,2.12062,1.82883]","[217914,256937,59828.3,71855.6,74061.3]","[0.992639,0.999692,1,0.997395,0.98]","[5,5,0,0,0]","[1,1,0,0,0]","[0.833131,-0.0413346,-0.860371,-0.476071,-0.761176]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[295939]","[1.39177]","[-0.675222]","[636192]","[73623.6]","[1]","[0.534475]","[0.470815]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1681.73]",27648.1,"[2603.18,4639.74,3681.7,2201.78,1855.35]","[]","[15256.1]","[]"
35,284500,5780,387157,1,0.46702,51998.4,1.1961,0.98458,1,1,1,1.06929,1.00582,1,1,0,0,1,"[1]","[1]","[124041]","[-0.19655]","[0.703093]","[126445]","[-0.00316763]","[1]","[11]","[1]","[0]","[2201.44]","[-0.0351137]","[5.04634]",287595,2.94505,4,"[200082,143798,64457.1,28425.9]","[0.392113,0.837942,1.64023,0.881265]","[0.219192,-1.7527,-1.39002,1.04027]","[215955,199023,172770,40520.8]","[0.99,0.985782,0.992575,0.983932]","[5,4,0,5]","[1,1,0,1]","[0.824093,-0.82599,-0.958588,0.0361792]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[341710]","[0.211974]","[0.440151]","[382364]","[155277]","[1]","[1.03404]","[0.240083]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1656.41]",6068.12,"[6190.48,2433.65,4331.14,2546.12]","[]","[9784.88]","[]"
38,284500,5813,387157,1,0.46702,51998.4,1.1961,1,0.992904,1,1,0.908008,0.935601,1,0,1,0,1,"[1]","[1]","[109662]","[0.137492]","[-0.274602]","[110700]","[-0.0038147]","[1]","[13]","[1]","[0]","[-753.188]","[0.0056371]","[1.08314]",80888.3,-1.2318,4,"[316933,199267,130434,32129.8]","[-0.951294,-0.681089,-1.31627,0.764607]","[2.52825,-0.37621,-3.0344,-0.292034]","[472064,247541,261184,42390.5]","[1,0.983807,1,0.967266]","[5,5,4,0]","[1,1,1,0]","[0.99773,0.97248,-0.897774,-0.780159]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[369448]","[-1.13211]","[2.70509]","[650052]","[149637]","[1]","[0.556429]","[0.742503]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[868.441]",11777.5,"[9911.87,5398.63,3173.14,2810.13]","[]","[20306.6]","[]"
