event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
122,284500,61919,364178,4.28298,35.9173,1.82981e+07,0.619412,0.97826,1,1,1,1.04372,1.00493,1,1,0,0,1,"[1]","[1]","[100599]","[-1.30625]","[1.0288]","[199344]","[-0.00501251]","[-1]","[11]","[1]","[0]","[-547.726]","[0.00867861]","[0.532881]",112886,1.5535,6,"[221928,85778.3,45603.3,36569.8,29961.5,21062.2]","[-1.2764,-1.10324,-0.443659,-0.54678,0.448993,0.503748]","[-0.832686,2.69508,1.56616,-0.936459,-2.38323,-1.64922]","[429012,143850,50670.3,42902.8,33505,24294.7]","[1,0.996603,0.96531,0.991826,0.99,0.990004]","[0,5,0,0,0,0]","[0,0,0,0,0,0]","[-0.585476,0.967603,-0.749356,0.0620421,-0.903388,-0.121175]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[259150]","[-1.21061]","[-0.850307]","[477456]","[62034.4]","[0]","[1.72828]","[0.65197]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[779.956]",10309.5,"[8674.16,7812.35,3158.99,4203.13,3291.62,1170.98]","[]","[5102.45]","[]"
208,284500,388298,364178,1,35.9173,1.82981e+07,0.934886,1.01378,1,1,1,0.980449,1.00936,1,1,0,0,1,"[1]","[1]","[241737]","[0.0739198]","[-3.01929]","[242398]","[-0.117286]","[-1]","[11]","[1]","[0]","[493.321]","[0.00206333]","[0.291341]",68202.7,2.47729,4,"[150104,29321.9,25471.9,24047]","[-2.27082,1.4779,1.07867,0.0547213]","[-0.172062,2.90275,-1.22583,1.22208]","[735099,67732.2,42099.4,24647.4]","[1,1,0.994535,0.990503]","[4,0,5,0]","[0,0,0,0]","[-0.377709,0.134646,0.926662,-0.792442]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[262969]","[0.0668292]","[-3.01081]","[263567]","[2374.31]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2387.45]",5189.17,"[4060.57,3524,1745.11,2546.41]","[]","[1449.59]","[]"
251,284500,418187,364178,1,35.9173,1.82981e+07,0.923924,0.98089,1,1,1,0.992688,0.99866,1,1,0,0,1,"[0]","[1]","[221498]","[-1.11244]","[0.118254]","[373284]","[-0.0461931]","[1]","[11]","[1]","[3917.07]","[988.988]","[-0.0340892]","[2.54869]",407518,0.111255,4,"[873881,202990,29152.3,26080.6]","[-0.806455,0.526093,-0.371291,0.652438]","[-3.00588,0.152788,2.52666,-2.11466]","[1.17568e+06,235051,31394.2,32040.1]","[0.993099,0.99184,1,0.85312]","[0,0,0,0]","[0,0,0,0]","[-0.733786,-0.882715,-0.885222,-0.338088]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[809446,292819]","[-0.819347,-1.20404]","[-3.00295,0.152615]","[1.09879e+06,534260]","[67836.7,49246.9]","[0,0]","[3.80724,0.596173]","[0.600256,0.783763]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3080.4]",27416.2,"[22606.8,8535.14,2204.73,2014.04]","[]","[11425.9,7459.38]","[]"
337,284500,484349,364178,1,35.9173,1.82981e+07,0.738662,1.00588,1,1,1,1.04744,1.00306,1,1,0,0,1,"[1]","[1]","[234788]","[1.11956]","[-1.32142]","[397956]","[0.0307999]","[-1]","[11]","[1]","[0]","[-19.8802]","[0.00367369]","[0.554092]",23179.8,0.81916,3,"[154153,37085,36983]","[1.12215,0.309997,0.425588]","[1.93715,1.59429,2.08555]","[262761,39437.6,40911.3]","[0.999916,0.918744,0.995077]","[0,0,5]","[0,0,0]","[-0.200096,-0.816683,0.99996]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[257769]","[1.09401]","[-1.32151]","[428057]","[3938.89]","[0]","[62.6608]","[0.506711]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2805.58]",2238.67,"[6990.29,2268.17,1553.62]","[]","[6448.42]","[]"
364,284500,322517,364178,1,35.9173,1.82981e+07,1.32095,0.99093,1,1,1,0.999698,1.00306,1,1,0,0,1,"[1]","[1]","[108208]","[0.903149]","[-2.22174]","[155422]","[-0.0281944]","[1]","[11]","[1]","[0]","[2868.3]","[-0.034483]","[1.51252]",161338,-1.59791,1,"[260965]","[0.10927]","[1.30804]","[263650]","[0.991068]","[0]","[0]","[-0.95033]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[275874]","[0.0819648]","[1.309]","[277727]","[22653.8]","[0]","[1.39742]","[0.452106]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[604.638]",4862.14,"[8355.21]","[]","[7873.75]","[]"
470,284500,235348,364178,1,35.9173,1.82981e+07,1.25133,0.955,1,1,1,0.999677,1.02555,1,1,0,0,1,"[1]","[1]","[47576.4]","[1.94975]","[2.16821]","[170543]","[-0.0527573]","[1]","[11]","[1]","[0]","[1664.58]","[0.0262538]","[1.04033]",233550,2.95093,1,"[275907]","[-0.670613]","[-0.339377]","[340522]","[0.990093]","[0]","[0]","[-0.735394]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[275529]","[-0.709034]","[-0.339546]","[348028]","[14207.2]","[0]","[4.46537]","[0.275286]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[159.339]",3407.12,"[4696.76]","[]","[3431.38]","[]"
537,284500,1096264,364178,1,35.9173,1.82981e+07,0.619412,0.96972,1,1,1,1.0488,0.99544,1,1,0,0,1,"[1]","[1]","[269745]","[1.30256]","[2.12151]","[532818]","[-0.00982666]","[-1]","[11]","[1]","[1095.03]","[-433.778]","[-0.0219781]","[2.67643]",117557,-1.00805,2,"[41689.1,27183.3]","[1.28096,1.6167]","[2.69137,1.14124]","[80981.1,71375]","[1,0.750281]","[5,0]","[0,0]","[0.994276,-0.438962]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[309077]","[1.30993]","[2.17774]","[617236]","[59032.5]","[0]","[1.06583]","[0.244207]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3785.2]",6463.3,"[4412.47,2688.64]","[]","[13959.2]","[]"
627,284500,1089029,364178,1,35.9173,1.82981e+07,0.402058,0.98697,1,1,1,1.00402,1.00582,1,1,0,0,1,"[1]","[1]","[254889]","[-0.400986]","[-0.581512]","[275657]","[0.0989418]","[-1]","[11]","[1]","[0]","[-851.019]","[-0.0117345]","[1.81054]",75239,2.4621,1,"[176538]","[-1.14842]","[2.59408]","[306801]","[0.991391]","[5]","[0]","[0.999752]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[265871]","[-0.384574]","[-0.573211]","[285776]","[0]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1308.64]",5764.62,"[6064.74]","[]","[7987.59]","[]"
708,284500,1644087,364178,-1,35.9173,1.82981e+07,0.923924,0.96972,1,1,1,0.99865,0.99544,1,1,0,0,1,"[1]","[1]","[214858]","[1.21434]","[-0.143318]","[393726]","[-0.0270233]","[-1]","[11]","[1]","[0]","[519.654]","[0.0293943]","[2.15654]",40045.9,0.22677,2,"[235760,20976.9]","[0.728314,0.611776]","[3.11,2.28762]","[301409,25502.6]","[0.995565,0.731196]","[0,0]","[0,0]","[-0.863272,-0.768181]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[260698]","[0.763469]","[3.10938]","[341023]","[19949.1]","[0]","[2.81335]","[0.793408]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2678.64]",6287.54,"[14011.3,1158.05]","[]","[0]","[]"
791,284500,818712,364178,-2.63575,35.9173,1.82981e+07,1.26205,0.97538,1,1,1,1.03404,1.01508,1,1,0,0,1,"[1]","[1]","[103926]","[-1.76772]","[-1.64541]","[313243]","[0.104176]","[1]","[11]","[1]","[0]","[-661.957]","[0.0119646]","[1.1875]",177509,-1.63518,5,"[300063,106129,24797,24745.9,24036.1]","[-0.513218,-1.54451,-1.25372,-1.04143,-2.05348]","[1.29303,-2.65219,2.05762,0.516347,0.533795]","[340982,260477,47290.6,39704.9,95317.5]","[1,0.99,0.99242,0.814301,0.974302]","[0,5,0,0,0]","[0,0,0,0,0]","[-0.802125,0.999983,-0.717847,-0.925355,-0.894519]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[305915]","[-0.50352]","[1.29252]","[345804]","[13986.3]","[0]","[1.33287]","[0.608369]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1018.62]",6864.72,"[3506.54,3597.84,8134.73,1730.51,1938.91]","[]","[11723.7]","[]"
