event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
138,284500,23979,364180,1,22.37,2.77865e+06,1.25133,0.96203,1,1,1,0.998113,1.01508,1,1,0,0,1,"[1]","[1]","[268629]","[-1.68877]","[0.202082]","[751832]","[0.0193863]","[1]","[11]","[1]","[0]","[-41.6335]","[0.0123794]","[0.803278]",19441.7,-2.10897,2,"[231879,36162.9]","[-1.07482,-1.51361]","[-2.9852,3.02337]","[379555,86489.7]","[0.999868,0.998657]","[0,0]","[0,0]","[-0.93021,-0.856125]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[276247]","[-1.67843]","[0.204101]","[765730]","[0.0078125]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[7219.97]",9430.69,"[3365.59,5487.81]","[]","[10107.9]","[]"
146,284500,25217,364180,1,22.37,2.77865e+06,1.1961,0.97209,1,1,1,0.99801,0.99756,1,1,0,0,1,"[1]","[1]","[72853.4]","[0.10076]","[-3.11963]","[73223.5]","[0.0843811]","[-1]","[11]","[1]","[0]","[-917.183]","[0.00894668]","[0.925269]",225472,-3.11457,3,"[354230,152707,55706.9]","[0.394348,-0.237017,0.687508]","[0.0377005,-2.62614,0.906038]","[385169,157290,70202.3]","[0.991195,0.992188,0.98878]","[0,0,0]","[0,0,0]","[-0.861251,-0.631486,-0.849766]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[384925]","[0.421665]","[0.117135]","[439504]","[130588]","[0]","[1.8965]","[0.533171]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[153.689]",7101.66,"[5370.19,2049.59,7534.7]","[]","[11821.2]","[]"
199,284500,51967,364180,1,22.37,2.77865e+06,0.738662,0.97135,1,1,1,0.998492,1.0044,1,1,0,0,1,"[1]","[1]","[67513.8]","[1.82958]","[-2.92949]","[215765]","[0.0643616]","[-1]","[11]","[1]","[3882.95]","[-693.753]","[0.0250146]","[1.20921]",29955.2,-2.05044,2,"[248525,174710]","[0.545246,0.358606]","[0.149662,3.10284]","[286957,186748]","[0.999555,0.992725]","[0,0]","[0,0]","[-0.928856,-0.928441]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[255792]","[0.571091]","[0.153179]","[298965]","[13701.9]","[0]","[3.24284]","[0.57515]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[233.628]",18838.9,"[4839.67,2465.64]","[]","[7367.52]","[]"
410,284500,45604,364180,1,22.37,2.77865e+06,0.619412,0.98458,1,1,1,0.998819,1.00582,1,1,0,0,1,"[1]","[1]","[103228]","[-0.626787]","[-2.37555]","[124177]","[0.00748444]","[-1]","[11]","[1]","[0]","[1165.81]","[0.0201123]","[2.11518]",140689,-3.01094,2,"[253918,23054.9]","[-0.905047,-0.493919]","[0.341699,-3.05422]","[366049,26131.9]","[0.996086,0.851539]","[0,0]","[0,0]","[-0.841327,-0.67819]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[276907]","[-0.860887]","[0.338144]","[386693]","[22903.1]","[0]","[2.14771]","[0.632798]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[512.359]",10846.7,"[8807.46,3383.06]","[]","[14837]","[]"
748,284500,8501,364180,1,22.37,2.77865e+06,1.08735,1.00588,1,1,1,0.953992,1.00306,1,1,0,0,1,"[1]","[1]","[193590]","[0.838862]","[2.79604]","[265793]","[-0.00917816]","[-1]","[11]","[1]","[1627.54]","[55.1801]","[-0.0297692]","[3.96516]",69642.7,2.71825,3,"[244713,60077.8,26792.3]","[1.6485,0.416679,-0.0426403]","[0.0440384,-1.62321,-2.2343]","[659908,65653,27346.6]","[0.99913,0.992863,0.990641]","[4,0,0]","[0,0,0]","[-0.843708,-0.604508,-0.723301]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[257850]","[1.63266]","[0.0416639]","[685189]","[17511.8]","[0]","[2.48382]","[0.673857]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1646.82]",108.664,"[5282.77,2016.47,2227.99]","[]","[0]","[]"
808,284500,34391,364180,1.1903,22.37,2.77865e+06,1.26205,0.96727,1,1,1,0.957498,0.99061,1,1,0,0,1,"[1]","[1]","[50011.3]","[-1.94401]","[2.12933]","[178286]","[-0.0320358]","[1]","[11]","[1]","[0]","[3129.44]","[0.0307167]","[1.431]",412197,1.93663,6,"[178286,166976,63681.5,27359.5,23543.8,20895.4]","[-0.0884193,0.251746,0.795337,2.46633,1.64898,-0.810575]","[-0.836363,-1.43399,-1.41331,-1.72637,-1.47588,-0.608665]","[180183,172618,85105.5,162374,63683.7,28542.4]","[0.999416,0.997532,0.99493,0.988285,0.807085,0.982391]","[4,0,0,0,0,0]","[0,0,0,0,0,0]","[0.55909,-0.921375,-0.110853,0.0681095,-0.899486,-0.641629]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[369925]","[0.217902]","[-1.16478]","[417520]","[175721]","[0]","[1.13082]","[0.477385]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[235.546]",13449,"[8930.7,3515.67,3952.76,2201.82,3596.97,1330.77]","[]","[10802.7]","[]"
944,284500,608225,364180,1,22.37,2.77865e+06,0.738662,0.99093,1,1,1,0.994753,1.00306,1,1,0,0,1,"[1]","[1]","[120594]","[1.08022]","[1.96396]","[198067]","[0.0096159]","[-1]","[11]","[1]","[0]","[-1681.24]","[0.0171896]","[1.77025]",36653.9,2.41594,5,"[144877,130938,35700.4,29315.4,28752.4]","[0.379921,2.12025,0.215544,-1.2851,-0.776682]","[1.91099,-1.09523,-2.27154,-0.983983,-0.481582]","[156129,553860,37120.7,57433,38428.9]","[0.992817,0.990121,0.995306,0.986803,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.0627829,-0.661502,-0.747061,-0.380812,-0.830038]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[274395]","[0.767406]","[1.94235]","[373407]","[101892]","[0]","[0.390214]","[0.548775]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1091.63]",9669.83,"[2708.14,9189.84,3035.8,1981.28,1906.6]","[]","[1938.5]","[]"
1009,284500,605791,364180,1,22.37,2.77865e+06,1.26205,1.00588,1,1,1,0.952436,1.00306,1,1,0,0,1,"[1]","[1]","[292263]","[1.09846]","[-1.00677]","[487044]","[0.076046]","[1]","[11]","[1]","[0]","[5976.16]","[-0.0420112]","[2.50171]",46836.8,-0.719507,1,"[336281]","[-0.361735]","[2.18268]","[358839]","[0.990844]","[4]","[0]","[-0.842939]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[349916,326655]","[-0.345619,1.11452]","[2.18389,-1.01335]","[371150,551471]","[9684.1,7377.47]","[0,0]","[2.34573,7.37722]","[0.243615,0.443341]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3355.9]",1985.71,"[3897.36]","[]","[6106.56,23612.6]","[]"
1304,284500,605229,364180,1.5757,22.37,2.77865e+06,1.32095,0.97996,1,1,1,0.997737,1.01265,1,1,0,0,1,"[1]","[1]","[255152]","[1.73535]","[2.4367]","[745969]","[0.0723991]","[-1]","[11]","[1]","[0]","[1842.11]","[-0.0286292]","[2.7802]",54811.6,1.24351,4,"[252220,102601,37212.4,37036.9]","[2.41553,2.43557,0.937759,-0.92098]","[-0.508324,-1.8215,1.34603,-1.89093]","[1.42353e+06,590545,55348.8,54132.1]","[1,0.987516,0.997091,0.99917]","[0,0,0,0]","[0,0,0,0]","[-0.883246,0.0433074,-0.964991,-0.810509]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[280272]","[1.72545]","[2.42806]","[811848]","[5556.15]","[0]","[3.44958]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3810.46]",10596.3,"[6151.14,5891.77,2687,3997.39]","[]","[8254.69]","[]"
1729,284500,621409,364180,-1,22.37,2.77865e+06,1.25133,0.96787,1,1,1,0.973087,0.98743,1,1,0,0,1,"[1]","[1]","[146600]","[-0.112717]","[-0.375338]","[147532]","[-0.0430679]","[1]","[11]","[1]","[0]","[-732.173]","[-0.00703834]","[0.757697]",157639,-0.251419,2,"[339075,32778.7]","[0.696746,-1.11923]","[2.80434,-0.258591]","[424997,55755]","[0.997836,0.972003]","[0,4]","[0,0]","[-0.916368,-0.777888]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[343669]","[0.72003]","[2.80538]","[436769]","[9241.85]","[0]","[1.59891]","[0.553596]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1761.81]",8054.2,"[5107.1,7521.1]","[]","[2416.97]","[]"
