event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
1,284500,7026808,361104,8437.06,8579.63,2.64338e+11,1.1961,1,0.993861,1,1,0.997826,0.819063,1,0,1,0,1,"[1]","[1]","[404468]","[0.320221]","[1.69358]","[425383]","[-0.0538359]","[-1]","[13]","[1]","[0]","[-862.259]","[0.0120754]","[1.82922]",49722.3,1.29194,2,"[406868,354829]","[0.5809,-1.09161]","[-0.692155,-2.52399]","[478073,588620]","[0.545373,0.998624]","[0,0]","[0,0]","[-0.744594,-0.848241]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[402906,372054]","[0.587401,-1.09688]","[-0.694832,-2.51932]","[474955,619542]","[22188,19574.9]","[0,0]","[5.59531,2.86304]","[0.285822,0.803657]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[46748.9]",31810,"[4402.19,13795]","[]","[23975.6,15724]","[]"
22,284500,7237328,361104,8434.31,8579.63,2.64338e+11,1.08735,1,0.998691,1,1,0.998722,1.00455,1,0,1,0,1,"[1]","[1]","[64500]","[-1.72925]","[-1.56517]","[187497]","[0.0113525]","[-1]","[13]","[1]","[0]","[-158.902]","[0.020732]","[2.65256]",191728,-2.16804,2,"[226494,43432.1]","[0.948484,1.31936]","[1.46614,0.818366]","[338392,87191.7]","[1,0.988835]","[0,0]","[0,0]","[-0.876321,-0.935131]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[261512]","[1.04312]","[1.40736]","[424331]","[77651.2]","[0]","[1.70605]","[0.601559]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[454.568]",3949.34,"[8766.7,4093]","[]","[15733.6]","[]"
60,284500,7467525,361104,8431.74,8579.63,2.64338e+11,1.08735,1,0.99322,1,1,0.999286,0.944936,1,0,1,0,1,"[1]","[1]","[95615]","[0.337921]","[-2.53297]","[101126]","[-0.0129547]","[-1]","[13]","[1]","[0]","[-408.397]","[-0.00314528]","[0.546264]",205092,-2.69589,2,"[265908,63589.2]","[1.13594,-1.34258]","[0.281169,1.5224]","[457588,130399]","[0.992099,1]","[0,0]","[0,0]","[-0.80725,-0.944475]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[254336]","[1.10812]","[0.290375]","[428292]","[31417.1]","[0]","[2.35256]","[0.689705]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2446.3]",4249.38,"[5402.38,2224.13]","[]","[0]","[]"
71,284500,7795285,361104,8431.8,8579.63,2.64338e+11,0,1,0.999878,1,1,0.99859,1.00142,1,0,1,0,1,"[1]","[1]","[131721]","[1.29941]","[2.6254]","[259479]","[-0.0540237]","[-1]","[13]","[1]","[0]","[-614.841]","[-0.009618]","[1.82854]",179875,-3.05714,1,"[376336]","[1.86382]","[-0.00348559]","[1.24268e+06]","[0.943072]","[0]","[0]","[-0.874874]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[363136]","[1.85161]","[-0.00660534]","[1.18522e+06]","[16534.4]","[0]","[6.19212]","[0.60332]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[309.35]",2169.34,"[6611.89]","[]","[1729.72]","[]"
75,284500,7079752,361104,8434.62,8579.63,2.64338e+11,1.08735,1,0.996017,1,1,0.999001,0.925018,1,0,1,0,1,"[1]","[1]","[349817]","[-0.189093]","[2.49153]","[356090]","[-0.0345421]","[-1]","[13]","[1]","[0]","[-125.336]","[-0.00431838]","[0.801041]",51460.6,-2.65433,2,"[287791,25843]","[-0.0617881,-0.73406]","[-0.355796,0.990263]","[288662,33387]","[1,0.994343]","[0,0]","[0,0]","[-0.677049,-0.786325]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[283636]","[-0.0746342]","[-0.354903]","[284721]","[12947.4]","[0]","[2.41923]","[0.146188]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[12334.3]",5035.08,"[5492.76,2151.13]","[]","[10511.2]","[]"
78,284500,7992742,361104,8432.39,8579.63,2.64338e+11,0.506784,1,0.992894,1,1,0.998355,0.829622,1,0,1,0,1,"[1]","[1]","[434607]","[0.152689]","[-0.0898543]","[439684]","[0.0284882]","[-1]","[13]","[1]","[0]","[-431.866]","[0.00222584]","[0.464102]",10988.6,-0.489108,1,"[427251]","[-1.50669]","[3.05076]","[1.0114e+06]","[0.985508]","[0]","[0]","[-0.866569]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[412907]","[-1.51835]","[3.05232]","[987825]","[19819]","[0]","[2.99791]","[0.730411]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[53904.6]",12704.9,"[14464.9]","[]","[28744.4]","[]"
79,284500,7917303,361104,8439.11,8579.63,2.64338e+11,1.08735,1,0.99092,1,1,0.999348,0.914018,1,0,1,0,1,"[1]","[1]","[205514]","[0.323925]","[2.16135]","[216391]","[-0.0207882]","[-1]","[13]","[1]","[0]","[-594.047]","[0.0127335]","[2.18575]",2863.38,0.216733,2,"[245037,84024.7]","[0.1965,0.0489745]","[-0.581834,-2.67172]","[250513,85044]","[0.999912,0.995792]","[0,0]","[0,0]","[-0.907929,-0.832304]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[254743]","[0.180558]","[-0.574049]","[259205]","[12427.5]","[0]","[3.4887]","[0.403654]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1978.07]",1200.97,"[2849.33,2461.12]","[]","[14374.4]","[]"
83,284500,7989183,361104,8434.07,8579.63,2.64338e+11,1.55465,1,0.994708,1,1,0.985859,1.00943,1,0,1,0,1,"[1]","[1]","[402749]","[-1.32001]","[2.05161]","[807630]","[-0.0206642]","[-1]","[13]","[1]","[0]","[-201.327]","[-0.00563913]","[1.26321]",158459,-1.00784,4,"[227710,58425.5,35746.5,25943.1]","[-0.525912,0.624974,-0.987266,1.27377]","[-0.768594,-2.44872,-1.20332,2.17569]","[260388,70504.6,54871.4,50255.3]","[0.988175,0.991352,0.992278,0.71094]","[4,0,4,0]","[0,0,0,0]","[-0.382854,-0.902472,-0.496237,-0.840828]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[255796]","[-0.566375]","[-0.808075]","[303517]","[57958.4]","[0]","[2.35558]","[0.718361]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[35052.8]",11191.2,"[6279.8,6698.45,3712.72,2018.41]","[]","[4288.58]","[]"
97,284500,8341968,361104,8441.6,8579.63,2.64338e+11,1.08735,1,1.00078,1,1,0.997097,1.01222,1,0,1,0,1,"[1]","[1]","[35111]","[1.53707]","[1.51196]","[85424.7]","[-0.0719376]","[-1]","[13]","[1]","[0]","[-284.378]","[0.00246611]","[0.25434]",287546,0.771529,4,"[255621,27046.2,26022.5,25562.2]","[0.557807,-0.0559102,0.562823,-1.30147]","[-2.40565,-2.36256,-1.68842,-1.5247]","[297198,27518.7,30726.4,50663.6]","[0.99383,0.982693,0.91313,0.988584]","[0,0,0,0]","[0,0,0,0]","[-0.448826,-0.442183,-0.861405,-0.821451]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[255576]","[0.563173]","[-2.40395]","[298264]","[25309.4]","[0]","[2.07781]","[0.814417]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[196.224]",29214.3,"[5658.14,5432.17,4685.92,1714.87]","[]","[2095.02]","[]"
98,284500,8343536,361104,8430.53,8579.63,2.64338e+11,1.08735,1,1.00039,1,1,1.02661,1.00695,1,0,1,0,1,"[1]","[1]","[206415]","[-1.40923]","[-2.09043]","[447625]","[0.00492859]","[-1]","[13]","[0]","[0]","[-305.049]","[0.0205814]","[3.28278]",109553,-2.16748,1,"[73279.6]","[0.566958]","[2.99549]","[85822.9]","[0.995337]","[5]","[0]","[0.999597]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[348624]","[-1.37943]","[0.804843]","[736389]","[6698.46]","[0]","[5.56464]","[0.584065]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[18794.6]",12087,"[1234.15]","[]","[14658.1]","[]"
