event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
462,284500,34803,364169,1,1.198,4.06802e+06,0.351687,1,0.985263,1,1,0.980715,1.01646,1,0,1,0,1,"[1]","[1]","[242863]","[1.75727]","[-0.0126895]","[724840]","[0.0662537]","[-1]","[13]","[1]","[0]","[-676.432]","[-0.00237507]","[0.444386]",78426.5,-0.806769,3,"[391466,176913,87119.4]","[0.963743,-0.507763,-1.15955]","[1.90713,-2.46005,-2.1353]","[589834,202991,152928]","[0.995032,0.995604,0.99]","[5,0,0]","[0,0,0]","[0.872067,-0.945004,-0.562188]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[407454,264454]","[1.00448,-0.669953]","[1.96276,-2.32944]","[635155,348451]","[73535,122905]","[0,0]","[1.90294,1.24134]","[0.623468,0.740082]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[16431.9]",11302.1,"[5429.04,6152.09,6383.17]","[]","[1174.53,9375.78]","[]"
2405,284500,2960,364169,1,1.198,4.06802e+06,1.26205,1,0.999961,1,1,0.994415,0.986727,1,0,1,0,1,"[1]","[1]","[32226]","[2.13318]","[-3.02756]","[137929]","[-0.0568458]","[-1]","[13]","[1]","[0]","[-4.09431]","[-0.0105732]","[1.16803]",60527.9,0.76033,7,"[357902,313840,136522,126154,115493,95699.1,36794.7]","[0.750642,-2.37299,1.14409,-0.200105,0.691184,-0.78516,-0.552473]","[-2.38572,0.369693,-2.90857,0.697672,-3.03536,0.940583,0.217634]","[465378,1.69878e+06,237016,130024,145095,127519,42936.9]","[0.990951,0.987483,0.992146,0.997541,0.991512,0.995001,0.995841]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[-0.841379,-0.324164,-0.916591,-0.792122,-0.937791,-0.926158,-0.689028]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[576343]","[0.861375]","[-2.60762]","[831096]","[211593]","[0]","[1.23373]","[0.589939]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[374.39]",4849.15,"[7525.46,9263.11,2976.5,5231,2450.32,9130.9,2512.63]","[]","[44143.9]","[]"
5702,284500,7918,364169,1,1.198,4.06802e+06,1.32095,1,0.992387,1,1,0.955131,0.999478,1,0,1,0,1,"[1]","[1]","[114525]","[-1.24056]","[1.40304]","[214549]","[0.00574493]","[1]","[13]","[1]","[0]","[-450.423]","[0.000832714]","[0.161202]",125730,0.292069,6,"[1.02081e+06,1.00021e+06,29010.5,25889.4,23097.4,21327.6]","[-0.477169,0.879538,0.257441,-0.131801,-0.997965,-2.02088]","[2.66308,-0.707865,-0.34267,3.09599,0.981204,1.8447]","[1.14556e+06,1.41386e+06,30193.1,26388.2,35767.4,81924]","[1,0.935781,0.995934,0.943673,0.999334,0.969254]","[0,4,0,0,0,0]","[0,0,0,0,0,0]","[-0.177792,0.761121,-0.85423,-0.796336,-0.89722,-0.768278]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[1.07257e+06,924452]","[-0.431618,0.92169]","[2.65905,-0.709413]","[1.1805e+06,1.34594e+06]","[123392,24759.1]","[0,0]","[1.76499,3.24271]","[0.740329,0.473706]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[10990.8]",4661.55,"[22651.6,15187.5,1974.52,1807.69,1645.2,1546.44]","[]","[62204.8,43049.1]","[]"
7845,284500,45198,364169,1,1.198,4.06802e+06,1.25133,1,0.988416,1,1,0.94382,1.01291,1,0,1,0,1,"[1]","[1]","[189732]","[1.75902]","[0.736938]","[567202]","[-0.0130768]","[-1]","[13]","[1]","[0]","[984.728]","[0.0201763]","[3.08699]",70638.1,1.05281,4,"[715429,524648,30418.3,23659]","[-1.40737,0.383115,-1.69124,-2.03615]","[-2.01278,1.31052,-1.03841,-2.62016]","[1.54942e+06,563957,85449.2,92232.5]","[0.998551,1,0.976859,0.98]","[0,4,0,0]","[0,0,0,0]","[0.468834,-0.186634,-0.587252,-0.7346]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[721059,514649]","[-1.38909,0.420533]","[-2.01028,1.31205]","[1.53662e+06,561134]","[42003.4,18437.9]","[0,0]","[3.90856,2.90405]","[0.516727,0.400984]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3604.71]",29574.1,"[39755.4,10196,2363.04,1705.12]","[]","[6600,18142.6]","[]"
8285,284500,42207,364169,1,1.198,4.06802e+06,1.32095,1,0.995851,1,1,0.988531,0.931394,1,0,1,0,1,"[1]","[1]","[85069.5]","[0.474898]","[2.26548]","[94844]","[0.0209808]","[1]","[13]","[1]","[0]","[2083.25]","[0.0163128]","[3.17486]",49304.9,1.739,4,"[815955,698960,29123.7,22566.3]","[-0.799962,0.613004,-1.10287,1.29961]","[-0.517766,2.6932,-1.19176,2.94511]","[1.09226e+06,835118,48967.2,44578.7]","[1,1,0.984321,0.981758]","[0,0,0,0]","[0,0,0,0]","[-0.953897,-0.898517,-0.9253,-0.448228]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[802206,682911]","[-0.788572,0.630861]","[-0.51196,2.69023]","[1.06528e+06,823774]","[30993.1,25693.2]","[0,0]","[2.33949,3.75265]","[0.434227,0.550502]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1078.16]",7098.38,"[11504,12018.2,2127.78,1625.17]","[]","[123.812,54730.4]","[]"
9983,284500,57511,364169,1.30619,1.198,4.06802e+06,1.1961,1,0.997255,1,1,1.48383,0.880457,1,0,1,0,1,"[1]","[1]","[30575.6]","[-0.522617]","[-1.91611]","[34847.2]","[-0.00710678]","[-1]","[13]","[1]","[0]","[-86.243]","[-0.0020616]","[0.260511]",172660,-0.688837,3,"[584590,417199,108270]","[-0.351028,-0.840169,-1.34519]","[1.55868,-1.6354,-2.87634]","[621316,574614,222735]","[1,0.998213,0.999866]","[0,4,0]","[0,0,0]","[-0.81345,0.954898,0.526405]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[581581,418071]","[-0.375313,-0.858896]","[1.55935,-1.63293]","[623065,583326]","[7005.81,39416.4]","[0,0]","[90.4285,2.38518]","[0.231919,0.671901]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[215.887]",40.7188,"[13198.8,14793.3,3316.57]","[]","[554.5,9117.81]","[]"
10167,284500,61948,364169,1,1.198,4.06802e+06,0.75088,1,0.987628,1,1,0.95071,1.0074,1,0,1,0,1,"[1]","[1]","[25864.7]","[1.71779]","[2.75203]","[74382.5]","[0.0390968]","[1]","[13]","[1]","[0]","[541.368]","[-0.00356704]","[0.323009]",101452,-1.58991,8,"[292862,261742,211686,95985.6,82031.9,29393.7,29036.6,22035.3]","[0.134666,1.80004,-0.665291,-0.32604,0.30778,0.465673,-0.603999,1.09375]","[-2.98261,0.0658779,1.38583,-0.228994,-2.45737,1.69744,-2.25692,-1.20223]","[295776,813999,260508,101641,86413.7,33021.4,34746.9,36876.9]","[0.999766,0.993434,0.994877,1,0.988942,0.997156,0.995827,0.999349]","[0,4,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0]","[-0.911753,-0.35758,-0.964749,-0.943187,-0.875942,-0.193161,-0.878823,-0.738485]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[387638,260801]","[0.186543,1.80131]","[-2.87786,0.0682109]","[405280,812003]","[93267.4,30391.3]","[0,0]","[1.0067,1.75794]","[0.479564,0.819079]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[103.939]",12254.6,"[10160.9,4439.82,8413.13,2184.96,4734.33,2507.71,1836.19,2023.29]","[]","[16599.6,8806.17]","[]"
10759,284500,63803,364169,1.01272,1.198,4.06802e+06,0.351687,1,0.997112,1,1,0.992011,0.921506,1,0,1,0,2,"[1,0]","[1,0]","[60710.1,7131.37]","[0.923888,1.54953]","[-2.32129,1.93617]","[88516.6,17548.8]","[-0.0133743,6.17723]","[1,1]","[13,11]","[1,0]","[0,1511.86]","[-1601.33,1527.79]","[-0.00385501,0.0302045]","[0.586208,0.498145]",236484,-2.65755,8,"[812342,379734,351016,94880.5,90023.5,56553.5,48205.1,41896.6]","[0.933984,-0.0546133,0.550782,0.683268,0.376807,0.600308,-0.183252,1.19414]","[0.547703,-2.34355,-2.62523,1.23013,0.715646,0.0856276,3.09418,-0.0324859]","[1.19927e+06,388911,406317,118583,97278.8,68063.9,50128.3,75886.4]","[0.997744,0.995628,0.990785,0.990255,0.996415,0.994767,0.999861,1]","[0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0]","[-0.593283,-0.790713,-0.872367,0.387922,-0.682373,-0.863389,-0.881851,-0.880193]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[976158,698745]","[0.902348,0.265348]","[0.625519,-2.4902]","[1.42998e+06,771657]","[285069,268363]","[0,0]","[1.84451,0.965553]","[0.542899,0.461875]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[218.956,284.878]",2260.28,"[12211.7,7370.59,6799.87,4651.29,3103.49,3591.85,2515.38,3594.29]","[]","[36163.9,1583.25]","[]"
11451,284500,180721,364169,1,1.198,4.06802e+06,0.596562,1,0.998003,1,1,0.974771,0.873044,1,0,1,0,1,"[1]","[1]","[54859]","[-0.849853]","[-0.917926]","[75891.5]","[0.0487289]","[-1]","[13]","[1]","[0]","[-762.299]","[-0.0074546]","[1.09992]",49783.4,-2.06329,8,"[274811,271117,179153,161032,108447,28681.6,25569.1,24530.4]","[1.29781,-1.70545,1.06648,-2.24434,2.03726,-1.54021,-0.376399,1.54764]","[0.819384,-2.08892,-1.45148,2.21622,1.11085,1.39583,2.24569,1.50289]","[541754,770940,291741,768213,423246,70224.1,27811.6,60539.1]","[1,0.997544,0.999916,1,0.998983,0.802517,0.90197,0.862644]","[0,0,0,0,0,0,4,0]","[0,0,0,0,0,0,0,0]","[0.57686,-0.73052,0.36395,0.107492,-0.917984,-0.736656,-0.866774,0.0509283]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[356435,263549]","[1.53748,-1.70124]","[0.883457,-2.0931]","[878448,746299]","[138105,7312.85]","[0,0]","[1.27261,0]","[0.72471,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[252.858]",270.809,"[4067.37,9590.46,4179.89,3665.17,8250.27,3056.61,1208.05,1749.88]","[]","[15235.2,15938.9]","[]"
11938,284500,62872,364169,1,1.198,4.06802e+06,0.934886,1,1.0012,1,1,0.991752,1.02229,1,0,1,0,1,"[1]","[1]","[73547.4]","[-1.59077]","[0.351644]","[187962]","[-0.00523186]","[-1]","[13]","[1]","[0]","[2988]","[-0.0143042]","[1.9762]",428586,2.30647,5,"[1.13548e+06,353390,215944,213063,21985]","[0.213644,-0.161639,-1.47894,0.353215,-0.307688]","[-0.934852,1.78851,2.51673,2.63681,2.65786]","[1.16216e+06,358598,498528,227140,23428.8]","[1,1,0.991004,1,0.629995]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.878625,-0.312935,-0.937337,-0.91532,-0.741213]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[1.26584e+06,525464]","[0.21692,0.0364108]","[-0.936328,2.08703]","[1.29589e+06,597274]","[19636.7,283300]","[0,0]","[1.78539,0.333451]","[-1,0.727231]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[413.055]",6280.44,"[32550,11141.4,3772.34,4671.99,1651.12]","[]","[25378.1,6148.59]","[]"
