event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
55,284500,67705,364163,1,96.2332,5.26081e+06,0,1,0.985198,1,1,0.961175,1.00372,1,0,1,0,1,"[1]","[1]","[213081]","[-1.64949]","[0.759858]","[574942]","[-0.00598907]","[1]","[13]","[1]","[0]","[416.814]","[-0.000328877]","[0.0553243]",71858.7,0.950572,1,"[281490]","[-0.959924]","[-2.29894]","[422975]","[0.999619]","[4]","[0]","[-0.841978]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[267192]","[-0.951118]","[-2.31373]","[398464]","[28588.9]","[0]","[1.70716]","[0.710581]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[12235.2]",81.1641,"[2822.71]","[]","[5274.28]","[]"
68,284500,17925,364163,-1,96.2332,5.26081e+06,1.25133,1,0.995851,1,1,0.952963,0.778754,1,0,1,0,1,"[1]","[1]","[263144]","[0.664103]","[2.2822]","[323335]","[0.0122418]","[1]","[13]","[1]","[0]","[2458.9]","[0.00413837]","[0.913378]",32828.4,2.30323,2,"[261564,23392]","[0.372738,0.691319]","[-0.864532,-1.8595]","[280504,29716.3]","[0.991201,0.987184]","[4,0]","[0,0]","[-0.91629,-0.749299]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[263929]","[0.37485]","[-0.862898]","[283313]","[18782.7]","[0]","[2.49578]","[0.341382]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[21002.8]",1573.1,"[3516.37,1964.56]","[]","[11173.1]","[]"
87,284500,145753,364163,1,96.2332,5.26081e+06,1.1961,1,0.996506,1,1,0.954352,1.02398,1,0,1,0,1,"[1]","[1]","[96268.1]","[-0.846906]","[0.275237]","[132906]","[0.0738125]","[1]","[13]","[1]","[0]","[489.165]","[-0.00873158]","[1.48733]",157658,0.124556,1,"[242870]","[-1.81959]","[-2.91038]","[768990]","[0.998401]","[4]","[0]","[0.787722]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[250731]","[-1.82325]","[-2.90736]","[796594]","[11764.6]","[0]","[2.95894]","[0.788794]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[222.059]",24794.9,"[5100.01]","[]","[0]","[]"
91,284500,138522,364163,-1,96.2332,5.26081e+06,1.26205,1,0.997162,1,1,0.962604,0.969817,1,0,1,0,1,"[1]","[1]","[93480.2]","[-2.37239]","[-1.0042]","[505555]","[0.0886307]","[1]","[13]","[1]","[0]","[-794.168]","[0.00426879]","[0.619497]",143118,-0.265325,1,"[225919]","[-0.934385]","[2.5676]","[332555]","[0.997376]","[4]","[0]","[0.653721]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[256557]","[-0.911161]","[2.56806]","[371050]","[17632.6]","[0]","[1.35758]","[0.522699]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2834.42]",4892.66,"[6146.63]","[]","[910.672]","[]"
94,284500,149814,364163,-1,96.2332,5.26081e+06,0.738662,1,0.993432,1,1,0.953645,0.978959,1,0,1,0,1,"[1]","[1]","[207943]","[-0.548373]","[-2.27502]","[240000]","[-0.0365133]","[-1]","[13]","[1]","[0]","[864.212]","[0.00976981]","[1.87843]",120001,2.7424,3,"[244200,36870.2,24288.2]","[-0.227568,-0.570165,2.08128]","[0.725699,1.00615,-0.40212]","[252015,43411.2,98979.7]","[1,1,0.986585]","[4,0,0]","[0,0,0]","[-0.036662,-0.0601339,-0.87544]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[285532]","[-0.281712]","[0.763256]","[300618]","[46893.3]","[0]","[2.1402]","[0.545398]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[35085.9]",21782.7,"[8799.58,2752.97,4225.29]","[]","[2203.12]","[]"
112,284500,152939,364163,1,96.2332,5.26081e+06,1.1961,1,1.00078,1,1,0.956818,1.002,1,0,1,0,1,"[1]","[1]","[178060]","[-1.16812]","[-0.24275]","[314000]","[0.0463123]","[1]","[13]","[1]","[0]","[-468.876]","[0.0213822]","[4.63314]",74980.3,-0.0647285,1,"[250056]","[-0.154044]","[2.95228]","[253091]","[0.965588]","[4]","[0]","[0.270304]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[258133]","[-0.144283]","[2.95258]","[260935]","[7594.08]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4130.38]",2344.25,"[3177.43]","[]","[6387.64]","[]"
126,284500,164388,364163,1,96.2332,5.26081e+06,1.21412,1,0.990487,1,1,1.22651,0.99077,1,0,1,0,1,"[1]","[1]","[27723]","[1.93258]","[-0.192264]","[97752.8]","[-0.0200081]","[1]","[13]","[1]","[0]","[-132.278]","[-0.0303785]","[2.1559]",67440.4,-1.79078,3,"[270732,243099,22245.4]","[-1.39025,0.0741793,2.24226]","[-1.76511,1.30857,2.28634]","[577656,244897,105965]","[1,1,1]","[0,0,4]","[0,0,0]","[-0.915067,-0.834459,0.939104]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[274485]","[-1.38425]","[-1.75834]","[582376]","[12901.6]","[0]","[2.66694]","[0.6591]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[175.151]",3116.96,"[3848.65,10688.1,3176.89]","[]","[17745.3]","[]"
178,284500,509258,364163,1,96.2332,5.26081e+06,1.21412,1,0.996682,1,1,0.958707,0.941994,1,0,1,0,1,"[1]","[1]","[132228]","[0.73185]","[1.71443]","[169248]","[0.123077]","[-1]","[13]","[1]","[0]","[711.566]","[0.0101082]","[1.70021]",179421,1.65537,1,"[289945]","[1.9113]","[-1.46471]","[1.00307e+06]","[0.999862]","[4]","[0]","[-0.689754]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[290280]","[1.90296]","[-1.46442]","[996235]","[51436]","[0]","[1.38942]","[0.695771]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2030.02]",12444.8,"[10664.2]","[]","[130.719]","[]"
198,284500,565669,364163,-1,96.2332,5.26081e+06,0.187531,1,0.993397,1,1,0.959785,0.972345,1,0,1,0,1,"[1]","[1]","[245327]","[-0.236614]","[-2.57079]","[252226]","[-0.0297737]","[-1]","[13]","[1]","[0]","[1195.96]","[0.0188994]","[3.81439]",35017,-2.84583,1,"[278460]","[0.614765]","[0.494274]","[333301]","[0.975351]","[4]","[0]","[-0.219155]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[289294]","[0.625919]","[0.496982]","[348523]","[21858.9]","[0]","[1.55515]","[0.449939]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[29782.9]",30210.4,"[9719]","[]","[6320.53]","[]"
251,284500,428118,364163,-1,96.2332,5.26081e+06,1.25133,1,0.995737,1,1,0.999675,0.922077,1,0,1,0,1,"[1]","[1]","[144027]","[-0.115847]","[-0.223677]","[144995]","[0.0171824]","[-1]","[13]","[1]","[0]","[98.1735]","[0.0117639]","[2.14421]",131767,-0.394858,1,"[285538]","[0.679255]","[2.82114]","[354313]","[0.94373]","[0]","[0]","[-0.896986]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[276841]","[0.681245]","[2.82239]","[344043]","[17354.5]","[0]","[3.07495]","[0.618858]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2844.92]",17949.2,"[4320.93]","[]","[26492.2]","[]"
256,284500,1368716,364163,-1,96.2332,5.26081e+06,1.21412,1,0.995469,1,1,0.959464,0.799462,1,0,1,0,1,"[1]","[1]","[95622.6]","[0.530437]","[0.771689]","[109393]","[0.0471776]","[-1]","[13]","[1]","[0]","[-1112.14]","[0.00174883]","[0.203878]",203454,0.126122,1,"[296739]","[1.89723]","[-2.61532]","[1.01175e+06]","[0.998709]","[4]","[0]","[-0.575745]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[308358]","[1.89674]","[-2.61991]","[1.05084e+06]","[22233.2]","[0]","[2.27341]","[0.547794]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[421.857]",12136.8,"[12282.2]","[]","[17609.7]","[]"
265,284500,616122,364163,1,96.2332,5.26081e+06,0.553627,1,0.997069,1,1,0.985359,1.00315,1,0,1,0,1,"[1]","[1]","[50931.7]","[0.900254]","[2.36614]","[73002.8]","[-0.000829697]","[-1]","[13]","[1]","[0]","[-122.68]","[0.0170438]","[2.64145]",226608,2.02015,2,"[264512,22957.1]","[0.404145,-1.67022]","[-1.14496,0.79678]","[288162,63219.9]","[0.993063,0.999377]","[0,4]","[0,0]","[-0.822121,-0.912182]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[255538]","[0.414694]","[-1.14119]","[280375]","[37713.6]","[0]","[1.57848]","[0.557277]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[101.755]",10180.2,"[9794.49,2629.8]","[]","[0]","[]"
268,284500,440912,364163,-1,96.2332,5.26081e+06,0.75088,1,0.996099,1,1,0.954314,1.02451,1,0,1,0,1,"[1]","[1]","[229254]","[-0.448395]","[-1.56743]","[252689]","[0.0250168]","[-1]","[13]","[1]","[0]","[-361.759]","[0.00146172]","[0.309428]",21794.8,-1.20973,3,"[269214,30322.9,26091.1]","[0.100075,2.38121,0.946085]","[1.66087,-1.90237,0.282083]","[271063,165471,39007]","[0.995847,0.999148,0.990268]","[4,0,0]","[0,0,0]","[0.239458,-0.736306,-0.394232]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[275300]","[0.126524]","[1.6653]","[277919]","[15128.1]","[0]","[0.789936]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[20300.7]",7789.51,"[5273.68,2148.79,2060.86]","[]","[5931.25]","[]"
272,284500,1357307,364163,-1,96.2332,5.26081e+06,0.75088,1,0.986328,1,1,0.957995,0.961178,1,0,1,0,1,"[1]","[1]","[186789]","[1.61139]","[-2.68283]","[486529]","[-0.00893402]","[1]","[13]","[1]","[0]","[414.114]","[0.00177125]","[0.333565]",117423,-1.35689,2,"[227679,27946.6]","[1.5101,0.908037]","[0.857559,0.607038]","[540899,40450.8]","[0.990647,0.999723]","[4,0]","[0,0]","[-0.500011,-0.761557]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[282098]","[1.47278]","[0.757616]","[652025]","[76645.1]","[0]","[1.83996]","[0.554659]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[8470.98]",3630.12,"[11162.2,3505.66]","[]","[12789.8]","[]"
311,284500,459981,364163,1,96.2332,5.26081e+06,0.738662,1,0.998852,1,1,0.999642,1.05401,1,0,1,0,1,"[1]","[1]","[151055]","[-0.851071]","[-0.118948]","[209144]","[0.00921631]","[1]","[13]","[1]","[0]","[-929.389]","[-0.000684115]","[0.131576]",120344,-0.763336,1,"[258394]","[-0.491268]","[2.80999]","[291245]","[0.962554]","[0]","[0]","[0.111649]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[261414]","[-0.46087]","[2.80269]","[290816]","[25772.7]","[0]","[2.08279]","[0.723975]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[947.516]",9242.09,"[10473.6]","[]","[8053.61]","[]"
312,284500,470890,364163,1,96.2332,5.26081e+06,0.00220911,1,0.999167,1,1,0.997733,0.888024,1,0,1,0,1,"[1]","[1]","[111431]","[-1.37856]","[-1.49028]","[235183]","[0.0377893]","[1]","[13]","[1]","[0]","[0]","[-0.0113781]","[1.98351]",86779.3,-1.14551,2,"[223050,33701]","[1.11292,-2.08891]","[1.81415,-1.27396]","[376246,138283]","[0.640382,0.989246]","[0,0]","[0,0]","[-0.635968,-0.671319]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[250147]","[1.11383]","[1.81816]","[422366]","[16661.6]","[0]","[3.94581]","[0.70545]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3513.35]",3850.86,"[4292.19,2377.33]","[]","[11768.4]","[]"
317,284500,621824,364163,1,96.2332,5.26081e+06,0.934886,1,1.00191,1,1,0.999209,0.954216,1,0,1,0,1,"[1]","[1]","[208321]","[0.388783]","[-2.10401]","[224264]","[-0.00349426]","[1]","[13]","[1]","[0]","[-341.894]","[0.0227367]","[3.55863]",56351.2,-1.67865,1,"[259705]","[1.83464]","[1.09272]","[834094]","[0.99861]","[0]","[0]","[-0.853933]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[268439]","[1.84129]","[1.08999]","[867665]","[17071]","[0]","[6.0842]","[0.508731]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[29229.6]",15999.4,"[5536.99]","[]","[8995.16]","[]"
318,284500,1360575,364163,-1,96.2332,5.26081e+06,0.738662,1,0.988342,1,1,0.998408,0.9887,1,0,1,0,1,"[1]","[1]","[106855]","[-1.72664]","[-0.279538]","[309860]","[-0.0195389]","[1]","[13]","[1]","[0]","[582.346]","[-0.00497121]","[0.744521]",177923,-0.296825,2,"[198233,99338.4]","[0.00290237,0.172447]","[3.03826,2.51571]","[199667,102175]","[0.998627,0.990344]","[0,0]","[0,0]","[-0.960016,-0.701162]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[250514]","[0.0563904]","[2.90819]","[259355]","[65638.8]","[0]","[1.13062]","[0.471452]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6256.96]",1066.98,"[2425.55,2827.61]","[]","[0]","[]"
340,284500,471544,364163,1,96.2332,5.26081e+06,1.74563,1,1.00297,1,1,0.998036,0.994745,1,0,1,0,1,"[1]","[1]","[104832]","[-2.06685]","[2.72138]","[420717]","[0.0107498]","[-1]","[13]","[1]","[0]","[-346.19]","[-0.00761364]","[1.17387]",208824,2.40407,2,"[286251,24469.2]","[0.234858,-1.40679]","[-0.637724,-1.69769]","[295043,53207.5]","[0.968691,0.909144]","[0,0]","[0,0]","[-0.860469,-0.495944]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[283142]","[0.251906]","[-0.628179]","[292733]","[18098.7]","[0]","[2.21767]","[0.166425]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2405.84]",8876.03,"[8399.79,3693.75]","[]","[120.688]","[]"
362,284500,589159,364163,1,96.2332,5.26081e+06,1.1961,1,0.998362,1,1,0.957488,0.956342,1,0,1,0,1,"[1]","[1]","[182534]","[-0.810357]","[-3.07656]","[245819]","[-0.0202332]","[-1]","[13]","[1]","[1007.41]","[87.3447]","[-0.0151647]","[3.39117]",75776,2.92118,1,"[252333]","[0.00530848]","[-0.0539938]","[253256]","[0.992173]","[4]","[0]","[-0.923452]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[254060]","[0.0362507]","[-0.0546147]","[255496]","[25433.9]","[0]","[2.40279]","[0.649028]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[525.382]",65.4453,"[2181.27]","[]","[0]","[]"
363,284500,186734,364163,1,96.2332,5.26081e+06,1.32095,1,0.998593,1,1,0.962379,0.995813,1,0,1,0,1,"[1]","[1]","[141870]","[-1.30767]","[1.99036]","[281470]","[0.00114059]","[-1]","[13]","[1]","[0]","[-598.861]","[0.00042639]","[0.0770474]",85531.1,2.57369,1,"[220651]","[-0.81075]","[-0.921193]","[297990]","[0.997341]","[4]","[0]","[-0.839317]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[261781]","[-0.888368]","[-0.923353]","[373292]","[30373.1]","[0]","[1.92234]","[0.717551]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[494.652]",3243.55,"[3948.12]","[]","[13137.6]","[]"
406,284500,2925724,364163,1,96.2332,5.26081e+06,1.26459,1,0.995637,1,1,0.957664,0.965084,1,0,1,0,1,"[1]","[1]","[216751]","[0.433291]","[-3.02756]","[237418]","[0.0229158]","[1]","[13]","[1]","[0]","[-666.92]","[-0.00923682]","[2.12901]",65306.3,-2.91568,2,"[270413,20090]","[-1.23848,-2.44018]","[0.013598,1.76198]","[506314,116213]","[0.995045,0]","[4,0]","[0,0]","[-0.868486,-0.834511]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[272378]","[-1.23944]","[0.0124568]","[510266]","[22134.4]","[0]","[1.83275]","[0.691346]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3435.1]",4916.78,"[5179.11,1725.35]","[]","[570.688]","[]"
