event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
18,284500,2927701,361100,11457.8,11500.5,4.2822e+11,0.738662,0.93652,1,1,1,0.999423,0.94568,1,1,0,0,1,"[1]","[1]","[37629.1]","[-1.1366]","[2.27683]","[64666.8]","[-0.0072403]","[1]","[11]","[1]","[0]","[641.697]","[-0.0164084]","[1.6262]",263376,1.47675,1,"[292881]","[0.0791848]","[-1.40879]","[294240]","[0.317106]","[0]","[0]","[-0.797106]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[287626]","[0.0467306]","[-1.411]","[290359]","[37403]","[0]","[8.30867]","[0.637853]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[77.9709]",7544.16,"[8904.8]","[]","[15460.6]","[]"
21,284500,3013021,361100,11459.8,11500.5,4.2822e+11,1.08735,0.95098,1,1,1,0.997583,0.94612,1,1,0,0,1,"[1]","[1]","[29819.3]","[0.600084]","[-2.40492]","[35351.4]","[0.00876999]","[1]","[11]","[1]","[0]","[632.988]","[-0.00307216]","[0.178838]",342488,-1.55584,2,"[346785,26955.5]","[0.835891,-1.37872]","[1.47207,1.79269]","[475566,57254.4]","[0.994674,0.992158]","[0,0]","[0,0]","[-0.92724,-0.889615]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[348199]","[0.852194]","[1.47573]","[482869]","[19490.4]","[0]","[1.5846]","[0.54627]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[60.8139]",10842.3,"[4396.34,2597.18]","[]","[1743.06]","[]"
32,284500,2119356,361100,11455.5,11500.5,4.2822e+11,0.934886,0.98458,1,1,1,0.996722,1.00582,1,1,0,0,1,"[1]","[1]","[82162.2]","[-0.509161]","[2.74381]","[93044.4]","[-0.0246124]","[1]","[11]","[1]","[0]","[-750.617]","[0.0202258]","[2.73455]",138102,2.74251,3,"[347642,193665,23265.5]","[-0.593549,1.16565,1.63962]","[0.3057,-2.24322,-2.34923]","[411637,341598,62366]","[0.995161,0.991535,1]","[0,0,0]","[0,0,0]","[-0.51782,-0.736874,-0.899761]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[349808]","[-0.625312]","[0.300554]","[421063]","[22612.5]","[0]","[0.880546]","[0.350952]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[664.629]",9736.72,"[14577.5,5651.57,1816.28]","[]","[15073.6]","[]"
38,284500,2152890,361100,11444,11500.5,4.2822e+11,0.596562,1,1,1,1,0.998892,1,1,1,0,0,1,"[1]","[1]","[201023]","[1.63662]","[2.8489]","[535969]","[-0.00268936]","[1]","[11]","[0]","[1819.09]","[-47.9584]","[0.0288593]","[3.99887]",163179,2.74212,1,"[366187]","[1.36311]","[-0.347734]","[762773]","[1]","[0]","[0]","[-0.906204]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[366814]","[1.34532]","[-0.347325]","[752269]","[22206.9]","[0]","[2.04353]","[0.569273]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4441.24]",19063.1,"[19714]","[]","[18160.2]","[]"
41,284500,2206904,361100,11458.4,11500.5,4.2822e+11,1.55465,0.99242,1,1,1,0.998019,0.99765,1,1,0,0,1,"[1]","[1]","[193314]","[0.745272]","[-0.373117]","[249531]","[0.0133429]","[1]","[11]","[1]","[0]","[970.684]","[-0.0143946]","[1.34532]",172484,-0.122,3,"[350285,237415,22703.7]","[0.0556512,-0.593014,0.981382]","[2.24793,-1.96395,1.89388]","[352295,281234,34715.8]","[0.999764,1,1]","[0,0,0]","[0,0,0]","[-0.934235,-0.890302,-0.534482]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[341324]","[0.0548072]","[2.25603]","[342837]","[26171.7]","[0]","[1.75029]","[0.0967474]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1240.38]",2757.5,"[4669.12,3735.78,2692.79]","[]","[15638.9]","[]"
47,284500,2142847,361100,11443.2,11500.5,4.2822e+11,0.00279311,0.96679,1,1,1,0.998718,0.96793,1,1,0,0,1,"[1]","[1]","[44787.1]","[-1.12296]","[-2.48544]","[76121.7]","[0.0463486]","[1]","[11]","[1]","[0]","[-273.118]","[0.00165961]","[0.139328]",281979,-2.21668,3,"[325691,84843.5,30711]","[-1.36739,0.485209,0.288279]","[0.627942,2.77907,2.01165]","[680842,95407.7,32381.9]","[0.996692,0.999058,0.999506]","[0,0,0]","[0,0,0]","[0.579721,-0.876871,-0.619556]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[325053]","[-1.36582]","[0.628028]","[678526]","[12942.4]","[0]","[3.81328]","[0.424511]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[254.013]",11468.8,"[10907.4,2639.34,3856.17]","[]","[1406.38]","[]"
59,284500,2220996,361100,11462.7,11500.5,4.2822e+11,1.08735,0.96972,1,1,1,0.999281,0.99544,1,1,0,0,1,"[1]","[1]","[204500]","[1.26126]","[-2.38636]","[389895]","[0.0518494]","[1]","[11]","[1]","[0]","[-538.089]","[-0.0254468]","[2.07982]",43143,-1.40129,2,"[185854,52448.9]","[0.930707,1.18143]","[0.990681,0.538014]","[272793,93762.4]","[0.993484,0.998253]","[0,0]","[0,0]","[-0.937769,-0.934367]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[257568]","[0.958976]","[0.908962]","[389238]","[54800.2]","[0]","[1.56325]","[0.687133]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2398.34]",2897.82,"[4319.93,2270.97]","[]","[14131.7]","[]"
87,284500,2440121,361100,11453.6,11500.5,4.2822e+11,1.08735,0.97166,1,1,1,0.999115,1.0005,1,1,0,0,1,"[1]","[1]","[102075]","[2.14967]","[-0.052774]","[443954]","[-0.0275421]","[1]","[11]","[1]","[0]","[1238.38]","[-0.00974941]","[1.01168]",208416,0.569323,1,"[297530]","[1.40344]","[-2.7557]","[644361]","[0.992877]","[0]","[0]","[-0.772835]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[277311]","[1.42178]","[-2.76033]","[611206]","[61414]","[0]","[1.27963]","[0.657403]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[900.28]",4164.16,"[5982.99]","[]","[16190.4]","[]"
89,284500,2422701,361100,11464.5,11500.5,4.2822e+11,1.74563,0.97828,1,1,1,0.997489,1.0005,1,1,0,0,1,"[1]","[1]","[155092]","[2.31803]","[0.470714]","[795166]","[0.0855045]","[1]","[11]","[1]","[0]","[-626.006]","[0.00538458]","[0.404206]",160833,0.141187,4,"[223135,60983.4,29906,26447.6]","[-0.314834,-0.895742,0.00422135,-1.50913]","[-2.6327,2.94895,-2.33763,2.60048]","[237972,87938.7,30156.1,62949.9]","[0.984907,0.99,0.991388,0.992043]","[0,0,0,0]","[0,0,0,0]","[-0.942734,-0.915208,-0.886886,-0.7791]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[251894]","[-0.333317]","[-2.64931]","[296443]","[130818]","[0]","[1.87462]","[0.599544]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1534.89]",1702.02,"[2528.91,2334.87,1816.28,1880.08]","[]","[0]","[]"
94,284500,2498937,361100,11458.1,11500.5,4.2822e+11,0.402058,0.99211,1,1,1,0.995686,0.9918,1,1,0,0,1,"[1]","[1]","[321825]","[-0.756792]","[0.472025]","[418468]","[-0.0366898]","[1]","[11]","[1]","[0]","[2018.69]","[0.0193807]","[1.17794]",201019,2.52137,5,"[163619,52611.2,49623.1,26710.8,21767.6]","[2.01416,1.71344,-0.932647,1.51785,-1.91689]","[-1.69083,-2.07678,-2.94822,-1.64876,-2.6317]","[624626,150862,73823.2,64032.7,75709.2]","[1,0.932114,0.881776,0.900949,0.9969]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.92479,-0.84627,-0.840254,-0.517473,-0.776014]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[314205]","[-0.797279]","[0.463856]","[419471]","[0.00552427]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2348.69]",5115.88,"[5434.23,2428.02,2846.29,2192.14,5281.61]","[]","[5887.44]","[]"
