event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
39,284500,4643684,363358,0.0682081,3.4328,217831,0.738662,0.97538,1,1,1,0.972126,1.01508,1,1,0,0,1,"[0]","[1]","[112148]","[-1.79852]","[2.94157]","[348010]","[-0.0732079]","[-1]","[11]","[1]","[0]","[-634.473]","[-0.00286795]","[0.213601]",46108.6,-1.61269,4,"[125211,117839,61025.2,38822.2]","[1.56095,-1.01799,-0.0889825,0.577583]","[-0.0864709,3.07496,-0.131416,0.18458]","[311729,184520,61999.9,45743.3]","[0.993791,0.992999,0.994161,0.985493]","[0,0,0,4]","[0,0,0,1]","[-0.868735,-0.987772,-0.910501,-0.564463]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[250957]","[-1.48938]","[3.00619]","[593984]","[104546]","[1]","[0.131165]","[0.0869467]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1330.03]",384.305,"[8781.81,2616.57,4235.02,2527.5]","[]","[0]","[]"
93,284500,4671420,363358,0.0499711,3.4328,217831,1.25133,0.953029,1,1,1,0.971878,1.00121,1,1,0,0,2,"[0,0]","[1,1]","[224673,63059]","[-1.83866,-2.13057]","[-1.52146,-0.854735]","[724250,269213]","[0.0175629,0.12862]","[-1,1]","[11,11]","[1,1]","[0,0]","[1136.48,-497.457]","[0.00492203,0.00346859]","[0.291402,0.23913]",11527.4,2.27544,2,"[233076,41931.2]","[0.574645,0.592374]","[1.68686,2.38594]","[274078,49852.3]","[0.995245,0.995402]","[0,4]","[0,1]","[-0.654954,0.369739]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[302668,250904]","[-1.95614,0.577039]","[-1.37976,1.7655]","[1.09559e+06,306720]","[93020.6,87922.5]","[1,1]","[0.0924047,1.5816]","[0.234469,0.272356]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2393.35,235.032]",1458.59,"[4476.29,2048.14]","[]","[1038.31,0]","[]"
235,284500,5107444,363358,0.0799115,3.4328,217831,0.738662,0.908712,1,1,1,0.996131,0.94369,1,1,0,0,2,"[0,0]","[1,0]","[43676,35067]","[-1.30204,-0.737909]","[-0.719679,2.15633]","[86233.4,45055.3]","[0.0475807,0.0563316]","[1,-1]","[11,11]","[1,0]","[1302.36,0]","[-645.865,-51.9221]","[-0.023716,0.15932]","[1.28423,1.97187]",37074.9,0.793551,4,"[401825,349321,124596,31069.3]","[0.166111,-1.76631,1.05062,-1.75545]","[1.10396,-2.29333,-1.25577,-3.0028]","[408603,1.05194e+06,200526,92720.9]","[0.997014,1,0.997912,0.995053]","[0,0,0,0]","[0,0,0,0]","[-0.574657,-0.916414,-0.219757,-0.838809]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[404455,377913]","[0.182551,-1.77363]","[1.10137,-2.34228]","[411696,1.14845e+06]","[19934.1,83108.3]","[0,1]","[2.92101,2.53309]","[0.0716632,0.519535]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[134.217,43.2144]",9045.62,"[4908.62,14445.1,6681.33,3208.13]","[]","[5134.94,11770.4]","[]"
325,284500,4660801,363358,0.0718781,3.4328,217831,1.26459,1,0.992356,1,1,0.996344,0.947963,1,0,1,0,2,"[0,0]","[1,1]","[136522,67246]","[-1.28371,-0.402617]","[-2.52968,-2.39524]","[265333,72770.5]","[-0.00950623,-0.113029]","[-1,1]","[13,13]","[1,1]","[0,0]","[493.059,-102.112]","[-0.00273863,-0.0134272]","[0.540231,1.81778]",27362.8,1.58853,4,"[189643,58893.3,46895.8,32715.2]","[-1.55896,-1.27548,1.41703,-1.82617]","[0.0690535,0.701586,2.43143,2.97747]","[470983,113999,102716,104516]","[1,0.989987,0.996038,0.98505]","[0,0,0,0]","[0,0,0,0]","[-0.919016,-0.905909,-0.74667,-0.884849]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[251355]","[-1.5116]","[0.22381]","[602156]","[74419]","[1]","[1.0364]","[0.86066]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2187.16,772.529]",2643.27,"[3982.28,5171.39,2633.95,4211.1]","[]","[0]","[]"
355,284500,5099199,363358,0.0682081,3.4328,217831,0.923924,0.89853,1,1,1,0.994494,0.98898,1,1,0,0,1,"[0]","[1]","[39301.2]","[-2.37432]","[2.77328]","[212950]","[-0.103215]","[1]","[11]","[1]","[0]","[313.335]","[-0.00299982]","[0.13109]",29295.4,1.68967,8,"[202777,162574,65599.2,50486.9,45043.9,34873.8,34327.9,20718.2]","[-2.0517,-1.93442,-1.4562,1.80486,0.111075,-1.08657,-0.969064,-0.763464]","[-1.26649,1.75278,-0.889138,1.62447,2.55403,-2.02558,-1.26305,1.19443]","[802097,574307,148594,157820,45886.3,57886.8,52074.8,27243.5]","[0.99,0.917039,0.990664,0.929825,1,0.987025,0.996585,0.989593]","[0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0]","[-0.924018,-0.884851,-0.433319,-0.867371,-0.807776,-0.753539,-0.928938,-0.722588]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[261098]","[-1.89769]","[-1.18528]","[899127]","[125017]","[0]","[1.14941]","[0.38281]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[255.33]",7369.47,"[5313.41,7829.31,3476.95,2208.49,1916.12,3163.28,3019.33,3052.31]","[]","[10807.5]","[]"
368,284500,5104600,363358,0.085,3.4328,217831,1.25133,1,0.996455,1,1,0.996729,0.893165,1,0,1,0,2,"[0,0]","[1,1]","[193514,137386]","[0.89599,1.37695]","[0.853765,0.583437]","[276528,289552]","[0.0375137,0.0216522]","[-1,1]","[13,13]","[1,1]","[1296.05,0]","[-340.564,-340.564]","[-0.00625754,0.00050804]","[1.49613,0.0905167]",33843.5,-2.79976,5,"[444852,64401.7,60243,59225.2,46854.9]","[-1.6074,1.84602,0.479224,0.933737,1.45648]","[-2.68262,0.728813,0.231766,-1.10796,-0.12202]","[1.15471e+06,209088,67443.1,87543.4,106367]","[0.995776,0.999061,0.988089,0.986141,0.925077]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.949206,-0.890569,-0.781278,-0.953765,-0.891415]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[435541]","[-1.62603]","[-2.68451]","[1.15004e+06]","[17408.2]","[0]","[0.0594052]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[814.049,6933.76]",6765.75,"[6172.67,2729.21,3810.63,2342.8,3992.06]","[]","[13567.7]","[]"
483,284500,4673063,363358,-0.0682081,3.4328,217831,1.24168,1,0.996432,1,1,0.990577,0.992733,1,0,1,0,1,"[0]","[1]","[63599.5]","[-2.15706]","[-2.97652]","[278608]","[0.0357361]","[1]","[13]","[1]","[0]","[1712.76]","[0.0235315]","[2.34384]",13862.1,-2.17917,6,"[226430,98894.7,77823,46014.3,22577.1,20424.7]","[0.604043,-0.547502,-2.10798,0.25322,0.675017,-0.684489]","[0.601335,-2.97913,-1.90842,-0.135947,-2.28329,2.80976]","[269322,114745,325094,47645.2,28336.5,25770.5]","[0.994517,0.991631,0.993186,0.996856,0.963997,0.955745]","[0,0,15,0,0,0]","[0,0,1,0,0,0]","[-0.86766,-0.546218,-0.355148,-0.825098,-0.795353,-0.8297]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[267497]","[0.609867]","[0.500517]","[330890]","[88610.5]","[1]","[0.985045]","[0.496252]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2285.83]",40032.8,"[9191.14,6242.54,2830.2,7309.75,1699.27,1210.6]","[]","[10983.2]","[]"
560,284500,4635376,363358,0.0682081,3.4328,217831,0.934886,0.97996,1,1,1,0.959133,1.01265,1,1,0,0,1,"[0]","[1]","[272347]","[1.79934]","[-0.00212927]","[845780]","[-0.0371246]","[-1]","[11]","[1]","[302357]","[2039.19]","[-0.0255539]","[2.92794]",30964.7,0.313004,5,"[369549,174596,64101.5,56975.3,27742.3]","[1.93355,-1.16077,-1.0945,1.46111,2.34516]","[2.90948,-2.25478,3.0392,-2.51996,0.995112]","[1.30455e+06,306515,106750,129662,146098]","[1,0.997211,0.990159,0.89,1]","[0,0,0,4,0]","[0,0,0,1,0]","[-0.900353,-0.9462,-0.94843,-0.92061,-0.731292]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[627721,377647]","[1.64414,1.89646]","[0.0249293,2.9753]","[1.68723e+06,1.28997e+06]","[79590.3,96884.3]","[1,1]","[0.121762,1.93905]","[0.600395,0.6739]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4875.47]",17656,"[13051.5,4738.27,3669.78,8042.64,2321.5]","[]","[22747.8,14019.9]","[]"
617,284500,4667316,363358,0.0682081,3.4328,217831,0.923924,0.962647,1,1,1,0.96091,0.98743,1,1,0,0,2,"[0,0]","[1,1]","[233857,80214.2]","[-0.0106056,-0.569762]","[-0.937576,-1.38461]","[233871,93590.2]","[0.0158768,0.0141449]","[-1,1]","[11,11]","[1,1]","[0,1053.55]","[517.699,-1814.85]","[0.0192054,0.0242464]","[2.39372,2.28866]",21357.7,0.48519,2,"[212134,105623]","[1.50082,1.14269]","[1.96675,2.4375]","[499819,182818]","[0.976075,0.995499]","[0,4]","[0,1]","[-0.922944,-0.0797591]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[313833,298395]","[-0.208961,1.37962]","[-1.04887,2.12464]","[337481,637306]","[105065,93789.4]","[1,1]","[0.00464173,0.8008]","[-1,0.731503]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2010.44,516.047]",239.225,"[5580.96,1581.78]","[]","[14996.9,2095.91]","[]"
618,284500,4667954,363358,0.111533,3.4328,217831,0.75088,1,0.995636,1,1,0.99432,0.984937,1,0,1,0,2,"[0,0]","[1,1]","[55181.3,50524.8]","[1.17381,2.36362]","[1.89823,-2.91046]","[97766.8,270901]","[-0.0542603,-0.057663]","[-1,1]","[13,13]","[1,1]","[0,0]","[-107.629,-334.375]","[0.0131612,-0.0246502]","[2.21304,2.39771]",40429.9,-1.77694,6,"[277670,161882,67665.7,37341,30119.4,29745]","[0.578321,-0.796729,1.6923,1.8596,0.268128,1.86501]","[1.21634,-2.02729,-1.8967,-0.658979,-1.33988,0.302329]","[326306,217072,190295,122952,31565.3,98427.2]","[0.995158,0.998791,0.998901,0.994669,0.999748,0.995289]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.505316,-0.731416,-0.968815,-0.573488,-0.881628,-0.841631]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[270364]","[0.556765]","[1.21665]","[314318]","[24491.3]","[0]","[2.16203]","[0.631804]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[195.023,463.465]",11302.4,"[4902.04,3933.49,2678.18,2631.07,5261.77,2799.57]","[]","[5225]","[]"
