event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
27,284500,436279,364190,1,197.371,6.16652e+06,1.25133,1.00588,1,1,1,0.998697,1.00306,1,1,0,0,1,"[0]","[1]","[245321]","[1.09457]","[1.44031]","[407550]","[0.0517616]","[-1]","[11]","[1]","[0]","[-1080.89]","[-0.0394684]","[5.59954]",24384.9,2.3204,2,"[192209,57164.8]","[-0.752902,1.14328]","[-1.44208,-2.5101]","[250193,99115.2]","[0.999791,0.719668]","[0,0]","[0,0]","[-0.965672,-0.881122]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[263257]","[1.11915]","[1.43752]","[446065]","[-0.00390625]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2731.65]",2242.69,"[6109.66,2291.37]","[]","[8803.12]","[]"
31,284500,432502,364190,-1,197.371,6.16652e+06,1.21412,1,0.985967,1,1,0.999667,0.980575,1,0,1,0,1,"[0]","[1]","[39355.7]","[1.9428]","[-2.15968]","[140137]","[-0.0318165]","[-1]","[13]","[0]","[1248.52]","[-203.97]","[0.0667751]","[7.81625]",237930,-2.13346,1,"[283364]","[1.19103]","[1.03581]","[509691]","[0.99738]","[0]","[0]","[-0.862855]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[268342]","[1.19888]","[1.03517]","[485759]","[18059.2]","[0]","[2.39932]","[0.735209]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[293.543]",15707.7,"[16131.4]","[]","[0]","[]"
45,284500,3007070,364190,1,197.371,6.16652e+06,1.22586,0.96988,1,1,1,0.997714,1.00441,1,1,0,0,1,"[0]","[1]","[68014.3]","[1.70911]","[-1.63062]","[194012]","[0.0559454]","[1]","[11]","[1]","[0]","[-44.9541]","[-0.195721]","[23.8325]",208198,-1.97661,2,"[283065,25837.5]","[1.38274,-1.2484]","[1.34187,0.356038]","[600146,49148.5]","[0.995344,0.796654]","[0,0]","[0,0]","[-0.982156,-0.904606]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[278027]","[1.38587]","[1.34505]","[591027]","[22800.2]","[0]","[2.13119]","[0.756301]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[755.153]",11325.7,"[15391.8,3237.42]","[]","[473.531]","[]"
60,284500,115510,364190,-1,197.371,6.16652e+06,0.696077,1,0.99447,1,1,0.999674,0.988703,1,0,1,0,1,"[0]","[1]","[51327.8]","[0.488266]","[-1.23989]","[57568.8]","[-0.0365734]","[-1]","[13]","[1]","[0]","[-692.024]","[0.00504513]","[0.759288]",230894,-1.4234,1,"[274193]","[0.975995]","[1.75706]","[415747]","[0.771832]","[0]","[0]","[-0.977411]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[276815]","[0.982887]","[1.7598]","[421661]","[3819.62]","[0]","[2.68631]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[538.193]",25899.9,"[10388.5]","[]","[6789.25]","[]"
71,284500,520440,364190,-1,197.371,6.16652e+06,0.187531,1,0.984321,1,1,0.999613,0.969051,1,0,1,0,1,"[0]","[1]","[40109.7]","[1.94518]","[2.49561]","[143148]","[-0.0525131]","[-1]","[13]","[1]","[1068.41]","[-348.76]","[-0.00353338]","[0.366841]",211760,2.47031,1,"[254811]","[0.426205]","[-0.641631]","[278749]","[0.996574]","[0]","[0]","[0.49152]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[261630]","[0.408605]","[-0.637559]","[283942]","[9723.22]","[0]","[1.66593]","[0.0980385]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[173.562]",12714.4,"[13011.8]","[]","[1539.52]","[]"
75,284500,192004,364190,-1,197.371,6.16652e+06,1.22586,0.98697,0.998091,1,1,0.999156,1.00582,1,1,0,0,2,"[0,0]","[1,0]","[173653,7544.88]","[-0.133489,0.540578]","[1.54191,-2.43614]","[175203,8675.03]","[-0.0144882,94.8983]","[1,1]","[11,13]","[1,1]","[0,0]","[194.162,-764.704]","[0.0226816,-0.0288055]","[3.60436,1.75572]",64682.7,1.76473,1,"[238272]","[-1.9096]","[-1.4965]","[822257]","[0.99082]","[0]","[0]","[-0.775246]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[254027]","[-1.90552]","[-1.50225]","[873727]","[40394.8]","[0]","[2.26286]","[0.738517]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1849.66,28.282]",3776.67,"[5364.2]","[]","[14282.9]","[]"
78,284500,438025,364190,1,197.371,6.16652e+06,1.24168,1,0.988738,1,1,0.997565,0.980417,1,0,1,0,1,"[0]","[1]","[30240.9]","[-1.60948]","[-2.3621]","[78629.7]","[-0.407708]","[-1]","[13]","[1]","[0]","[-332.164]","[-0.0286252]","[2.6598]",246451,2.96339,2,"[267002,24874.7]","[-1.32665,-1.67074]","[-0.0584855,-3.00462]","[538704,68587.1]","[0.992031,0.853303]","[0,0]","[0,0]","[-0.334804,-0.748704]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[263894]","[-1.32514]","[-0.0632601]","[531788]","[16009.9]","[0]","[3.95071]","[0.365187]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[52.1759]",862.172,"[5612.11,5570.51]","[]","[12381.1]","[]"
98,284500,19357,364190,-1,197.371,6.16652e+06,0.923924,0.97996,1,1,1,0.999625,1.01265,1,1,0,0,1,"[0]","[1]","[186332]","[1.64566]","[-2.84456]","[500981]","[0.075531]","[1]","[11]","[1]","[2485.58]","[-1268.19]","[-0.00224305]","[0.170413]",79897.8,-3.13819,1,"[259871]","[1.10811]","[0.235497]","[437275]","[0.996678]","[0]","[0]","[-0.739256]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[256924]","[1.07453]","[0.236719]","[420762]","[23927.6]","[0]","[2.01289]","[0.678308]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2724.6]",473.984,"[3583.12]","[]","[0]","[]"
106,284500,254676,364190,1,197.371,6.16652e+06,1.32095,0.97553,1,1,1,0.998888,1.01265,1,1,0,0,1,"[0]","[1]","[103125]","[1.68848]","[2.77801]","[288546]","[0.0895538]","[-1]","[11]","[1]","[0]","[-550.391]","[-0.0879211]","[7.88665]",168457,2.57652,2,"[261359,27464.2]","[0.412474,-0.527124]","[-0.37328,-1.92227]","[285748,31891.6]","[0.990187,0.918213]","[0,0]","[0,0]","[-0.781266,0.12224]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[256685]","[0.323922]","[-0.38275]","[271955]","[30233.7]","[0]","[1.70651]","[0.618243]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1399.39]",24132.3,"[4450.8,6303.98]","[]","[28566.3]","[]"
112,284500,1011466,364190,1,197.371,6.16652e+06,0.738662,0.96126,1,1,1,0.997766,0.96978,1,1,0,0,1,"[0]","[1]","[29084.7]","[0.618305]","[-0.560832]","[34823.6]","[-0.0458908]","[1]","[11]","[1]","[0]","[628.6]","[-0.00222999]","[0.193151]",233867,-0.637647,2,"[245217,28039]","[-0.0191444,2.07242]","[2.46943,-2.90665]","[246034,113332]","[1,0.858172]","[0,0]","[0,0]","[-0.929619,-0.854177]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[254797]","[-0.0560453]","[2.46788]","[255649]","[15192.9]","[0]","[2.14155]","[0.576263]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[118.676]",17475.3,"[8333.13,5160.06]","[]","[0]","[]"
