event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
7,284500,14409,364195,1,9.49085,2.83034e+06,1.55465,1,0.995711,1,1,1.05032,0.967804,1,0,1,0,1,"[0]","[1]","[139151]","[-2.21101]","[-1.43592]","[642493]","[0.162972]","[-1]","[13]","[1]","[0]","[-338.369]","[0.059098]","[10.0216]",243872,-1.29262,2,"[47110.7,41973.9]","[-0.327596,-0.531725]","[1.93905,-3.02524]","[50145.1,48612.5]","[1,0.997233]","[5,0]","[0,0]","[0.999854,-0.918449]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[308005]","[-1.47284]","[1.64369]","[708513]","[46126.7]","[0]","[1.8144]","[0.817031]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1237.19]",7594.17,"[3884.45,2063.05]","[]","[4409.28]","[]"
31,284500,25178,364195,-1,9.49085,2.83034e+06,0.738662,0.9724,1,1,1,0.954906,0.96574,1,1,0,0,1,"[0]","[1]","[55142.8]","[0.820289]","[1.89217]","[74758.8]","[0.0157175]","[-1]","[11]","[1]","[0]","[129.009]","[-0.00603806]","[0.838344]",209420,2.17623,1,"[266792]","[0.423902]","[-1.16564]","[291611]","[0.948101]","[4]","[0]","[-0.13328]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[274850]","[0.433699]","[-1.16419]","[301425]","[13841.1]","[0]","[3.61488]","[0.332897]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[257.16]",8379.77,"[9057.86]","[]","[17091.5]","[]"
41,284500,5750,364195,1,9.49085,2.83034e+06,1.22586,0.97553,1,1,1,0.998902,1.01265,1,1,0,0,1,"[0]","[1]","[109829]","[1.81237]","[-2.79974]","[345312]","[-0.279972]","[1]","[11]","[1]","[0]","[262.143]","[-0.0741264]","[2.93749]",185337,-3.09751,2,"[328824,20165.1]","[1.17366,-1.14433]","[0.289858,-2.4635]","[583145,35193.8]","[0.999365,0.99651]","[0,0]","[0,0]","[-0.887175,-0.914743]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[307077]","[1.16797]","[0.296975]","[541719]","[17125.7]","[0]","[2.75877]","[0.550308]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1110.71]",14388.2,"[5374.64,3515.66]","[]","[6815.66]","[]"
75,284500,4378,364195,1,9.49085,2.83034e+06,1.25133,0.97994,1,1,1,0.99953,1.00632,1,1,0,0,1,"[0]","[1]","[160159]","[0.103727]","[-0.612481]","[161021]","[-0.0542374]","[1]","[11]","[1]","[0]","[-361.639]","[0.00547968]","[0.885038]",204791,-0.79924,1,"[363016]","[0.0404547]","[2.40429]","[367197]","[1]","[0]","[0]","[-0.862817]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[383760]","[0.112067]","[2.37149]","[395085]","[83442.6]","[0]","[2.10463]","[0.644915]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1516.03]",1218.3,"[4019.23]","[]","[3308.97]","[]"
81,284500,25687,364195,1,9.49085,2.83034e+06,0,0.97361,1,1,1,0.997742,0.98448,1,1,0,0,1,"[0]","[1]","[46200.9]","[-0.150487]","[-0.933871]","[46725]","[0.00483322]","[1]","[11]","[1]","[0]","[-616.93]","[-0.00215118]","[0.275475]",100439,-1.83307,2,"[257498,28918.4]","[0.439569,1.4014]","[2.65948,1.06084]","[283263,62580.5]","[0.996429,0.98144]","[0,0]","[0,0]","[-0.959126,-0.830538]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[254451]","[0.413543]","[2.66077]","[276667]","[9012.83]","[0]","[2.64594]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[23.3609]",3208.36,"[5353.77,4797.2]","[]","[0]","[]"
92,284500,5970,364195,1,9.49085,2.83034e+06,1.32095,0.93912,1,1,1,0.901643,0.86806,1,1,0,0,1,"[0]","[1]","[29067]","[-2.21402]","[3.08021]","[134604]","[0.147577]","[1]","[11]","[1]","[0]","[1562.3]","[0.0287387]","[2.33161]",124307,-2.01081,3,"[244238,123693,21985.1]","[-1.70114,-0.123434,1.02985]","[0.236521,2.81022,2.67359]","[692872,125719,35103.9]","[0.999317,0.99,0.990357]","[0,5,0]","[0,0,0]","[-0.8941,0.443102,-0.794544]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[251566]","[-1.69076]","[0.232297]","[706400]","[37839.2]","[0]","[1.44173]","[0.859797]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[91.9114]",2307.13,"[8387.18,3550.53,1641.83]","[]","[0]","[]"
183,284500,152795,364195,1,9.49085,2.83034e+06,1.25133,1,0.988545,1,1,0.966443,1.00764,1,0,1,0,1,"[0]","[1]","[392018]","[1.91331]","[-0.809268]","[1.35699e+06]","[0.0399704]","[1]","[13]","[1]","[0]","[-210.19]","[-6.47263e-05]","[0.0160354]",44061.9,2.12034,2,"[214123,136871]","[1.31981,1.4499]","[2.22357,2.6063]","[429491,307898]","[1,0.998505]","[0,4]","[0,0]","[-0.844231,-0.664452]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[349343]","[1.36985]","[2.36488]","[735341]","[73286.1]","[0]","[0.63081]","[0.489493]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[37628.3]",1880.33,"[8482.02,7006.95]","[]","[31604.8]","[]"
219,284500,96867,364195,1,9.49085,2.83034e+06,0.923924,1,0.998301,1,1,0.999361,0.988807,1,0,1,0,1,"[0]","[1]","[60567.5]","[2.02133]","[-1.41155]","[232604]","[0.0267105]","[1]","[13]","[1]","[0]","[-612.917]","[-0.00093841]","[0.109729]",250716,-2.02322,1,"[302166]","[1.7255]","[1.21354]","[875646]","[0.993846]","[0]","[0]","[-0.340727]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[308267]","[1.69379]","[1.21115]","[866959]","[15144.9]","[0]","[2.90326]","[0.681368]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1824.57]",16547.5,"[9211.64]","[]","[23501.3]","[]"
229,284500,300444,364195,-1,9.49085,2.83034e+06,1.26205,1,0.999004,1,1,0.99948,0.891405,1,0,1,0,1,"[0]","[1]","[257531]","[0.990438]","[-0.793012]","[394516]","[0.00701141]","[1]","[13]","[1]","[0]","[-641.713]","[0.00849296]","[2.21739]",44962.2,-0.566906,1,"[302873]","[1.4318]","[2.37417]","[670503]","[0.995321]","[0]","[0]","[-0.884931]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[300194]","[1.43443]","[2.37224]","[666041]","[19406.6]","[0]","[2.37933]","[0.703487]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[51931.6]",9509.71,"[10568.5]","[]","[18404.6]","[]"
296,284500,311350,364195,1,9.49085,2.83034e+06,1.1961,0.97435,1,1,1,0.999652,0.98425,1,1,0,0,1,"[0]","[1]","[46553.4]","[0.178788]","[2.70531]","[47299.4]","[0.0889778]","[1]","[11]","[1]","[2293.91]","[2566.65]","[0.066366]","[8.76679]",249433,3.04854,1,"[301500]","[0.494979]","[-0.130854]","[340083]","[0.99382]","[0]","[0]","[-0.902]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[298923]","[0.515871]","[-0.127802]","[340293]","[21893.5]","[0]","[2.08993]","[0.657236]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[120.942]",6420.88,"[7139.3]","[]","[1562.66]","[]"
385,284500,328577,364195,1,9.49085,2.83034e+06,1.25133,1,0.997162,1,1,0.998941,0.998728,1,0,1,0,1,"[0]","[1]","[51503.4]","[-2.0535]","[-0.745942]","[204042]","[0.0381527]","[1]","[13]","[1]","[0]","[-284.712]","[0.00862428]","[0.872045]",262830,-0.3706,2,"[293214,25590.3]","[-0.124821,-0.897441]","[2.68556,-2.09314]","[296241,37384.1]","[0.997583,0.949612]","[0,0]","[0,0]","[-0.94263,-0.882742]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[297749]","[-0.109526]","[2.68825]","[299842]","[13545.2]","[0]","[2.22304]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2126.48]",23061.9,"[8918.2,3571.65]","[]","[1584.12]","[]"
