event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
16,284500,781,301328,1,0.10016,199800,1.24168,1,0.994149,1,1,1.18273,0.826334,1,0,1,0,1,"[1]","[1]","[106157]","[0.905939]","[-2.06971]","[152782]","[0.115728]","[-1]","[13]","[1]","[0]","[199.745]","[0.00335374]","[0.551366]",64533.6,-0.0139236,6,"[461649,450964,307213,225584,117225,22356.3]","[-0.349218,0.467231,-1.21753,-1.49818,-1.06625,0.308132]","[2.36541,-2.18377,0.264112,-0.117441,1.14407,-1.32011]","[490259,501795,565459,532309,190890,23867.7]","[0.999877,1,1,0.997634,0.99,0.952969]","[0,5,0,5,0,0]","[0,1,0,1,0,0]","[-0.844185,-0.624667,-0.881308,-0.925209,-0.891696,-0.841762]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",3,"[566416,454163,437599]","[-1.37049,-0.353933,0.464624]","[0.20265,2.36674,-2.18308]","[1.21514e+06,482908,486157]","[260021,0.00390625,21350.1]","[1,0,1]","[1.68399,0,3.3608]","[0.54534,-1,0.608905]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2322.41]",8044.25,"[6378.07,4445.98,6765,4387.69,3016.73,2257.65]","[]","[17519.1,19081.9,23906.9]","[]"
83,284500,1813,301328,1,0.10016,199800,0.596562,0.98458,1,1,1,0.898491,1.00582,1,1,0,0,1,"[1]","[1]","[145081]","[-0.539554]","[2.59769]","[166716]","[-0.0120773]","[1]","[11]","[1]","[0]","[-766.724]","[-0.0150413]","[2.04578]",426798,2.58722,5,"[846874,265781,156790,137972,34034.3]","[-0.789424,-0.425352,1.78965,-1.80536,-0.580922]","[-0.69701,2.17511,1.85396,-1.18622,1.05223]","[1.13866e+06,290716,482541,431376,40537.9]","[0.992063,0.996558,0.972513,1,0.997437]","[5,5,0,0,0]","[1,1,0,0,0]","[0.903983,0.859656,-0.97855,-0.375885,-0.889686]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[885266,404344]","[-0.77121,-0.453624]","[-0.702915,2.32716]","[1.17672e+06,456478]","[186568,94144.1]","[1,1]","[1.11563,0.607421]","[0.232276,0.595376]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[579.91]",3056.81,"[18055.8,4286.98,16552.8,3223.21,1933.33]","[]","[3519.19,12633.5]","[]"
162,284500,23742,301328,1,0.10016,199800,0.934886,0.98697,1,1,1,0.959482,1.00582,1,1,0,0,1,"[1]","[1]","[213766]","[-0.351005]","[2.69594]","[227070]","[-0.0751038]","[1]","[11]","[1]","[0]","[672.219]","[0.0034699]","[0.526348]",568748,2.7353,5,"[671714,113660,38402.2,31883.5,22294.7]","[0.375034,0.896804,-1.78322,-1.40516,-2.0904]","[-0.447111,-0.538366,0.745548,-2.96655,0.414125]","[725970,163410,117652,69261.5,91593.3]","[0.961699,0.998272,0.922775,0.969218,0.995493]","[4,5,0,5,0]","[1,1,0,1,0]","[-0.67654,0.961686,-0.490729,-0.00690787,-0.337996]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[770237]","[0.445033]","[-0.450581]","[868286]","[187595]","[1]","[1.7906]","[0.417009]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1421.21]",25643.1,"[19217.4,6462.58,3086.21,1407.53,1804.53]","[]","[3451.06]","[]"
195,284500,25561,301328,1,0.10016,199800,1.08735,0.98697,1,1,1,1.04377,1.00582,1,1,0,0,1,"[1]","[1]","[225872]","[-0.239271]","[-0.162018]","[232369]","[-0.00712585]","[1]","[11]","[1]","[1914.56]","[-495.247]","[-0.00136474]","[0.24774]",338190,-0.0716354,3,"[713295,185193,32340.4]","[0.304838,-0.763544,-0.990062]","[3.12545,0.1613,2.47464]","[763095,242234,49905.5]","[0.983566,0.993995,0.999449]","[5,5,0]","[1,1,0]","[-0.517492,0.998584,-0.877614]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[752667,407277]","[0.290072,-0.503104]","[3.12745,-0.019427]","[802626,477402]","[169358,128018]","[1,1]","[1.24779,0.280983]","[0.621404,0.506942]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2230.75]",10590.4,"[13010.7,1764.61,1949.12]","[]","[41721.2,32171.9]","[]"
201,284500,24536,301328,1,0.10016,199800,1.08735,0.97994,1,1,1,0.960667,1.00632,1,1,0,0,1,"[1]","[1]","[290814]","[0.539135]","[0.89827]","[334113]","[-0.00100899]","[1]","[11]","[1]","[21777.8]","[1679.53]","[0.018073]","[2.98035]",88312.3,1.23639,4,"[350504,199372,29561.9,21117.4]","[-1.02376,-1.04069,-0.337154,-1.83783]","[-2.36332,-1.81638,-1.76866,-2.23319]","[552022,317716,31951.4,68108.6]","[0.989146,0.99174,0.96553,0.926478]","[4,5,4,0]","[1,1,1,0]","[-0.896638,0.999765,-0.576881,-0.807349]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[530200,517992]","[-1.057,0.511283]","[-2.16782,1.04115]","[867602,594616]","[147285,93714.7]","[1,1]","[0.792932,0.679954]","[0.562371,0.713892]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1751.92]",24976.2,"[8973.76,2935.91,2278.06,1547.77]","[]","[21988.3,7322]","[]"
243,284500,24704,301328,1,0.10016,199800,1.08735,1,0.994796,1,1,1.01105,0.794391,1,0,1,0,1,"[1]","[1]","[177181]","[0.467098]","[0.528788]","[196863]","[0.0142517]","[1]","[13]","[1]","[3363.52]","[8825.62]","[0.0255145]","[5.16892]",331054,0.715126,8,"[559335,465123,149738,127254,84857.5,26534,22752.4,22458]","[0.0319103,0.406921,-0.154579,-0.500724,1.89522,0.39707,0.456758,0.372826]","[-2.3272,0.934627,-1.86671,-2.73984,-2.20356,2.4654,-2.24697,-2.67737]","[562307,506718,151788,144141,288767,28911.6,25287.3,24187.3]","[0.997644,0.996381,0.971776,1,0.638474,1,0.943564,0.769421]","[5,5,4,0,0,0,0,0]","[1,1,1,0,0,0,0,0]","[0.989573,-0.898973,-0.883397,-0.747041,-0.860883,-0.827294,-0.934145,-0.661756]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[767041,444285]","[-0.0897647,0.407297]","[-2.30161,0.941478]","[810527,483128]","[252682,37769.1]","[1,1]","[1.67074,1.48759]","[0.328561,0.623095]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2525.21]",26698,"[6963.94,15788.3,3602,3901.8,2586.18,2666.6,2135.49,1683.45]","[]","[9218.5,28253.2]","[]"
265,284500,24861,301328,1,0.10016,199800,0.934886,1,1,1,1,1.0659,1,1,1,0,0,1,"[0]","[1]","[248805]","[-0.837582]","[0.312533]","[341301]","[-0.172202]","[1]","[11]","[0]","[75632.3]","[16464.5]","[-0.055785]","[5.93732]",105002,0.258478,4,"[671099,118858,83439.4,20429.7]","[0.15529,0.683616,0.817468,0.800963]","[3.13392,-0.606041,-1.31429,0.0112029]","[694407,148232,114199,27592.3]","[0.992548,1,0.985619,0.99823]","[5,4,0,4]","[1,0,0,0]","[0.746642,-0.260643,-0.878786,-0.875717]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[662084,494085]","[0.139082,-0.734854]","[3.11684,0.232376]","[686208,639157]","[154894,84075.9]","[1,1]","[1.22343,0.667481]","[0.239887,0.751921]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1756.01]",12434.8,"[8238.75,2838.93,7441.91,938.805]","[]","[5329.44,10010.2]","[]"
319,284500,26663,301328,1,0.10016,199800,0.596562,0.98697,1,1,1,1.05243,1.00582,1,1,0,0,1,"[1]","[1]","[247651]","[-0.178]","[-0.889095]","[251585]","[0.00331306]","[1]","[11]","[1]","[20665.8]","[4521.9]","[0.0220448]","[3.32207]",248996,-0.955927,4,"[742580,60375.8,57134.2,29580.4]","[0.449089,1.01679,-1.95619,-0.131008]","[2.33233,1.93753,-0.0627778,-1.90573]","[823990,94675.2,206188,30258.1]","[1,0.982908,0.995956,1]","[5,4,0,0]","[1,1,0,0]","[-0.689034,-0.770856,-0.89665,-0.719885]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[751220,505732]","[0.457978,-0.229239]","[2.33447,-0.737726]","[835919,527013]","[86913.4,91104.5]","[1,1]","[0.715041,0.382823]","[0.739489,0.539866]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1419.82]",7853.59,"[15978.8,2225.52,7052.68,2415.5]","[]","[23181.5,21047.8]","[]"
365,284500,105308,301328,1,0.10016,199800,0.402058,0.97738,1,1,1,1.004,1.00056,1,1,0,0,1,"[0]","[1]","[75678.5]","[0.155175]","[1.24794]","[76591.5]","[-0.0327301]","[-1]","[11]","[1]","[4792.72]","[535.882]","[0.0183579]","[1.20364]",623785,1.08339,3,"[742252,142128,133062]","[-0.953927,0.425431,-0.733474]","[-2.12623,0.905499,-1.71636]","[1.11022e+06,155606,171115]","[1,0.994296,0.99843]","[0,5,5]","[0,1,1]","[-0.366036,0.996409,0.994441]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[828762]","[-0.947157]","[-2.06273]","[1.24083e+06]","[169946]","[1]","[1.82051]","[0.411362]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[407.214]",268.312,"[12012.2,2113.18,4869.49]","[]","[2834.94]","[]"
388,284500,104953,301328,1,0.10016,199800,0.596562,0.97332,1,1,1,1.08202,0.98683,1,1,0,0,1,"[1]","[1]","[76586.7]","[-0.88763]","[-2.22195]","[108791]","[-0.0595627]","[1]","[11]","[1]","[0]","[1249.26]","[0.0170321]","[1.80613]",202367,-2.81731,6,"[272068,204248,182354,97964.4,37237.3,30094.2]","[0.960733,-1.60672,1.05115,-0.547435,0.465109,1.47338]","[0.624284,-2.46203,1.12688,-1.68177,0.52151,0.0403382]","[408333,529832,292973,113752,41680.9,69362.5]","[1,0.988607,0.923995,1,0.946761,0.994855]","[5,5,0,0,0,0]","[1,1,0,0,0,0]","[-0.791227,0.911805,-0.926567,-0.720889,-0.892242,-0.917161]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[450267,304285]","[1.05972,-1.41609]","[0.804289,-2.39292]","[740163,674268]","[135490,117823]","[1,1]","[1.36009,0.396195]","[0.722706,0.270788]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[798.066]",7269.5,"[2906.53,4940.35,5215.86,3428.88,2224.95,1956.61]","[]","[29375.8,13499.7]","[]"
391,284500,105267,301328,1,0.10016,199800,0.402058,0.98089,1,1,1,0.95153,0.99866,1,1,0,0,1,"[1]","[1]","[153517]","[-1.05453]","[-0.93101]","[247084]","[0.00343704]","[1]","[11]","[1]","[0]","[-538.784]","[0.0113742]","[1.81036]",448198,-1.15968,3,"[433463,214802,131691]","[-0.132231,-0.451213,-1.40115]","[1.76449,2.10732,-1.70809]","[442022,237265,284303]","[0.99376,0.993602,0.998914]","[5,0,5]","[1,0,1]","[0.972006,-0.875419,0.999342]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[609846,271046]","[-0.265454,-1.29306]","[1.88662,-1.23329]","[651702,546369]","[161168,128564]","[1,1]","[0.979954,0.586744]","[0.240409,0.621202]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1431.29]",8072.94,"[9453.11,6421.09,2245.29]","[]","[22976.9,16150.9]","[]"
395,284500,106341,301328,1,0.10016,199800,1.26459,0.98697,1,1,1,1.07496,1.00582,1,1,0,0,1,"[1]","[1]","[204385]","[-0.389466]","[0.0676742]","[220083]","[0.00530624]","[1]","[11]","[1]","[0]","[5760.06]","[0.0115379]","[1.97582]",47300.7,0.632499,6,"[653626,507117,142858,36951.1,28593.3,27597]","[0.590253,-0.540368,0.725608,-0.498858,0.843285,1.73608]","[-2.66166,0.444968,-3.11871,1.60072,1.08736,-1.26058]","[775633,583382,182578,41802.2,39753.1,80861.9]","[0.997419,0.999736,0.992092,0.97908,0.990781,1]","[0,5,5,0,0,0]","[0,1,1,0,0,0]","[-0.819093,-0.897402,0.999982,-0.932507,-0.774174,0.746028]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[789849,707165]","[0.606528,-0.522911]","[-2.74056,0.32624]","[958012,818813]","[186714,143892]","[1,1]","[1.58633,0.365174]","[0.308603,0.40162]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[999.339]",11436.4,"[8387.52,8180.55,1921.63,6661.1,2120.18,1754.31]","[]","[14032.5,43897.4]","[]"
422,284500,106228,301328,1,0.10016,199800,1.32095,0.97446,1,1,1,0.911619,0.98483,1,1,0,0,1,"[1]","[1]","[55304.9]","[-0.515643]","[-0.427296]","[62821.7]","[-0.0398998]","[-1]","[11]","[1]","[1133.45]","[-229.48]","[0.00103088]","[0.15237]",127090,2.32374,5,"[343989,220825,104029,55022,23143]","[1.35592,-0.0801825,-1.47398,-2.21006,0.320298]","[-3.07378,-0.0313317,0.737323,-0.682792,-0.429961]","[711803,222997,239102,253877,24842.8]","[0.991261,1,0.99003,0.995177,1]","[5,5,0,0,0]","[1,1,0,0,0]","[0.871915,0.975588,-0.837758,-0.854551,-0.838332]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[347804,303206]","[1.35194,-0.120115]","[-3.07208,-0.104373]","[717319,324610]","[17148.3,110025]","[1,1]","[0,1.93548]","[-1,0.553047]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[146.278]",10846.2,"[8922.33,2167.1,13204.9,2449.55,2467.85]","[]","[35162.5,27292.2]","[]"
427,284500,104828,301328,1,0.10016,199800,0.596562,0.98428,1,1,1,0.952362,1.00121,1,1,0,0,1,"[1]","[1]","[170665]","[-1.87737]","[-0.571655]","[570816]","[0.0736237]","[1]","[11]","[1]","[0]","[-151.1]","[0.0103599]","[0.709759]",367360,-0.239886,4,"[602674,38042.5,28578.6,24032.4]","[-0.105483,-1.15613,-0.843398,0.403594]","[2.66584,-0.556958,1.97741,-0.502282]","[608613,66544.6,39558.5,26339.9]","[0.999212,0.991853,0.99,0.990063]","[0,5,5,0]","[0,1,1,0]","[-0.593965,-0.392624,0.973735,-0.84321]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[609142]","[-0.153825]","[2.66535]","[620611]","[72486.7]","[1]","[2.05151]","[0.616755]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1994.87]",11414.5,"[16336.4,1489.76,1537.83,3482.86]","[]","[24155.1]","[]"
430,284500,105208,301328,1,0.10016,199800,0.402058,1,0.999121,1,1,0.9829,0.956621,1,0,1,0,1,"[1]","[1]","[459542]","[-0.856762]","[1.77053]","[638775]","[-0.0119476]","[-1]","[13]","[1]","[0]","[-140.007]","[0.00558688]","[1.33925]",68804.3,1.22033,5,"[265194,192971,170551,113427,60168]","[-0.958881,-1.28361,-0.770773,-0.742166,-0.575523]","[-1.55698,-1.27111,1.29563,-2.38887,-1.94326]","[398313,375141,224285,146440,70932.2]","[0.996601,0.99,0.997005,0.990178,0.996023]","[5,0,5,4,4]","[1,0,1,1,1]","[0.974237,-0.880321,-0.902925,-0.774134,0.46889]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[562913]","[-1.00571]","[-1.6376]","[915010]","[275934]","[1]","[1.25731]","[0.381704]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[11169.7]",3699.9,"[3133.88,10202.4,5405.44,3278.24,3557.72]","[]","[37012.8]","[]"
446,284500,106062,301328,1,0.10016,199800,1.26205,0.97435,1,1,1,1.07287,0.98425,1,1,0,0,1,"[1]","[1]","[48965.1]","[0.169055]","[2.06973]","[49666.5]","[0.0827484]","[1]","[11]","[1]","[0]","[557.388]","[0.000242859]","[0.025765]",282461,1.34719,6,"[404089,159445,87813.7,72781.9,60857,43487.6]","[-1.1266,1.11791,-1.00473,0.687046,-0.415494,-1.11242]","[-1.54972,0.900312,-2.81288,1.65065,-2.05321,-2.22765]","[690025,270235,136301,92104.8,66791.3,73731.1]","[0.991915,0.99623,0.99,1,0.999431,0.998414]","[5,5,0,0,0,0]","[1,1,0,0,0,0]","[0.584207,0.999923,-0.923151,-0.952848,-0.935107,-0.485842]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[497481]","[-1.0988]","[-1.59537]","[846332]","[169144]","[1]","[2.14605]","[0.58657]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[102.858]",7394.5,"[4480.99,1973.85,9892.24,3465.56,4715.69,4752.18]","[]","[12335.8]","[]"
478,284500,35584,301328,1,0.10016,199800,0.934886,1.00588,0.996615,1,1,0.978605,1.00306,1,1,1,0,2,"[1,1]","[1,1]","[292534,229469]","[-0.10445,0.944934]","[-0.907419,2.33425]","[294131,339769]","[0.0473955,-0.000731468]","[-1,1]","[13,11]","[1,1]","[0,0]","[2322.41,8.02307]","[0.00310147,-0.0045667]","[0.612375,0.811832]",244811,1.77719,2,"[248581,84942.5]","[0.115434,0.52206]","[-1.26117,2.05949]","[250698,97098.5]","[0.985303,0.999014]","[5,5]","[1,1]","[0.894069,0.99917]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[323108]","[0.859858]","[2.26432]","[456162]","[74142.2]","[1]","[0.636334]","[0.700601]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[32281.6,2226.51]",2375.95,"[3001.04,4718.37]","[]","[26544.4]","[]"
556,284500,36930,301328,1,0.10016,199800,0.934886,1,0.987215,1,1,0.974645,0.931335,1,0,1,0,1,"[1]","[1]","[100189]","[-0.222235]","[1.1293]","[102673]","[0.0491982]","[1]","[13]","[1]","[0]","[-463.546]","[0.0199969]","[3.1436]",124267,0.715116,5,"[269438,193785,39647.1,34690.2,32146.2]","[1.08412,-0.421989,0.428559,-0.424193,-0.992626]","[-1.97606,2.01367,1.42657,0.099916,0.0842185]","[445090,211554,43686.2,38224.3,49558.7]","[0.99407,1,1,0.991216,0.990673]","[5,0,0,5,0]","[1,0,0,1,0]","[0.969293,-0.939397,-0.844515,0.911772,-0.887793]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[258587]","[1.07194]","[-1.96369]","[424313]","[44848.5]","[1]","[1.83164]","[0.670605]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3326.31]",2804.67,"[3114.73,3546.11,2101.37,2881.03,2638.45]","[]","[4853.84]","[]"
