event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
1245,284500,3854,364127,1,0.145046,1.00431e+06,1.32095,0.98697,1,1,1,0.994559,1.00582,1,1,0,0,1,"[1]","[1]","[160777]","[-0.307912]","[0.157663]","[168459]","[-0.0128784]","[1]","[11]","[1]","[7694.95]","[3433.39]","[-0.00758164]","[0.854257]",24323.3,0.660422,3,"[582746,430019,26345.8]","[-1.70252,-0.488698,-0.246879]","[2.97941,-0.279201,-1.97078]","[1.65278e+06,484873,27296.1]","[0.997175,1,0.995653]","[0,0,0]","[0,0,0]","[-0.938806,-0.822026,-0.901967]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[604072,569968]","[-0.480542,-1.72324]","[-0.15874,2.97592]","[690178,1.64786e+06]","[143144,32561]","[0,0]","[0.837869,1.78807]","[0.420953,0.716805]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[751.417]",42678.1,"[37958.6,11118.6,3270.31]","[]","[2033.44,23962.8]","[]"
2801,284500,85,364127,1,0.145046,1.00431e+06,0,0.97867,1,1,1,0.993876,1.01012,1,1,0,0,1,"[1]","[1]","[100208]","[1.93927]","[-0.0399373]","[355612]","[-0.0547676]","[-1]","[11]","[1]","[0]","[-743.737]","[0.0431756]","[1.132]",33956.9,-1.29384,8,"[381938,361664,116330,102769,97623.1,23419.5,22391.6,21759.6]","[0.323334,-1.40358,0.146594,0.292479,0.22662,-0.373908,0.843082,0.831048]","[0.918893,-1.93149,2.88591,-2.78493,1.44067,-3.11908,2.89343,1.5973]","[402961,780555,119000,108758,100480,25468.2,31211.4,30110.3]","[1,0.995305,0.991052,0.985959,1,0.928449,0.970282,0.744811]","[0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0]","[-0.903985,-0.874278,-0.878207,-0.201755,-0.792838,-0.851808,-0.868726,-0.771763]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[444820,364897]","[0.336364,-1.39304]","[1.01415,-1.93257]","[481342,780132]","[102866,12224.4]","[0,0]","[1.18434,2.20518]","[0.793995,0.545112]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[597.978]",6419.79,"[6015.58,4895.64,2164.55,3780.48,6072.48,1953.78,1829.6,2399.36]","[]","[2787.09,25164.8]","[]"
3127,284500,2864,364127,1,0.145046,1.00431e+06,0.75088,0.889945,1,1,1,0.994286,1.01797,1,1,0,0,2,"[1,1]","[1,0]","[53265.3,17640.2]","[-2.28983,-0.750312]","[1.91623,-1.40448]","[265650,22843]","[-0.00328064,0.00756073]","[-1,1]","[11,11]","[1,1]","[1207.14,0]","[-686.695,-513.2]","[0.00919958,-0.0163939]","[0.706159,1.228]",17882.9,2.65174,4,"[537578,425696,86477.5,23883.8]","[-1.03321,1.21122,-0.0978593,1.6383]","[0.456234,-2.59164,-2.62968,-1.12583]","[851662,779266,87791.5,64045.4]","[0.988987,0.993661,0.998858,0.976319]","[0,0,0,0]","[0,0,0,0]","[-0.926236,-0.939521,-0.742497,-0.9338]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[514916,424034]","[-1.04502,1.20151]","[0.448679,-2.5857]","[822719,769753]","[12966.4,39291.1]","[0,0]","[3.79774,1.31473]","[0.146866,0.521881]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[341.668,86.3352]",21.0703,"[7321.92,9598.95,2476.85,2176.53]","[]","[40385.1,2632.84]","[]"
4165,284500,8704,364127,1,0.145046,1.00431e+06,1.1961,0.96825,1,1,1,0.992572,0.99461,1,1,0,0,1,"[1]","[1]","[63588.3]","[-2.19376]","[-1.4112]","[288704]","[0.0347229]","[1]","[11]","[1]","[0]","[389.635]","[0.00830243]","[0.660955]",46269.3,-2.51441,6,"[497240,488180,40064.4,31811.4,23551.1,22096.8]","[0.753837,-1.63881,-0.532214,0.18051,-0.714281,-2.04057]","[1.73652,-1.33033,2.61748,0.525153,1.58125,1.52819]","[649152,1.30551e+06,46150.4,33107.8,30252.2,86490.3]","[0.997256,0.999955,0.964004,0.897757,0.939847,0.886963]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.96839,-0.805079,-0.769982,-0.318918,-0.122821,-0.90822]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[560258,504821]","[-1.72404,0.759494]","[-1.34624,1.73022]","[1.62623e+06,662110]","[134227,77533.8]","[0,0]","[1.89037,1.79307]","[0.434977,0.816614]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[310.255]",1174.51,"[15544.6,14375.9,3144.92,3691.73,1784.87,1567.14]","[]","[40813.2,21195.6]","[]"
4521,284500,6218,364127,1,0.145046,1.00431e+06,1.26205,0.884571,1,1,1,0.919877,1.01265,1,1,0,0,2,"[1,1]","[1,0]","[235975,19198.2]","[1.67984,1.00508]","[1.16286,2.31396]","[654958,29739.3]","[-0.00328445,0.00063324]","[-1,1]","[11,11]","[1,1]","[1484.53,0]","[5629.1,318.196]","[-0.00604398,0.0197783]","[0.407002,0.859235]",52700.3,0.0906664,8,"[269799,241112,171512,161842,62414.6,62142.5,58860.9,28847.8]","[0.609669,0.401981,0.109656,0.759776,1.06796,1.32947,-0.827524,0.220762]","[-1.37823,1.11594,-2.07461,2.86389,-2.74476,-1.23545,-2.72886,0.00888937]","[321986,261917,173548,211472,102102,125800,81247.6,29947.8]","[1,0.998159,0.998178,0.994097,0.96,0.976931,0.966175,0.987868]","[4,0,0,0,0,4,0,0]","[0,0,0,0,0,0,0,0]","[-0.256864,-0.975173,-0.9279,-0.793515,-0.923306,-0.833364,-0.886275,-0.550696]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[464397,254254]","[0.615935,1.70064]","[-1.57871,1.15263]","[609544,719567]","[251350,5778.44]","[0,0]","[1.23373,22.2761]","[0.338591,0.422776]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5386.04,214.257]",8211.2,"[2889.53,3093.76,4487.94,2512.43,4466.09,2905.99,2163.19,2232.98]","[]","[33432.9,6283.2]","[]"
6662,284500,2471,364127,1,0.145046,1.00431e+06,0.696077,0.95344,1,1,1,0.975368,1.00632,1,1,0,0,2,"[1,1]","[1,1]","[87564,77588.3]","[0.343545,-0.611452]","[0.0584509,-0.37749]","[92782.3,92550]","[0.062294,-0.0934525]","[1,-1]","[11,11]","[1,1]","[1237.75,7835.86]","[817.597,1545.27]","[-0.00111243,0.000229389]","[0.168184,0.0284401]",32184.8,0.68202,6,"[424227,259455,196405,44995.1,39248.2,27406.4]","[1.15272,-0.921256,-0.0786365,0.0821971,-0.240612,-1.23827]","[-2.97462,1.19707,-0.675051,-2.64224,-1.5332,0.792762]","[740208,379519,197735,45724.7,40728.2,51578.5]","[0.999921,0.992652,0.998895,0.998243,0.99345,0.976699]","[0,5,0,0,0,0]","[0,0,0,0,0,0]","[-0.850288,0.975117,-0.845049,-0.668511,-0.925363,-0.814637]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",3,"[432784,364067,258292]","[1.12044,-0.14074,-0.949308]","[-2.97439,-0.436878,1.19369]","[735254,412540,385980]","[41658,187088,42036.7]","[0,0,0]","[1.72999,1.20896,1.36829]","[0.678774,0.225063,0.799436]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[474.521,230.005]",1842.96,"[5557.83,5950.87,7144.33,3414.9,2463.11,5069.38]","[]","[8377.94,248.938,14496.2]","[]"
6665,284500,2144,364127,1,0.145046,1.00431e+06,0.696077,0.97553,1,1,1,0.993164,1.01265,1,1,0,0,1,"[1]","[1]","[115097]","[1.79414]","[-0.489426]","[355683]","[0.0345078]","[1]","[11]","[1]","[0]","[1187.26]","[0.0432012]","[3.26107]",61301.7,1.96071,5,"[569585,475444,101952,25355.1,22423.5]","[-0.0871552,2.37297,0.862348,0.475124,-0.448667]","[-1.30908,1.62559,2.5422,-1.43449,-2.22944]","[574503,2.57279e+06,142599,28732.8,25412.2]","[1,0.999388,0.999966,0.983235,0.743929]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.299461,0.593359,-0.815539,-0.892135,-0.853877]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[573802]","[-0.144316]","[-1.30817]","[582421]","[55326.1]","[0]","[1.41195]","[0.623251]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2174.76]",26508.7,"[13081.3,17585.7,11511,1753.39,2032.31]","[]","[48861]","[]"
6984,284500,4353,364127,1,0.145046,1.00431e+06,1.25133,0.97361,1,1,1,0.989562,0.98448,1,1,0,0,1,"[1]","[1]","[49842.7]","[-0.198138]","[-0.721856]","[50824.3]","[-0.00967598]","[1]","[11]","[1]","[0]","[1340.62]","[-0.0035058]","[0.413434]",20560.7,1.00946,12,"[370868,328580,266691,163948,127101,119576,75500.3,72267.1,40066.1,35510.6,24785.7,20842.9]","[0.805447,1.72893,2.08146,1.13293,-0.51735,-1.57003,0.299811,1.23957,2.33958,0.247006,1.41832,0.722209]","[-2.60017,0.82951,1.06449,-2.83274,-2.35792,-1.27354,0.226954,-0.186085,0.245598,-2.77966,2.96531,3.1386]","[502670,955950,1.08587e+06,281802,145869,300083,79815.9,135845,209962,37596.9,54254.6,26658]","[0.993569,1,0.998659,1,0.997914,0.995217,0.98765,0.99,0.994766,0.996308,0.990284,0.976895]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]","[-0.807726,-0.740333,-0.700652,-0.861379,-0.913338,-0.848976,-0.556966,-0.369541,-0.576325,-0.835602,-0.809295,-0.566315]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[528995,521848]","[1.90922,0.921508]","[0.927734,-2.67068]","[1.82864e+06,771368]","[130374,134512]","[0,0]","[1.13427,1.25857]","[0.820751,0.465775]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[86.2509]",2760.72,"[8092.39,9562.23,8658.31,3279.59,3521.35,4241.74,3333.66,2355.42,2429.08,2468.03,2755.1,1194.84]","[]","[20932,3170.34]","[]"
7193,284500,7900,364127,1,0.145046,1.00431e+06,0.738662,1.00588,1,1,1,0.994008,1.00306,1,1,0,0,1,"[1]","[1]","[583276]","[0.825526]","[-0.328117]","[793572]","[0.0481892]","[-1]","[11]","[1]","[0]","[-1692.65]","[-0.017151]","[2.57255]",42410.5,-2.37902,2,"[988999,375112]","[0.433527,1.66163]","[2.86889,-0.0622558]","[1.08382e+06,1.02409e+06]","[0.998673,0.998587]","[0,0]","[0,0]","[0.412034,-0.826219]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[1.0521e+06,998976]","[1.21699,0.422517]","[-0.229431,2.87043]","[1.98529e+06,1.08976e+06]","[455903,24550.7]","[0,0]","[0.441402,0]","[0.44076,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[8002.3]",27659.4,"[26136.5,14940]","[]","[53796,45415.4]","[]"
7455,284500,66317,364127,1,0.145046,1.00431e+06,1.24168,0.90684,1,1,1,1.82394,0.98653,1,1,0,0,2,"[1,1]","[1,0]","[57563.8,21559.8]","[0.408632,-1.53669]","[-1.5069,0.340784]","[62437.1,52436.5]","[0.028553,-0.0523148]","[-1,1]","[11,11]","[1,1]","[0,1692.39]","[-754.914,-27.5045]","[-0.0185014,0.0122275]","[1.85968,0.672115]",22568.5,-1.63735,4,"[565361,153603,46204.6,20531.6]","[-0.567598,-0.54524,1.50188,-1.87289]","[1.86372,1.06833,-1.7657,0.646735]","[661164,177753,109244,68480.8]","[0.994625,0.99839,0.99252,0.98]","[0,0,0,0]","[0,0,0,0]","[-0.412496,-0.773968,-0.946629,0.828502]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[642373]","[-0.569098]","[1.71719]","[779710]","[215860]","[0]","[1.03423]","[0.720114]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[338.604,541.599]",4023.79,"[7652.32,2875.16,2662.25,1109.28]","[]","[67081.8]","[]"
