event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
7,284500,2111,364120,-1,24.4419,2.96634e+06,0.923924,0.959214,1,1,1,0.999665,0.99765,1,1,0,0,2,"[1,1]","[1,0]","[240225,30260.5]","[0.706318,-0.158642]","[-2.48534,-1.86777]","[302681,30642.1]","[-0.113308,0.0816841]","[1,-1]","[11,11]","[1,1]","[0,0]","[-230.627,1337.6]","[0.00490918,0.000465677]","[0.429535,0.0433643]",41175.6,2.93657,1,"[264130]","[0.379939]","[0.71354]","[284107]","[0.994623]","[0]","[0]","[-0.859338]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[276645,250233]","[0.352384,0.681133]","[0.71904,-2.49038]","[294799,310565]","[21699.5,1853.94]","[0,0]","[2.5186,0]","[0.526701,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3721.6,51.9917]",10859.7,"[4332.6]","[]","[26067.6,0]","[]"
23,284500,2671,364120,1,24.4419,2.96634e+06,0.75088,0.896642,1,1,1,0.999342,0.99765,1,1,0,0,2,"[0,0]","[1,0]","[159217,16890.3]","[0.60637,1.8525]","[-0.167671,-1.60339]","[189395,55168.7]","[0.00938034,-0.0751991]","[-1,1]","[11,11]","[1,1]","[4428.82,0]","[-211.441,2170.79]","[-0.00407033,-0.0294247]","[0.52243,0.670771]",29783.3,-0.962408,2,"[262174,43257.5]","[0.249761,-0.95224]","[2.85362,0.870233]","[270971,64849.5]","[0.99078,0.99]","[0,0]","[0,0]","[-0.673928,-0.922017]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[266530]","[0.272201]","[2.85742]","[276972]","[16741.2]","[0]","[2.0126]","[0.198849]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1525.21,94.5364]",9265.42,"[2815.43,6210.15]","[]","[2109.97]","[]"
111,284500,5820,364120,1,24.4419,2.96634e+06,1.1961,0.99242,1,1,1,0.998297,0.99765,1,1,0,0,1,"[1]","[1]","[248607]","[0.743777]","[-0.083473]","[320602]","[0.0237846]","[1]","[11]","[1]","[0]","[-666.041]","[0.0138843]","[1.59808]",11031.4,-1.23463,3,"[175141,51801.8,44774.4]","[0.311996,0.489056,0.259149]","[-2.95892,2.73242,2.10521]","[184399,58587,46887.6]","[0.998444,0.980119,0.99]","[0,0,0]","[0,0,0]","[-0.902883,-0.940778,-0.853027]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[252944]","[0.769941]","[-0.0751158]","[331695]","[0.00617632]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1708.37]",4344.8,"[6070.77,2064,2495.54]","[]","[0]","[]"
183,284500,1593840,364120,1,24.4419,2.96634e+06,1.08735,0.981942,1,1,1,0.996378,1.00306,1,1,0,0,2,"[1,1]","[1,1]","[135394,124037]","[0.864222,0.836321]","[1.93678,1.16507]","[189182,170002]","[0.0153046,0.033432]","[1,-1]","[11,11]","[1,1]","[0,0]","[2336.75,-190.843]","[-0.0187504,0.0188798]","[1.61092,1.75602]",29820.7,-2.0684,3,"[174605,21134.9,20081.6]","[1.51366,0.981231,1.97922]","[-1.55869,-0.85417,-1.82812]","[416395,32617.6,74094.5]","[0.991622,0.99,0.953128]","[0,0,0]","[0,0,0]","[-0.922981,-0.782971,-0.83167]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[256072]","[0.935557]","[1.56962]","[391140]","[105822]","[0]","[0.0546736]","[0.226836]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1365.64,1412.42]",33890.8,"[9003.68,1604.32,1084.91]","[]","[0]","[]"
189,284500,1562814,364120,1,24.4419,2.96634e+06,1.26459,0.890898,1,1,1,0.999664,1.00582,1,1,0,0,2,"[1,1]","[1,0]","[231809,19917.3]","[-0.60153,-0.879629]","[0.115322,1.3709]","[275028,28132.6]","[-0.0372086,-0.0294456]","[-1,1]","[11,11]","[1,1]","[0,0]","[1190.12,67.1699]","[-0.0111596,-0.00876623]","[1.37133,0.786414]",40561.7,0.944989,1,"[270607]","[-0.434912]","[-2.97617]","[296922]","[0.99876]","[0]","[0]","[-0.9211]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[267028]","[-0.433042]","[-2.97624]","[292718]","[12297.4]","[0]","[1.01329]","[0.0294603]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1164.99,170.547]",89.3008,"[3269.9]","[]","[8857.84]","[]"
246,284500,1414081,364120,1,24.4419,2.96634e+06,1.74563,0.960497,1,1,1,0.999469,0.99866,1,1,0,0,2,"[1,1]","[1,1]","[180936,68452.7]","[-1.00274,-0.227982]","[-2.35952,-2.23536]","[279782,70239.4]","[-0.0300751,-0.000713348]","[-1,1]","[11,11]","[1,1]","[0,1144.28]","[-1885.23,812.004]","[-0.00743184,-0.0150129]","[0.76925,1.91715]",17150.1,0.539179,1,"[237092]","[-0.654364]","[0.829983]","[290901]","[0.9904]","[0]","[0]","[-0.559306]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[266179,259370]","[-0.80715,-0.630996]","[-2.32489,0.803911]","[374939,314700]","[112393,35062.2]","[0,0]","[0.0505992,2.17485]","[0.407501,0.6166]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1617.63,147.892]",1507.72,"[3437.24]","[]","[15421.9,0]","[]"
267,284500,1581293,364120,1,24.4419,2.96634e+06,1.21412,0.973391,1,1,1,0.999656,1.00632,1,1,0,0,2,"[1,1]","[1,1]","[128851,126767]","[0.520608,0.806213]","[-0.429389,0.0526989]","[146711,170245]","[0.00546646,-0.0206299]","[1,-1]","[11,11]","[1,1]","[0,0]","[-653.432,-13.4116]","[0.0188972,0.0125992]","[3.1986,0.472286]",6690.62,-0.182281,1,"[252721]","[-0.186584]","[2.96826]","[257468]","[0.991108]","[0]","[0]","[-0.929682]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[270154,255491]","[-0.164597,0.708561]","[2.96916,-0.197801]","[274539,328731]","[19826.9,64428.7]","[0,0]","[3.01663,0.0067672]","[0.380002,0.325585]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1300.97,1306.78]",6446.97,"[7055.07]","[]","[16327.7,0]","[]"
275,284500,1414030,364120,1,24.4419,2.96634e+06,0.596562,0.906258,1,1,1,0.998793,1.00632,1,1,0,0,2,"[1,1]","[1,0]","[258069,19604.6]","[0.441872,0.64552]","[-3.09624,1.88744]","[283676,23833]","[0.059392,-0.00169659]","[1,-1]","[11,11]","[1,1]","[0,0]","[-779.212,-178.209]","[-0.0112285,-0.024633]","[1.841,2.78788]",11615.6,-3.04713,2,"[244782,25739.4]","[-0.426941,-0.12792]","[-0.0378763,-0.37123]","[268816,26235]","[0.995968,0.903133]","[0,0]","[0,0]","[-0.920145,-0.776709]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[267063]","[0.449321]","[-3.0963]","[294478]","[-0.00308816]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1979.75,281.728]",598.343,"[4415.06,3698.75]","[]","[3073.12]","[]"
334,284500,207677,364120,1,24.4419,2.96634e+06,1.32095,0.973391,1,1,1,0.999202,1.00632,1,1,0,0,2,"[1,1]","[1,1]","[117679,104627]","[1.13224,0.431975]","[-1.47791,-1.68935]","[201520,114541]","[-0.00698853,0.0411682]","[-1,1]","[11,11]","[1,1]","[0,0]","[2122.04,3484.78]","[0.0457465,0.0177675]","[2.71995,3.30392]",37979,2.84819,2,"[250191,40829.6]","[0.742859,0.364434]","[1.53562,-1.00354]","[322926,44057.8]","[0.998209,0.978534]","[0,0]","[0,0]","[-0.892807,-0.789861]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[285383,264723]","[0.770121,0.703477]","[-1.52159,1.53977]","[396411,333192]","[130605,12100.3]","[0,0]","[0.965873,2.12931]","[0.132425,0.0345842]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1253.73,364.227]",10302.8,"[11840.3,3958.72]","[]","[19718.7,18246.9]","[]"
420,284500,202309,364120,1,24.4419,2.96634e+06,1.1961,0.97994,1,1,1,0.999309,1.00632,1,1,0,0,2,"[1,1]","[1,0]","[212024,9873.64]","[0.508392,0.196293]","[0.906239,3.06896]","[240019,10064.5]","[-0.0238838,0.0621548]","[1,-1]","[11,11]","[1,0]","[0,0]","[858.08,1807.28]","[-0.00411632,0.0117045]","[0.419038,0.684376]",22647.2,1.38356,1,"[235661]","[-1.4595]","[-2.17186]","[535184]","[0]","[0]","[0]","[0.738359]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[283754]","[0.420237]","[0.85025]","[313047]","[49053.7]","[0]","[1.90913]","[0.239827]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1070.57,48.7248]",15479.5,"[3311.76]","[]","[3635.03]","[]"
