event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
128,284500,3230,364124,1,2.24919,908262,1.32095,0.947352,1,1,1,0.998629,0.98683,1,1,0,0,2,"[1,1]","[1,1]","[70574.5,63122.1]","[-0.868678,-1.1363]","[-2.88788,-1.39365]","[98919.5,108451]","[0.0302258,0.0583553]","[-1,1]","[11,11]","[1,1]","[2397.34,0]","[-1084.76,-1063.65]","[0.0200346,-0.025617]","[1.68197,2.78607]",31097.6,-0.0879592,3,"[241113,108872,49357.3]","[-0.545164,-1.3206,-0.720233]","[1.03977,-2.38585,-1.93164]","[278232,218748,62984.9]","[0.985104,0.982109,0.994911]","[0,0,0]","[0,0,0]","[-0.928217,-0.953901,0.741913]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[260535]","[-0.528205]","[1.04236]","[298233]","[17283.6]","[0]","[2.67054]","[0.570808]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[201.158,750.147]",894.371,"[4174.53,3466.86,2906.74]","[]","[699.703]","[]"
250,284500,407,364124,1,2.24919,908262,0.553627,0.972521,1,1,1,0.979535,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[165505,131556]","[-0.349317,-0.761067]","[2.09564,2.53696]","[175706,171531]","[0.093605,-0.00974655]","[1,-1]","[11,11]","[1,1]","[0,0]","[-504.826,57.933]","[0.0166328,0.00876958]","[1.72131,1.00431]",35718.4,-0.897186,5,"[261319,52564.5,24639.6,23092.3,23021.3]","[0.368236,1.64794,-0.872553,1.14315,1.17256]","[-0.486015,-2.64534,-0.760208,-2.25239,-2.9629]","[279666,141923,34908.4,40247.4,41053.5]","[1,0.980219,0.998153,0.844961,0.975016]","[0,0,4,0,0]","[0,0,0,0,0]","[-0.587428,0.0994245,0.517562,-0.861574,-0.820316]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[304893,265794]","[-0.537309,0.383356]","[2.28987,-0.4856]","[363510,285662]","[98277.6,7450.42]","[0,0]","[0,2.88168]","[-1,0.364109]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1007.92,1041.96]",11290.7,"[9765.82,5129.84,1241.53,1895.87,2217.66]","[]","[13955.3,13898.3]","[]"
366,284500,3905,364124,1,2.24919,908262,1.22586,0.890898,1,1,1,0.998048,1.00582,1,1,0,0,2,"[1,1]","[1,0]","[156707,16108.5]","[-0.186564,-1.24853]","[1.17636,-0.749118]","[159442,30381.9]","[0.0261726,0.0209503]","[1,-1]","[11,11]","[1,1]","[0,0]","[27.9774,-241.39]","[-0.0220036,-0.0232086]","[3.26728,1.67278]",29022.1,0.557896,3,"[301639,165366,21511.4]","[-0.402861,-1.26726,-0.71025]","[-2.66591,0.111178,-1.19715]","[328772,317182,27480.4]","[0.993807,0.996756,0.966848]","[0,0,0]","[0,0,0]","[-0.783253,-0.905192,-0.924395]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[295449]","[-0.427268]","[-2.67352]","[325723]","[43312.6]","[0]","[2.00812]","[0.676236]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[701.251,312.581]",7722.72,"[5247.49,6854.25,4430.24]","[]","[5004.16]","[]"
394,284500,6194,364124,1,2.24919,908262,1.1961,0.97663,1,1,1,0.998287,1.00121,1,1,0,0,1,"[1]","[1]","[117656]","[-1.9989]","[0.443696]","[442174]","[0.0439882]","[-1]","[11]","[1]","[0]","[3143.47]","[-0.0150531]","[1.87725]",15494.8,-0.916927,2,"[284992,129863]","[-1.5186,1.11586]","[-3.08852,0.0500797]","[682139,219952]","[1,0.997254]","[0,0]","[0,0]","[-0.696371,-0.87519]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[340703]","[-1.50494]","[-3.1089]","[805909]","[36778.1]","[0]","[2.36641]","[0.655759]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[641.574]",1287.12,"[5447.92,3043.37]","[]","[14233.3]","[]"
555,284500,2336,364124,1,2.24919,908262,1.1961,0.942712,1,1,1,0.998729,1.01265,1,1,0,0,2,"[1,1]","[1,0]","[319834,10368.8]","[1.66216,1.20048]","[-1.09778,0.556882]","[873213,18782]","[-0.0706909,0.0162148]","[-1,1]","[11,11]","[1,0]","[1082.69,0]","[3666.58,170.335]","[0.0337932,-0.0477906]","[2.97852,2.3996]",30900.4,-1.97627,2,"[315230,32216.4]","[1.76427,0.405148]","[1.91485,2.8796]","[947321,35652.5]","[0.996118,0.96093]","[0,0]","[0,0]","[-0.847951,-0.944519]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[345382,314274]","[1.66764,1.76399]","[-1.10403,1.92177]","[947826,944054]","[8170.23,15815.3]","[0,0]","[17.7501,3.45387]","[0.276064,0.590431]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[9486.54,425.078]",1281.81,"[5342.25,2487.12]","[]","[8652.59,13886]","[]"
716,284500,1574,364124,1,2.24919,908262,1.24168,0.971056,1,1,1,0.9511,1.00306,1,1,0,0,2,"[1,1]","[1,1]","[181815,49211.3]","[1.11353,1.60046]","[-0.846072,-0.00597647]","[306676,126894]","[-0.0262604,-0.0733719]","[-1,1]","[11,11]","[1,1]","[0,0]","[-694.81,2900.35]","[0.00553587,-0.0477008]","[0.593083,1.65994]",34320.9,-3.03646,10,"[81731.3,75123.3,70637.7,66599.6,31032,30601.8,25361,22623.8,22491.8,21372.6]","[1.83121,-0.136087,-1.81143,0.155119,0.818756,0.0645196,1.87326,-0.978128,-1.6218,2.10428]","[2.68037,0.973665,-1.97882,2.42994,-2.97724,1.51644,-0.532474,2.18675,1.56551,-1.13526]","[262043,76267.7,222266,68197.9,42395,31274.9,84539.8,34627,59212,89018.9]","[0.989132,1,0.993649,0.999967,1,0.987319,0.98319,0.995525,0.993455,0.987458]","[0,4,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0]","[-0.655076,-0.895011,-0.713337,-0.830168,-0.840372,-0.911165,-0.257875,-0.843869,-0.831219,-0.335944]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[276009]","[1.37133]","[-0.643128]","[588170]","[104356]","[0]","[0.667016]","[0.221455]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2404.93,154.148]",9192.36,"[5954.87,1992.74,4354.5,1813.24,3044.84,2303.48,2307.76,1928.3,1830.17,1608.56]","[]","[14102.2]","[]"
1145,284500,8078,364124,1,2.24919,908262,0.75088,0.98458,1,1,1,0.965136,1.00582,1,1,0,0,1,"[1]","[1]","[100449]","[-0.289975]","[-2.27787]","[104702]","[0.0277557]","[-1]","[11]","[1]","[0]","[-1938.47]","[-0.00335311]","[0.371714]",25284.4,-1.43896,3,"[287760,118922,44055]","[-1.00311,-0.741575,-2.00399]","[1.163,-1.81625,-2.13807]","[445811,153536,166510]","[0.994602,0.946009,0.99]","[0,4,0]","[0,0,0]","[-0.715746,-0.9147,-0.908573]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[273130]","[-0.996629]","[1.17939]","[421298]","[27786.4]","[0]","[2.19427]","[0.663293]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[328.228]",5961.26,"[10167.8,3548.03,6997.56]","[]","[6818.31]","[]"
1334,284500,1329,364124,1,2.24919,908262,1.08735,1.00588,1,1,1,0.998159,1.00306,1,1,0,0,1,"[1]","[1]","[170637]","[0.87779]","[1.51514]","[240708]","[-0.0152092]","[-1]","[11]","[1]","[0]","[-353.999]","[-0.00778167]","[0.94169]",37492.1,-2.8117,3,"[272727,122781,24170]","[0.691662,1.47837,0.326783]","[-1.61473,1.75872,0.360997]","[341828,283370,26102.1]","[0.99072,0.999819,0.999725]","[0,0,0]","[0,0,0]","[-0.880043,-0.989354,-0.931851]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[278471,269902]","[1.16475,0.712918]","[1.60789,-1.61563]","[498393,342842]","[92625.5,30906.2]","[0,0]","[0.152598,1.50349]","[0.589963,0.471118]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1616.05]",17610.9,"[3614.67,4608.35,2228.84]","[]","[22395.6,18930.5]","[]"
1624,284500,3452,364124,1,2.24919,908262,1.1961,0.944735,1,1,1,0.998158,1.00056,1,1,0,0,2,"[1,1]","[1,1]","[79271.4,53619.5]","[0.301435,-0.689479]","[-1.20365,-0.198182]","[82900.1,66877.3]","[-0.0603943,0.102974]","[1,-1]","[11,11]","[1,1]","[1383.32,0]","[1363.77,1357.8]","[-0.00740441,-0.0268246]","[1.0744,2.10093]",45292,-1.39673,3,"[308385,136863,34091]","[1.31365,-1.20742,-0.482877]","[2.46631,-0.711997,0.333796]","[615592,249649,38522.6]","[0.99176,0.995781,0.99]","[0,0,0]","[0,0,0]","[-0.848168,-0.921044,-0.950322]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[302193]","[1.33401]","[2.47189]","[614320]","[33584.5]","[0]","[3.0089]","[0.630137]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[304.46,89.6399]",29177.1,"[14333,4181.59,1949.26]","[]","[5159.06]","[]"
1919,284500,11428,364124,-1,2.24919,908262,0.934886,0.909554,1,1,1,0.940504,1.00531,1,1,0,0,2,"[1,1]","[1,1]","[74117.2,25799.1]","[-0.0580176,-1.74561]","[-1.59108,-0.747057]","[74242,76158.5]","[-0.0014267,-0.0165405]","[-1,1]","[11,11]","[1,1]","[0,0]","[3023.22,239.122]","[0.0165178,0.0161635]","[2.20825,1.37615]",28352.4,-2.98491,6,"[261933,107323,34322.8,25199.1,24126.7,21616.4]","[0.374648,0.354497,-0.204218,1.57695,-1.14758,-0.728405]","[2.0155,-0.674615,-1.08955,0.724628,-1.09644,-1.63253]","[281231,114650,35912.1,63747.9,42200.1,27855.9]","[1,0.949135,0.992978,0.838648,1,0.96552]","[0,4,0,4,0,0]","[0,0,0,0,0,0]","[-0.953956,-0.951219,0.330072,-0.815085,-0.717583,-0.929089]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[250267]","[0.389739]","[2.00781]","[270006]","[16266.7]","[0]","[2.68711]","[0.487586]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[639.112,192.871]",659.307,"[4671.62,7645.15,3229.7,1448.1,2637.79,1656.66]","[]","[14328.3]","[]"
