event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
1076,284500,78476,364113,1,0.143925,1.00798e+06,1.26459,1,0.986328,1,1,0.953872,0.979119,1,0,1,0,1,"[1]","[1]","[35975.1]","[1.67141]","[-2.82131]","[99068.7]","[-0.0422134]","[1]","[13]","[1]","[0]","[-420.2]","[-0.030001]","[2.87993]",51021.1,1.61742,8,"[428134,306816,119082,61368.6,34723.1,28899.9,27877,23479.4]","[0.711442,0.1896,0.622603,1.12256,1.51748,-0.00805835,0.83765,2.02724]","[2.78704,-0.210331,-1.12123,0.199511,0.0931452,-0.792062,-2.47398,-1.64669]","[542761,314558,143654,104873,83055.9,29837.6,38936.6,90749.9]","[0.994414,0.988325,0.999183,0.99,1,0.9773,1,0.773835]","[4,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0]","[-0.747184,-0.958938,-0.925874,-0.939752,-0.840223,-0.192378,-0.585787,-0.845038]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[421012,376647]","[0.698687,0.414365]","[2.7931,-0.404364]","[529187,480070]","[35097.1,250639]","[0,0]","[2.28038,1.36043]","[0.722551,0.523953]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[336.89]",1175.72,"[4532.38,6550.18,2220.53,2322.27,2911.87,2762.98,2665.43,1862.76]","[]","[411.781,9111.12]","[]"
1164,284500,104663,364113,1,0.143925,1.00798e+06,1.25133,1,0.99575,1,1,0.951331,0.975029,1,0,1,0,2,"[1,1]","[1,1]","[87156,41773.1]","[-1.48359,-0.68514]","[-0.387147,-0.420325]","[202009,51967.3]","[-0.0212932,-0.0157776]","[1,-1]","[13,13]","[1,1]","[0,1510.52]","[-510.375,-510.375]","[0.0180428,-0.00695419]","[2.45405,0.983547]",20066.4,-2.49229,7,"[403039,382727,64092.5,42655.7,32709.7,28302.4,27538.4]","[-0.522196,-1.2826,-1.26721,-0.897134,0.0274519,-0.481441,0.136872]","[-3.1298,0.468075,-1.90162,-2.65659,-2.90646,-0.0504388,-0.579349]","[460274,746682,122920,61183.9,33203.5,31990.6,28268.2]","[0.933727,0.995932,0.868145,0.84542,0.99,0.992554,0.870543]","[0,4,0,0,0,0,0]","[0,0,0,0,0,0,0]","[-0.764728,-0.21266,0.104534,-0.457274,-0.727116,-0.872571,-0.917493]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[469500,373903]","[-0.559306,-1.28296]","[-3.10137,0.464856]","[552264,729961]","[90070.3,73867]","[0,0]","[2.73747,1.29963]","[0.650458,0.394709]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1105.06,100.692]",4322.43,"[5448.78,10311.4,6933.82,2177.03,6152.6,7516.16,3306.75]","[]","[20333.5,10623.3]","[]"
1331,284500,108107,364113,1,0.143925,1.00798e+06,1.08735,1,0.982092,1,1,0.987606,0,1,0,1,0,2,"[1,1]","[1,1]","[200276,25184.2]","[0.817909,1.8749]","[2.87875,2.4978]","[271084,84034.2]","[0.0168686,-0.00585938]","[-1,1]","[13,13]","[1,1]","[0,1328.69]","[-497.254,349.532]","[0.00488716,0.00089663]","[1.00618,0.0709438]",32929.9,1.65097,3,"[1.07942e+06,870124,33837.4]","[-1.22789,1.4695,-0.990003]","[-0.440979,2.69566,0.0428757]","[2.00168e+06,1.99304e+06,52195.4]","[0.985352,0.999887,1]","[0,0,0]","[0,0,0]","[-0.48489,-0.3458,-0.900133]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[1.124e+06,986563]","[-1.18839,1.42594]","[-0.442841,2.73416]","[2.0168e+06,2.18297e+06]","[69172.4,223946]","[0,0]","[4.84979,1.15332]","[0.716217,0.609499]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[13881,45.795]",14147.6,"[20447.2,15822,8256.15]","[]","[122959,19069.3]","[]"
1332,284500,107208,364113,1,0.143925,1.00798e+06,0.934886,1,0.997948,1,1,0.992314,0.971071,1,0,1,0,2,"[1,1]","[1,1]","[579662,191005]","[-0.880106,-0.824811]","[1.90969,2.18362]","[819032,259744]","[0.00789642,0.019886]","[1,-1]","[13,13]","[1,0]","[237485,505247]","[-169.187,229.114]","[0.0016396,-0.0024157]","[0.444693,0.419033]",82853.8,-1.23881,5,"[635131,177844,136630,73266.3,22495.8]","[-0.893205,0.476023,0.444029,-1.55668,0.675935]","[-1.40875,1.3866,-0.894028,-1.06898,-0.406096]","[906458,199778,151470,181940,28099.2]","[1,1,0.99629,0.994564,0.993598]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.642135,-0.867752,-0.898305,-0.762999,-0.412484]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[615393]","[-0.917097]","[-1.40829]","[893047]","[19189.4]","[0]","[1.34338]","[0.0235147]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[16300.2,1173.77]",9502.52,"[11378.6,3273.39,2277.23,5043.78,1692.39]","[]","[32362.3]","[]"
2323,284500,74906,364113,2.28426,0.143925,1.00798e+06,0.923924,1,0.996078,1,1,0.990169,1.00097,1,0,1,0,1,"[1]","[1]","[34420.6]","[-1.30285]","[-1.15534]","[68007.2]","[-0.0495071]","[1]","[13]","[1]","[1128.36]","[2310.26]","[-0.00330839]","[0.245098]",48059.5,-0.153693,4,"[833805,644821,58650.6,32702.4]","[0.746069,-0.778726,1.15759,0.42033]","[1.92097,-1.54184,2.93846,2.45585]","[1.07789e+06,851335,102873,36123.6]","[0.999247,0.957359,0.998179,0.988724]","[0,0,0,0]","[0,0,0,0]","[-0.870665,-0.682339,-0.810502,-0.93316]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",3,"[828958,644256,293070]","[0.759801,-0.766557,-0.886567]","[1.92076,-1.54255,-0.478311]","[1.08052e+06,843837,416045]","[34390.6,37708.2,6720.91]","[0,0,0]","[1.47229,2.64549,3.37007]","[0.491511,0.722216,0.231897]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[186.447]",9310.58,"[14186.6,8419.92,5965.18,6798.45]","[]","[32499.9,42656.9,33132.6]","[]"
2365,284500,76430,364113,1,0.143925,1.00798e+06,1.21412,1,0.998738,1,1,0.962157,0.981434,1,0,1,0,1,"[1]","[1]","[178135]","[-0.923773]","[0.676213]","[259702]","[0.0466461]","[1]","[13]","[1]","[0]","[324.247]","[0.00916652]","[2.13827]",88880.7,1.7241,3,"[681909,451269,29130.8]","[1.48298,-1.0576,0.422687]","[-1.76775,1.62518,1.29395]","[1.58015e+06,728891,32258.8]","[1,1,0.987488]","[0,5,4]","[0,0,0]","[-0.928629,0.97776,0.029008]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[682783,439268]","[1.47355,-1.06632]","[-1.76469,1.63431]","[1.56851e+06,714067]","[26546.3,26421.2]","[0,0]","[2.87837,2.96799]","[0.667273,0.719947]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2395.56]",9100.16,"[24149.4,8608.06,5722.44]","[]","[16994.9,13938.4]","[]"
4576,284500,75093,364113,-1,0.143925,1.00798e+06,0.75088,1,0.998799,1,1,0.993676,0.917626,1,0,1,0,1,"[1]","[1]","[422585]","[1.43524]","[-2.14575]","[937865]","[-0.0116234]","[1]","[13]","[1]","[3604.14]","[669.472]","[0.0090367]","[2.30559]",79827.9,1.53803,2,"[781432,476097]","[-0.953256,1.80204]","[1.44378,-1.29905]","[1.16575e+06,1.48252e+06]","[1,0.991457]","[0,0]","[0,0]","[-0.882129,-0.989686]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[724995,458968]","[-0.967371,1.79114]","[1.44874,-1.30126]","[1.09214e+06,1.41443e+06]","[36833.8,16965.7]","[0,0]","[2.68782,4.16877]","[0.61309,0.301084]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[15143.5]",40361.1,"[22739.5,13192.5]","[]","[38325.4,20566.2]","[]"
4614,284500,77245,364113,1,0.143925,1.00798e+06,1.32095,1,1.00035,1,1,0.968873,1.00076,1,0,1,0,1,"[1]","[1]","[59437.8]","[2.451]","[-1.95375]","[347301]","[-0.0189743]","[-1]","[13]","[1]","[0]","[-219.742]","[-0.0177136]","[1.68695]",21954.1,-0.390399,5,"[531408,276883,182955,33767.2,25297]","[0.0808315,0.850599,1.42095,1.27812,1.19568]","[1.58792,-1.60452,-1.58663,0.157129,-2.60867]","[535761,384102,401085,65508.3,46098]","[0.989471,0.993034,0.994648,0.999301,0.972347]","[0,0,0,4,0]","[0,0,0,0,0]","[-0.700395,-0.893688,-0.795491,-0.883809,-0.836855]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[539800,422211]","[0.102313,1.11085]","[1.58739,-1.59678]","[545325,721488]","[54165.9,124720]","[0,0]","[2.35954,0.797068]","[0.727536,0.755869]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[988.724]",1095.99,"[10985.6,5626.38,8010.42,1271.11,1751.82]","[]","[7449.56,23936]","[]"
4635,284500,78430,364113,1,0.143925,1.00798e+06,1.22586,1,0.993397,1,1,0.918753,0.968219,1,0,1,0,1,"[1]","[1]","[482190]","[-0.313151]","[-2.45647]","[506027]","[0.0506063]","[1]","[13]","[1]","[0]","[-1067.88]","[-0.0100334]","[2.10112]",69540.1,0.554299,3,"[611543,342054,271551]","[-1.59317,-0.329969,0.648794]","[0.196021,1.7028,-2.64232]","[1.56757e+06,361470,331596]","[0.988241,0.989959,0.99]","[4,4,0]","[0,0,0]","[-0.765592,-0.555334,-0.876139]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",3,"[627722,340691,264313]","[-1.59386,-0.330823,0.643228]","[0.196645,1.70836,-2.63788]","[1.60984e+06,359505,321059]","[57484.8,-0.00338291,9979.22]","[0,0,0]","[1.78789,0,1.67773]","[0.745878,-1,0.403688]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[24599.7]",22129.3,"[26470.6,3055.85,3085.93]","[]","[9028.62,9046.34,0]","[]"
5938,284500,229962,364113,1,0.143925,1.00798e+06,0.696077,1,0.988585,1,1,0.992919,0.982864,1,0,1,0,2,"[1,1]","[1,1]","[73251.7,33095.2]","[0.456184,0.691492]","[-1.54312,2.50921]","[81006.9,41328.1]","[-0.0108871,0.0186653]","[-1,1]","[13,13]","[1,1]","[0,0]","[2428.41,-202.389]","[0.00325809,-0.0107407]","[0.345594,1.30132]",1262.25,-0.809097,5,"[644372,479118,112036,59183.2,51620.1]","[-0.765007,-1.11072,2.2686,-0.357651,-0.725275]","[0.682419,-2.42007,2.37007,-1.46251,-1.87681]","[842742,806780,547325,63780.4,66407.5]","[0.645137,0.999925,0.887051,0.966092,0.956954]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.683321,-0.671925,-0.971162,-0.00367552,-0.855926]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[667936,542713]","[-0.753784,-1.08812]","[0.683806,-2.37222]","[867095,903338]","[20640.9,106966]","[0,0]","[7.33682,2.01312]","[0.512236,0.69255]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2067.98,74.7175]",41193.7,"[14850.9,13417.3,7896.68,3074.62,2161.6]","[]","[43990.6,34516.2]","[]"
