event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
14,284500,2316707,361107,1941.88,1950.63,1.46764e+11,0.696077,1,1.00061,1,1,0.998555,0.994245,1,0,1,0,1,"[1]","[1]","[132189]","[1.26166]","[1.12735]","[252114]","[0.0931702]","[-1]","[13]","[1]","[0]","[477.248]","[-0.0161154]","[2.77508]",56544,1.7421,2,"[447724,71950.6]","[-0.288664,1.34547]","[-1.69812,1.56233]","[466742,147675]","[0.99348,0.993322]","[0,0]","[0,0]","[-0.895698,-0.936879]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[470615]","[-0.308188]","[-1.69774]","[493404]","[16071]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3974.7]",9514.38,"[7666.18,6358.5]","[]","[28383.6]","[]"
50,284500,3124791,361107,1941.36,1950.63,1.46764e+11,0.696077,1,0.994352,1,1,0.999294,0.986771,1,0,1,0,1,"[1]","[1]","[382455]","[-0.565956]","[-0.440246]","[445359]","[0.00209355]","[-1]","[13]","[1]","[0]","[-912.171]","[-0.00136246]","[0.335996]",3449.82,0.879102,1,"[323469]","[-0.7163]","[2.69135]","[410959]","[0.998615]","[0]","[0]","[-0.954506]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[315861]","[-0.715693]","[2.68832]","[400629]","[17007.6]","[0]","[2.26264]","[0.520446]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[22401.9]",35680.5,"[4102.97]","[]","[15959.5]","[]"
54,284500,3101310,361107,1941.13,1950.63,1.46764e+11,1.26205,1,0.999528,1,1,0.998584,0.948081,1,0,1,0,1,"[1]","[1]","[397950]","[1.5269]","[2.25424]","[959280]","[-0.00615692]","[1]","[13]","[1]","[0]","[-333.89]","[-0.0148101]","[3.65241]",18388.4,0.5154,2,"[335616,50429.8]","[0.897004,2.10476]","[-0.855344,-1.95708]","[480851,210028]","[1,1]","[0,0]","[0,0]","[-0.650308,-0.953625]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[319547]","[0.923367]","[-0.854221]","[466727]","[30496]","[0]","[1.82383]","[0.600569]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[24709.2]",3281.46,"[12127.8,5245.45]","[]","[22123.9]","[]"
91,284500,3525854,361107,1940.89,1950.63,1.46764e+11,1.32095,1,0.992264,1,1,0.996952,0.93415,1,0,1,0,2,"[1,1]","[1,1]","[278385,91960]","[-1.15784,-0.901911]","[-2.0044,-2.55181]","[486785,131967]","[0.00714026,0.000248879]","[1,-1]","[13,13]","[1,1]","[0,0]","[-619.919,-619.919]","[0.00793229,-0.00109252]","[1.41816,0.187947]",15132.2,-2.21444,3,"[383854,29603.7,22159.7]","[-1.44293,1.52165,-1.13351]","[0.958028,-2.84274,0.603615]","[858123,71256.2,38195.8]","[0.994904,0.998922,0.997144]","[0,0,0]","[0,0,0]","[-0.754319,-0.729289,-0.767134]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[377208]","[-1.44515]","[0.960295]","[844772]","[16684.3]","[0]","[2.86108]","[0.64936]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[44632.8,805.986]",7026.75,"[7187.88,3068.35,1626.79]","[]","[5146.91]","[]"
95,284500,3505071,361107,1941.29,1950.63,1.46764e+11,1.24168,1,0.989255,1,1,0.999278,0.868668,1,0,1,0,2,"[1,1]","[1,1]","[115535,110324]","[-1.88423,-2.31518]","[-1.03751,-1.72833]","[388962,564060]","[0.0441628,0.0740395]","[-1,1]","[13,13]","[1,1]","[0,0]","[1218.45,132.305]","[-0.021784,-0.0107731]","[3.31645,1.94824]",24152.6,-0.611594,2,"[257050,39173.1]","[-0.593729,0.569181]","[1.7211,-1.93517]","[303925,45743.9]","[0.990395,0.934983]","[0,0]","[0,0]","[-0.861169,-0.95384]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[252564]","[-0.584176]","[1.72035]","[296966]","[6347.96]","[0]","[5.26402]","[0.197649]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1876.2,1812.38]",18188.1,"[2754.61,2111.32]","[]","[0]","[]"
101,284500,3765579,361107,1941.67,1950.63,1.46764e+11,1.22586,1,0.988956,1,1,1.09244,0.940094,1,0,1,0,2,"[1,1]","[1,1]","[320034,65409.4]","[-0.418558,0.188848]","[-0.11548,-0.323634]","[348479,66579.3]","[0.0191174,0.0574245]","[-1,1]","[13,13]","[1,1]","[0,0]","[471.789,-417.606]","[0.0139173,0.0134741]","[2.37051,1.97509]",47466,2.58583,2,"[316187,25465.8]","[1.5247,-0.0638637]","[3.08119,2.30331]","[761007,25637.7]","[0.990088,0.989139]","[5,5]","[0,0]","[0.384166,0.999923]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[312402]","[1.52262]","[3.07299]","[750295]","[15393.1]","[0]","[1.83128]","[0.618271]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[65179.6,206.495]",3156.73,"[5362.75,1234.62]","[]","[7169.16]","[]"
108,284500,3856235,361107,1941.11,1950.63,1.46764e+11,1.26459,1,0.991521,1,1,0.999237,0.909105,1,0,1,0,2,"[1,1]","[1,1]","[234355,77249.3]","[-0.368607,-0.987982]","[1.76742,1.64691]","[250458,118119]","[-0.110466,-0.00147247]","[1,-1]","[13,13]","[1,1]","[0,0]","[907.713,-221.332]","[0.0150334,0.0187931]","[2.65957,2.91317]",60878.4,1.56204,2,"[222528,43842.9]","[0.214793,0.0996048]","[-1.73592,-1.14368]","[228562,44338.7]","[0.99664,0.988679]","[0,0]","[0,0]","[-0.910961,-0.889791]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[278840]","[0.165005]","[-1.66058]","[290302]","[66237.6]","[0]","[1.96811]","[0.728054]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4058.53,445.93]",15211.8,"[3654.71,5169.72]","[]","[5551.22]","[]"
136,284500,3344963,361107,1941.44,1950.63,1.46764e+11,1.26459,1,0.988159,1,1,0.997836,1.01438,1,0,1,0,2,"[1,1]","[1,1]","[101867,76411]","[-1.26221,-1.89581]","[0.702761,0.205221]","[194374,260107]","[-0.0302458,-0.0444717]","[1,-1]","[13,13]","[1,1]","[0,0]","[-706.746,-194.085]","[-0.00500672,-0.00767628]","[0.937047,1.14527]",43942.4,-0.610005,5,"[169140,90687.4,53799.4,51132.7,26022]","[1.15996,0.48077,1.44401,1.81871,-0.177498]","[-2.44175,-2.44685,1.68805,0.739772,2.12466]","[296470,102113,120518,161848,27072.5]","[0.990829,1,0.997403,0.767702,0.987035]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.913203,-0.898084,-0.849153,-0.914513,-0.866707]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[258945]","[0.979674]","[-2.4477]","[404175]","[92402.3]","[0]","[0.542659]","[0.548681]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4359.53,1084.75]",4218.55,"[6206.66,2538.56,2761.98,2479.06,3287.28]","[]","[4380.84]","[]"
191,284500,3317500,361107,1941.92,1950.63,1.46764e+11,1.32095,1,0.994745,1,1,0.985825,0.945822,1,0,1,0,2,"[1,1]","[1,1]","[281090,66737.2]","[0.893923,0.742134]","[-2.67392,2.95485]","[401080,85974.6]","[0.022789,0.0387268]","[-1,1]","[13,13]","[1,1]","[1883.75,0]","[-690.531,-690.531]","[0.0261778,0.00589932]","[5.17419,0.615075]",25802.1,-2.49602,2,"[333951,34509.6]","[0.460707,0.894454]","[0.333759,0.605842]","[370707,49713]","[0.99459,0.996832]","[4,0]","[0,0]","[-0.271008,-0.905294]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[324087]","[0.504988]","[0.334263]","[366482]","[11671.4]","[0]","[0.536597]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[7191.05,107.137]",1058.7,"[3985.74,2288.84]","[]","[473.531]","[]"
209,284500,2491646,361107,1941.29,1950.63,1.46764e+11,1.26205,1,0.996831,1,1,0.98513,0.920251,1,0,1,0,1,"[1]","[1]","[42187.6]","[-0.351292]","[-1.34396]","[44817.7]","[-0.0271721]","[1]","[13]","[1]","[0]","[14.9944]","[-0.00915639]","[1.35371]",11583,1.55336,2,"[273777,117961]","[0.0545017,-0.771656]","[1.27785,-2.37146]","[276577,155848]","[0.994722,0.994977]","[0,4]","[0,0]","[-0.983551,0.721178]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[270940]","[0.0434344]","[1.26752]","[273718]","[37069.2]","[0]","[2.19166]","[0.649267]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[237.375]",38764.8,"[8992.55,1523.97]","[]","[13589.7]","[]"
