event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
63,284500,5484,364141,1,0.144568,997975,0.696077,1,0.999857,1,1,0.994574,0.988185,1,0,1,0,1,"[0]","[1]","[48793.1]","[-1.3339]","[-0.105337]","[99032.1]","[0.191946]","[-1]","[13]","[1]","[0]","[-255.806]","[0.0161036]","[2.09979]",3327.59,0.199293,3,"[687098,582178,25063.3]","[-0.35699,-1.17457,-1.0087]","[-2.6962,0.533342,1.06151]","[732086,1.03354e+06,39233.4]","[0.995368,0.995144,0.984655]","[0,0,15]","[0,0,1]","[0.211196,-0.713894,0.446962]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[725230,574452]","[-0.346262,-1.1692]","[-2.69811,0.527013]","[769602,1.01445e+06]","[26603.4,32911.2]","[0,0]","[5.90747,3.46764]","[0.0798874,0.68459]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[221.976]",16214.7,"[11429.3,12431.7,2007.19]","[]","[27732.2,23879.4]","[]"
231,284500,6061,364141,1,0.144568,997975,0.923924,1,0.995034,1,1,0.959692,0.909407,1,0,1,0,1,"[0]","[1]","[51962.9]","[-0.0581665]","[1.89177]","[52051]","[0.0110316]","[1]","[13]","[1]","[0]","[-1382.47]","[0.00412797]","[0.686523]",160455,2.86155,4,"[735809,519193,127384,26810.5]","[-1.57373,0.0235715,-0.755829,0.533885]","[-0.110515,-3.10429,-0.739414,0.753872]","[1.85177e+06,519916,166190,31341.3]","[0.995815,0.992968,0.980482,0.85648]","[0,0,4,0]","[0,0,0,0]","[-0.945771,-0.958123,0.353867,-0.841433]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[721242,554864]","[-1.57106,0.0231505]","[-0.11288,-3.10489]","[1.81028e+06,555277]","[21034.3,17155.9]","[0,0]","[2.17823,4.02892]","[0.170775,0.479595]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[378.932]",4929.28,"[18310.8,9114.82,6052.95,3097.66]","[]","[10700.7,16293.7]","[]"
275,284500,7009,364141,-1,0.144568,997975,1.26205,1,0.997162,1,1,0.996465,0.969817,1,0,1,0,1,"[0]","[1]","[77943.4]","[-2.08858]","[-1.01372]","[319463]","[-0.806782]","[-1]","[13]","[1]","[0]","[1117.17]","[0.0347211]","[4.66769]",399904,-1.03549,3,"[524015,355950,29793]","[-0.489215,-1.0269,-1.05429]","[2.90685,0.595311,2.8745]","[598968,561046,48215.3]","[0.993631,0.943862,0.997674]","[0,0,0]","[0,0,0]","[-0.637145,-0.70961,-0.92628]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[530655,351571]","[-0.480226,-1.02644]","[2.91043,0.597993]","[605523,553788]","[122371,13724.2]","[0,0]","[1.23022,2.92896]","[0.73076,0.322301]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[344.978]",3564.56,"[6427.62,6758.39,6529.83]","[]","[4432.19,3723.31]","[]"
593,284500,7345,364141,1,0.144568,997975,1.26205,0.9623,1,1,1,0.991508,1.01797,1,1,0,0,1,"[0]","[1]","[54054.9]","[-2.10692]","[-0.233805]","[225530]","[0.0858383]","[1]","[11]","[1]","[0]","[-329.337]","[0.00556544]","[0.405747]",199725,-0.0822314,5,"[543041,469742,292812,64173.3,23780.1]","[-1.22119,1.57812,0.722973,-0.953494,0.424551]","[-2.86202,1.12129,-1.60165,0.580716,0.706291]","[1.00119e+06,1.18692e+06,375442,95779.6,26225.6]","[0.996556,1,1,0.992546,0.963816]","[0,0,0,15,0]","[0,0,0,1,0]","[-0.836117,-0.858336,-0.95,-0.64311,-0.699543]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",3,"[543628,490135,252825]","[-1.20209,1.59211,0.771305]","[-2.85847,1.1221,-1.60716]","[986131,1.25431e+06,333931]","[13433.5,19794.7,37376.1]","[0,0,0]","[0,2.28005,1.26743]","[-1,0.604675,0.77855]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[537.12]",39372,"[30063.1,13447.5,4524.97,2153.8,6820.25]","[]","[16105.9,3689.97,105.484]","[]"
664,284500,13453,364141,1,0.144568,997975,1.25133,0.98458,1,1,1,0.994545,1.00582,1,1,0,0,1,"[0]","[1]","[125540]","[-0.307999]","[-2.66709]","[131541]","[0.0780106]","[1]","[11]","[1]","[0]","[-71.0026]","[0.0129707]","[1.87289]",116812,-2.92375,6,"[527659,343718,90271.7,39888.9,24797.4,22693.8]","[-0.371339,0.110506,-0.436596,-0.395656,-0.39176,0.613916]","[0.18969,3.0863,-0.823761,2.85351,1.4324,-0.0812238]","[564561,346113,100464,43539.5,27187.4,27555.3]","[0.999891,0.999172,0.999277,1,0.990416,0.9911]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.590629,-0.885996,-0.780419,-0.946623,-0.797116,0.482071]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[531453,521278]","[0.00306647,-0.342579]","[-3.08597,0.190465]","[557678,552234]","[168997,8566.2]","[0,0]","[1.01349,3.90152]","[0.365509,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[477.827]",9529.91,"[10872,3969.14,5181.34,1949.75,2090.95,3241.18]","[]","[38881,8917.5]","[]"
808,284500,3484,364141,1,0.144568,997975,0.75088,0.94772,1,1,1,0.972868,0.94369,1,1,0,0,1,"[0]","[1]","[42546.5]","[-1.24991]","[2.07198]","[80339.5]","[0.0651245]","[-1]","[11]","[1]","[0]","[77.0619]","[0.0357623]","[2.56162]",88494,2.03009,5,"[450852,447040,319126,151743,92680.3]","[-0.90602,-0.729759,-0.747805,-1.14837,-0.383521]","[-0.809205,1.71663,-2.74152,-0.195932,-1.92704]","[649948,571656,414588,263580,100230]","[0.991953,1,0.997847,1,0.98592]","[0,0,5,0,0]","[0,0,0,0,0]","[-0.76018,-0.894331,0.908364,-0.567583,-0.851332]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",3,"[557106,500111,370938]","[-1.00807,-0.800816,-0.726652]","[-0.658245,1.74856,-2.5839]","[883028,675007,496474]","[177670,88125.2,150052]","[0,0,0]","[0.977482,0.0318384,1.30278]","[0.706098,0.293581,0.717908]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[366.475]",2770.89,"[7588.51,7052.94,13257,8243.96,2264.66]","[]","[32549.4,42347,59689.2]","[]"
1192,284500,12805,364141,1,0.144568,997975,1.26459,0.96819,1,1,1,0.991109,0.95922,1,1,0,0,1,"[0]","[1]","[45232]","[-0.859252]","[-0.959713]","[62982.6]","[-0.12326]","[-1]","[11]","[1]","[2253.24]","[-126.931]","[0.102901]","[5.45112]",87567,-0.555683,4,"[628356,433497,66628,32083.6]","[1.39316,-1.24029,-0.981632,0.000466565]","[2.80781,-0.339526,0.11049,0.490231]","[1.34497e+06,812426,101661,32343.9]","[0.989287,0.989503,1,0.994207]","[0,0,15,0]","[0,0,1,0]","[-0.288313,-0.641065,-0.905659,-0.838807]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[618164,515621]","[1.37349,-1.22872]","[2.81349,-0.332742]","[1.30077e+06,971318]","[70481.5,169830]","[0,0]","[1.9203,2.2948]","[0.694015,0.298257]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[49.2313]",43534.1,"[27229.7,17937.9,4894.36,2133.58]","[]","[18029.9,14977.7]","[]"
1253,284500,16731,364141,1,0.144568,997975,0,0.94038,1.01282,1,1,0.953403,0.99919,1,1,0,0,2,"[0,0]","[1,0]","[34653.8,22421.1]","[-2.21954,0.00570403]","[-0.21916,1.6847]","[161343,22421.7]","[-0.0311604,-55.5147]","[1,1]","[11,13]","[1,0]","[1348.34,6898.5]","[-387.418,2630.87]","[-0.0119936,-0.68418]","[0.652225,36.5352]",26750.2,0.539761,6,"[507860,177161,153154,65093.2,37475.7,32636.6]","[-0.644076,0.0153891,1.69967,1.88436,2.10767,-0.909966]","[-2.89688,0.297928,0.311572,-0.523254,-1.1406,2.54363]","[617389,178396,433389,219390,156549,47511.2]","[0.976766,0.963798,1,0.993049,1,0.997143]","[0,0,0,4,0,15]","[0,0,0,0,0,1]","[-0.852245,-0.957066,-0.952729,-0.748182,-0.429731,-0.915657]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[533948]","[-0.634528]","[-2.89566]","[645614]","[25928.1]","[0]","[4.11937]","[0.551764]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[448.171,143.948]",10988.4,"[13803.2,5053.68,3187.88,8255.7,3111.03,3100.11]","[]","[535.688]","[]"
1334,284500,8231,364141,1,0.144568,997975,1.26205,1,0.998463,1,1,0.989823,1.02398,1,0,1,0,1,"[0]","[1]","[177126]","[-0.871256]","[0.804743]","[248715]","[0.0341129]","[-1]","[13]","[1]","[0]","[-617.209]","[0.0277667]","[5.51739]",152755,0.608873,5,"[614223,353544,85952.3,63135.5,20303.4]","[-1.47675,-0.739066,0.823584,-1.36085,0.331859]","[-2.80209,0.0701943,-2.12794,0.640483,-2.96753]","[1.4161e+06,455895,117005,131293,21619.1]","[0.999714,0.995123,0.999588,1,0.98703]","[0,0,0,15,0]","[0,0,0,1,0]","[0.137547,-0.958545,-0.912334,-0.630743,-0.796112]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[604379,406366]","[-1.48108,-0.848162]","[-2.80787,0.145921]","[1.39868e+06,578856]","[53546.5,140656]","[0,0]","[2.51984,1.56953]","[0.667916,0.608802]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4049.62]",28003.7,"[25194.3,9809.7,2827.25,3055.32,2469.33]","[]","[35670.3,16692.9]","[]"
1347,284500,2712,364141,1,0.144568,997975,0.696077,1,0.994043,1,1,0.993902,0.898807,1,0,1,0,1,"[0]","[1]","[29942.2]","[-0.743885]","[-2.63711]","[38616]","[0.00944042]","[-1]","[13]","[1]","[0]","[509.766]","[0.0353372]","[4.05763]",25066.9,-2.22179,5,"[547015,504912,35213.6,26756.3,20432.5]","[-2.01754,-0.206389,1.54885,-0.0853968,0.100914]","[2.12199,-0.909682,-1.57009,0.823304,-1.33532]","[2.09329e+06,517805,86707.5,27014.4,20806.1]","[0.98458,0.998525,0.99834,0.978351,1]","[0,0,0,15,0]","[0,0,0,1,0]","[0.0853105,-0.85418,-0.0470242,-0.858346,-0.563283]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[463508]","[-0.222088]","[-0.907216]","[476219]","[34250.5]","[0]","[3.92379]","[0.461202]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[76.6393]",1542.42,"[18097.1,5937.46,2297.92,1946.01,2541.39]","[]","[6789.22]","[]"
