event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,5557,364134,1,24.5727,2.57404e+06,1.22586,0.97332,1,1,1,0.998024,0.98683,1,1,0,0,1,"[0]","[1]","[73082.8]","[-0.829408]","[1.22517]","[99694.8]","[-0.0560417]","[1]","[11]","[1]","[0]","[-955.605]","[0.0253213]","[2.90028]",98676.5,1.398,2,"[257491,31421]","[-0.915762,-1.40502]","[-1.83343,-1.41585]","[375462,68083.6]","[0.999911,0.997762]","[0,0]","[0,0]","[-0.878195,-0.89954]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[258756]","[-0.927388]","[-1.82721]","[379694]","[33259.9]","[0]","[1.19546]","[0.548091]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[193.952]",2133.46,"[4394.09,2550.46]","[]","[0]","[]"
2,284500,5558,364134,1,24.5727,2.57404e+06,1.26459,1,1,1,1,0.999,1,1,1,0,0,1,"[0]","[1]","[194793]","[0.917112]","[-1.0676]","[282618]","[0.0165596]","[-1]","[11]","[0]","[0]","[4252.15]","[-0.00296481]","[0.112004]",89726.2,-0.861548,2,"[220569,38201.7]","[0.210403,0.718091]","[2.19884,2.24728]","[230188,48829.5]","[0.992572,0.975991]","[0,0]","[0,0]","[0.725478,-0.614553]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[255794]","[0.246787]","[2.2231]","[270965]","[62648.4]","[0]","[1.6238]","[0.598117]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1847.66]",9284.51,"[7710.7,2828.75]","[]","[0]","[]"
9,284500,1430,364134,1,24.5727,2.57404e+06,0.934886,0.97994,1,1,1,0.99933,1.00632,1,1,0,0,1,"[0]","[1]","[192834]","[0.47082]","[2.94829]","[214605]","[-0.0330658]","[-1]","[11]","[1]","[0]","[-32.7532]","[0.00135408]","[0.196558]",35934.4,-2.82665,2,"[263042,30842.3]","[0.574312,1.41513]","[-0.320962,2.30351]","[308239,67296.3]","[0.992011,0.999431]","[0,15]","[0,1]","[-0.926096,-0.843546]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[254169]","[0.614753]","[-0.320771]","[304424]","[20565.3]","[0]","[1.72551]","[0.507573]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1279.96]",1016.6,"[3109.13,4505.9]","[]","[21291.8]","[]"
16,284500,342845,364134,1,24.5727,2.57404e+06,1.26205,1,0.998569,1,1,0.993516,0.947791,1,0,1,0,1,"[0]","[1]","[58738]","[2.21034]","[1.23233]","[271030]","[-0.108131]","[-1]","[13]","[0]","[0]","[990.41]","[-0.187684]","[18.182]",45353.4,0.78028,5,"[252046,129660,25982,25144.8,23440.5]","[1.07139,1.55613,0.494552,1.02568,-0.129525]","[-2.18289,0.941379,0.949901,0.548539,-2.56435]","[411598,321588,29629,40013.5,24275.1]","[0.988725,0.978285,0.963724,0.985828,0.972221]","[0,15,0,0,0]","[0,1,0,0,0]","[-0.930041,0.0241865,-0.505253,-0.508701,-0.820221]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[254416]","[1.06102]","[-2.19134]","[411816]","[14237.4]","[0]","[4.81401]","[0.584902]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1675.06]",12517,"[8782.02,3423.12,1780.53,3468.19,2725.51]","[]","[0]","[]"
21,284500,341705,364134,1,24.5727,2.57404e+06,0.75088,1,0.995905,1,1,0.998858,0.99415,1,0,1,0,1,"[0]","[1]","[80222.2]","[1.4298]","[-0.479027]","[177180]","[0.21233]","[-1]","[13]","[1]","[0]","[-615.843]","[-0.00505451]","[0.789256]",148084,-0.487596,2,"[244514,31964.4]","[1.1528,1.18071]","[2.77711,0.605201]","[426450,57219.4]","[0.997757,0.97831]","[0,15]","[0,1]","[-0.916909,-0.943245]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[250193]","[1.14025]","[2.82955]","[432282]","[29954.8]","[0]","[2.97282]","[0.793254]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1384.18]",6551.23,"[7560.1,1984.4]","[]","[3671.2]","[]"
23,284500,218073,364134,1,24.5727,2.57404e+06,1.26459,0.9407,1,1,1,1.25147,0.94055,1,1,0,0,1,"[0]","[1]","[30344.8]","[1.80834]","[0.499933]","[95043.5]","[0.139668]","[-1]","[11]","[1]","[0]","[-631.969]","[-0.0438443]","[3.46236]",162041,0.374855,2,"[252281,68392.8]","[1.55495,1.46929]","[-2.86343,-0.0412748]","[624157,156606]","[0.971325,0.984686]","[0,15]","[0,1]","[-0.890893,0.856055]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[258001]","[1.55202]","[-2.85991]","[636655]","[20067.1]","[0]","[1.98306]","[0.764823]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[421.604]",7641.75,"[9609.93,2544.06]","[]","[7346.14]","[]"
25,284500,233030,364134,1,24.5727,2.57404e+06,0.619412,1.00336,0.999264,1,1,0.99887,0.968596,1,0,1,0,2,"[0,0]","[1,0]","[105313,12120.1]","[-2.4079,-1.81154]","[-0.909256,-0.502284]","[589785,38077.1]","[0.214281,0.187513]","[1,-1]","[13,11]","[1,1]","[0,0]","[-386.351,827.137]","[-0.00924346,-0.0700161]","[1.29446,0.842604]",154042,-0.710277,2,"[243127,29198.4]","[-0.598625,-0.791569]","[2.45532,1.59272]","[288693,39259.8]","[0.999993,0.992599]","[0,0]","[0,0]","[-0.942466,-0.869339]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[256702]","[-0.618384]","[2.38863]","[314583]","[66988]","[0]","[2.61315]","[0.753767]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4402.34,65.6141]",2582.16,"[4027.79,1940.73]","[]","[0]","[]"
31,284500,48358,364134,1,24.5727,2.57404e+06,0.596562,1,0.995272,1,1,0.997294,0.894479,1,0,1,0,1,"[0]","[1]","[57233.6]","[0.222598]","[-0.888007]","[58657.5]","[0.112118]","[-1]","[13]","[1]","[2311.25]","[-23.0182]","[-0.0578832]","[10.3566]",92757,-0.905926,2,"[292532,142538]","[-0.252455,0.852258]","[2.12674,-1.1428]","[302321,197753]","[0.997933,1]","[0,15]","[0,1]","[-0.660704,-0.946937]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[295859]","[-0.241396]","[2.12832]","[304990]","[16896.7]","[0]","[1.54483]","[0.274509]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[576.708]",823.594,"[3794.55,2633.67]","[]","[10368.2]","[]"
38,284500,297869,364134,1,24.5727,2.57404e+06,1.26459,1,0.998208,1,1,0.998887,0.981581,1,0,1,0,1,"[0]","[1]","[38429.8]","[-1.59428]","[2.6385]","[98530.9]","[-0.0188751]","[1]","[13]","[1]","[0]","[527.612]","[-0.0178696]","[1.88559]",195778,2.52525,2,"[274335,22065.2]","[-0.970618,-0.740754]","[-0.656431,1.66566]","[414427,28715.7]","[0.784402,0.885021]","[0,0]","[0,0]","[-0.946062,-0.800907]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[273887]","[-0.928418]","[-0.662637]","[401314]","[23037.9]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[402.662]",2777.3,"[7801.89,1799.98]","[]","[7367.81]","[]"
44,284500,350497,364134,1,24.5727,2.57404e+06,0.923924,0.94641,1,1,1,0.992908,1.01211,1,1,0,0,1,"[0]","[1]","[36700.8]","[-2.29709]","[2.48009]","[184344]","[-0.112314]","[1]","[11]","[1]","[0]","[-37.0685]","[-0.107378]","[4.92795]",110679,2.71186,3,"[250884,118571,21541.7]","[-1.70673,-1.6531,-2.46656]","[-0.722538,2.29759,0.592573]","[715053,321063,127879]","[1,0.562502,0]","[0,15,0]","[0,1,0]","[-0.705965,-0.854366,-0.753303]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[251902]","[-1.70471]","[-0.722269]","[716680]","[39184.7]","[0]","[1.43082]","[0.678944]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[232.747]",15024.5,"[4994.82,11871.4,2721.78]","[]","[2959.12]","[]"
