event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
1,284500,347320,410026,1.26633e-09,1.28866,0.00027783,0.923924,0.97446,1,1,1,1.04427,0.98483,1,1,0,0,1,"[0]","[1]","[53387.9]","[-0.263961]","[2.91045]","[55258.6]","[0.070776]","[-1]","[11]","[1]","[0]","[5100.49]","[0.0106205]","[1.35499]",229324,2.51807,6,"[415915,111371,90211.6,24037.1,22797.9,20450.4]","[1.54057,-0.589243,-0.881062,1.94287,2.01585,0.307043]","[-0.563689,1.62049,3.0309,-0.187687,-2.05598,-2.57819]","[1.01597e+06,131973,128239,85732,87158.5,21740.6]","[0.996008,0.993839,0.990275,0.995901,0.996923,0.843611]","[0,5,5,0,0,0]","[0,1,1,0,0,0]","[-0.962952,0.998929,0.998833,-0.13206,-0.904711,-0.874307]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[392866]","[1.52635]","[-0.573065]","[946869]","[24818.7]","[0]","[2.14106]","[0.670172]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[93.8985]",30220.4,"[28472.4,5268.06,3668,1940.39,1615.96,1146.33]","[]","[9368.75]","[]"
3,284500,257015,410026,1.26347e-09,1.28866,0.00027783,0.164755,0.96194,1,1,1,0.975084,1.01532,1,1,0,0,1,"[1]","[1]","[58791.8]","[2.25735]","[-0.393082]","[284033]","[-0.025547]","[-1]","[11]","[1]","[3302.21]","[757.906]","[0.0113689]","[0.802477]",34258.1,2.47953,5,"[406873,345429,86393.4,25676.2,20786.6]","[0.769616,-0.478052,1.71451,2.2461,1.86308]","[-2.21987,0.703806,2.11455,2.8046,0.568263]","[534731,386429,247838,122775,68728.8]","[0.998572,0.922177,1,0.966003,0.993528]","[5,0,5,0,0]","[1,0,1,0,0]","[0.965153,0.411159,0.99905,-0.869616,-0.709973]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[445332,319234]","[0.778526,-0.47388]","[-2.21674,0.70209]","[588482,356211]","[38120.2,18036.2]","[0,0]","[2.05717,1.53187]","[0.765678,0.398469]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[193.84]",19.2148,"[10623.4,8304.71,1684.69,7460.35,3015.36]","[]","[28046,42508.2]","[]"
5,284500,420550,410026,1.26432e-09,1.28866,0.00027783,1.22586,0.99093,1,1,1,0.987323,1.00306,1,1,0,0,1,"[1]","[1]","[85935]","[0.815223]","[2.90702]","[116108]","[-0.0217361]","[-1]","[11]","[1]","[0]","[-317.469]","[-0.0396401]","[4.0292]",115124,2.72962,3,"[244256,87612.9,25984]","[0.92312,0.291298,-1.86534]","[-0.626669,1.85458,-0.529359]","[356296,91962,86070.6]","[0.993139,0.982505,0.991668]","[5,5,0]","[1,1,0]","[0.952594,0.934921,-0.704078]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[250630]","[0.96096]","[-0.621469]","[375799]","[14063.6]","[0]","[0.662685]","[0.0631578]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[406.63]",3201.85,"[3636.93,3145.38,4430.51]","[]","[8289.89]","[]"
8,284500,392262,410026,1.26779e-09,1.28866,0.00027783,0.696077,0.97062,1,1,1,0.968722,0.98871,1,1,0,0,1,"[1]","[1]","[73434.7]","[-0.788124]","[1.41954]","[97446.5]","[0.0229111]","[-1]","[11]","[1]","[0]","[1869.29]","[-0.014244]","[2.05196]",48074.7,2.9622,3,"[367304,349008,117765]","[-0.49303,-1.50277,-1.65187]","[1.70578,-1.24028,-1.93589]","[413998,823642,318955]","[0.995103,0.996909,0.998447]","[5,0,5]","[1,0,1]","[0.993325,-0.722071,0.993838]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[469197,408932]","[-0.512256,-1.5658]","[1.65739,-1.37955]","[538716,1.02981e+06]","[84074.6,131404]","[1,0]","[1.45948,0.901021]","[0.590938,0.788676]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[187.017]",372.27,"[5270.94,4972.39,1558.06]","[]","[4429.03,268.719]","[]"
11,284500,487866,410026,1.26481e-09,1.28866,0.00027783,1.25133,1,0.996824,1,1,1.10234,0.961157,1,0,1,0,1,"[1]","[1]","[25554.3]","[-0.124219]","[1.97205]","[25751.9]","[-0.0592709]","[-1]","[13]","[1]","[0]","[513.347]","[-0.0051096]","[0.555633]",131747,-0.37752,3,"[627491,453905,76238.2]","[-0.491518,0.397885,-0.215334]","[2.42973,-0.724895,-1.14998]","[705487,493312,78607]","[0.997321,0.996755,0.969953]","[0,5,5]","[0,1,1]","[-0.96397,-0.944098,0.983839]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[589883,509240]","[-0.502782,0.322345]","[2.42847,-0.762235]","[666278,551618]","[18356.7,130633]","[0,1]","[4.79808,1.90146]","[0.166837,0.581472]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[60.8404]",9613.12,"[8048.58,12208.2,2238.57]","[]","[3511.62,18878.6]","[]"
12,284500,349584,410026,1.26609e-09,1.28866,0.00027783,1.32095,0.97446,1,1,1,1.11071,0.98483,1,1,0,0,1,"[1]","[1]","[51762.2]","[-0.406251]","[0.846402]","[56092.7]","[0.0262642]","[-1]","[11]","[1]","[1133.28]","[-1442.98]","[0.00629938]","[0.607218]",29562.4,3.05528,3,"[240197,142237,29425.8]","[-0.233029,-0.943555,-1.01959]","[0.292825,0.318265,3.06787]","[248092,211011,46382.5]","[0.984041,0.991558,0.993737]","[5,5,0]","[1,1,0]","[0.682179,0.983059,-0.890567]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[422526,359821]","[-0.542943,-0.110564]","[0.365697,-2.63609]","[516920,363954]","[175132,37450.5]","[1,0]","[1.17787,3.22903]","[0.504729,0.529795]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[228.158]",11665.5,"[2058.59,7293.88,1844.46]","[]","[12431.3,18500.8]","[]"
13,284500,349102,410026,1.26609e-09,1.28866,0.00027783,1.21412,1,0.987889,1,1,1.05547,1.00468,1,0,1,0,1,"[1]","[1]","[63575.7]","[-1.8429]","[2.97636]","[205769]","[-0.103065]","[-1]","[13]","[1]","[0]","[-293.409]","[0.0163599]","[1.92287]",61819.4,-0.465818,2,"[228772,223461]","[-1.01589,-1.87296]","[2.33261,-0.739777]","[358377,744386]","[1,0.987354]","[5,5]","[1,1]","[-0.0320771,0.99849]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[251184]","[-1.02134]","[2.33717]","[394821]","[25687.1]","[1]","[2.4413]","[0.676509]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[75.8241]",9780.4,"[8655.32,3102.59]","[]","[4862.59]","[]"
14,284500,349316,410026,1.26609e-09,1.28866,0.00027783,1.21412,1,0.992919,1,1,1.00329,0.924334,1,0,1,0,1,"[1]","[1]","[76643.9]","[0.962725]","[1.11694]","[114992]","[-0.0243416]","[-1]","[13]","[0]","[0]","[-988.486]","[0.0184018]","[2.99264]",48250.3,2.01161,4,"[276190,173516,86378.5,37472.1]","[-0.0276837,0.639621,1.84325,-0.540908]","[-1.08352,2.16775,-2.91491,-1.95968]","[277578,210766,280014,43689.1]","[0.996545,0.998109,0.994822,0.994705]","[4,5,0,5]","[0,1,0,1]","[-0.93429,0.999892,-0.899526,0.99679]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[277724]","[-0.0449289]","[-1.09751]","[280092]","[34137.3]","[0]","[2.54174]","[0.625321]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1882.14]",12958.8,"[11353.1,2057.82,3991.49,1245.32]","[]","[1190.66]","[]"
15,284500,240988,410026,1.26396e-09,1.28866,0.00027783,0.619412,0.98916,1,1,1,1.16004,0.99765,1,1,0,0,1,"[1]","[1]","[93481.4]","[0.753571]","[3.12364]","[121304]","[0.101974]","[-1]","[11]","[1]","[1485.29]","[-1312.92]","[0.0280885]","[1.33293]",150215,-3.09088,3,"[302066,78692.7,67936]","[0.44473,1.14305,-2.36073]","[-0.344736,2.4703,1.4475]","[335903,136069,363347]","[0.992831,0.990417,0]","[5,5,0]","[1,1,0]","[0.0116923,0.995531,-0.821932]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[307980]","[0.405944]","[-0.338174]","[337677]","[51631.3]","[0]","[1.78725]","[0.73406]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[583.716]",1746.33,"[6133.2,7722.01,2336.73]","[]","[15352.1]","[]"
18,284500,240930,410026,1.26396e-09,1.28866,0.00027783,0.619412,1,1.00431,1,1,0.912432,0.919965,1,0,1,0,1,"[1]","[1]","[71625]","[-0.076585]","[-0.233691]","[71835.2]","[-0.00165558]","[-1]","[13]","[1]","[0]","[40.7355]","[0.0242304]","[3.65925]",240646,-0.707207,4,"[404196,171549,29276.6,27205.9]","[0.460978,0.491798,-0.521711,-0.817817]","[2.37259,-1.08888,1.40342,2.57143]","[450061,193243,33896,37049.9]","[0.998455,0.994873,0.99,0.988184]","[5,5,5,5]","[1,1,0,0]","[0.932745,0.995881,0.477544,0.99576]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[419994]","[0.420276]","[2.35329]","[458485]","[27895.4]","[0]","[2.23632]","[0.687187]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[584.928]",639.594,"[4819.82,2024.79,2294.07,4123.48]","[]","[14629.8]","[]"
