event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
36,284500,276269,410014,1,35.8244,4.9856e+06,0.923924,1,0.996839,1,1,1.02227,0.82679,1,0,1,0,1,"[1]","[1]","[100486]","[-0.463406]","[0.224787]","[111470]","[-0.028801]","[1]","[13]","[1]","[0]","[-934.975]","[-0.0274685]","[5.06139]",286072,0.251171,5,"[223778,87544.5,42260.5,36482.4,23443]","[-0.31129,0.194706,-1.79329,-0.949819,0.635282]","[-3.00442,-2.43343,-2.08841,2.80585,-2.49983]","[236570,89790.2,130598,54661.8,28583.7]","[0.997285,0.999843,0.976665,0.901571,0.993881]","[0,5,0,4,0]","[0,1,0,1,0]","[-0.939193,0.932708,-0.808017,-0.409259,-0.829069]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[313979]","[-0.263357]","[-2.88492]","[352990]","[137920]","[1]","[1.53236]","[0.661729]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1927.2]",23442.3,"[2800.83,1607.66,8059.46,5356.19,1756.31]","[]","[29600.7]","[]"
52,284500,327218,410014,1,35.8244,4.9856e+06,0.923924,0.98916,1,1,1,0.906544,0.99765,1,1,0,0,1,"[1]","[1]","[134973]","[0.683828]","[2.03583]","[167780]","[0.022213]","[1]","[11]","[1]","[1407.21]","[-435.845]","[0.0119172]","[1.88248]",164195,1.58105,5,"[553691,81956.1,54491.4,48639.3,44754.4]","[-1.32652,-0.558478,-1.87883,-2.13773,0.0613303]","[-1.16347,2.66504,2.36134,1.3086,-2.78188]","[1.11823e+06,95687.6,182694,209235,45124.1]","[0.987116,0.999933,1,0.995582,0.984072]","[0,0,0,0,5]","[0,0,0,0,1]","[-0.943804,-0.684866,-0.88373,0.114094,0.0772227]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[530799]","[-1.33287]","[-1.16773]","[1.07768e+06]","[53292.8]","[0]","[1.16168]","[0.529723]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1192.33]",11138.1,"[20512.4,4317.68,3098.98,3988.66,6704.37]","[]","[47846.1]","[]"
225,284500,19544,410014,1,35.8244,4.9856e+06,0.619412,0.98413,1,1,1,0.904347,0.99866,1,1,0,0,1,"[1]","[1]","[111871]","[-1.08756]","[0.596102]","[184813]","[-0.0266914]","[1]","[11]","[1]","[0]","[-1076.68]","[0.000946024]","[0.0868843]",235280,1.22539,4,"[240509,91606.3,44725.1,41079.1]","[-0.171362,-0.652184,-0.784449,2.21783]","[-2.17803,-1.38193,-2.63026,1.67495]","[245317,112505,59559,191049]","[0.996872,0.993368,0.964402,0.99829]","[0,5,4,0]","[0,1,1,0]","[-0.783746,-0.354155,-0.579514,-0.915964]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[346102]","[-0.397189]","[-2.03671]","[410521]","[169790]","[1]","[1.35878]","[0.529123]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1670.69]",10652.2,"[7572.27,1438.72,3594.65,3941.27]","[]","[1797.09]","[]"
240,284500,38658,410014,1,35.8244,4.9856e+06,1.21412,0.97949,1,1,1,1.15487,0.99672,1,1,0,0,1,"[0]","[1]","[61004.1]","[0.965137]","[0.509011]","[91691.6]","[-0.0461693]","[1]","[11]","[1]","[0]","[645.9]","[-0.0137108]","[1.26]",207845,0.176164,7,"[414741,153645,63254.7,35079.7,27325.8,23286.7,20407.4]","[-0.814194,0.369674,-0.242931,1.06836,-0.414835,0.129283,-2.12402]","[3.05708,-0.475696,2.34845,-1.18516,-0.919337,-1.21378,-1.44656]","[564194,165192,66003.1,57431.8,30317.8,23769.3,86688]","[0.980611,0.992564,0.994006,0.999685,0.999919,0.982118,0.656632]","[5,0,4,0,0,0,0]","[1,0,1,0,0,0,0]","[0.964541,-0.878623,0.872294,-0.852777,-0.900056,-0.228465,-0.468905]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[448170]","[-0.787666]","[2.99478]","[619751]","[174987]","[1]","[1.91642]","[0.351354]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[87.8933]",2702.31,"[5106.16,7307.89,2747.65,2228.27,3384.59,2129.6,1124.38]","[]","[24398.9]","[]"
246,284500,40720,410014,1,35.8244,4.9856e+06,1.26459,1,1.0008,1,1,0.956486,0.971777,1,0,1,0,1,"[1]","[1]","[318201]","[0.390305]","[3.1084]","[342747]","[-0.0401363]","[1]","[13]","[1]","[0]","[944.866]","[0.0188354]","[3.81719]",28120.7,2.36214,3,"[268665,64928.8,20073.9]","[0.405503,1.06776,0.633457]","[-0.114282,0.079893,-1.43291]","[293508,105862,24347.5]","[0.999388,0.99872,0.980175]","[5,0,0]","[1,0,0]","[0.998217,-0.597405,-0.890612]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[316323]","[0.528355]","[-0.0797392]","[376782]","[106176]","[1]","[1.33282]","[0.673012]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[15339.6]",5956.04,"[7112.46,4527.85,1894.63]","[]","[1679.31]","[]"
262,284500,318025,410014,1,35.8244,4.9856e+06,1.25133,0.97062,1,1,1,0.905586,0.98871,1,1,0,0,1,"[1]","[1]","[74977.9]","[-0.711275]","[-1.61951]","[94757.3]","[-0.00457764]","[-1]","[11]","[1]","[0]","[542.391]","[-0.0265948]","[2.9288]",51108.6,-0.52408,3,"[447535,225608,160050]","[0.291152,-0.823662,-0.396486]","[2.79879,-0.253589,0.0359853]","[466966,308456,173165]","[0.998221,0.993473,1]","[5,5,4]","[1,1,1]","[0.946913,0.845147,0.543195]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[453295,381996]","[0.261397,-0.704278]","[2.79889,-0.130861]","[468984,495901]","[10356.5,121787]","[0,1]","[15.1552,1.12833]","[-1,0.647559]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[299.92]",2564.81,"[6764.59,6185.11,4110.21]","[]","[27891.1,26843.5]","[]"
277,284500,271979,410014,1,35.8244,4.9856e+06,1.26459,1,0.993124,1,1,1.02644,0.939534,1,0,1,0,1,"[1]","[1]","[56703.5]","[-0.851614]","[-2.85716]","[78538.7]","[0.030324]","[-1]","[13]","[1]","[1484.45]","[-623.117]","[0.0164156]","[2.51436]",139200,-1.83453,3,"[178532,92730.6,89717.1]","[-0.936519,-0.793211,-0.653049]","[1.03655,-1.53397,1.61201]","[263075,123826,109808]","[0.995551,0.995402,0.994565]","[0,5,0]","[0,1,0]","[-0.692258,0.86438,-0.366484]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[264208]","[-0.88483]","[1.21164]","[382007]","[75051.6]","[1]","[0.924028]","[0.492287]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[551.259]",5040.34,"[4173.76,3548.65,2426.53]","[]","[760.438]","[]"
305,284500,19435,410014,1,35.8244,4.9856e+06,0.619412,1,0.998063,1,1,1.06729,0.842471,1,0,1,0,1,"[1]","[1]","[61945.3]","[-0.701267]","[1.76155]","[77811.5]","[0.0281887]","[1]","[13]","[1]","[1325.4]","[-1101.66]","[-0.0212028]","[3.03225]",100391,2.50338,3,"[491974,235567,95283.6]","[-0.27427,-1.18203,-1.29145]","[-1.22611,1.9632,1.38994]","[511666,421005,186786]","[0.991337,0.999502,0.987369]","[5,0,0]","[1,0,0]","[0.441309,-0.841486,0.0370452]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[494079,291936]","[-0.282315,-1.24637]","[-1.22663,1.81077]","[515062,555528]","[34579.2,80901.1]","[0,1]","[3.31234,1.05322]","[0.677014,0.621103]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[293.524]",3145.6,"[7632.44,7082.13,2446.42]","[]","[13862.7,14347.2]","[]"
454,284500,318486,410014,1,35.8244,4.9856e+06,1.32095,0.97994,1,1,1,0.973077,1.00632,1,1,0,0,1,"[1]","[1]","[177437]","[0.605784]","[2.8369]","[211003]","[0.0197964]","[1]","[11]","[1]","[0]","[-1304.14]","[0.0059794]","[0.83522]",119091,2.61213,5,"[196975,111545,55215.6,25501.8,21918.1]","[0.450339,0.00502192,0.564218,1.24908,-0.448394]","[-0.52692,-0.866957,1.60037,0.900163,-0.30027]","[218115,113535,64802.2,48407.1,24659.6]","[0.998446,0.992067,0.992751,0.979444,0.988616]","[5,0,0,0,0]","[1,0,0,0,0]","[0.982186,-0.844387,-0.882006,-0.894707,-0.790151]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[297188]","[0.293758]","[-0.644255]","[323588]","[92441.1]","[1]","[1.16602]","[0.725325]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[907.672]",2192.91,"[2067.11,2496.04,2024.07,5821.69,1981.03]","[]","[6613.44]","[]"
537,284500,330546,410014,1,35.8244,4.9856e+06,0.553627,0.97921,1,1,1,1.07877,1.00192,1,1,0,0,1,"[1]","[1]","[76805.5]","[-0.211972]","[0.734307]","[78537.5]","[0.000907898]","[-1]","[11]","[1]","[0]","[85.4383]","[-0.00265597]","[0.314626]",48784.6,0.13193,3,"[238603,82890.6,53417.8]","[0.0786135,-0.036854,0.0660195]","[0.423201,-2.00418,2.99035]","[239877,83299.6,53777]","[0.996068,0.98695,0.728418]","[5,4,0]","[1,1,0]","[0.699356,-0.771897,-0.880508]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[315720]","[-0.0288046]","[0.502221]","[322479]","[65044.5]","[1]","[1.00961]","[0.522799]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[159.629]",2338.49,"[3761.07,3637.73,2426.87]","[]","[9820.62]","[]"
