event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
7,284500,9461,410025,2.0593e-09,2.06111,0.00204857,1.22586,0.97361,1,1,1,1.05269,0.98448,1,1,0,0,1,"[0]","[1]","[45447.9]","[-0.223689]","[2.97394]","[46589.7]","[-0.0351067]","[1]","[11]","[1]","[7955.83]","[4110.64]","[-0.096669]","[10.9681]",187115,2.49231,5,"[388316,173534,118862,58968.8,21783.6]","[0.692922,0.557707,-0.0447833,0.11702,-0.430021]","[-1.34439,0.406345,1.94362,1.47433,2.49923]","[485585,201690,119492,60129.2,24114.7]","[0.991192,0.992482,0.99667,0.99347,0.959862]","[0,0,5,5,0]","[0,0,1,1,0]","[-0.708986,-0.846694,0.964138,0.992097,-0.259326]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[382825]","[0.678827]","[-1.34042]","[474531]","[7698.63]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[93.1301]",15093.5,"[7700.07,6052.61,1576.55,1702,7292.42]","[]","[24841.9]","[]"
11,284500,23349,410025,2.05702e-09,2.06111,0.00204857,1.24168,0.97245,1,1,1,0.998375,0.99544,1,1,0,0,1,"[1]","[1]","[110981]","[1.26494]","[1.03976]","[212258]","[-0.0568886]","[1]","[11]","[1]","[0]","[-131.96]","[-0.00799783]","[0.912772]",138260,0.654206,2,"[258401,35552]","[0.886352,1.57648]","[-2.12145,2.32642]","[366866,89942.7]","[0.896487,0.994808]","[0,0]","[0,0]","[-0.737975,0.27332]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[277218]","[0.871613]","[-2.12217]","[389501]","[10548.1]","[0]","[7.12377]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[991.06]",13148.6,"[3547.31,2460.18]","[]","[22280]","[]"
12,284500,23577,410025,2.05702e-09,2.06111,0.00204857,1.55465,1,0.980285,1,1,1.1294,1.00505,1,0,1,0,1,"[1]","[1]","[66673.9]","[-1.89274]","[2.80473]","[226298]","[0.0152493]","[1]","[13]","[1]","[0]","[229.108]","[0.0157396]","[2.53453]",62420.3,2.77603,5,"[277713,138239,63390.3,36762.8,33861.6]","[0.437308,-1.50426,-1.26438,-1.418,-0.595926]","[0.596304,-2.56574,-1.35402,-1.88647,-1.60341]","[305761,326810,121781,80736.4,40880.7]","[0.99937,0.930389,0.994216,0.992046,0.961986]","[5,5,0,0,0]","[1,1,0,0,0]","[-0.293115,0.947697,-0.791343,-0.95557,-0.841783]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[297874]","[0.453512]","[0.643406]","[332762]","[49661.8]","[0]","[2.7472]","[0.67221]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[181.862]",21158.9,"[5092.31,6866.43,4231.79,5005.17,2310.24]","[]","[16041.3]","[]"
22,284500,64038,410025,2.05824e-09,2.06111,0.00204857,0.738662,1,0.995739,1,1,1.02946,0.98387,1,0,1,0,1,"[1]","[1]","[99436.7]","[-1.25485]","[-2.01812]","[188553]","[-0.0353012]","[1]","[13]","[1]","[1357.01]","[-941.288]","[0.00508032]","[0.678966]",85996.6,-1.62954,3,"[411334,208360,33749.2]","[-1.49217,-0.514244,-0.528794]","[1.49333,-1.59756,-0.40421]","[961251,238586,39118.1]","[0.99252,0.999541,0.980334]","[5,5,0]","[1,1,0]","[-0.609606,0.8535,-0.916225]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[430136]","[-1.50186]","[1.49795]","[1.01374e+06]","[19195.5]","[0]","[2.27282]","[0.501127]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2961.44]",6105.82,"[9590.2,2558.25,2168.9]","[]","[5670.31]","[]"
25,284500,27881,410025,2.05718e-09,2.06111,0.00204857,0.00220911,0.96654,1,1,1,0.930081,0.9995,1,1,0,0,1,"[1]","[1]","[69468.7]","[2.10241]","[-2.48252]","[288573]","[-0.197861]","[1]","[11]","[1]","[1463.27]","[-599.013]","[0.0274903]","[3.14445]",231914,-2.17692,4,"[468820,189438,76208.4,44974.7]","[1.42824,1.17685,0.798119,-2.04246]","[1.21069,-2.02125,0.0491117,-1.04727]","[1.03529e+06,337016,102118,176451]","[1,0.99,1,0.98]","[5,5,0,0]","[1,1,0,0]","[0.940436,0.999899,-0.883002,-0.735916]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[461945]","[1.45715]","[1.21025]","[1.04656e+06]","[46542.7]","[0]","[2.07803]","[0.763503]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[273.005]",8371.16,"[8678.03,7165.63,2786.94,8789.75]","[]","[61218]","[]"
61,284500,778215,410025,2.05528e-09,2.06111,0.00204857,1.26459,1,0.993018,1,1,0.948133,0.906811,1,0,1,0,1,"[1]","[1]","[35307]","[0.231436]","[2.06211]","[36256.9]","[0.0192566]","[1]","[13]","[0]","[0]","[-484.489]","[-0.0053248]","[0.603872]",146765,2.98811,4,"[267187,147542,26182.9,24857.9]","[-0.119969,0.41977,0.150939,1.30643]","[0.0116082,-2.7136,0.629745,-1.29184]","[272098,161649,27388.6,49502.5]","[0.99723,0.995288,0.964031,0.995126]","[5,5,0,0]","[1,1,0,0]","[0.99845,0.810971,-0.829605,-0.863476]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[266774]","[-0.0964693]","[0.00419459]","[271216]","[41535.7]","[0]","[1.34505]","[0.521439]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[140.739]",10721.2,"[10091,1804.99,2905.71,5025.45]","[]","[2010.88]","[]"
70,284500,8660,410025,2.0581e-09,2.06111,0.00204857,1.21412,0.98458,1,1,1,0.875186,1.00582,1,1,0,0,1,"[1]","[1]","[104925]","[-0.282469]","[0.585515]","[109139]","[-0.0542717]","[1]","[11]","[1]","[0]","[-1364.32]","[-0.00715417]","[1.00171]",48893.1,-0.762943,5,"[231988,132918,80892.4,22695.8,20822]","[0.453778,0.00215555,-0.27881,0.693282,0.371453]","[-2.28384,1.10733,1.65727,-2.81985,-0.941995]","[256972,134050,84319.6,28639,22724.9]","[1,0.997385,0.99,0.984062,0.971384]","[0,5,5,0,0]","[0,1,1,0,0]","[-0.850762,0.14009,-0.98905,-0.915675,-0.835914]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[279552]","[-0.171853]","[1.0674]","[312253]","[130467]","[1]","[1.04146]","[0.213385]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[727.497]",2039.21,"[6748.73,1530.69,2587.69,1921,1416.57]","[]","[3187.78]","[]"
73,284500,9232,410025,2.0593e-09,2.06111,0.00204857,1.1961,0.98458,1,1,1,0.964362,1.00582,1,1,0,0,1,"[1]","[1]","[123085]","[-0.575579]","[2.82467]","[144042]","[-0.0276814]","[1]","[11]","[1]","[0]","[149.547]","[-0.00482675]","[0.770769]",104806,-3.05301,6,"[319092,135610,34285.6,24961.9,23539.5,21120.1]","[-0.682105,0.544771,1.63061,-0.614269,-1.30222,-1.89467]","[-0.0303631,2.94356,-1.96415,-1.21927,0.0610612,0.30245]","[396625,157488,91008.4,30341.8,46702.7,71861.4]","[1,1,0.97295,0.974515,0.964431,0.98881]","[0,5,0,0,0,0]","[0,1,0,0,0,0]","[-0.837556,-0.960583,-0.898914,0.632125,0.649671,-0.880631]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[318569]","[-0.689123]","[-0.0318172]","[397293]","[5651.42]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[525.918]",12031.8,"[8641.24,2264.58,3784.81,2379.82,3348.63,4435.38]","[]","[16405.8]","[]"
96,284500,64538,410025,2.05824e-09,2.06111,0.00204857,0.619412,0.97003,1,1,1,1.03573,0.97484,1,1,0,0,1,"[1]","[1]","[41457.1]","[0.967254]","[1.93083]","[62410.2]","[-0.0429611]","[1]","[11]","[1]","[1046.67]","[-952.667]","[-0.00125558]","[0.147517]",30625.2,2.07679,2,"[348517,284524]","[1.3926,1.67672]","[-0.974365,2.18474]","[744981,787695]","[0.99004,0.992921]","[5,5]","[1,1]","[0.831653,0.172379]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[330188,344082]","[1.59531,1.37414]","[2.14802,-0.970705]","[854194,723589]","[107694,17125.3]","[1,0]","[1.18329,5.0879]","[0.73031,0.538998]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[109.206]",853.951,"[10051.5,8943.45]","[]","[824,21778.6]","[]"
103,284500,257012,410025,2.05435e-09,2.06111,0.00204857,0.553627,0.99211,1,1,1,0.974922,0.9918,1,1,0,0,1,"[1]","[1]","[151904]","[-0.65345]","[2.6256]","[185506]","[-0.0254841]","[1]","[11]","[1]","[0]","[811.692]","[0.0176738]","[2.4455]",277849,2.57352,3,"[487737,103133,21403.9]","[0.230826,-0.123208,-1.03109]","[-0.675087,1.92794,-0.350321]","[505240,104411,34220.1]","[0.998792,0.998812,0.99]","[5,5,0]","[1,1,0]","[0.949681,0.993311,-0.452504]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[503566,250904]","[0.217351,-0.505213]","[-0.676985,2.35578]","[520390,304635]","[71120.7,111207]","[0,1]","[1.37924,0.375768]","[0.68687,0.600576]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[820.922]",3115.88,"[8045.57,2972.88,1934.01]","[]","[8733.19,6124.12]","[]"
