event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
237,284500,2259636,410013,1,35.8455,4.9858e+06,1.24168,0.96203,1,1,1,1.03809,1.01508,1,1,0,0,1,"[1]","[1]","[163640]","[-1.7867]","[1.05187]","[502146]","[-0.0446167]","[1]","[11]","[1]","[0]","[153.757]","[-0.00453897]","[0.536901]",66008.4,1.79456,9,"[134450,128660,111799,65917.8,62890.7,30059.6,29328.8,28607.6,24182.9]","[-0.610705,-1.33065,-1.73763,-1.30924,-1.15399,-1.64648,-2.21538,-2.26248,-1.71132]","[-2.4713,1.01673,-2.03755,-2.34469,-0.195171,-1.10918,-2.88227,-0.706414,3.06442]","[161761,260654,327662,131323,110132,81007.5,136082,139034,69219.3]","[0.99691,0.974739,0.9996,0.99581,0.999698,0.990876,0.989755,0.988184,0.957016]","[0,0,4,0,5,0,5,0,0]","[0,0,1,0,1,0,1,0,0]","[-0.646131,-0.95061,-0.877829,-0.853868,0.999561,-0.780505,0.904311,0.166798,-0.729722]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[307695]","[-1.63994]","[1.04091]","[825737]","[68275]","[1]","[0.615077]","[0.482668]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1915.11]",8576.16,"[3450.16,3276.46,9067.5,3044.69,3454.15,2226.23,1748,1988.79,1639.87]","[]","[18357.9]","[]"
293,284500,914719,410013,1,35.8455,4.9858e+06,0.75088,0.964579,1,1,1,0.97067,1.00306,1,1,0,0,2,"[1,0]","[1,0]","[277823,22608.1]","[1.10203,-0.222132]","[0.748305,3.13045]","[464307,23168.2]","[-0.053093,-0.0154572]","[-1,1]","[11,11]","[1,1]","[4444.98,0]","[3285.03,-1513.62]","[0.00512436,-0.00755391]","[0.482419,0.702184]",103876,0.628699,5,"[245099,131390,35201.4,31392.1,21038.5]","[-0.941918,0.510362,-0.483069,1.44064,-0.438195]","[-2.06162,-2.48878,1.80986,-2.13191,2.46047]","[363412,150052,40392,70312.9,23395.3]","[0.99,0.999617,0.844027,0.999397,0.988017]","[5,5,0,0,0]","[1,1,0,0,0]","[0.915753,0.999061,-0.785596,-0.506482,-0.50315]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[306505]","[1.07136]","[0.745674]","[499895]","[0.00956832]","[1]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3310.45,147.591]",8405.2,"[11851,5939.42,2494.77,2562.63,2542]","[]","[5936.44]","[]"
310,284500,2260304,410013,1,35.8455,4.9858e+06,0.596562,0.96392,1,1,1,1.02188,1.01012,1,1,0,0,1,"[1]","[1]","[152728]","[1.82604]","[1.29753]","[486462]","[-0.0688686]","[-1]","[11]","[1]","[1668.67]","[735.516]","[0.0192927]","[1.46921]",58981.4,1.64122,4,"[224916,105830,53559.7,38764.7]","[0.131706,0.217346,-0.565764,-2.02697]","[-1.71139,1.34872,-2.18624,-1.41883]","[227196,109628,63499.8,149776]","[1,0.994658,0.99744,0.997931]","[0,5,0,0]","[0,1,0,0]","[-0.918617,0.999892,-0.923408,-0.902282]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[250632]","[0.0481169]","[-1.76397]","[257825]","[59263.7]","[1]","[1.55095]","[0.51439]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1479.47]",10526.8,"[3177.87,9561.85,2452.04,3026.72]","[]","[0]","[]"
318,284500,796725,410013,1,35.8455,4.9858e+06,1.21412,1,0.994466,1,1,1.03388,0.905584,1,0,1,0,1,"[1]","[1]","[123360]","[0.192626]","[0.536994]","[125656]","[-0.0153465]","[-1]","[13]","[1]","[0]","[-797.634]","[0.0048372]","[0.93405]",60357.3,1.3712,3,"[305655,78279.9,33094.6]","[-0.390933,-0.735412,-1.59356]","[-2.41956,0.27615,2.2143]","[333006,100864,84891.4]","[0.989326,0.995107,1]","[0,0,5]","[0,0,1]","[-0.96925,-0.922923,0.92231]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[303654]","[-0.405963]","[-2.4179]","[332621]","[48797.4]","[0]","[1.51868]","[0.75063]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2556.91]",3896.71,"[3996.96,3368.13,5640.03]","[]","[299.5]","[]"
332,284500,1698141,410013,1,35.8455,4.9858e+06,0.187531,1,0.994235,1,1,0.993059,0.899631,1,0,1,0,1,"[1]","[1]","[143675]","[0.799897]","[1.33284]","[192143]","[-0.0292416]","[1]","[13]","[1]","[0]","[8.92212]","[0.0184746]","[3.24158]",159657,1.68083,5,"[294943,74472.8,40603.7,30482.9,27240.9]","[0.966711,0.0202241,0.298904,-1.68931,-2.16135]","[-1.80372,1.68253,-2.29003,-0.20149,-0.257497]","[444475,75351.9,43195.2,85592.4,119913]","[0.955236,0.995182,0.970173,0.986602,0.996095]","[0,5,4,4,4]","[0,1,1,0,0]","[-0.903431,0.187485,0.934423,0.820268,-0.546477]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[330762]","[0.922329]","[-1.85045]","[492802]","[103960]","[1]","[2.1732]","[0.752347]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3861.15]",5706.66,"[15240.5,2194.87,7803.55,1952.18,2013.01]","[]","[10131.9]","[]"
356,284500,914776,410013,1,35.8455,4.9858e+06,0.75088,0.98697,1,1,1,1.02024,1.00582,1,1,0,0,1,"[1]","[1]","[260209]","[-0.410508]","[2.42014]","[282443]","[-0.00464058]","[-1]","[11]","[1]","[0]","[2485.1]","[0.022323]","[3.52924]",92168.9,2.37479,5,"[312453,36529.2,30963.1,21444.7,20105.9]","[-0.675243,0.878763,0.16043,-0.28081,0.747828]","[-0.470306,-2.04083,-1.72534,-2.21597,-1.49591]","[387072,52068.7,32142.8,22551,26161.6]","[0.996881,0.982789,0.963541,0.997119,0.866239]","[0,0,0,5,0]","[0,0,0,1,0]","[-0.865437,-0.438613,-0.800758,-0.470968,-0.745771]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[313921,272692]","[-0.662837,-0.397144]","[-0.468955,2.41649]","[386303,294498]","[25756,3147.51]","[1,1]","[3.15378,0]","[0.692352,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1611.92]",6490.18,"[7315.67,7298.88,2371.84,3994,4763.77]","[]","[7352.5,1340.94]","[]"
382,284500,550869,410013,1,35.8455,4.9858e+06,0,1,1.00041,1,1,1.01633,0.992498,1,0,1,0,1,"[0]","[1]","[71544]","[-1.39646]","[-0.321538]","[153402]","[-0.027462]","[-1]","[13]","[1]","[0]","[-1493.18]","[0.0671991]","[9.34456]",186784,-0.268771,5,"[203486,197384,89291,64713.1,42401.4]","[-1.20972,1.6737,1.82872,0.790548,1.18992]","[0.953804,-2.69343,3.07306,-2.86587,2.99531]","[371943,545427,285410,87028.7,76515.2]","[1,0.999908,0.939207,0.98809,0.973122]","[0,4,0,5,0]","[0,1,0,1,0]","[-0.706438,0.274447,-0.952516,0.997811,-0.885229]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[368046]","[1.61566]","[-2.88504]","[976208]","[163416]","[1]","[1.42788]","[0.562956]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[275.23]",7670.53,"[5665.11,4041.55,3581.94,3200.99,7179.34]","[]","[5138.41]","[]"
392,284500,1756039,410013,1,35.8455,4.9858e+06,1.24168,1,0.997816,1,1,0.99254,0.962708,1,0,1,0,1,"[1]","[1]","[187855]","[-0.553325]","[-0.842621]","[217353]","[0.0269165]","[1]","[13]","[1]","[1787.94]","[-278.071]","[-0.00162168]","[0.343143]",36129,-1.34583,4,"[161884,125799,96642.6,27100.8]","[-1.05255,-1.02288,-1.78438,0.24028]","[2.14866,1.55007,-1.99522,2.91953]","[260804,197825,296086,28270.2]","[0.999177,0.995727,0.995322,0.978019]","[0,0,5,5]","[0,0,1,1]","[-0.900063,-0.955381,0.999992,0.40004]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[287351]","[-1.05202]","[1.9209]","[471340]","[95422.4]","[1]","[0.956994]","[0.771768]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[10345.5]",26426.5,"[3176.81,4528.99,2675.19,5288.39]","[]","[13836.5]","[]"
563,284500,1844477,410013,1,35.8455,4.9858e+06,0.738662,0.97994,1,1,1,0.996439,1.00632,1,1,0,0,1,"[1]","[1]","[160146]","[0.251956]","[1.57479]","[165256]","[-0.0170765]","[1]","[11]","[1]","[0]","[1679.4]","[-0.0133346]","[1.11281]",48440.3,-1.2072,6,"[194908,165588,59250.7,32334.9,30440.2,25315.6]","[1.90445,-0.47676,-0.528302,0.384918,0.901056,-1.5951]","[-1.25792,1.80765,-0.975164,-2.35609,2.81932,-2.45627]","[669565,185574,68022.8,35267.9,43945.4,65071.2]","[0.994935,0.994947,0.969365,0.998214,1,0.978905]","[0,5,0,0,0,5]","[0,1,0,0,0,0]","[-0.879138,0.999979,-0.942786,-0.846656,-0.914651,0.953692]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[326984]","[-0.108748]","[1.69148]","[357079]","[138987]","[1]","[0.4475]","[0.691177]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[752.52]",9729.75,"[4023.04,2344.98,5594.8,5148.78,2072.4,3733.56]","[]","[30488.9]","[]"
576,284500,38231,410013,1,35.8455,4.9858e+06,0.596562,0.97994,0.997152,1,1,0.951561,1.00632,1,1,0,0,2,"[1,0]","[1,0]","[210021,8991.7]","[0.497656,0.507262]","[0.442,1.7424]","[236569,10174.1]","[-0.0196686,-0.0386677]","[-1,-1]","[11,13]","[1,1]","[0,3053.63]","[-111.606,-48.4044]","[0.00839237,-0.0402104]","[1.0744,2.99077]",201129,0.178089,3,"[421505,82267.2,24007]","[0.406909,1.1607,1.0313]","[-3.0502,-1.40897,-0.458693]","[458208,144658,38281.3]","[0.998682,0.985364,0.976256]","[5,0,0]","[1,0,0]","[0.990557,-0.769581,-0.617491]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[398990]","[0.391]","[-3.04257]","[430390]","[20958.5]","[0]","[2.01083]","[0.561647]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1257.73,22.1773]",6421.84,"[4529.3,2902.68,9297.87]","[]","[18810.2]","[]"
692,284500,2205801,410013,1,35.8455,4.9858e+06,1.25133,0.98413,1,1,1,0.984296,0.99866,1,1,0,0,1,"[1]","[1]","[107746]","[-0.856101]","[-2.74943]","[149702]","[0.00508881]","[-1]","[11]","[1]","[0]","[136.975]","[-0.000641711]","[0.0722389]",200453,-3.0979,5,"[301271,59678.5,57377.1,38438.7,21607.8]","[-1.0304,0.724371,0.0584226,2.0055,-1.39996]","[-0.0190274,0.904562,-2.84645,1.55628,-0.462239]","[476284,76633.1,58305,145613,46525.3]","[0.996768,0.99,0.999572,0.979706,1]","[5,5,0,0,0]","[1,1,0,0,0]","[0.993221,0.999968,0.652643,-0.6086,-0.860716]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[298677]","[-1.06173]","[-0.0235743]","[483779]","[17994]","[0]","[2.67922]","[0.448612]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[681.832]",18372.5,"[15243.6,1617.43,4336.04,2121.69,1645.53]","[]","[8539.69]","[]"
709,284500,228337,410013,1,35.8455,4.9858e+06,0.596562,0.96709,0.980129,1,1,0.96096,1.00936,1,1,0,0,2,"[1,1]","[1,0]","[113060,96534.6]","[0.0877464,1.0394]","[-2.32935,1.50792]","[113496,153547]","[0.0202065,-0.0302696]","[1,-1]","[11,13]","[1,1]","[0,0]","[914.248,445.425]","[-0.0199282,-0.012257]","[0.869852,1.80203]",278709,1.07515,2,"[243494,33256.3]","[-0.045266,-1.1156]","[-1.68906,-2.66437]","[244904,56632.2]","[0.874213,0.972037]","[5,0]","[1,0]","[0.987664,-0.875586]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[344939]","[-0.0212535]","[-1.90223]","[364368]","[117165]","[1]","[0.56462]","[0.5757]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[601.151,4190.05]",5298.66,"[2322.64,5973.97]","[]","[21989.3]","[]"
