event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,14451,301322,1,8.9857,199200,1.1961,1,0.985263,1,1,1.08504,0.988041,1,0,1,0,1,"[1]","[1]","[55414.2]","[1.97437]","[0.0730445]","[203396]","[0.0150833]","[-1]","[13]","[1]","[0]","[911.375]","[-0.0133035]","[1.65467]",45876.8,-2.75881,6,"[271863,186757,57252.9,39588.8,38928.7,28595.9]","[0.839723,1.85806,0.940118,0.995285,1.69384,-1.49068]","[3.08459,-0.402552,0.564697,1.76036,-1.13914,1.59076]","[374914,613670,84944.2,61377.7,109550,66972.4]","[1,0.998354,0.993158,0.971233,0.985343,0.988713]","[0,5,0,5,4,0]","[0,1,0,1,1,0]","[-0.876885,0.574966,-0.799846,0.984532,-0.777785,-0.892698]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[259631]","[0.86084]","[3.09207]","[363267]","[31262.1]","[0]","[1.72384]","[0.703382]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1072.96]",12526.4,"[7876.84,6155.36,6429.6,1182.56,3762.42,4405.59]","[]","[0]","[]"
1,284500,25079,301322,1,8.9857,199200,0.738662,0.98536,1,1,1,0.992877,0.9918,1,1,0,0,1,"[1]","[1]","[125734]","[-0.729843]","[0.171563]","[160735]","[-0.0166178]","[1]","[11]","[1]","[0]","[-745.73]","[0.00833688]","[0.934125]",116444,0.828444,4,"[211907,109539,54931.6,33384.9]","[-0.792976,-1.21082,-2.16857,-1.52695]","[-2.73111,-2.50686,0.587302,0.238697]","[282770,200621,243504,80582.3]","[0.998047,0.997573,0.996871,1]","[5,0,5,4]","[1,0,1,0]","[0.999733,-0.959915,0.999685,0.649526]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[310275]","[-0.987057]","[-2.66586]","[482516]","[89725.4]","[1]","[1.3476]","[0.583702]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[659.768]",6103.46,"[3291.35,3652.45,3072.82,2699.59]","[]","[21385.3]","[]"
2,284500,26548,301322,1,8.9857,199200,1.74563,0.97949,1,1,1,1.01965,0.99672,1,1,0,0,1,"[1]","[1]","[67833.9]","[0.854003]","[-0.230504]","[94110.7]","[0.042038]","[-1]","[11]","[1]","[0]","[1143.87]","[-0.0138298]","[1.43918]",47460.6,0.43727,5,"[259841,112467,94588.1,71011.8,40394.6]","[0.698373,-0.0551419,-0.508541,-0.822418,0.539337]","[2.66327,-0.276746,0.104478,-1.45049,-1.47305]","[326180,113248,107384,96548.1,46861.3]","[0.999616,0.993028,0.996728,0.999602,1]","[0,0,5,0,0]","[0,0,1,0,0]","[-0.840028,-0.908207,0.995813,-0.969955,-0.801344]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[264205]","[0.669294]","[2.66333]","[325992]","[15515.1]","[0]","[4.9277]","[0.397436]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[493.36]",4360.86,"[4483.93,3304.98,5097.07,2787.44,2320.58]","[]","[7527.14]","[]"
3,284500,28182,301322,1,8.9857,199200,1.26205,0.90281,0.993484,1,1,1.02617,0.86621,1,0,1,0,2,"[1,1]","[1,0]","[92647,16781.2]","[0.322992,2.11378]","[-2.79395,0.948934]","[97521.9,70482.9]","[-0.0147543,-0.032136]","[1,-1]","[13,11]","[1,1]","[0,0]","[-784.566,700.051]","[0.00299776,0.0319924]","[0.48324,0.777976]",225048,3.13387,3,"[339500,162595,38902.5]","[0.958082,-1.9814,-0.258449]","[-0.338438,1.60107,-1.75749]","[507670,601056,40839.7]","[0.139173,0.984696,0.97551]","[0,0,5]","[0,0,1]","[-0.831468,-0.930516,0.999923]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[330719]","[0.957771]","[-0.339515]","[494368]","[2102.31]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1107.63,77.8574]",4668.92,"[6829.98,3478.43,1867.47]","[]","[2080.03]","[]"
4,284500,29642,301322,1,8.9857,199200,1.22586,1,0.995968,1,1,0.947618,0.920816,1,0,1,0,2,"[1,1]","[1,0]","[45923.8,22283.2]","[-0.744895,-1.48606]","[-2.29215,-0.862766]","[59264.8,51763]","[0.00799179,-0.0551682]","[-1,1]","[13,13]","[1,1]","[0,0]","[20.5317,-1128.43]","[-0.015705,-0.0272146]","[2.08098,2.35651]",76991.9,0.601954,7,"[165467,164039,102631,75288.6,53427,47267.8,23918]","[0.519747,-0.341175,0.0856977,0.295679,0.821166,-0.797684,-0.215469]","[2.91178,-1.12621,2.71421,1.05067,-0.868625,0.282182,0.471852]","[188947,174151,103893,79533.2,72982.4,63455.1,24971.7]","[0.992155,0.984987,0.990146,0.988983,0.989375,0.980476,0.986815]","[0,0,0,5,0,5,0]","[0,0,0,1,0,1,0]","[-0.00272729,-0.887963,-0.403432,0.594402,-0.89614,0.894318,-0.85856]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[253433]","[0.375922]","[2.83992]","[279652]","[66819.8]","[0]","[1.13451]","[0.67467]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[435.605,65.8493]",6444.32,"[2493.27,4064.36,5473.41,4390.57,3266.24,2539.14,1765.07]","[]","[0]","[]"
5,284500,32245,301322,1,8.9857,199200,0.923924,1,0.99752,1,1,0.920946,0.989879,1,0,1,0,1,"[1]","[1]","[59463]","[2.11439]","[-1.69602]","[249902]","[-0.0420761]","[-1]","[13]","[1]","[0]","[-376.416]","[0.0293923]","[4.40479]",136676,-2.05828,4,"[491847,187531,102684,21523.7]","[0.338729,1.41042,0.654907,0.956534]","[0.726285,-2.55359,-2.86736,0.651826]","[521246,409436,126679,32375.2]","[0.996771,0.991166,1,0.997815]","[0,5,0,4]","[0,1,0,1]","[-0.576292,0.682909,-0.698547,0.93565]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[486160,259981]","[0.359044,1.19358]","[0.730135,-2.65564]","[518182,484267]","[18984.5,123610]","[0,1]","[4.32213,1.12059]","[0.388206,0.507543]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[943.493]",6448.7,"[7300.98,4502.79,2672.47,5441.67]","[]","[6605.81,10331]","[]"
6,284500,33186,301322,1,8.9857,199200,1.26205,1,0.999041,1,1,0.998638,0.967646,1,0,1,0,1,"[1]","[1]","[197601]","[-1.51846]","[-1.30675]","[472686]","[-0.012352]","[1]","[13]","[1]","[1023.3]","[106.607]","[-0.00190275]","[0.361687]",96624.6,-1.85281,2,"[396931,149291]","[0.462013,-1.43817]","[1.12765,-2.6217]","[441963,332224]","[1,0.996803]","[0,0]","[0,0]","[-0.847267,-0.98531]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[366013]","[0.437396]","[1.12623]","[402794]","[31159.1]","[0]","[1.91891]","[0.632025]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[20254.4]",1824.75,"[10357,3431.04]","[]","[8613.19]","[]"
7,284500,35198,301322,1,8.9857,199200,0,0.98413,1,1,1,1.15482,0.99866,1,1,0,0,1,"[1]","[1]","[90837.9]","[-0.941437]","[2.48478]","[134155]","[0.00120926]","[-1]","[11]","[1]","[0]","[2547.79]","[0.0174861]","[1.75056]",37760.6,3.01237,5,"[352395,117959,85983.8,69471.7,34398.9]","[-0.117052,-0.769228,0.0780709,-0.177778,-1.04962]","[-0.54521,1.8253,-2.56957,2.11397,-3.0991]","[355487,155014,88156.4,70991.7,55675.3]","[1,0.995909,0.995775,1,0.999875]","[0,5,5,4,0]","[0,1,1,1,0]","[-0.803142,-0.156963,0.996577,0.92073,-0.689534]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[332272,267481]","[-0.137333,-0.755378]","[-0.537765,2.12408]","[335433,370973]","[3857.6,129889]","[0,1]","[4.17798,1.10902]","[-1,0.212541]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[370.412]",1178.36,"[4496.66,3379.39,2882.21,1679.46,2168.01]","[]","[35297.4,13368.7]","[]"
8,284500,36813,301322,1,8.9857,199200,1.26205,0.9652,1,1,1,0.998602,0.98592,1,1,0,0,1,"[0]","[1]","[79333.2]","[-1.17294]","[0.591013]","[140457]","[-0.053607]","[-1]","[11]","[1]","[5212.27]","[-543.795]","[0.0527438]","[3.65791]",79567,0.144358,3,"[346038,141693,108672]","[0.222328,-0.889102,-0.274543]","[-2.06088,1.24694,1.96109]","[355545,202259,113261]","[0.993066,0.996091,0.996837]","[0,5,0]","[0,1,0]","[-0.368907,0.999978,-0.824915]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[343495]","[0.21803]","[-2.05032]","[352735]","[27105.1]","[0]","[1.7677]","[0.669861]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[407.397]",4762.8,"[5887.53,4511.5,2769.72]","[]","[9246.88]","[]"
9,284500,45267,301322,1,8.9857,199200,1.25133,0.965513,1,1,1,0.997284,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[161693,146544]","[-0.539315,-1.27014]","[-1.21514,-1.52863]","[185784,281520]","[0.0551414,-0.0364876]","[1,-1]","[11,11]","[1,1]","[0,0]","[-975.17,931.193]","[-0.00784455,-0.00850674]","[1.22344,0.588629]",32407.2,1.7366,5,"[281857,184267,130611,89516.2,30166.3]","[-1.3497,1.22608,-1.18398,-0.448563,0.219786]","[2.1777,1.20296,-0.677978,-2.05674,2.23863]","[581482,341594,233910,100652,31285]","[0.997429,0.99801,0.956057,0.99384,0.993418]","[0,0,5,5,0]","[0,0,1,1,0]","[-0.93596,-0.791724,-0.187173,0.999244,-0.913229]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[465132,284967]","[-1.06121,-1.35725]","[-1.23634,2.16525]","[803133,592254]","[280484,48225.2]","[1,0]","[1.35944,1.51957]","[0.295412,0.701239]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1835.54,1464.64]",3567.54,"[5466.63,4201.45,1450.53,5299.33,2067.02]","[]","[15073.5,13308]","[]"
